,https://roic.ai/company/RERE,2018,2019,2020,2021
41,Intangible Assets,18991000,3486378000,3171256000,2879226000
42,Investments,71216000,89301000,96362000,241527000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,13200000,15642000,14520000,57709000
45,Total Non-Current Assets,170945000,3690539000,3351700000,3351917000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,1230475000,4785447000,5226338000,7502762000
48,Accounts Payable,42696000,35740000,27201000,41311000
49,Short-Term Debt,333656000,361629000,563080000,130947000
50,Tax Payable,13476000,21680000,45507000,- -
51,Deferred Revenue,28383000,25606000,33884000,211964000
52,Other Current Liabilities,185967000,332118000,559374000,440442000
53,Total Current Liabilities,590702000,755093000,1183539000,824664000
54,Long-Term Debt,- -,- -,32624000,34501000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,3466000,389280000,341960000,223138000
57,Other Non-Current Liabilities,2492056000,7080078000,8879894000,- -
58,Total Non-Current Liabilities,2495522000,7469358000,9254478000,257639000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,34501000
61,Total Liabilities,3086224000,8224451000,10438017000,1082303000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,11000,11000,11000,- -
64,Retained Earnings,-1855770000,-3438657000,-5213773000,- -
65,Other Comprehensive Income/Loss,10000,-358000,2083000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -
67,Total Stockholders Equity,-1855749000,-3439004000,-5211679000,6420459000
68,Total Liabilities And Stockholders Equity,1230475000,4785447000,5226338000,7502762000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,1230475000,4785447000,5226338000,7502762000
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-207941000,-704888000,-470618000,- -
74,Depreciation and Amortization,38121000,234672000,360781000,- -
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -
77,Change in Working Capital,-141754000,45255000,-370600000,- -
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,-27116000,9924000,-111437000,- -
80,Accounts Payable,16995000,-6974000,-8538000,- -
81,Other Working Capital,-1922000,-30120000,-47320000,- -
82,Other Non-Cash Items,-46448000,14167000,67569000,- -
83,Cash Provided by Operating Activities,-358022000,-410794000,-412868000,- -
84,CAPEX,-64285000,-103314000,-37839000,- -
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,-120895000,-99776000,- -
87,Sales/Maturities of Investments,19018000,- -,125573000,- -
88,Other Investing Activites,-64000000,-80140000,30667000,- -
89,Cash Used for Investing Activites,-109267000,-304349000,18625000,- -
90,Debt Repayment,-271101000,-388410000,-595317000,- -
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,-44649000,-1858000,-1779000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,1219772000,846019000,1527058000,- -
95,Cash Used/Provided by Financing Activities,904022000,455751000,929962000,- -
96,Effect of Forex Changes on Cash,33179000,4515000,-28426000,- -
97,Net Change In Cash,469912000,-254877000,507293000,- -
98,Cash at the End of Period,665960000,411083000,918376000,- -
99,Cash at the Beginning of Period,196048000,665960000,411083000,- -
100,Free Cash Flow,-422307000,-514108000,-450707000,- -
101,SEC Link,- -,- -,- -,undefined
102,Forex Rate,0.1453,0.1436,0.1532,0.1572
