,https://roic.ai/company/GBLX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,-25356,- -,- -,- -,-329356,-201873,88077,147868,-468195,135,-120209,-1149992,-5334574,-8559814,461402,-1331233
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-2964861,-585293,-14764,36150,-655955,-7973715,-7078978,-10083103,-23159225,-24154142,-11548628,-3332850
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.2254,-6.9920,-3.7007,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,526145,86837,- -
23,Net Income,-75503,-71225,-376485,-445229,-557684,-94745,-139467,-2964861,-585293,-14764,36150,-655955,-7722755,-6771335,-9909830,-22974190,-23653165,-12373579,-3725027
24,Net Income ratio,-1.2483,-1.5149,-Infinity,-8.1554,-0.2739,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.1517,-6.8470,-3.9651,-Infinity
25,EPS,-1.66,-1.57,-10.00,-10.00,-5.00,-1.00,-1.60,-6.90,-0.80,-0.00,0.04,-0.70,-0.26,-0.15,-0.13,-0.17,-0.13,-0.05,-0.01
26,EPS Diluted,-1.66,-1.57,-10.00,-10.00,-5.00,-1.00,-1.60,-6.90,-0.80,-0.00,0.04,-0.70,-0.26,-0.15,-0.13,-0.17,-0.13,-0.05,-0.01
27,Weighted Average Shares Outstanding,45442,45442,45485,46580,75915,88681,88695,427037,707888,2977811,966858,940723,29520288,44911521,79002685,132934141,209537769,258450641,280967623
28,Weighted Average Shares Outstanding Diluted,45442,45442,45485,46580,75915,88681,88695,427037,707888,2977811,966858,940723,29520288,44911521,79002685,132934141,209537769,258450641,280967623
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1165320/000114420412040400/0001144204-12-040400-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000144586613000830/0001445866-13-000830-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1165320/000144586616002367/0001445866-16-002367-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000144586617001010/0001445866-17-001010-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000144586618000685/0001445866-18-000685-index.html,https://www.sec.gov/Archives/edgar/data/1165320/000144586619000862/0001445866-19-000862-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000143774920018953/0001437749-20-018953-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000143774921016461/0001437749-21-016461-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15451,9214,9589,108812,73833,766,4032,22258,47692,2174,2427,339327,- -,34824,2692953,3579700,227758,151766,793040
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,15451,9214,9589,108812,73833,766,4032,22258,47692,2174,2427,339327,- -,34824,2692953,3579700,227758,151766,793040
34,Net Receivables,1086,1623,- -,4680,276503,- -,- -,- -,- -,- -,- -,150000,50000,67862,- -,667073,488329,5342390,- -
35,Inventory,- -,- -,- -,- -,28365,- -,- -,- -,- -,- -,- -,- -,- -,- -,89037,1049372,2136506,1445839,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,675,76273,20242,5075,4063,- -,190374,104851,166378,1956734,614178,60885,2750815
37,Total Current Assets,16537,10837,9589,113492,378701,766,4707,98531,67934,7249,6490,489327,240374,207537,2948368,7252879,3466771,7000880,3543855
38,PP&E,- -,- -,40865,26212,- -,- -,- -,168189,36635,36428,128,44922,913642,1953048,8642677,13759157,23504702,5560518,25022
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3555,3555,- -,- -,- -,- -,1706762
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3735,3555,3555,- -,1404366,1818802,1699966,1706762
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,4500,655,- -,- -,- -,- -,- -,- -,- -,- -,293920,271455,1415834,1633352,1233027,91504,5530415
45,Total Non-Current Assets,- -,- -,45365,26867,- -,- -,- -,168189,36635,36428,128,48657,1211117,2228058,10058511,16796875,26556531,7351988,7262199
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16537,10837,54954,140359,378701,766,4707,266720,104569,43677,6618,537984,1451491,2435595,13006879,24049754,30023302,14352868,10806054
48,Accounts Payable,780,4685,19574,41767,225110,20455,8439,- -,363,6560,11886,19762,677230,902123,176152,371925,3070756,2559914,1412459
49,Short-Term Debt,- -,20000,- -,150500,197740,4000,295000,- -,- -,- -,- -,1267441,30000,463532,2734,1056301,2529811,5860685,3594804
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506145,592982,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54409,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,750,4100,6559,51470,135481,192642,56550,1068903,1419282,1262956,1184421,264151,223006,896134,496679,491968,1111613,2465158,3591185
53,Total Current Liabilities,1530,28785,26133,243737,558331,217097,359989,1068903,1419645,1269516,1196307,1551354,984645,2261789,675565,1920194,6712180,10885757,8598448
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2148556,155312,355233,161072,- -,-3509891
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220506,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3771321,6142606,5994051,3555605,7191425
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220506,2148556,3926633,6497839,6155123,3555605,3681534
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3771321,6142606,5994051,3729639,- -
61,Total Liabilities,1530,28785,26133,243737,558331,217097,359989,1068903,1419645,1269516,1196307,1551354,1205151,4410345,4602198,8418033,12867303,14441362,12279982
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,454,2272,2325,3105,4434,89,90,701,710,3253,851,727,3597,4733,12441,16862,24063,27554,31534
64,Retained Earnings,-140690,-211915,-588400,-1033629,-1591313,-1686068,-1825535,-4992896,-5578189,-5592952,-5556802,-6212756,-14008525,-20779860,-35255045,-58229235,-84743836,-97387205,- -
65,Other Comprehensive Income/Loss,- -,- -,-4186,-10970,- -,- -,- -,- -,-270,-477,-777,- -,- -,-246958,-659541,-1463609,-2363308,-733557,- -
66,Other Total Stockholders Equity,155243,191695,619082,938116,1407249,1469648,1470163,4190012,4262673,4364337,4367039,- -,- -,19125938,44229405,72424713,95383323,98004714,- -
67,Total Stockholders Equity,15007,-17948,28821,-103378,-179630,-216331,-355282,-802183,-1315076,-1225839,-1189689,-1013370,497300,-1896147,8327260,12748731,8300242,-88494,-1473928
68,Total Liabilities And Stockholders Equity,16537,10837,54954,140359,378701,766,4707,266720,104569,43677,6618,537984,1702451,2514198,12929458,21166764,21167545,14352868,10806054
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250960,-78603,77421,2882990,8855757,- -,- -
70,Total Liabilities & Equity,16537,10837,54954,140359,378701,766,4707,266720,104569,43677,6618,537984,1451491,2435595,13006879,24049754,30023302,14352868,10806054
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1165320/000114420412040400/0001144204-12-040400-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000144586613000830/0001445866-13-000830-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1165320/000144586616002367/0001445866-16-002367-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000144586617001010/0001445866-17-001010-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000144586618000685/0001445866-18-000685-index.html,https://www.sec.gov/Archives/edgar/data/1165320/000144586619000862/0001445866-19-000862-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000143774920018953/0001437749-20-018953-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000143774921016461/0001437749-21-016461-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-75503,-71225,-376485,-445229,-557684,-94745,-139467,-2964861,-585293,-14764,36150,-655955,-7722755,-6771335,-9909830,-22974190,-23653165,-12373579,-3725027
74,Depreciation and Amortization,- -,- -,4186,25581,316667,- -,- -,- -,270,207,300,138,- -,177122,415979,804788,622968,258729,47353
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,516,2104894,66938,- -,- -,- -,3768120,1828616,4328497,7224239,3813390,287260,436349
77,Change in Working Capital,-41492,-32955,1404,-113701,-49385,-36701,-138951,-615090,-381339,89444,72450,127790,317756,-1309981,4327055,3059882,-8578094,-639468,-1169716
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,-17862,- -,- -,172895,412498,5051923
79,Inventory,- -,- -,- -,- -,-28365,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-749451,665560,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-12014,-8439,363,6197,5327,7875,657468,641379,61906,975591,2698831,781589,-422414
81,Other Working Capital,15007,-17948,-16544,-130245,-179630,-216331,-355282,-970372,-1351711,-1262267,-1189817,-1062027,-744271,-2054252,2272803,5332685,-3245409,-3884877,-5054593
82,Other Non-Cash Items,23342,77943,31321,214925,57058,113177,149168,933472,715764,-171405,-146347,314377,91296,2511570,-3630696,-362713,18555025,7987345,2344465
83,Cash Provided by Operating Activities,-93653,-26237,-339574,-318424,-233344,-18269,-128734,-541585,-183660,-96518,-37447,-213650,-3545583,-3564008,-4468995,-12247994,-9239876,-4479713,-2066576
84,CAPEX,- -,- -,-45051,-32853,- -,- -,- -,-72189,-906,- -,- -,-15200,-937660,-881595,-3052270,-3429751,-10583349,-294159,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,625,- -,- -,- -,- -,- -,- -,- -,274915,22465,-1144053,-1973768,-1047562,-336487,4759248
89,Cash Used for Investing Activites,- -,- -,-45051,-32853,625,- -,- -,-72189,-906,- -,- -,-15200,-662745,-859130,-4196323,-5403519,-11630911,-538784,4759248
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000,- -,-375457,-21440,- -,-106049,-3156014
91,Common Stock Issued,100473,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684750,3867240,1479688,9749465,7200000,10442845,790225,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,20000,385000,450500,197740,-54798,132000,632000,210000,51000,37700,31000,6761,2978274,1949439,11359700,7076000,4304032,1841350
95,Cash Used/Provided by Financing Activities,100473,20000,385000,450500,197740,-54798,132000,632000,210000,51000,37700,715750,3869001,4457962,11323447,18538260,17518845,4988208,-1314664
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6820,-6237,375,99223,-34979,-73067,3266,18226,25434,-45518,253,336900,3869001,- -,2658129,886747,-3351942,-30289,993867
98,Cash at the End of Period,15451,9214,9589,108812,73833,766,4032,22258,47692,2174,2427,339327,- -,34824,2692953,3579700,227758,151766,1145633
99,Cash at the Beginning of Period,8631,15451,9214,9589,108812,73833,766,4032,22258,47692,2174,2427,339327,- -,34824,2692953,3579700,182055,151766
100,Free Cash Flow,-93653,-26237,-384625,-351277,-233344,-18269,-128734,-613774,-184566,-96518,-37447,-228850,-4483243,-4445603,-7521265,-15677745,-19823225,-4773872,-2066576
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1165320/000114420412040400/0001144204-12-040400-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000144586613000830/0001445866-13-000830-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1165320/000144586616002367/0001445866-16-002367-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000144586617001010/0001445866-17-001010-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000144586618000685/0001445866-18-000685-index.html,https://www.sec.gov/Archives/edgar/data/1165320/000144586619000862/0001445866-19-000862-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000143774920018953/0001437749-20-018953-index.htm,https://www.sec.gov/Archives/edgar/data/1165320/000143774921016461/0001437749-21-016461-index.htm
102,false,,,,,,,,,,,,,,,,,,,
