,https://roic.ai/company/HIHO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,15700000,16490000,18690000,20100000,18890000,22410000,20490000,17810000,16350000,19400000,16580000,15350000,15780000,16987000,17039000,17552000,18130000,15250000,18169000,15486000
48,Accounts Payable,- -,- -,- -,- -,- -,1580000,2030000,2300000,2850000,2500000,3990000,3760000,2170000,2390000,3580000,2550000,1520000,1580000,1579000,1307000,2391000,900000,1161000,997000,653000
49,Short-Term Debt,- -,- -,- -,- -,- -,1206000,1281000,2106000,1858000,2496000,3575000,2525000,2109000,1044000,574000,265000,112000,- -,- -,- -,- -,- -,- -,782000,821000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000,153000,158000,279000,334000,440000,328000,803000,602000,564000,58000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,231000,178000,174000,153000,153000,174000,189000,147000,147000,173000,180000,59000,44000,32000,32000,32000,32000,- -,72000
52,Other Current Liabilities,- -,- -,- -,- -,- -,1164000,708000,866000,1428000,991000,1702000,2771000,1442000,909000,1979000,1302000,1478000,1951000,3099000,3734000,3787000,5376000,3888000,3209000,2418000
53,Total Current Liabilities,- -,- -,- -,- -,- -,3950000,4250000,5450000,6310000,6140000,9420000,9230000,5910000,4490000,6280000,4290000,3290000,3590000,4722000,5073000,6210000,6308000,5081000,4988000,3964000
54,Long-Term Debt,- -,- -,- -,- -,- -,50000,110000,210000,560000,320000,660000,520000,290000,40000,380000,110000,- -,- -,- -,- -,- -,- -,- -,- -,1142000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,607000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,240000,230000,190000,170000,160000,170000,350000,260000,100000,170000,180000,50000,50000,81000,94000,71000,81000,43000,2273000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,290000,340000,400000,730000,480000,830000,870000,550000,140000,550000,290000,50000,50000,81000,94000,71000,81000,43000,2273000,1749000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,212000,558000,322000,655000,522000,553000,295000,44000,3000,- -,- -,- -,- -,- -,- -,- -,2816000,1963000
61,Total Liabilities,- -,- -,- -,- -,- -,4240000,4590000,5850000,7040000,6620000,10250000,10100000,6460000,4630000,6830000,4580000,3340000,3640000,4803000,5167000,6281000,6389000,5124000,7261000,5713000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,38000,38000,38000,38000,40000,40000
64,Retained Earnings,- -,- -,- -,- -,- -,2730000,3210000,3960000,3480000,2130000,1440000,-610000,150000,460000,1210000,630000,630000,770000,782000,512000,13000,347000,-1233000,-865000,-2041000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-60000,-73000,-126000,-222000,-86000,-561000,-26000,-6000,-13000,- -,-11070000,16000,7000,8000,-34000,-136000,- -,-35000,196000,48000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,8766000,8740000,8978000,9770000,10190000,11248000,10990000,11172000,11235000,11315000,22398000,11322000,11324000,11356000,11356000,11356000,11356000,11356000,11537000,11709000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,11466000,11907000,12842000,13058000,12274000,12167000,10394000,11356000,11722000,12565000,11998000,12008000,12141000,12184000,11872000,11271000,11741000,10126000,10908000,9756000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,15706000,16497000,18692000,20098000,18894000,22417000,20494000,17816000,16352000,19395000,16578000,15348000,15781000,16987000,17039000,17552000,18130000,15250000,18169000,15469000
69,Minority Interest,- -,- -,- -,- -,- -,-6000,-7000,-2000,2000,-4000,-7000,-4000,-6000,-2000,5000,2000,2000,-1000,- -,- -,- -,- -,- -,- -,17000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,15700000,16490000,18690000,20100000,18890000,22410000,20490000,17810000,16350000,19400000,16580000,15350000,15780000,16987000,17039000,17552000,18130000,15250000,18169000,15486000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1026785/000119312503015179/0001193125-03-015179-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420404009017/0001144204-04-009017-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420405020342/v020622_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000114420406027089/v046407_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000114420407034319/0001144204-07-034319-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420408037494/0001144204-08-037494-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420409033757/0001144204-09-033757-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420410035590/0001144204-10-035590-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420411038126/0001144204-11-038126-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420412037346/v316328_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000114420413037111/0001144204-13-037111-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420414040334/0001144204-14-040334-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420415039978/0001144204-15-039978-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420416110857/0001144204-16-110857-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000161577417003429/0001615774-17-003429-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000161577418006288/s111057_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000121390019011948/f20f2019_highwayholdings.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1200000,1300000,1300000,-265000,- -,-230000,490000,980000,-150000,40000,590000,-1920000,770000,420000,1650000,180000,450000,600000,1150000,1251000,527000,1550000,-630000,686000,-461000
74,Depreciation and Amortization,500000,900000,900000,1011000,- -,1070000,1130000,1110000,1150000,1090000,940000,830000,780000,640000,670000,670000,590000,560000,393000,317000,266000,319000,261000,145000,1000000
75,Deferred Income Tax,100000,100000,- -,-27000,- -,- -,- -,-50000,- -,-20000,20000,20000,-30000,-20000,30000,10000,-120000,-20000,-12000,- -,- -,- -,- -,209000,349000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,160000,160000,160000,160000,160000,12000,12000,19000,- -,- -,- -,- -,- -,- -,- -,- -,93000
77,Change in Working Capital,-1300000,-2600000,900000,-1676000,- -,-478000,-301000,-650000,-1134000,1692000,-110000,1046000,-31000,320000,-529000,-424000,-826000,363000,2729000,-467000,1332000,467000,-731000,-1877000,-1208000
78,Accounts Receivable,- -,- -,- -,- -,- -,-760000,-40000,-891000,-1402000,1376000,1376000,586000,-126000,186000,186000,-1621000,1073000,-234000,801000,214000,-1378000,60000,-66000,256000,1017000
79,Inventory,-700000,-1900000,900000,-1190000,- -,-50000,-380000,178000,-668000,944000,944000,-1261000,145000,222000,222000,228000,199000,56000,125000,80000,25000,41000,45000,-461000,-301000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223000,- -,-732000,-1032000,62000,2000,-291000,1040000,-1507000,270000,-121000,-390000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550000,- -,- -,- -,- -,- -,-167000,122000,-32000,4000,- -,-826000,-9000,- -
82,Other Non-Cash Items,600000,- -,100000,28000,- -,-2000,1000,130000,684000,-1642000,60000,-56000,361000,378000,177000,185000,-24000,147000,-37000,155000,99000,52000,663000,1279000,123000
83,Cash Provided by Operating Activities,1100000,-300000,3200000,-929000,- -,360000,1320000,1520000,710000,1320000,1660000,80000,2010000,1750000,2010000,640000,70000,1650000,4223000,1256000,2224000,2388000,-437000,442000,-104000
84,CAPEX,-700000,-1100000,-600000,-484000,- -,-450000,-250000,-853000,347000,197000,197000,-934000,-211000,-116000,-116000,-1027000,-23000,-319000,-73000,-129000,117000,-197000,113000,-91000,-88000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-5000,- -,121000,-331000,- -,- -,- -,168000,- -,- -,110000,-19000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-700000,-600000,-1300000,-55000,- -,-5000,-59000,-256000,8000,2206000,-253000,206000,643000,275000,151000,50000,-88000,-222000,963000,60000,- -,129000,-41000,27000,10000
89,Cash Used for Investing Activites,-1400000,-1700000,-1900000,-539000,- -,-341000,-249000,-1114000,-170000,1984000,-1518000,-5000,558000,159000,-708000,-305000,-407000,-185000,815000,-464000,-197000,-142000,-736000,-64000,-78000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1057000,- -,- -,- -,-3000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,4000000,- -,- -,117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-35000,- -,- -,- -,240000,450000,270000,200000,40000,- -,- -,10000,10000,- -,- -,30000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-200000,- -,-100000,-126000,- -,- -,- -,-240000,-320000,-1390000,-1290000,-130000,- -,-110000,-600000,-1060000,-340000,-570000,-758000,-1364000,-1126000,-1031000,-1244000,-297000,-981000
94,Other Financing Activites,-200000,800000,-1600000,434000,- -,-127000,-113000,649000,-795000,125000,-154000,-1406000,-663000,-261000,-139000,-578000,-265000,-107000,- -,- -,-9000,- -,- -,- -,79000
95,Cash Used/Provided by Financing Activities,3600000,800000,-1700000,390000,- -,-127000,-113000,649000,-665000,-995000,-1244000,-1496000,-663000,-1428000,-729000,-1628000,-605000,-680000,-728000,-1364000,-1135000,-1031000,-1244000,-297000,-902000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,132000,22000,16000,20000,-7000,17000,- -,6000,-1000,1000,-15000,-4000,24000,-23000,-81000,14000
97,Net Change In Cash,3600000,800000,-300000,-1078000,- -,-100000,960000,1010000,-210000,2440000,-1090000,-1410000,1920000,470000,590000,-1290000,-940000,780000,4311000,-587000,888000,1239000,-2440000,- -,-1070000
98,Cash at the End of Period,- -,- -,3100000,1973000,- -,2190000,3150000,4160000,3950000,6390000,5290000,3890000,5810000,6280000,6870000,5570000,4640000,5410000,9731000,9140000,10028000,11267000,8827000,8827000,7757000
99,Cash at the Beginning of Period,1300000,4600000,3400000,3051000,- -,2290000,2190000,3150000,4160000,3950000,6380000,5300000,3890000,5810000,6280000,6860000,5580000,4630000,5420000,9727000,9140000,10028000,11267000,8827000,8827000
100,Free Cash Flow,400000,-1400000,2600000,-1413000,- -,-90000,1070000,590000,480000,980000,730000,-130000,1920000,1630000,980000,280000,-250000,1580000,4094000,732000,2027000,2117000,-1132000,351000,-192000
101,SEC Link,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1026785/000119312503015179/0001193125-03-015179-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420404009017/0001144204-04-009017-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420405020342/v020622_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000114420406027089/v046407_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000114420407034319/0001144204-07-034319-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420408037494/0001144204-08-037494-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420409033757/0001144204-09-033757-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420410035590/0001144204-10-035590-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420411038126/0001144204-11-038126-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420412037346/v316328_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000114420413037111/0001144204-13-037111-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420414040334/0001144204-14-040334-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420415039978/0001144204-15-039978-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000114420416110857/0001144204-16-110857-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000161577417003429/0001615774-17-003429-index.html,https://www.sec.gov/Archives/edgar/data/1026785/000161577418006288/s111057_20f.htm,https://www.sec.gov/Archives/edgar/data/1026785/000121390019011948/f20f2019_highwayholdings.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
