,https://roic.ai/company/GLYC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,804126,898549,1920014
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,15000000,3992649,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,876628,934714,1134404,5586517,7182743,4768407,5527686,6099575,8710790,9439881,7796761
53,Total Current Liabilities,16412225,5691558,2279299,6460545,7746978,6333617,8174777,8763154,10950576,12428369,11824390
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1920015,- -
55,Deferred Revenue,3750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,290262,199830,96756,- -,243647,753579,707003,611623,2818516,264329,918607
58,Total Non-Current Liabilities,4040262,199830,96756,- -,243647,753579,707003,611623,2818516,2184344,918607
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,3622642,2818564,- -
61,Total Liabilities,20452487,5891388,2376055,6460545,7990625,7087196,8881780,9374777,13769092,14612713,12742997
62,Preferred Stock,30726,- -,30726,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,930,10235,1428,18940,19049,23249,34358,43159,43465,49018,52314
64,Retained Earnings,-56325845,-52669823,-63275409,-74396975,-87166473,-118976311,-152277106,-200550739,-258442650,-309469553,-372896990
65,Other Comprehensive Income/Loss,-696261,-796184,-755911,-905479,-902099,-1056561,-1309472,-1583642,-1861545,- -,- -
66,Other Total Stockholders Equity,65447367,65984156,66906585,126086942,128521177,155310754,273253645,407555717,414461317,437639991,454448327
67,Total Stockholders Equity,8456917,12528384,2907419,50803428,40471654,35301131,119701425,205464495,154200587,128219456,81603651
68,Total Liabilities And Stockholders Equity,28909404,18419772,5283474,57263973,48462279,42388327,128583205,214839272,167969679,142832169,94346648
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,28909404,18419772,5283474,57263973,48462279,42388327,128583205,214839272,167969679,142832169,94346648
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1253689/000119312515093802/d838695d10k.htm,https://www.sec.gov/Archives/edgar/data/1253689/000155837016003688/0001558370-16-003688-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837017001198/0001558370-17-001198-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837018001553/0001558370-18-001553-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837019001537/0001558370-19-001537-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837020001723/0001558370-20-001723-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837021002222/0001558370-21-002222-index.htm,https://www.sec.gov/Archives/edgar/data/1253689/000155837022002737/0001558370-22-002737-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-6113193,3656022,-10605586,-11121566,-12769498,-31809838,-33281068,-48273633,-57891911,-51026903,- -
74,Depreciation and Amortization,83861,99923,133051,158708,191484,190540,263541,275123,279234,270754,264600
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,376243,415208,425689,1635065,2323603,2964767,3760802,4587098,6215090,6901758,6087286
77,Change in Working Capital,19506273,323299,-9673079,47050251,-10157235,-5310865,84858318,84461120,-51928778,-25732211,-46880672
78,Accounts Receivable,- -,- -,- -,- -,1693238,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,83375,228598,380700,-270867,-309792,1000975,1061880,16488,-1227919,654279,17676
81,Other Working Capital,11954156,12277455,2604376,49654627,39497392,34186527,119044845,203505965,151577187,125844976,78964304
82,Other Non-Cash Items,- -,-14967851,4180855,-42004045,12169756,4234131,-85369954,-84380838,51342226,30344671,-16960744
83,Cash Provided by Operating Activities,13853184,-10473399,-15539070,-4281587,-8241890,-29731265,-29768361,-43331130,-51984139,-39241931,-57489530
84,CAPEX,-182438,-316180,-82091,-212603,-268594,-704202,-294107,-125618,-144928,-68507,-14943
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-57700,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-240138,-326180,-82091,-212603,-268594,-704202,-294107,-125618,-144928,-68507,-14943
90,Debt Repayment,-24166,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,3,237,558932,57248219,- -,23601955,113572189,128425080,- -,17824717,10699317
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,134291,114121,72593,373376,1024525,412913,319297,25029
95,Cash Used/Provided by Financing Activities,-24163,237,558932,57382510,114121,23674548,113945565,129449605,412913,18144014,10724346
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,13588883,-10799342,-15062229,52888320,-8396363,-6760919,83883097,85992857,-51716154,-21166424,-46780127
98,Cash at the End of Period,28172174,17372832,2310603,55198923,46802560,40041641,123924738,209917595,158201441,137035017,90254890
99,Cash at the Beginning of Period,14583291,28172174,17372832,2310603,55198923,46802560,40041641,123924738,209917595,158201441,137035017
100,Free Cash Flow,13670746,-10789579,-15621161,-4494190,-8510484,-30435467,-30062468,-43456748,-52129067,-39310438,-57504473
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1253689/000119312515093802/d838695d10k.htm,https://www.sec.gov/Archives/edgar/data/1253689/000155837016003688/0001558370-16-003688-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837017001198/0001558370-17-001198-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837018001553/0001558370-18-001553-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837019001537/0001558370-19-001537-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837020001723/0001558370-20-001723-index.html,https://www.sec.gov/Archives/edgar/data/1253689/000155837021002222/0001558370-21-002222-index.htm,https://www.sec.gov/Archives/edgar/data/1253689/000155837022002737/0001558370-22-002737-index.htm
102,false,,,,,,,,,,,
