,https://roic.ai/company/RVP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/946563/000093066103001405/0000930661-03-001405-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000119312504161507/0001193125-04-161507-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000119312505067078/0001193125-05-067078-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000119312506070729/0001193125-06-070729-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465907024925/0001104659-07-024925-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465908021273/0001104659-08-021273-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465909021812/0001104659-09-021812-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465910017708/0001104659-10-017708-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465911017984/0001104659-11-017984-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465912022738/0001104659-12-022738-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465913026195/0001104659-13-026195-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465914024455/0001104659-14-024455-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465915024669/a14-26201_110k.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465916108770/0001104659-16-108770-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465917020709/0001104659-17-020709-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465918021761/0001104659-18-021761-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465919018179/0001104659-19-018179-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465920040309/0001104659-20-040309-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465921044616/0001104659-21-044616-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000155837022004880/0001558370-22-004880-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3727682,1220244,1342117,8155621,55868526,52513935,46814689,40507431,33283740,18126084,23266039,25673263,25963313,27629359,22128977,18045044,16199043,14877899,9647292,5934749,17566682,29162913
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,996233,7771660,8081833,5924136
33,Cash and Short-Term Investments,3727682,1220244,1342117,8155621,55868526,52513935,46814689,40507431,33283740,18126084,23266039,25673263,25963313,27629359,22128977,18045044,16199043,14877899,10643525,13706409,25648515,35087049
34,Net Receivables,2325252,1585024,2666866,1170231,1864514,3965970,4312488,4012677,3288942,13603847,7594093,3615896,3703738,3476718,5642091,4900997,3267838,5105556,5013243,6614763,32910919,34859505
35,Inventory,1575636,3218786,2779554,3976584,3778949,3297726,6385780,7037129,6641532,6907369,8682191,6237419,4990253,5735589,4663548,6296625,7017224,6206161,7545094,7450592,10234646,20589919
36,Other Current Assets,426758,245555,276524,194310,3533174,1707658,267707,358807,400113,624393,681244,218529,783760,1065641,1794952,1568032,192548,418154,644803,635201,684317,13970955
37,Total Current Assets,8055328,6269609,7065061,13496746,65045163,61485289,57780664,51916044,43614327,39261693,40223567,35745107,35441064,37907307,34229568,30810698,26676653,26607770,23846665,28406965,69478397,104507428
38,PP&E,11902792,11740464,10515480,9678826,11056865,11925976,12212140,11483423,14435667,14234181,12560592,12653856,11899650,10910172,10852853,11468061,12092037,11353202,10851747,10632057,30816504,87925651
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,529803,530378,405641,394369,358659,316926,279846,424560,470115,426675,406910,362976,286520,275041,265768,257181,- -,- -,- -,- -,- -,- -
41,Intangible Assets,529803,530378,405641,394369,358659,316926,279846,424560,470115,426675,406910,362976,286520,275041,265768,257181,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1989923,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4631206,13865834
44,Other Non-Current Assets,- -,- -,72671,60565,34005,27334,522294,505899,18750,18750,- -,- -,4924,4924,4925,4924,10289,194508,103684,138708,44567,5675
45,Total Non-Current Assets,12432595,12270842,10993792,10133760,11449529,12270236,13014280,12413882,14924532,14679606,12967502,13016832,12191094,11190137,11123546,11730166,12102326,11547710,12945354,10770765,35492277,101797160
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20487923,18540451,18058853,23630506,76494692,73755525,70794944,64329926,58538859,53941299,53191069,48761939,47632158,49097444,45353114,42540864,38778979,38155480,36792019,39177730,104970674,206304588
48,Accounts Payable,1868357,3917650,4229396,3755149,3402037,2345613,4247630,5535365,6144435,6997310,3847966,3500301,5099884,5107778,5142796,5697518,4471756,4957750,5369677,5007604,16256444,20404573
49,Short-Term Debt,971676,686402,840899,210681,271842,295417,261905,387906,451865,2628652,519611,620472,315086,247064,149744,249349,430393,410949,406361,260939,1030763,289114
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4365770,4959878
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400740,1720896,435821,395396,692922,355742,860926,998601,1686868,- -
52,Other Current Liabilities,3098858,4194724,2951181,1806865,4178553,2817186,2381038,2862359,3641221,3570031,5618531,1846447,1261242,9544786,9371239,1753450,1577373,2175504,1901675,1990076,8927440,14631116
53,Total Current Liabilities,5938891,8798776,8021476,5772695,7852432,5458216,6890573,8785630,10237521,13195993,9986108,5967220,8076952,16620524,15099600,8095713,7172444,7899945,8538639,8257220,27901515,35324803
54,Long-Term Debt,7180130,9579053,2600298,2723001,3535410,4350625,4137231,3747259,6095535,4824833,4304460,4143267,3826210,3576932,3425028,3417471,3498244,3081409,2639647,2378055,2710337,1814194
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1442145,- -,- -,36200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,711443,56828,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24478697,69996330
58,Total Non-Current Liabilities,7180130,9579053,2600298,2723001,4977555,5062068,4194059,3783459,6095535,4824833,4304460,4143267,3826210,3576932,3425028,3417471,3498244,3081409,2639647,2378055,27189034,71810524
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,13119021,18377829,10621774,8495696,12829987,10520284,11084632,12569089,16333056,18020826,14290568,10110487,11903162,20197456,18524628,11513184,10670688,10981354,11178286,10635275,55090549,107135327
62,Preferred Stock,- -,- -,5379366,3591216,2572116,2498663,2441166,2329916,2285266,2285266,2279016,1001552,1001552,994945,987445,781445,781445,781445,781445,772945,262945,- -
63,Common Stock,36774763,37671513,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5270501
64,Retained Earnings,-33312256,-40527536,-47353464,-39904967,7667845,6429522,2560038,-4388066,-14031646,-23453946,-21053252,-19634770,-23767662,-29981514,-32336119,-28021801,-31963487,-35699525,-37039468,-33891234,-9668221,41182429
65,Other Comprehensive Income/Loss,-3289709,-4431726,-5706287,-6972050,-8230637,-9530318,-10910365,-12280593,-13632140,-14985493,-16451880,-17719693,-18984018,-20171062,-21236311,-22086115,-22953194,-23783910,-24667519,-25391940,- -,- -
66,Other Total Stockholders Equity,7196104,7450371,60496830,62011827,64227497,66336037,68060639,68429496,69869589,74359912,76405633,76005915,78480676,79052564,80400916,81135596,83024972,86657561,87320720,87825629,59548346,63257333
67,Total Stockholders Equity,7368902,162622,7437079,15134810,63664705,63235241,59710312,51760837,42205803,35920473,38900501,38651452,35728996,28899988,26828486,31027680,28108291,27174126,25613733,28542455,49880125,99169261
68,Total Liabilities And Stockholders Equity,20487923,18540451,18058853,23630506,76494692,73755525,70794944,64329926,58538859,53941299,53191069,48761939,47632158,49097444,45353114,42540864,38778979,38155480,36792019,39177730,104970674,206304588
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20487923,18540451,18058853,23630506,76494692,73755525,70794944,64329926,58538859,53941299,53191069,48761939,47632158,49097444,45353114,42540864,38778979,38155480,36792019,39177730,104970674,206304588
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/946563/000093066103001405/0000930661-03-001405-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000119312504161507/0001193125-04-161507-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000119312505067078/0001193125-05-067078-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000119312506070729/0001193125-06-070729-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465907024925/0001104659-07-024925-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465908021273/0001104659-08-021273-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465909021812/0001104659-09-021812-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465910017708/0001104659-10-017708-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465911017984/0001104659-11-017984-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465912022738/0001104659-12-022738-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465913026195/0001104659-13-026195-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465914024455/0001104659-14-024455-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465915024669/a14-26201_110k.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465916108770/0001104659-16-108770-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465917020709/0001104659-17-020709-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465918021761/0001104659-18-021761-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465919018179/0001104659-19-018179-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465920040309/0001104659-20-040309-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465921044616/0001104659-21-044616-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000155837022004880/0001558370-22-004880-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10444609,-7215280,-6825928,7448497,54691395,-1238323,-3869484,-6948104,-9643580,-9422300,2400694,1418482,-4132892,-6213852,-2354605,4314318,-3694907,-3736038,-1339943,3148234,24223013,56064241
74,Depreciation and Amortization,938570,1196120,1328700,1308624,1294297,1366907,1426748,1430072,1397333,1396793,1516226,1311746,1335858,1284249,1074520,858391,872868,834951,886814,852080,832069,1257417
75,Deferred Income Tax,- -,- -,- -,- -,-445202,-88863,534065,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4631206,-9234628
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,32629,2111360,1340300,- -,- -,52775,- -,- -,387726,672223,- -,- -,- -,3660387
77,Change in Working Capital,344864,-4645604,1572752,8680466,49468680,-1165658,-5136982,-7759677,-9753608,-7311106,4171759,-459572,-2413775,-6077329,-2156815,3585017,-3210776,-796384,-3399799,4841719,21427137,27605743
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-1845939,-6841268,1382158,2707607,-66867,167589,-2192673,624699,1541159,-1861990,145407,-1652015,-14626910,-13877663
79,Inventory,-897674,-1643150,439232,-1197029,197635,467246,-3026759,-806949,395597,-265837,-1774822,2391937,1127166,-1275336,1072041,-1633077,-897023,811063,-1041202,94502,-2784054,-10355273
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,609070,852875,-3149344,-347665,1441308,7895,35018,554722,-1225762,485994,411927,-362072,11248840,4148128
81,Other Working Capital,2116437,-2529167,-956415,7724051,57192731,56027073,50890091,43130414,33376806,26065700,30237459,29777887,27364112,21286783,19129968,22714985,19504209,18707825,15308026,20149745,41576882,69182625
82,Other Non-Cash Items,880049,6991936,2381010,-9379462,-48530034,-1108962,3691622,9061038,12043984,925522,-698307,3243117,5369146,13887726,-430922,-12009883,4850177,102612,2657433,-6647395,-22853984,-46559661
83,Cash Provided by Operating Activities,-8281126,-3672828,-1543466,8058125,56479136,-2234899,-3354031,-4216671,-5923242,-12299731,8730672,5513773,158337,2933569,-3867822,-3252157,-794912,-2922636,-1195495,2194638,18997029,32793499
84,CAPEX,-2687464,-782130,-71314,-385921,-2437847,-2015345,-1534933,-652583,-2432708,-2383867,-169415,-826091,-510117,-283289,-1007933,-1465010,-1947172,-91878,-382156,-632078,-21049656,-58366563
85,Acquisitions Net,-46163,-54678,- -,-24713,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2986156,-7360398,-2242897,-4748624
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,497690,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2712134,3965329,- -
88,Other Investing Activites,600000,- -,-59903,- -,- -,- -,- -,- -,-89152,- -,- -,- -,- -,1000,-600897,600897,- -,- -,- -,- -,- -,75000
89,Cash Used for Investing Activites,-2133627,-836808,-131217,-410634,-2437847,-2015345,-2034933,-652583,-1935018,-2383867,-169415,-826091,-510117,-282289,-1608830,-864113,-1947172,-91878,-3368312,-5280342,-19327224,-63040187
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-489160,-499668,-2660336,-612927,-626219,-317303,-249220,-184447,-263200,-436280,-446350,-407014,-260894,-274791
91,Common Stock Issued,11338000,- -,4435600,- -,- -,236436,74780,- -,- -,- -,- -,54369,- -,- -,- -,- -,- -,2350100,- -,- -,- -,48600
92,Common Stock Repurchased,-51736,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1357275,-122202,-974407,- -,- -,- -,- -,- -,- -,-482670,-5270501
93,Dividends Paid,-2971976,- -,- -,-459088,-7118582,- -,- -,-1053544,- -,- -,-876566,-364625,-230450,-230449,-172838,-283543,-220755,-220450,-220450,-219825,-216642,-3824311
94,Other Financing Activites,5182142,2002198,-2639044,-374899,790198,659217,-385062,-384460,1123729,25610,115600,- -,1620701,536925,398328,500327,1380038,- -,- -,- -,12922334,51163922
95,Cash Used/Provided by Financing Activities,13496430,2002198,1796556,-833987,-6328384,895653,-310282,-1438004,634569,-474058,-3421302,-2280458,641830,-985234,-23730,32337,896083,1693370,-666800,-626839,11962128,41842919
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3081677,-2507438,121873,6813504,47712905,-3354591,-5699246,-6307258,-7223691,-15157656,5139955,2407224,290050,1666046,-5500382,-4083933,-1846001,-1321144,-5230607,-3712543,11631933,11596231
98,Cash at the End of Period,3727682,1220244,1342117,8155621,55868526,52513935,46814689,40507431,33283740,18126084,23266039,25673263,25963313,27629359,22128977,18045044,16199043,14877899,9647292,5934749,17566682,- -
99,Cash at the Beginning of Period,646005,3727682,1220244,1342117,8155621,55868526,52513935,46814689,40507431,33283740,18126084,23266039,25673263,25963313,27629359,22128977,18045044,16199043,14877899,9647292,5934749,17566682
100,Free Cash Flow,-10968590,-4454958,-1614780,7672204,54041289,-4250244,-4888964,-4869254,-8355950,-14683598,8561257,4687682,-351780,2650280,-4875755,-4717167,-2742084,-3014514,-1577651,1562560,-2052627,-25573064
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/946563/000093066103001405/0000930661-03-001405-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000119312504161507/0001193125-04-161507-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000119312505067078/0001193125-05-067078-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000119312506070729/0001193125-06-070729-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465907024925/0001104659-07-024925-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465908021273/0001104659-08-021273-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465909021812/0001104659-09-021812-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465910017708/0001104659-10-017708-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465911017984/0001104659-11-017984-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465912022738/0001104659-12-022738-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465913026195/0001104659-13-026195-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465914024455/0001104659-14-024455-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465915024669/a14-26201_110k.htm,https://www.sec.gov/Archives/edgar/data/946563/000110465916108770/0001104659-16-108770-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465917020709/0001104659-17-020709-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465918021761/0001104659-18-021761-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465919018179/0001104659-19-018179-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465920040309/0001104659-20-040309-index.html,https://www.sec.gov/Archives/edgar/data/946563/000110465921044616/0001104659-21-044616-index.htm,https://www.sec.gov/Archives/edgar/data/946563/000155837022004880/0001558370-22-004880-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
