,https://roic.ai/company/PZN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.4292,0.3478,0.4018,-1.7285,0.0300,0.6350,0.4725,0.5156,0.4558,0.4874,0.5309,0.5418,0.4752,0.4358,0.4887,0.5128,0.3029,0.3987,0.5311
19,Total Other Income Expenses (Gains),-13042000,-16282000,2661000,6114000,-2136000,35685000,1601000,-2744000,-1466000,-863000,-1821000,-4036000,-3300000,-48042000,25608000,-2658000,5607000,552000,8416000
20,Income Before Tax,1371000,1768000,34238000,-192811000,2274000,100078000,31388000,37226000,36388000,36316000,49027000,56917000,52117000,-824000,94662000,76097000,51271000,55825000,114275000
21,Income Before Tax Ratio,0.0408,0.0341,0.4356,-1.6753,0.0155,0.9869,0.4979,0.4802,0.4382,0.4761,0.5119,0.5059,0.4469,-0.0076,0.6700,0.4955,0.3401,0.4027,0.5733
22,Income Tax expense (Gain),1371000,1765000,2704000,3941000,5610000,67680000,-1307000,741000,3145000,1911000,589000,1883000,5114000,-54475000,34512000,7778000,5795000,4287000,7798000
23,Net Income,- -,- -,-28669000,-715457000,733000,-3697000,3369000,3811000,3382000,3840000,6670000,8100000,7679000,16179000,6908000,13794000,8462000,8874000,18679000
24,Net Income ratio,- -,- -,-0.3648,-6.2167,0.0050,-0.0365,0.0534,0.0492,0.0407,0.0503,0.0696,0.0720,0.0659,0.1493,0.0489,0.0898,0.0561,0.0640,0.0937
25,EPS,- -,- -,-0.45,-11.17,0.12,-0.60,0.41,0.41,0.34,0.36,0.56,0.64,0.55,1.01,0.40,0.78,0.47,0.52,1.11
26,EPS Diluted,- -,- -,-0.45,-11.17,0.01,-0.60,0.28,0.34,0.32,0.32,0.45,0.53,0.50,0.58,0.40,0.77,0.46,0.52,1.11
27,Weighted Average Shares Outstanding,64074404,64074404,64074404,64074404,6111118,6122569,8217561,9186520,9972978,10787540,11990757,12628676,14014219,15962902,17338348,17678874,17945686,17208174,17462695
28,Weighted Average Shares Outstanding Diluted,64074404,64074404,64074404,64074404,64056778,6122569,64853824,64985753,65093544,65491273,66759840,67797524,68126786,68849172,70934362,71934144,74199308,79143710,83964145
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1399249/000104746908003706/0001047469-08-003706-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000104746909002662/0001047469-09-002662-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000104746910002155/0001047469-10-002155-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000104746911002171/0001047469-11-002171-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000114420412014940/0001144204-12-014940-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000114420413014631/0001144204-13-014631-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924914000015/0001399249-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924915000010/0001399249-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924916000071/0001399249-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924917000010/0001399249-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924918000012/0001399249-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000156459019007031/0001564590-19-007031-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000156459020009500/0001564590-20-009500-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000156459021011860/0001564590-21-011860-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000095017022003157/0000950170-22-003157-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,30920000,27184000,27421000,15908000,16381000,35083000,32645000,33878000,39109000,35417000,43522000,63414000,38099000,52480000,65534000,81133000
32,Short-Term Investments,- -,- -,- -,- -,27465000,14045000,7951000,3323000,4919000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,30920000,54649000,41466000,23859000,19704000,40002000,32645000,33878000,39109000,35417000,43522000,63414000,38099000,52480000,65534000,81133000
34,Net Receivables,- -,- -,- -,27716000,27452000,13912000,13679000,15578000,15294000,14782000,24674000,23787000,24188000,28478000,35991000,37367000,35504000,39645000,45318000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,69382000,4393000,714000,7845000,-3201000,1615000,893000,3655000,4354000,4405000,2007000,2414000,3444000,3619000,2756000
37,Total Current Assets,- -,- -,- -,- -,151483000,59771000,38252000,43127000,52095000,49042000,59445000,66551000,63959000,76405000,101412000,77880000,91428000,108798000,129207000
38,PP&E,- -,- -,- -,1876000,3163000,2748000,2315000,1952000,829000,779000,835000,2772000,7903000,6965000,6259000,5394000,19407000,15954000,13702000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,26860000,- -,- -,7951000,3323000,4919000,5170000,7621000,27945000,27452000,22310000,21737000,50470000,55934000,34104000,95506000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,8835000,9688000,12312000,14618000,14995000,73441000,39639000,37232000,32683000,29831000,25886000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,3163000,2748000,10266000,5275000,14583000,15637000,20768000,45335000,50350000,102716000,67635000,93096000,108024000,79889000,135094000
46,Other Assets,24470000,33652000,48968000,89746000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24470000,33652000,48968000,89746000,154646000,62519000,48518000,48402000,66678000,64679000,80213000,111886000,114309000,179121000,169047000,170976000,199452000,188687000,264300000
48,Accounts Payable,- -,- -,- -,673000,8542000,4338000,- -,- -,- -,4328000,5575000,6672000,7915000,24665000,32127000,37626000,44753000,36373000,44167000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,5129000,47000,-5625000,3879000,19075000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,13671000,4385000,4375000,3879000,19075000,4328000,5575000,6672000,7915000,24665000,32127000,37626000,44753000,36373000,44167000
54,Long-Term Debt,- -,- -,- -,- -,60000000,38000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14235000,11905000,10323000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,66541000,3794000,6785000,10727000,1379000,12385000,16089000,20181000,20932000,73122000,37631000,34342000,32254000,31454000,31756000
58,Total Non-Current Liabilities,- -,- -,- -,- -,126541000,41794000,16785000,10727000,1379000,12385000,16089000,20181000,20932000,73122000,37631000,34342000,46489000,43359000,42079000
59,Other Liabilities,24470000,33646000,66672000,806313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1203000,778000,354000,- -,- -,- -,- -,14235000,11905000,10323000
61,Total Liabilities,24470000,33646000,66672000,806313000,140212000,46179000,21160000,14606000,20454000,16713000,21664000,26853000,28847000,97787000,69758000,71968000,91242000,79732000,86246000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,61000,61000,86000,93000,105000,111000,121000,130000,152000,173000,180000,183000,179000,173000,172000
64,Retained Earnings,- -,- -,- -,- -,61000,-5289000,-1920000,-357000,1832000,2693000,6491000,10264000,12453000,22349000,24214000,28871000,26439000,25611000,38420000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1412000,-1913000,-2385000,-2727000,-2516000,-2695000,-2850000,-3072000,-1202000,-2260000,-3063000,-3724000,-3000,132000,7000
66,Other Total Stockholders Equity,- -,- -,- -,- -,-631000,11662000,12489000,13563000,14516000,14460000,12600000,11079000,7019000,8231000,10973000,7672000,4829000,5190000,3989000
67,Total Stockholders Equity,- -,- -,-19669000,-716567000,-1921000,4521000,8270000,10572000,13937000,14569000,16362000,18401000,18422000,28493000,32304000,33002000,31444000,31106000,42588000
68,Total Liabilities And Stockholders Equity,24470000,33646000,47003000,89746000,138291000,50700000,29430000,25178000,34391000,31282000,38026000,45254000,47269000,126280000,102062000,104970000,122686000,110838000,128834000
69,Minority Interest,- -,6000,1965000,- -,16355000,11819000,19088000,23224000,32287000,33397000,42187000,66632000,67040000,52841000,66985000,66006000,76766000,77849000,135466000
70,Total Liabilities & Equity,24470000,33652000,48968000,89746000,154646000,62519000,48518000,48402000,66678000,64679000,80213000,111886000,114309000,179121000,169047000,170976000,199452000,188687000,264300000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1399249/000104746908003706/0001047469-08-003706-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000104746909002662/0001047469-09-002662-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000104746910002155/0001047469-10-002155-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000104746911002171/0001047469-11-002171-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000114420412014940/0001144204-12-014940-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000114420413014631/0001144204-13-014631-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924914000015/0001399249-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924915000010/0001399249-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924916000071/0001399249-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924917000010/0001399249-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924918000012/0001399249-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000156459019007031/0001564590-19-007031-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000156459020009500/0001564590-20-009500-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000156459021011860/0001564590-21-011860-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000095017022003157/0000950170-22-003157-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-28669000,-715457000,733000,-3697000,3369000,3811000,3382000,3840000,6670000,8100000,7679000,16179000,6908000,13794000,45476000,51538000,106477000
74,Depreciation and Amortization,- -,- -,175000,292000,368000,501000,472000,432000,406000,179000,178000,224000,789000,1058000,1024000,995000,1039000,1214000,1180000
75,Deferred Income Tax,- -,- -,233000,398000,196000,64592000,-3377000,-1914000,472000,-529000,-1849000,-1055000,2910000,-56058000,37269000,4620000,4200000,3432000,4787000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,280000,3933000,5327000,2990000,5523000,8877000,10379000,6933000,10182000,9819000,30093000,13204000,15824000
77,Change in Working Capital,- -,- -,-12058000,- -,137812000,-82426000,-21509000,5371000,-6228000,11694000,9156000,6009000,-3835000,-4304000,17545000,-29031000,3745000,-14233000,338000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,-9321000,1008000,691000,-4079000,-6205000,-59000,-297000,-3637000,-4603000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2981000,-48000,-1660000,-214000,14064000,2566000,6430000,7434000,-8442000,6686000
81,Other Working Capital,- -,- -,- -,- -,137812000,55386000,33877000,39248000,33020000,44714000,53870000,59879000,56044000,51740000,69285000,40254000,- -,- -,- -
82,Other Non-Cash Items,- -,- -,29058000,731160000,-58168000,85861000,50736000,28412000,42779000,13784000,24779000,33257000,39508000,94764000,-5198000,87402000,-5974000,-3826000,-51779000
83,Cash Provided by Operating Activities,- -,- -,-11261000,16393000,80941000,64831000,29971000,40045000,46138000,31958000,44457000,55412000,57430000,58572000,67730000,87599000,78579000,51329000,76827000
84,CAPEX,- -,- -,-1720000,-273000,-1656000,-86000,-49000,-70000,-157000,-74000,-234000,-2161000,-6348000,-120000,-324000,-166000,-1222000,-43000,-491000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-2546000,-8079000,- -,- -,- -,- -,-1471000,-521000,-1558000,-2494000,-8669000,-2159000,-869000,-41603000,-27889000,-25169000,-18981000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,1229000,544000,78000,2043000,9772000,2428000,2180000,11191000,27044000,50371000,17750000
88,Other Investing Activites,- -,- -,4669000,10877000,251000,3000,26000,48000,-3000,-16000,-36000,12000,-947000,46000,-445000,-2786000,2370000,-1011000,-1049000
89,Cash Used for Investing Activites,- -,- -,403000,2525000,-1405000,-83000,-23000,-22000,-402000,-67000,-1750000,-2600000,-6192000,195000,542000,-33364000,303000,24148000,-2771000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-28000000,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,102523000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-98914000,- -,- -,-2000,- -,-936000,-6141000,-4397000,-7802000,-3453000,-1864000,-8885000,-7892000,-8302000,-9146000
93,Dividends Paid,- -,- -,- -,- -,-138398000,-2324000,-13540000,-33773000,-1193000,-2979000,-2872000,-4327000,-5490000,-6283000,-6420000,-9137000,-10556000,-9702000,-5870000
94,Other Financing Activites,- -,- -,10895000,6591000,59577000,-62187000,322000,4321000,-25889000,-30414000,-32461000,-39043000,-41638000,-40624000,-39725000,-61517000,-46045000,-44282000,-43435000
95,Cash Used/Provided by Financing Activities,- -,- -,10895000,6591000,-75212000,-64511000,-41218000,-39454000,-27082000,-34329000,-41474000,-47767000,-54930000,-50360000,-48009000,-79539000,-64493000,-62286000,-58451000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,37000,25509000,4324000,237000,-11513000,473000,18702000,-2438000,1233000,5231000,-3692000,8105000,19892000,-25304000,14389000,13068000,15605000
98,Cash at the End of Period,- -,- -,4969000,30920000,27184000,27421000,15908000,16381000,35083000,32645000,33878000,39109000,35417000,43522000,63414000,39127000,53516000,66584000,82189000
99,Cash at the Beginning of Period,- -,- -,4932000,5411000,22860000,27184000,27421000,15908000,16381000,35083000,32645000,33878000,39109000,35417000,43522000,64431000,39127000,53516000,66584000
100,Free Cash Flow,- -,- -,-12981000,16120000,79285000,64745000,29922000,39975000,45981000,31884000,44223000,53251000,51082000,58452000,67406000,87433000,77357000,51286000,76336000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1399249/000104746908003706/0001047469-08-003706-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000104746909002662/0001047469-09-002662-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000104746910002155/0001047469-10-002155-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000104746911002171/0001047469-11-002171-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000114420412014940/0001144204-12-014940-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000114420413014631/0001144204-13-014631-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924914000015/0001399249-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924915000010/0001399249-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924916000071/0001399249-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924917000010/0001399249-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000139924918000012/0001399249-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000156459019007031/0001564590-19-007031-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000156459020009500/0001564590-20-009500-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000156459021011860/0001564590-21-011860-index.htm,https://www.sec.gov/Archives/edgar/data/1399249/000095017022003157/0000950170-22-003157-index.htm
102,false,,,,,,,,,,,,,,,,,,,
