,https://roic.ai/company/ACST,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-5.27,-4.05,-8.05,-7.03,-10.07,-1.28,-3.48,- -,-7.62,-5.69,-2.40,-1.36
26,EPS Diluted,-5.27,-4.05,-8.05,-7.03,-10.07,-1.28,-3.48,- -,-7.62,-5.69,-2.40,-1.36
27,Weighted Average Shares Outstanding,272933,641269,840395,909430,1054611,1327212,1332492,2185814,2185814,6786286,10572720,14828229
28,Weighted Average Shares Outstanding Diluted,272933,641269,840395,909430,1054611,1327212,1332492,2185814,2185814,6786286,10572720,14828229
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1444192/000117184321004462/0001171843-21-004462-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,392752,329430,1599036,1168809,607095,1047464,2233725,- -,6367459,16867136,14240000,50942000
32,Short-Term Investments,- -,2564158,5574931,3504984,20694508,13644304,5492628,- -,- -,8886309,- -,9789000
33,Cash and Short-Term Investments,392752,2893589,7173968,4673792,21301602,14691769,7726353,- -,6367459,25753445,14240000,60731000
34,Net Receivables,467524,456156,1089062,816603,1033819,682990,294303,- -,587730,1187837,546000,530000
35,Inventory,- -,- -,602935,216972,234960,69831,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,14756,41892,16304,632266,254527,336902,- -,394917,1017825,1293000,1111000
37,Total Current Assets,860277,3364501,8907856,5723671,23202648,15699116,8357558,- -,7350106,27959107,16079000,62372000
38,PP&E,28400,38762,27322,18831,34998,55897,211891,- -,2184434,2106800,2057000,86000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,6884964,6145213,17773807,13983635,10998942,- -,7793807,5799131,4244000,- -
41,Intangible Assets,- -,- -,6884964,6145213,17773807,13983635,10998942,- -,7793807,5799131,4244000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,20133,20222,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-0,1475895,- -,429763,417166,473000,- -
45,Total Non-Current Assets,28400,38762,6912286,6164044,17808805,14039533,12686728,- -,10428137,8343319,6774000,86000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,888677,3403263,15820142,11887715,41011453,29738649,21044286,- -,17778242,36302427,22853000,62458000
48,Accounts Payable,- -,- -,552429,317573,287314,197028,276880,- -,2648268,3043739,1713000,115000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1360845,76000,86000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4532535,967193,714399,2072046,764964,1099660,565054,- -,2537536,9260785,5606000,1378000
53,Total Current Liabilities,4532535,967193,1266828,2389619,1052278,1296689,841934,- -,5185805,13665368,7395000,1579000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1248248,- -,71000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4274049,- -,- -,10049319,1884163,115398,- -,4975957,12180198,2393000,5219000
58,Total Non-Current Liabilities,- -,4274049,- -,- -,10049319,1884163,115398,- -,6224205,12180198,2464000,5219000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,230796,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000,86000
61,Total Liabilities,4532535,5241242,1266828,2389619,11101597,3180852,957332,- -,11410009,25845566,9859000,6798000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7362370,12309606,- -,28251731,54848118,49256091,45732701,- -,56789091,96852906,137424000,197194000
64,Retained Earnings,-11006229,-14255728,-13228400,-19579421,-28450812,-26623724,-29243040,- -,-56046492,-92828790,-126340000,-146018000
65,Other Comprehensive Income/Loss,- -,-25039,-35437,-42119,-43550,-41649,-81852,- -,-527331,-888256,-7887000,-6333000
66,Other Total Stockholders Equity,- -,133181,- -,867904,3556100,3967080,3679145,- -,6152965,7321001,- -,10817000
67,Total Stockholders Equity,-3643859,-1837980,14553315,9498096,29909856,26557797,20086954,- -,6368233,10456860,12994000,55660000
68,Total Liabilities And Stockholders Equity,888677,3403263,15820142,11887715,41011453,29738649,21044286,- -,17778242,36302427,22853000,62458000
69,Minority Interest,0,0,0,- -,0,-0,-0,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,888677,3403263,15820142,11887715,41011453,29738649,21044286,- -,17778242,36302427,22853000,62458000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1444192/000117184321004462/0001171843-21-004462-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-1508303,-2426846,-6538661,-6732464,-10435936,-1322541,-4661416,- -,-16651567,-38620431,-25513000,-19678000
74,Depreciation and Amortization,8624,13336,671763,649602,1594231,1866431,1766998,- -,2069056,2117286,2320000,924000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,108142,1328235,1872739,3093235,1241672,227736,- -,719369,779658,1953000,1174000
77,Change in Working Capital,-402308,6069566,5243721,-4306976,18816317,-7747942,-6886804,- -,-5351323,12129438,-5609739,52109000
78,Accounts Receivable,- -,- -,- -,-7932,-421093,427188,34892,- -,-428214,- -,- -,- -
79,Inventory,- -,- -,-602935,368577,-35326,139119,64474,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-282080,416969,-69520,36939,- -,- -,- -,- -,- -
81,Other Working Capital,-3672259,2397308,7641029,3334052,22150369,14402427,7515624,- -,2164301,14293739,8684000,60793000
82,Other Non-Cash Items,0,-5668084,-6352565,6027339,-19183405,209616,4701819,- -,9520409,-728898,3905739,-48848000
83,Cash Provided by Operating Activities,-1901986,-1903884,-5647507,-2489760,-6115558,-5752763,-4851666,- -,-9694055,-24322948,-22944000,-14319000
84,CAPEX,-15356,-21576,- -,-100677,-133563,-68672,-271255,- -,-352328,-524266,-319000,-69000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2564158,-7543526,- -,-22824403,-11571718,-8821461,- -,-20133,-17789844,-1923000,-9810000
87,Sales/Maturities of Investments,1920118,- -,4526116,1953602,5392483,17703340,15081064,- -,- -,8937238,10380000,21000
88,Other Investing Activites,- -,0,8173,-98940,-22898,-8212,16349,- -,54204,287597,- -,- -
89,Cash Used for Investing Activites,1904762,-2585734,-3009237,1854662,-17477287,6095716,6072272,- -,-318257,-9089275,8138000,-9858000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1556000,- -
91,Common Stock Issued,77401,4396941,9885657,- -,21588630,- -,- -,- -,8568154,43358298,6981000,59332000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-30974,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,55610,221531,846801,36718,-1789,- -,295026,726483,7751000,158000
95,Cash Used/Provided by Financing Activities,77401,4396941,9941267,221531,22435431,36718,-1789,- -,8832207,44084781,13176000,59490000
96,Effect of Forex Changes on Cash,- -,- -,-9539,29449,689096,127907,47786,- -,-19359,35950,-1001000,1389000
97,Net Change In Cash,80176,-92678,1274984,-384119,-468317,507578,1266603,- -,-1199464,10708508,-2631000,36702000
98,Cash at the End of Period,392752,329430,1599036,1168809,607095,1047464,2233725,- -,6367459,16867136,14240000,50942000
99,Cash at the Beginning of Period,312576,422108,324053,1552928,1075412,539887,967121,- -,7566923,6158628,16871000,14240000
100,Free Cash Flow,-1917343,-1925460,-5647507,-2590437,-6249121,-5821435,-5122921,- -,-10046383,-24847214,-23263000,-14388000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1444192/000117184321004462/0001171843-21-004462-index.htm
102,false,,,,,,,,,,,,
