,https://roic.ai/company/CME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,30941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,33619000,46870000,30322000,31054000,31240000,32643000,52285000,108690000,469329000,435800000,394400000,653700000,1825400000,1873300000,1805600000,1693100000,1726600000,1394400000,1659600000,2068000000,1957100000,3277900000
45,Total Non-Current Assets,114012000,122771000,139885000,149257000,162601000,185972000,276253000,15319142000,29047126000,28952000000,29658600000,29812900000,30145300000,29872200000,29696200000,29467000000,29337900000,28884700000,35589000000,35647500000,35375700000,35018500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,381444000,2068881000,3355016000,4872636000,2857466000,3969394000,4306505000,20306197000,48158654000,35651000000,35046100000,40758700000,38863200000,54277800000,72241500000,67371500000,69369400000,75791200000,77475700000,75215300000,124659600000,196780300000
48,Accounts Payable,11897000,23834000,27607000,24690000,23045000,23553000,25552000,58965000,71012000,46700000,51800000,31100000,41700000,36200000,36900000,28700000,26200000,31300000,116000000,61900000,69300000,48800000
49,Short-Term Debt,- -,- -,- -,1515000,- -,- -,521180000,164435000,706683000,299800000,420500000,- -,749700000,749900000,40566800000,35553000000,37542700000,44185300000,574200000,- -,- -,749400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,1980000,- -,- -,4068000,2872000,4545000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,186397000,1778011000,2861887000,4259790000,2002578000,2806374000,2204554000,3849791000,17860735000,6177100000,4308900000,9584100000,6825500000,22524900000,927500000,1242800000,1376700000,1456300000,40582400000,38460600000,88128600000,159600200000
53,Total Current Liabilities,198294000,1801845000,2889494000,4287975000,2025623000,2829927000,2755354000,4076063000,18642975000,6523600000,4781200000,9615200000,7616900000,23311000000,41531200000,36824500000,38945600000,45672900000,41272600000,38522500000,88197900000,160398400000
54,Long-Term Debt,6063000,6650000,2328000,- -,- -,- -,- -,- -,2966079000,2014700000,2104800000,2106800000,2106800000,2107200000,2107900000,2241400000,2231200000,2233100000,3826800000,3743200000,3443800000,2695700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,3848240000,7728286000,7645900000,7840400000,7226800000,7413300000,7249700000,7302700000,7358300000,7291000000,4857700000,5665900000,5635200000,5607000000,5390400000
57,Other Non-Current Liabilities,13416000,10017000,17055000,21666000,19246000,20783000,32059000,76257000,132745000,165800000,191500000,187600000,301300000,449400000,376200000,395500000,560900000,615700000,745100000,1155100000,1059400000,896500000
58,Total Non-Current Liabilities,19479000,16667000,19383000,21666000,19246000,20783000,32059000,3924497000,10827110000,9826400000,10136700000,9521200000,9821400000,9806300000,9786800000,9995200000,10083100000,7706500000,10237800000,10533500000,10110200000,8982600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,217773000,1818512000,2908877000,4309641000,2044869000,2850710000,2787413000,8000560000,29470085000,16350000000,14917900000,19136400000,17438300000,33117300000,51318000000,46819700000,49028700000,53379400000,51510400000,49056000000,98308100000,169381000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,288000,288000,325000,329000,341000,345000,348000,533000,664000,700000,700000,700000,3300000,3300000,3400000,3400000,3400000,3400000,3600000,3600000,3600000,3600000
64,Retained Earnings,119512000,187814000,266810000,368312000,552801000,796398000,1116209000,1619440000,1719733000,2239900000,2885800000,4324600000,3993400000,3494600000,3317300000,2907600000,2524500000,4497200000,4855300000,5008700000,4995900000,5151900000
65,Other Comprehensive Income/Loss,- -,-172270000,-665000,-868000,-1595000,-2907000,-2979000,-3102000,-160279000,-126200000,-104100000,111600000,209300000,152000000,6200000,-80800000,-14100000,14300000,5300000,3400000,134900000,53500000
66,Other Total Stockholders Equity,43871000,234537000,179669000,195222000,261050000,324848000,405514000,10688766000,- -,17186600000,17277700000,17115100000,17213100000,17504900000,17596600000,17721600000,17826900000,17896900000,21054300000,21113200000,21185500000,22190300000
67,Total Stockholders Equity,163671000,250369000,446139000,562995000,812597000,1118684000,1519092000,12305637000,18688569000,19301000000,20060100000,21552000000,21419100000,21154800000,20923500000,20551800000,20340700000,22411800000,25918500000,26128900000,26319900000,27399300000
68,Total Liabilities And Stockholders Equity,381444000,2068881000,3355016000,4872636000,2857466000,3969394000,4306505000,20306197000,48158654000,35651000000,34978000000,40688400000,38857400000,54272100000,72241500000,67371500000,69369400000,75791200000,77428900000,75184900000,124628000000,196780300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68100000,70300000,5800000,5700000,- -,- -,- -,- -,46800000,30400000,31600000,- -
70,Total Liabilities & Equity,381444000,2068881000,3355016000,4872636000,2857466000,3969394000,4306505000,20306197000,48158654000,35651000000,35046100000,40758700000,38863200000,54277800000,72241500000,67371500000,69369400000,75791200000,77475700000,75215300000,124659600000,196780300000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1156375/000104746903009665/0001047469-03-009665-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000119312504038979/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312505046676/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312506046258/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312507043084/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312508040449/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1156375/000119312510043180/0001193125-10-043180-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000119312511050252/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637512000016/0001156375-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637513000007/0001156375-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637514000012/cme-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637515000014/cme-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637516000116/0001156375-16-000116-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637517000016/0001156375-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637518000026/0001156375-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637519000010/0001156375-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637520000013/0001156375-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637521000020/0001156375-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637522000076/0001156375-22-000076-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5909000,68302000,94067000,122132000,219555000,306857000,407348000,658533000,715486000,825800000,951400000,1812300000,896300000,976800000,1127100000,1247000000,1534100000,4063400000,1962200000,2116500000,2105200000,2636400000
74,Depreciation and Amortization,33489000,37639000,48509000,53016000,56928000,68221000,75323000,142695000,238371000,251400000,258000000,260500000,253100000,238100000,233200000,228600000,225300000,208500000,248700000,473300000,464400000,385400000
75,Deferred Income Tax,811000,-8878000,-5637000,3310000,4263000,-3245000,-24847000,-50583000,-115111000,-56900000,22300000,-658700000,82200000,-6000000,78900000,63300000,-83000000,-2357800000,114300000,-3700000,-41600000,34800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,33400000,40900000,51300000,61400000,54400000,54800000,60800000,66200000,58000000,96500000,73100000,96000000,75200000
77,Change in Working Capital,-2733000,75127000,181372000,109767000,233838000,284253000,321403000,-363906000,-442439000,-293153000,430900000,724300000,-229600000,-6400000,-80500000,65900000,5900000,147700000,-619500000,431200000,40700000,-161800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14400000,-28700000,-13200000,-300000,-35500000,-38500000,-17300000,-8100000,6000000,-65500000,60800000,28200000,-45700000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24300000,6100000,-21000000,11200000,-5500000,700000,-8200000,-2600000,5100000,32300000,-54100000,7400000,-18600000
81,Other Working Capital,69138000,144265000,325637000,435404000,669242000,953495000,1274898000,910992000,468553000,175400000,606300000,1330600000,1101000000,1094600000,1014100000,1080000000,1085900000,1233600000,614100000,1045300000,1086000000,- -
82,Other Non-Cash Items,7311000,-51621000,-177173000,-97076000,-185778000,-264493000,-307531000,427635000,800890000,322553000,-347100000,-843400000,153400000,23600000,-122100000,-150300000,-32500000,-279400000,638600000,-417600000,50900000,-567600000
83,Cash Provided by Operating Activities,32969000,120569000,141138000,191149000,328806000,391593000,471696000,814374000,1197197000,1083100000,1356400000,1346300000,1216800000,1280500000,1291400000,1515300000,1716000000,1840400000,2440800000,2672800000,2715600000,2402400000
84,CAPEX,-11170000,-16302000,-56341000,-63016000,-67496000,-85627000,-87810000,-163644000,-200102000,-157900000,-160000000,-172200000,-141800000,-125600000,-140700000,-114200000,-91800000,-81900000,-116700000,-245600000,-197500000,-127200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-20231000,116010000,-3476035000,- -,-37000000,- -,-188300000,-4000000,-59300000,-16700000,-300000,-1300000,-1774700000,89600000,20800000,144700000
86,Purchases of Investments,-43116000,-286542000,-43956000,-256416000,-120182000,-70063000,-44772000,-129125000,-367554000,-159900000,-10200000,-10200000,-32500000,-36600000,-38300000,-35300000,-45900000,-3000000,-10000000,-15400000,-11100000,-7800000
87,Sales/Maturities of Investments,59518000,240004000,137723000,- -,68329000,75231000,73668000,203801000,375201000,865700000,59100000,11300000,5100000,164300000,37500000,184100000,191700000,266100000,11800000,18800000,12300000,9400000
88,Other Investing Activites,-29354000,-15381000,-3071000,-7619000,-6487000,-1874000,-6715000,-105680000,-80578000,-3100000,39700000,-154700000,151500000,192400000,1700000,- -,- -,- -,- -,- -,- -,39300000
89,Cash Used for Investing Activites,-12952000,-78221000,34355000,-327051000,-125836000,-82333000,-85860000,-78638000,-3749068000,544800000,-108400000,-153600000,-206000000,190500000,-199100000,17900000,53700000,179900000,-1889600000,-152600000,-175500000,58400000
90,Debt Repayment,-3611000,- -,- -,- -,- -,- -,- -,- -,- -,-1643600000,-399900000,-420500000,- -,-750000000,-750000000,-673000000,- -,- -,-452500000,-661700000,- -,- -
91,Common Stock Issued,- -,- -,117462000,7878000,6049000,- -,16432000,40408000,21980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-949340000,-224029000,-27000000,-575300000,-220400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-17290000,-20630000,-35066000,-63260000,-87537000,-151582000,-615193000,-305600000,-912800000,-372800000,-1224300000,-599100000,-1496800000,-1343400000,-1787200000,-1993500000,-2149900000,-1695900000,-2110000000,-2189300000
94,Other Financing Activites,- -,-3902000,-5506000,-5482000,-1515000,7329000,43882000,200586000,2821696000,311000000,1234600000,8100000,775900000,743100000,50900000,809700000,193500000,8200000,1522400000,16800000,-348200000,72098000000
95,Cash Used/Provided by Financing Activities,-3611000,-3902000,94666000,-18234000,-30532000,-55931000,-27223000,-859928000,2004454000,-1665200000,-653400000,-1005600000,-448400000,-606000000,-2195900000,-1206700000,-1593700000,-1985300000,-1080000000,-2340800000,-2458200000,69908700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,16406000,38446000,270159000,-154136000,172438000,253329000,358613000,-124192000,-547417000,-37300000,594600000,187100000,562400000,865000000,-1103600000,326500000,176000000,35000000,-528800000,179400000,81900000,72369500000
98,Cash at the End of Period,30655000,69101000,339260000,185124000,357562000,610891000,969504000,845312000,297895000,260600000,855200000,1042300000,1604700000,2469700000,1366100000,1692600000,1868600000,1903600000,1377200000,1556600000,1638500000,160789800000
99,Cash at the Beginning of Period,14249000,30655000,69101000,339260000,185124000,357562000,610891000,969504000,845312000,297900000,260600000,855200000,1042300000,1604700000,2469700000,1366100000,1692600000,1868600000,1906000000,1377200000,1556600000,88420300000
100,Free Cash Flow,21799000,104267000,84797000,128133000,261310000,305966000,383886000,650730000,997095000,925200000,1196400000,1174100000,1075000000,1154900000,1150700000,1401100000,1624200000,1758500000,2324100000,2427200000,2518100000,2275200000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1156375/000104746903009665/0001047469-03-009665-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000119312504038979/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312505046676/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312506046258/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312507043084/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000119312508040449/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1156375/000119312510043180/0001193125-10-043180-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000119312511050252/d10k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637512000016/0001156375-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637513000007/0001156375-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637514000012/cme-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637515000014/cme-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637516000116/0001156375-16-000116-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637517000016/0001156375-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637518000026/0001156375-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637519000010/0001156375-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637520000013/0001156375-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1156375/000115637521000020/0001156375-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637522000076/0001156375-22-000076-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
