,https://roic.ai/company/BE,2016,2017,2018,2019,2020,2021
47,Total Assets,1204047000,1220987000,1389668000,1322591000,1454387000,1725571000
48,Accounts Payable,41505000,48582000,66889000,55579000,58334000,72967000
49,Short-Term Debt,20939000,20136000,29848000,348576000,141490000,53653000
50,Tax Payable,3115000,5524000,1700000,3849000,2732000,1491000
51,Deferred Revenue,98921000,118106000,94158000,89192000,114286000,89975000
52,Other Current Liabilities,99728000,84460000,88771000,80617000,122267000,125884000
53,Total Current Liabilities,261093000,271284000,279666000,573964000,436377000,342479000
54,Long-Term Debt,773346000,921205000,711433000,299229000,270053000,1068986000
55,Deferred Revenue,247611000,320312000,252263000,135998000,96675000,99805000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1706270000,1732818000,112857000,481703000,510263000,215828000
58,Total Non-Current Liabilities,2727227000,2974335000,1076553000,916930000,876991000,1384619000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,457158000,522474000,595909000
61,Total Liabilities,2988320000,3245619000,1356219000,1490894000,1313368000,1727098000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,11000,12000,17000,18000
64,Retained Earnings,-2068048000,-2330647000,-2572400000,-2946384000,-3103937000,-3263075000
65,Other Comprehensive Income/Loss,-542000,-162000,131000,19000,-9000,-350000
66,Other Total Stockholders Equity,108648000,150804000,2480597000,2686759000,3182753000,- -
67,Total Stockholders Equity,-1959941000,-2180004000,-91661000,-259594000,78824000,-44326000
68,Total Liabilities And Stockholders Equity,1028379000,1065615000,1264558000,1231300000,1392192000,1682772000
69,Minority Interest,175668000,155372000,125110000,91291000,62195000,42799000
70,Total Liabilities & Equity,1204047000,1220987000,1389668000,1322591000,1454387000,1725571000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/0001664703-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/0001664703-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1664703/000166470321000017/0001664703-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1664703/000166470322000034/0001664703-22-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-279658000,-262599000,-241753000,-306868000,-157553000,-164445000
74,Depreciation and Amortization,43100000,46105000,43459000,78584000,52279000,53454000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,28157000,30479000,180284000,196291000,73893000,73274000
77,Change in Working Capital,-63266000,17705000,244218000,-494172000,283484000,-19989000
78,Accounts Receivable,-701000,4849000,-54570000,51952000,-61685000,8570000
79,Inventory,-209000,-7105000,-42216000,18425000,-33004000,-885000
80,Accounts Payable,4807000,7076000,18307000,-11310000,-620000,13132000
81,Other Working Capital,130992000,148697000,392915000,-101257000,182227000,-18063000
82,Other Non-Cash Items,-11159000,101134000,-284625000,689935000,-350899000,-2975000
83,Cash Provided by Operating Activities,-282826000,-67176000,-58417000,163770000,-98796000,-60681000
84,CAPEX,-8979000,-5140000,-17915000,-51053000,-37913000,-49810000
85,Acquisitions Net,- -,- -,- -,- -,- -,3114000
86,Purchases of Investments,- -,-29043000,-103914000,- -,- -,- -
87,Sales/Maturities of Investments,- -,2250000,27000000,104500000,- -,- -
88,Other Investing Activites,- -,- -,-3256000,- -,- -,- -
89,Cash Used for Investing Activites,-8979000,-31933000,-94829000,53447000,-37913000,-46696000
90,Debt Repayment,-33158000,-21419000,-20160000,-130431000,-189383000,-137016000
91,Common Stock Issued,1238000,432000,294050000,12713000,23491000,89790000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,315303000,82793000,-20771000,-2596000,341923000,353601000
95,Cash Used/Provided by Financing Activities,283383000,61806000,253119000,-120314000,176031000,306375000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-594000
97,Net Change In Cash,-8422000,-37303000,99873000,96903000,39322000,198404000
98,Cash at the End of Period,217915000,180612000,280485000,377388000,416710000,615114000
99,Cash at the Beginning of Period,226337000,217915000,180612000,280485000,377388000,416710000
100,Free Cash Flow,-291805000,-72316000,-76332000,112717000,-136709000,-110491000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1664703/000166470319000008/0001664703-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1664703/000166470320000013/0001664703-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1664703/000166470321000017/0001664703-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1664703/000166470322000034/0001664703-22-000034-index.htm
102,false,,,,,,
