,https://roic.ai/company/BF-B,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,3000000,3000000,3000000,3000000,2000000,2000000,2000000,3000000,6000000,8000000,5000000,2000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,31000000,29000000,31000000,36000000,26000000,27000000,46000000,59000000,68000000,88000000,82000000,81000000
14,Depreciation and Amortization,18100000,20500000,21500000,21100000,25400000,25500000,29600000,35100000,36600000,43500000,46000000,50000000,51000000,55000000,62000000,64000000,55000000,55000000,56000000,58000000,44000000,44000000,52000000,55000000,59000000,56000000,49000000,51000000,50000000,51000000,56000000,58000000,64000000,72000000,74000000,77000000
15,EBITDA,181400000,182300000,196900000,246900000,183200000,245000000,253300000,277700000,261300000,290500000,303000000,323000000,347000000,373000000,405000000,430000000,403000000,428000000,444000000,534000000,528000000,619000000,696000000,722000000,772000000,914000000,840000000,952000000,1023000000,1080000000,1591000000,1050000000,1109000000,1202000000,1165000000,1239000000
16,EBITDA ratio,0.1823,0.1660,0.1846,0.2455,0.1802,0.2190,0.2010,0.1963,0.1865,0.2045,0.1962,0.2039,0.2079,0.2100,0.2158,0.2235,0.2058,0.2078,0.2006,0.2310,0.2672,0.2791,0.2696,0.2910,0.3127,0.3534,0.3085,0.3342,0.3420,0.3446,0.5151,0.3507,0.3414,0.3616,0.3464,0.3580
17,Operating Income,190100000,182100000,191700000,208400000,225100000,223500000,233700000,255300000,240300000,267800000,274000000,287000000,307000000,322000000,348000000,374000000,353000000,378000000,407000000,418000000,563000000,602000000,685000000,661000000,710000000,855000000,788000000,898000000,971000000,1027000000,1533000000,989000000,1039000000,1144000000,1091000000,1166000000
18,Operating Income ratio,0.1911,0.1658,0.1797,0.2072,0.2214,0.1997,0.1855,0.1805,0.1715,0.1886,0.1775,0.1812,0.1839,0.1813,0.1854,0.1944,0.1803,0.1835,0.1839,0.1808,0.2849,0.2714,0.2653,0.2664,0.2876,0.3306,0.2894,0.3152,0.3246,0.3277,0.4963,0.3303,0.3199,0.3442,0.3244,0.3369
19,Total Other Income Expenses (Gains),-26800000,-20300000,-16300000,17400000,-67300000,-4000000,-10000000,-12700000,16900000,-20800000,-17000000,-14000000,-11000000,-4000000,-5000000,-8000000,-5000000,-5000000,-19000000,58000000,-4000000,-16000000,-41000000,-31000000,-28000000,-26000000,-28000000,-33000000,-24000000,-25000000,-44000000,-56000000,-62000000,-102000000,-82000000,-85000000
20,Income Before Tax,163300000,161800000,175400000,225800000,157800000,219500000,223700000,242600000,257200000,247000000,257000000,273000000,296000000,318000000,343000000,366000000,348000000,373000000,388000000,476000000,559000000,586000000,644000000,630000000,682000000,829000000,760000000,865000000,947000000,1002000000,1489000000,933000000,977000000,1042000000,1009000000,1081000000
21,Income Before Tax Ratio,0.1641,0.1473,0.1644,0.2245,0.1552,0.1962,0.1775,0.1715,0.1835,0.1739,0.1665,0.1723,0.1774,0.1791,0.1827,0.1902,0.1777,0.1811,0.1753,0.2059,0.2829,0.2642,0.2494,0.2539,0.2762,0.3206,0.2791,0.3036,0.3166,0.3197,0.4820,0.3116,0.3008,0.3135,0.3000,0.3123
22,Income Tax expense (Gain),76900000,72200000,72000000,81300000,76800000,74300000,77300000,86400000,96200000,98400000,97000000,104000000,111000000,116000000,125000000,133000000,120000000,128000000,130000000,168000000,164000000,186000000,204000000,195000000,233000000,257000000,247000000,274000000,288000000,318000000,422000000,264000000,260000000,207000000,182000000,178000000
23,Net Income,86400000,89600000,103400000,144500000,81000000,145200000,146400000,156200000,128500000,148600000,160000000,169000000,185000000,202000000,218000000,233000000,228000000,245000000,258000000,308000000,320000000,389000000,440000000,435000000,449000000,572000000,513000000,591000000,659000000,684000000,1067000000,669000000,717000000,835000000,827000000,903000000
24,Net Income ratio,0.0868,0.0816,0.0969,0.1437,0.0797,0.1298,0.1162,0.1104,0.0917,0.1046,0.1036,0.1067,0.1108,0.1137,0.1161,0.1211,0.1164,0.1189,0.1166,0.1332,0.1619,0.1754,0.1704,0.1753,0.1819,0.2212,0.1884,0.2074,0.2203,0.2183,0.3454,0.2234,0.2208,0.2512,0.2459,0.2609
25,EPS,0.09,0.10,0.12,0.18,0.10,0.18,0.19,0.20,0.17,0.23,0.25,0.26,0.28,0.31,0.34,0.36,0.36,0.39,0.45,0.54,0.56,0.68,0.77,0.77,0.81,1.05,0.96,1.11,1.23,1.29,2.10,1.38,1.49,1.74,1.73,1.89
26,EPS Diluted,0.09,0.10,0.12,0.18,0.10,0.18,0.19,0.20,0.17,0.23,0.25,0.26,0.28,0.31,0.34,0.36,0.36,0.39,0.45,0.54,0.55,0.67,0.76,0.77,0.81,1.04,0.95,1.10,1.22,1.28,2.09,1.37,1.48,1.73,1.72,1.88
27,Weighted Average Shares Outstanding,904845506,898185484,893229167,789473684,786132812,784140173,777166193,776429521,736196319,645784884,645292208,642857143,646067416,643125000,642187500,642187500,640312500,631009615,569062500,570468750,572343750,576093750,574218750,564375000,554377500,546011250,536321250,533422500,533635000,528982500,507442500,484635000,480319000,478956000,477765000,478527000
28,Weighted Average Shares Outstanding Diluted,904845506,898185484,893229167,789473684,786132812,784140173,777166193,776429521,767400000,646837500,646837500,646875000,647146875,644062500,643125000,643125000,642187500,632747934,571875000,574218750,578437500,582187500,579375000,568125000,557156250,549427500,540206250,537465000,537705000,532707500,510700000,488076250,484248000,482067000,480409000,480677000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14693/000001469321000091/0000014693-21-000091-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,23800000,28600000,49100000,95600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,68000000,295000000,475000000,283000000,119000000,340000000,232000000,567000000,338000000,204000000,437000000,370000000,263000000,182000000,239000000,307000000,675000000,1150000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000000,86000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,23800000,28600000,49100000,95600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,68000000,295000000,635000000,369000000,119000000,340000000,232000000,567000000,338000000,204000000,437000000,370000000,263000000,182000000,239000000,307000000,675000000,1150000000
34,Net Receivables,177400000,190600000,148900000,159000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325000000,348000000,344000000,328000000,404000000,453000000,367000000,418000000,496000000,475000000,548000000,569000000,583000000,559000000,557000000,639000000,609000000,570000000,753000000
35,Inventory,285500000,265300000,238800000,244900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585000000,557000000,574000000,523000000,694000000,685000000,652000000,651000000,647000000,712000000,827000000,882000000,953000000,1054000000,1270000000,1379000000,1520000000,1685000000,1751000000
36,Other Current Assets,34900000,35400000,18900000,17900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000000,110000000,104000000,124000000,168000000,199000000,215000000,226000000,266000000,224000000,242000000,289000000,348000000,357000000,342000000,298000000,283000000,335000000,263000000
37,Total Current Assets,521600000,519900000,455700000,517400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1068000000,1083000000,1317000000,1610000000,1635000000,1456000000,1574000000,1527000000,1976000000,1749000000,1821000000,2177000000,2254000000,2233000000,2351000000,2555000000,2719000000,3265000000,3917000000
38,PP&E,161400000,163700000,147700000,161100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000000,515000000,501000000,429000000,506000000,501000000,483000000,468000000,393000000,399000000,450000000,526000000,586000000,629000000,713000000,780000000,816000000,848000000,832000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195000000,670000000,688000000,675000000,666000000,625000000,617000000,617000000,620000000,607000000,590000000,753000000,763000000,753000000,756000000,779000000
40,Intangible Assets,326500000,347700000,297300000,289600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,546000000,562000000,616000000,325000000,684000000,699000000,686000000,669000000,670000000,668000000,668000000,677000000,611000000,595000000,641000000,670000000,645000000,635000000,676000000
41,Intangible Assets,326500000,347700000,297300000,289600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,546000000,562000000,616000000,520000000,1354000000,1387000000,1361000000,1335000000,1295000000,1285000000,1285000000,1297000000,1218000000,1185000000,1394000000,1433000000,1398000000,1391000000,1455000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,12000000,6000000,14000000,18000000,18000000,17000000,16000000,16000000,16000000,15000000,70000000
44,Other Non-Current Assets,28300000,25400000,31600000,35200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,216000000,190000000,169000000,56000000,61000000,57000000,42000000,36000000,38000000,56000000,85000000,117000000,119000000,151000000,192000000,190000000,247000000,248000000
45,Total Non-Current Assets,516200000,536800000,476600000,485900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1196000000,1293000000,1307000000,1118000000,1916000000,1949000000,1901000000,1856000000,1736000000,1728000000,1805000000,1926000000,1939000000,1950000000,2274000000,2421000000,2420000000,2501000000,2605000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1037800000,1056700000,932300000,1003300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2264000000,2376000000,2624000000,2728000000,3551000000,3405000000,3475000000,3383000000,3712000000,3477000000,3626000000,4103000000,4193000000,4183000000,4625000000,4976000000,5139000000,5766000000,6522000000
48,Accounts Payable,- -,- -,- -,138600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297000000,271000000,311000000,293000000,118000000,380000000,326000000,342000000,126000000,120000000,133000000,134000000,123000000,121000000,137000000,154000000,150000000,131000000,172000000
49,Short-Term Debt,30500000,19500000,800000,25800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000000,50000000,279000000,225000000,755000000,589000000,490000000,191000000,255000000,7000000,5000000,8000000,440000000,271000000,460000000,215000000,150000000,333000000,205000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,10000000,75000000,128000000,71000000,77000000,70000000,102000000,72000000,110000000,104000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,181200000,163700000,167500000,39800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,48000000,48000000,51000000,474000000,15000000,20000000,13000000,326000000,277000000,335000000,419000000,395000000,399000000,373000000,452000000,403000000,416000000,541000000
53,Total Current Liabilities,211700000,183200000,168300000,204200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,548000000,369000000,638000000,569000000,1347000000,984000000,836000000,546000000,707000000,404000000,473000000,561000000,958000000,791000000,970000000,821000000,703000000,880000000,918000000
54,Long-Term Debt,235900000,199500000,191000000,115300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629000000,630000000,352000000,351000000,422000000,417000000,509000000,508000000,504000000,503000000,997000000,997000000,748000000,1230000000,1689000000,2341000000,2290000000,2269000000,2354000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,62100000,84200000,102400000,113600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000000,122000000,132000000,133000000,56000000,89000000,80000000,82000000,150000000,158000000,180000000,192000000,182000000,160000000,195000000,85000000,145000000,177000000,169000000
57,Other Non-Current Liabilities,11700000,11900000,28000000,14500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169000000,170000000,192000000,112000000,153000000,190000000,234000000,352000000,291000000,343000000,348000000,321000000,400000000,440000000,401000000,413000000,354000000,465000000,425000000
58,Total Non-Current Liabilities,309700000,295600000,321400000,243400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,876000000,922000000,676000000,596000000,631000000,696000000,823000000,942000000,945000000,1004000000,1525000000,1510000000,1330000000,1830000000,2285000000,2839000000,2789000000,2911000000,2948000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,521400000,478800000,489700000,447600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1424000000,1291000000,1314000000,1165000000,1978000000,1680000000,1659000000,1488000000,1652000000,1408000000,1998000000,2071000000,2288000000,2621000000,3255000000,3660000000,3492000000,3791000000,3866000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,19000000,19000000,19000000,19000000,19000000,24000000,24000000,24000000,24000000,34000000,34000000,34000000,34000000,68000000,72000000,72000000,72000000,72000000
64,Retained Earnings,542500000,602700000,665800000,767300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1506000000,1236000000,1415000000,1609000000,1649000000,1931000000,2189000000,2464000000,2710000000,3031000000,2500000000,2894000000,3300000000,4065000000,4470000000,1730000000,2238000000,2708000000,3243000000
65,Other Comprehensive Income/Loss,-104200000,-122000000,-129800000,-141700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83000000,-14000000,-11000000,18000000,-57000000,5000000,-137000000,-176000000,-131000000,-230000000,-211000000,-188000000,-300000000,-350000000,-390000000,-378000000,-363000000,-547000000,-422000000
66,Other Total Stockholders Equity,78100000,97200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-593000000,-156000000,-113000000,-83000000,-38000000,-230000000,-260000000,-417000000,-543000000,-756000000,-695000000,-708000000,-1129000000,-2187000000,-2778000000,-108000000,-300000000,-258000000,-237000000
67,Total Stockholders Equity,516400000,577900000,442600000,555700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000000,1085000000,1310000000,1563000000,1573000000,1725000000,1816000000,1895000000,2060000000,2069000000,1628000000,2032000000,1905000000,1562000000,1370000000,1316000000,1647000000,1975000000,2656000000
68,Total Liabilities And Stockholders Equity,1037800000,1056700000,932300000,1003300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2264000000,2376000000,2624000000,2728000000,3551000000,3405000000,3475000000,3383000000,3712000000,3477000000,3626000000,4103000000,4193000000,4183000000,4625000000,4976000000,5139000000,5766000000,6522000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1037800000,1056700000,932300000,1003300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2264000000,2376000000,2624000000,2728000000,3551000000,3405000000,3475000000,3383000000,3712000000,3477000000,3626000000,4103000000,4193000000,4183000000,4625000000,4976000000,5139000000,5766000000,6522000000
71,SEC Link,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14693/000001469321000091/0000014693-21-000091-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,144500000,81000000,145200000,146400000,156200000,128500000,148600000,160000000,169000000,185000000,202000000,218000000,233000000,228000000,245000000,258000000,308000000,320000000,389000000,440000000,435000000,449000000,572000000,513000000,591000000,659000000,684000000,1067000000,669000000,717000000,835000000,827000000,903000000
74,Depreciation and Amortization,- -,- -,- -,21100000,25400000,25500000,29600000,35100000,36600000,43500000,46000000,50000000,51000000,55000000,62000000,64000000,55000000,55000000,56000000,58000000,44000000,44000000,52000000,55000000,59000000,56000000,49000000,51000000,50000000,51000000,56000000,58000000,64000000,72000000,74000000,77000000
75,Deferred Income Tax,- -,- -,- -,11200000,15900000,4000000,5100000,600000,6400000,18900000,26000000,10000000,19000000,-25000000,-51000000,-40000000,-43000000,-15000000,-1000000,-5000000,-33000000,-7000000,5000000,12000000,11000000,32000000,53000000,26000000,-5000000,6000000,10000000,-10000000,-69000000,34000000,39000000,-53000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,8000000,9000000,9000000,11000000,13000000,15000000,15000000,14000000,19000000,14000000,11000000,12000000
77,Change in Working Capital,- -,- -,- -,-18100000,-53500000,-44600000,-28700000,-4100000,25300000,-14700000,-65000000,-39000000,-21000000,-14000000,26000000,-6000000,32000000,-43000000,-11000000,39000000,-50000000,-85000000,30000000,-20000000,7000000,-102000000,-109000000,-144000000,-69000000,-157000000,-141000000,-94000000,-103000000,-163000000,-255000000,28000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,-35000000,-57000000,2000000,-65000000,-34000000,-50000000,8000000,6000000,-70000000,23000000,12000000,-150000000
79,Inventory,- -,- -,- -,-6200000,-47900000,-17400000,-6500000,18200000,7100000,-23500000,-40000000,-24000000,-52000000,-8000000,8000000,-63000000,5000000,2000000,25000000,-17000000,-36000000,-41000000,-3000000,-34000000,21000000,-42000000,-88000000,-105000000,-67000000,-102000000,-127000000,-86000000,-102000000,-162000000,-203000000,-37000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,-14000000,- -,- -,58000000,31000000,64000000,29000000,-17000000,58000000,-43000000,-30000000,137000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,4000000,18000000,71000000,-10000000,13000000,-29000000,-48000000,-27000000,-16000000,19000000,-1000000,2000000,-34000000,5000000,-25000000,39000000
82,Other Non-Cash Items,- -,- -,- -,-20500000,56600000,4300000,3800000,5100000,24100000,1000000,4000000,-7000000,-14000000,-5000000,-14000000,-20000000,-22000000,1000000,4000000,-4000000,63000000,14000000,7000000,2000000,11000000,-40000000,1000000,2000000,1000000,9000000,-483000000,2000000,4000000,8000000,28000000,-150000000
83,Cash Provided by Operating Activities,- -,- -,- -,138200000,125400000,134400000,156200000,192900000,220900000,197300000,171000000,183000000,220000000,213000000,241000000,231000000,250000000,243000000,306000000,396000000,344000000,355000000,534000000,491000000,545000000,527000000,516000000,537000000,649000000,608000000,524000000,639000000,632000000,800000000,724000000,817000000
84,CAPEX,- -,- -,- -,-38000000,-50100000,-51500000,-52100000,-33600000,-27400000,-51100000,-59000000,-55000000,-44000000,-100000000,-78000000,-96000000,-71000000,-127000000,-56000000,-49000000,-53000000,-92000000,-66000000,-54000000,-37000000,-43000000,-68000000,-97000000,-129000000,-125000000,-110000000,-115000000,-128000000,-121000000,-119000000,-65000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000000,-114000000,- -,-99000000,- -,-64000000,- -,-1045000000,2000000,- -,- -,234000000,- -,- -,- -,- -,543000000,-307000000,- -,- -,-22000000,163000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-14400000,-2500000,-10800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-388000000,-249000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,18100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228000000,323000000,86000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,39900000,13800000,700000,-68900000,-2900000,28200000,8900000,-12000000,-8000000,-2000000,-17000000,-14000000,-2000000,-5000000,- -,-7000000,97000000,209000000,25000000,6000000,12000000,-1000000,8000000,-10000000,-2000000,-1000000,-5000000,-2000000,-3000000,-1000000,- -,-6000000,-3000000
89,Cash Used for Investing Activites,- -,- -,- -,1900000,-36300000,-65200000,-123500000,-47300000,18900000,-42200000,-71000000,-63000000,-46000000,-117000000,-119000000,-212000000,-76000000,-226000000,-63000000,-16000000,-4000000,-1038000000,28000000,-37000000,-35000000,203000000,-68000000,-97000000,-127000000,-125000000,433000000,-422000000,-128000000,-119000000,-141000000,98000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-253000000,-302000000,-191000000,-248000000,-253000000,-2000000,- -,-250000000,-152000000,-250000000,- -,- -,-516000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,12000000,11000000,19000000,27000000,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
