,https://roic.ai/company/EDAP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0472,-0.2390,-0.2458,0.4909,0.3807,-0.1381,-0.4389,0.0081,0.0116,-0.1045,-0.1914,0.1867,-0.1784,-0.3547,0.0783,-0.1673,-0.0723,0.0212,0.0049,0.1552,0.0370,0.0444,0.0943,0.0246,0.0236
17,Operating Income,- -,6139152,- -,3745755,5122782,4780098,8107046,829152,1322189,3093648,4095330,4703000,3202000,3818000,- -,-2030000,-2755000,-1736000,488000,392000,-2027000,-1315000,2201000,269000,-1612000
18,Operating Income ratio,- -,0.2647,- -,0.1371,0.2134,0.2393,0.4396,0.0374,0.0636,0.1527,0.1831,0.2040,0.1287,0.1610,- -,-0.0779,-0.1144,-0.0648,0.0151,0.0110,-0.0567,-0.0336,0.0490,0.0065,-0.0366
19,Total Other Income Expenses (Gains),909090,-13216230,1611927,8319878,2909803,-8656779,-17181221,-1699615,-2282170,-6468400,-9674882,-3598000,-10896000,-15596000,1954000,-5328000,-2131000,1340000,-1395000,4052000,1734000,1335000,-10000,-1457000,2505000
20,Income Before Tax,90909,-7077078,-6505349,12065634,8032585,-3876682,-9074175,-870462,-959980,-3374751,-5579552,1105000,-7694000,-11778000,-543000,-7358000,-4886000,-396000,-907000,4444000,-293000,20000,2191000,-1188000,893000
21,Income Before Tax Ratio,0.0028,-0.3051,-0.3395,0.4415,0.3346,-0.1940,-0.4921,-0.0393,-0.0462,-0.1665,-0.2495,0.0479,-0.3092,-0.4968,-0.0244,-0.2823,-0.2029,-0.0148,-0.0281,0.1248,-0.0082,0.0005,0.0488,-0.0285,0.0203
22,Income Tax expense (Gain),-90909,85266,-256398,323681,883393,166770,-113546,278105,103850,56069,-139917,-492000,72000,939000,395000,118000,135000,116000,759000,602000,388000,358000,679000,516000,193000
23,Net Income,181818,-7162344,-6248952,11741953,7150315,-4043452,-8960629,-1147830,-1063831,-3430820,-5438263,1597000,-7766000,-12717000,-938000,-7475000,-5021000,-512000,-1667000,3842000,-681000,-338000,1512000,-1704000,700000
24,Net Income ratio,0.0056,-0.3088,-0.3261,0.4297,0.2978,-0.2024,-0.4859,-0.0518,-0.0512,-0.1693,-0.2432,0.0693,-0.3121,-0.5364,-0.0421,-0.2868,-0.2085,-0.0191,-0.0517,0.1079,-0.0191,-0.0086,0.0337,-0.0409,0.0159
25,EPS,0.03,-0.86,-0.80,1.50,0.92,-0.52,-1.15,-0.15,-0.14,-0.39,-0.59,0.17,-0.74,-0.98,-0.07,-0.43,-0.24,-0.02,-0.07,0.14,-0.02,-0.01,0.06,-0.07,0.01
26,EPS Diluted,0.03,-0.86,-0.80,1.42,0.90,-0.52,-1.15,-0.15,-0.14,-0.39,-0.59,0.17,-0.74,-0.98,-0.07,-0.43,-0.24,-0.02,-0.07,0.13,-0.02,-0.01,0.06,-0.07,0.01
27,Weighted Average Shares Outstanding,6666667,8316832,7797375,7784850,7760044,7771467,7781731,7781731,7782731,8817007,9200757,9582593,10510305,13008401,13345004,17556395,20593720,23601428,25021966,27823313,28961928,28997866,29016118,29148108,79867332
28,Weighted Average Shares Outstanding Diluted,6666667,8316832,7797375,8266361,7941869,7833514,7817303,8074210,8373574,9557533,9200757,9658295,10567563,13094235,13353985,17556395,20593720,23601428,25021966,29365583,28961928,28997866,29620357,29148108,79867332
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041934/000117184315001794/0001171843-15-001794-index.html,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11727261,8782398,3270563,3397585,19394191,15768795,10410527,9391404,8310543,9893916,17550727,13827000,11590000,7369000,4900000,7041000,6681000,11142000,13578000,21989000,20004000,19464000,20886000,24696000,- -
32,Short-Term Investments,- -,- -,- -,21711113,9702715,81955,- -,- -,- -,1031216,1090533,1143000,1113000,1519000,1572000,1036000,1000000,1000000,1000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11727261,8782398,3270563,25108699,29096906,15850750,10410527,9391404,8310543,10925132,18641261,14970000,12703000,8888000,6472000,8077000,7681000,12142000,14578000,21989000,20004000,19464000,20886000,24696000,47183000
34,Net Receivables,17181801,14921550,11461380,8679760,10853599,11205974,9402903,8188986,9611625,10873609,12043877,15562000,15525000,16091000,16012000,11955000,9392000,8142000,11762000,10026000,12343000,13318000,12588000,12339000,12118000
35,Inventory,7181811,8611866,8527712,5605856,5607187,6571681,5258067,3936260,4446981,3765719,4312751,4023000,3794000,3917000,3920000,4263000,4698000,5908000,6151000,8030000,6739000,7212000,8178000,7989000,7499000
36,Other Current Assets,4363632,1023192,707578,597319,449564,493638,753534,508262,390916,828155,1183126,1231000,1226000,969000,647000,434000,354000,423000,548000,469000,488000,382000,445000,369000,582000
37,Total Current Assets,40454505,33339006,23967233,39991634,46007256,34122044,25825032,22024912,22760065,26392616,36181014,35786000,33248000,29865000,27051000,24729000,22125000,26615000,33039000,40514000,39574000,40376000,42097000,45393000,67382000
38,PP&E,2818179,1705320,3097643,1830288,2236581,1986942,2898210,2804659,3127324,3211090,4185865,3763000,3288000,2877000,2534000,2035000,1655000,2122000,2123000,2770000,3682000,4208000,6716000,5599000,5173000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,2410505,2411727,2415634,2412000,2412000,2412000,2412000,2412000,2412000,2412000,2412000,2412000,2412000,2412000,2412000,2412000,2412000
40,Intangible Assets,6454539,5712822,5089199,2727864,2520930,2642586,2583774,2528767,86120,71223,78875,102000,103000,82000,68000,72000,37000,24000,39000,149000,527000,847000,770000,760000,- -
41,Intangible Assets,6454539,5712822,5089199,2727864,2520930,2642586,2583774,2528767,2496625,2482950,2494509,2514000,2515000,2494000,2480000,2484000,2449000,2436000,2451000,2561000,2939000,3259000,3182000,3172000,2412000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000,324000,432000,374000,- -
44,Other Non-Current Assets,1181817,4604364,4307086,5876300,2442256,1071138,547087,522277,390071,386422,2212617,1800000,1327000,702000,484000,1197000,647000,982000,969000,747000,539000,572000,642000,655000,2260000
45,Total Non-Current Assets,10454535,12022506,12493928,10434452,7199767,5700667,6029070,5855704,6014020,6080462,8892990,8077000,7130000,6073000,5498000,5716000,4751000,5540000,5543000,6078000,7325000,8363000,10972000,9800000,9845000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,50909040,45361512,36461161,50426086,53207023,39822710,31854102,27880616,28774085,32473078,45074005,43863000,40378000,35938000,32549000,30445000,26876000,32155000,38582000,46592000,46899000,48739000,53069000,55193000,77226000
48,Accounts Payable,5090904,3325374,4896403,4419736,5448716,4201645,3151505,2910885,3529216,3986965,5670087,5065000,4061000,4309000,4333000,5820000,4958000,5156000,5641000,5562000,6220000,6286000,6034000,5708000,- -
49,Short-Term Debt,454545,3581172,2449692,1843065,727170,1854480,1209308,1625847,2202805,2598119,2175580,3521000,5358000,4630000,11541000,2761000,2482000,2459000,3261000,2066000,3356000,4557000,5325000,8316000,1914000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000,124000,48000,798000,338000,10000,4000,624000,363000,147000,118000,280000,129000,- -
51,Deferred Revenue,- -,- -,- -,798555,966563,1134987,2321744,842431,770011,669040,452674,704000,558000,578000,418000,885000,826000,1102000,1597000,1878000,2295000,1929000,1892000,2701000,3408000
52,Other Current Liabilities,7818174,6650748,6647461,3151630,4794600,2625432,4311583,2886542,3364575,3671766,4606303,5167000,5198000,5141000,4403000,3658000,3323000,3441000,5772000,5504000,4263000,4040000,4242000,4779000,12629000
53,Total Current Liabilities,13363623,13557294,13993557,10212986,11937048,9816544,10994139,8265704,9866607,10925890,12904644,14457000,15175000,14658000,20695000,13124000,11589000,12158000,16271000,15010000,16134000,16812000,17493000,21504000,17951000
54,Long-Term Debt,1545453,5542290,6362244,3155889,304580,95297,586788,662437,528538,754659,12745522,10364000,10702000,9750000,1415000,5325000,617000,697000,886000,697000,1362000,2191000,3336000,2797000,6248000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,582000,330000,297000,258000,79000,47000,74000,504000,333000,562000,973000,1313000,926000,440000
56,Deferred Tax Liabilities,545454,426330,- -,- -,- -,- -,- -,- -,6754,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1636362,937926,636026,2281738,1988197,1510457,1345087,1001769,1013172,1492649,4901913,1269000,1592000,2333000,1468000,3755000,5337000,4084000,6490000,6100000,3681000,3800000,3568000,3719000,2533000
58,Total Non-Current Liabilities,3727269,6906546,6998269,5437627,2292776,1605754,1931875,1664206,1548465,2247309,17647435,12215000,12624000,12380000,3141000,9159000,6001000,4855000,7880000,7130000,5605000,6964000,8217000,7442000,9221000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,579642,662437,473658,696317,1036350,2019000,2209000,1649000,1252000,953000,562000,572000,532000,535000,783000,1235000,3729000,2800000,1318000
61,Total Liabilities,17090892,20463840,20991826,15650613,14229825,11422298,12926014,9929910,11415071,13173198,30552079,26672000,27799000,27038000,23836000,22283000,17590000,17013000,24151000,22140000,21739000,23776000,25710000,28946000,27172000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1023192,1063355,1016827,1082325,1088292,1085439,1085865,1085783,1212304,1253084,1301000,1418000,1741000,1784000,2438000,2882000,3282000,3348000,3783000,3818000,3818000,3826000,3830000,- -
64,Retained Earnings,14272713,7247610,-1623853,8784105,15854998,11797769,2806102,1660518,596927,-2835276,-8277765,-6668000,-14436000,-27151000,-28093000,-35569000,-40590000,-41102000,-42769000,-38927000,-39608000,-39947000,-38435000,-40139000,- -
65,Other Comprehensive Income/Loss,-4999995,-2984310,-3801247,-4107767,-4730537,-2514888,-2945851,-2984653,-2874876,-1538111,-3087101,-3285000,-3131000,-3386000,-3590000,-3327000,-3221000,-3211000,-3567000,-3948000,-3604000,-3748000,-3436000,-3064000,- -
66,Other Total Stockholders Equity,24545430,19611180,19831079,29082308,26770412,18029239,17982397,18188976,18551179,22460962,24633707,25843000,28728000,37696000,38612000,44619000,50213000,56172000,57418000,63543000,64552000,64841000,65403000,65620000,- -
67,Total Stockholders Equity,33818148,24897672,15469335,34775473,38977199,28400412,18928087,17950705,17359014,19299880,14521926,17191000,12579000,8900000,8713000,8161000,9284000,15141000,14430000,24451000,25158000,24964000,27358000,26247000,50054000
68,Total Liabilities And Stockholders Equity,50909040,45361512,36461161,50426086,53207023,39822710,31854102,27880616,28774085,32473078,45074005,43863000,40378000,35938000,32549000,30444000,26874000,32154000,38581000,46591000,46897000,48740000,53068000,55193000,77226000
69,Minority Interest,- -,- -,- -,- -,0,- -,- -,- -,- -,- -,0,- -,- -,- -,- -,1000,2000,1000,1000,1000,2000,-1000,1000,- -,- -
70,Total Liabilities & Equity,50909040,45361512,36461161,50426086,53207023,39822710,31854102,27880616,28774085,32473078,45074005,43863000,40378000,35938000,32549000,30445000,26876000,32155000,38582000,46592000,46899000,48739000,53069000,55193000,77226000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041934/000117184315001794/0001171843-15-001794-index.html,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,181818,-7162344,-6248952,11741953,7150315,-4043452,-8960629,-1147830,-1063831,-3430820,-5438263,1597000,-7766000,-12717000,-938000,-7475000,-5021000,-512000,-1667000,3842000,-681000,-338000,1512000,-1704000,700000
74,Depreciation and Amortization,1454544,1534788,1795779,1349026,1104804,1116881,981421,1048243,1201453,1257008,1298352,1785000,1801000,1233000,1413000,931000,1179000,900000,1002000,1025000,1573000,1610000,1879000,2105000,- -
75,Deferred Income Tax,-90909,85266,-207702,72402,131497,5718,-225505,254500,83587,-90923,-161179,-77000,-57000,180000,293000,-52000,-65000,-18000,23000,65000,-153000,-153000,-106000,45000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000,367000,140000,66000,360000,382000,289000,260000,160000,- -
77,Change in Working Capital,-2545452,85266,2216152,2165681,1489181,-3053316,4755446,28770,-1038501,-415214,-425925,-2854000,-971000,700000,-683000,1884000,751000,-75000,-56000,-287000,-1691000,-1272000,8000,-109000,520000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,818181,-1023192,24845,3287917,559707,-428837,1107672,2339183,-680514,428853,-820986,-126000,-319000,-355000,-436000,-497000,-961000,-1258000,-381000,-1985000,669000,-704000,-1036000,-554000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,508000,-91000,-822000,26000,518000,-153000,426000,-70000,-249000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278463,26000,504000,- -,- -,- -,- -,-47000,- -,46000,- -,- -,- -,- -,- -
82,Other Non-Cash Items,636363,-937926,-90435,-15299249,-13282368,-1994566,-193743,-1316021,532760,778905,1993824,-5044000,3329000,6786000,-822000,4307000,294000,-1449000,1970000,-3886000,-2489000,39000,247000,1480000,3225000
83,Cash Provided by Operating Activities,-363636,-6394950,-2535158,29813,-3406571,-7968735,-3643010,-1132339,-284532,-1901044,-2733192,-4593000,-3664000,-3818000,-737000,-162000,-2495000,-1014000,1338000,1119000,-3059000,175000,3800000,1977000,4445000
84,CAPEX,-5818176,-682128,-498883,-456773,-848552,-859579,-399397,-247123,-395981,-250795,-559670,-1117000,-738000,-609000,-870000,-650000,-760000,-1021000,-650000,-1326000,-2072000,-1869000,-1451000,-1973000,-1638000
85,Acquisitions Net,- -,- -,- -,- -,- -,-210606,-26997,-17704,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1031216,-92592,-691000,-8000,-406000,- -,- -,- -,- -,- -,- -,- -,- -,-14000,-2000,- -
87,Sales/Maturities of Investments,- -,3325374,- -,- -,21656622,5526273,54788,- -,- -,- -,- -,- -,- -,- -,- -,536000,36000,- -,- -,1000000,- -,- -,- -,- -,- -
88,Other Investing Activites,-636363,-2899044,-1273045,2529822,2865971,634678,-169128,281056,-661939,-347022,-587791,1039000,1113000,317000,246000,-30000,-393000,-894000,-381000,-1063000,-1401000,-965000,-1122000,-1478000,-1638000
89,Cash Used for Investing Activites,-6454539,-255798,-1771928,2073049,23674040,5090766,-540734,16229,-1057920,-1629034,-1240053,-712000,402000,-685000,-613000,234000,-589000,-1034000,-541000,-384000,-2032000,-1569000,-1532000,-2011000,-1638000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-701000,-3049000,-8267000,-1000000,-2771000,-6797000,-422000,-370000,-1675000,-540000,-801000,-1662000,-1707000,- -
91,Common Stock Issued,- -,- -,- -,159711,- -,- -,- -,- -,- -,- -,352537,600000,2620000,8966000,758000,1898000,5671000,6219000,1219000,6200000,548000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-2302182,-48696,- -,-74178,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14636349,5968620,-1706337,-1972963,-4064059,-256349,-667779,-82620,187437,5185630,11490380,397000,1421000,-47000,-85000,2215000,3063000,242000,1138000,3169000,2863000,1979000,998000,4908000,20266000
95,Cash Used/Provided by Financing Activities,14636349,3666438,-1755033,-1813252,-4138237,-256349,-667779,-82620,187437,5185630,11842917,296000,992000,652000,-327000,1342000,1937000,6039000,1987000,7694000,2871000,1178000,-664000,3201000,20266000
96,Effect of Forex Changes on Cash,- -,-85266,512796,-162905,-128126,-475532,-465302,168929,75144,-80315,-227023,1313000,33000,-369000,-789000,727000,788000,469000,-347000,-19000,235000,-323000,-182000,642000,-585000
97,Net Change In Cash,14636349,-3069576,-5550317,127769,15999983,-3609850,-5316825,-1029801,-1080717,1576753,7641278,-3696000,-2237000,-4221000,-2466000,2141000,-360000,4461000,2436000,8411000,-1985000,-540000,1422000,3810000,20266000
98,Cash at the End of Period,- -,8782398,3270563,3397585,19394191,15768795,10410527,9391404,8310543,9893916,17550727,13827000,11590000,7369000,4900000,7041000,6681000,11142000,13578000,21989000,20004000,19464000,20886000,24696000,- -
99,Cash at the Beginning of Period,3909087,11851974,8820880,3269817,3394208,19378645,15727352,10421205,9391260,8317163,9909450,17523000,13827000,11590000,7366000,4900000,7041000,6681000,11142000,13578000,21989000,20004000,19464000,20886000,- -
100,Free Cash Flow,-6181812,-7077078,-3034041,-426961,-4255123,-8828314,-4042407,-1379462,-680514,-2151840,-3292862,-5710000,-4402000,-4427000,-1607000,-812000,-3255000,-2035000,688000,-207000,-5131000,-1694000,2349000,4000,2807000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041934/000117184315001794/0001171843-15-001794-index.html,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
