,https://roic.ai/company/MOBQ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,14701,17856,20053,20677,25177,33801,51415,65541,106097,154161,182414,208938,460248,938694,1952538,2537811,2537811
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084267/000101968712000783/0001019687-12-000783-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000101968713000856/0001019687-13-000856-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000101968714001264/0001019687-14-001264-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000101968715001460/0001019687-15-001460-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000101968716005670/0001019687-16-005670-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000168316817000941/0001683168-17-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000168316818001021/0001683168-18-001021-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000168316819000902/0001683168-19-000902-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000168316820000946/0001683168-20-000946-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000168316821001154/0001683168-21-001154-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000168316822002082/0001683168-22-002082-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,398235,1353131,819021,509251,595611,763581,605563,362598,1740989,1654171,2044662,213184,56470,624338,1240064,602182,5385245
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,398235,1353131,819021,509251,595611,763581,605563,362598,1740989,1654171,2044662,213184,56470,624338,1240064,602182,5385245
34,Net Receivables,711056,721986,963919,909685,533555,298892,534924,444262,433856,445892,323313,298928,18576,2479363,3611378,1698719,388112
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,109073,190854,117893,79291,- -,- -,- -,- -,- -
36,Other Current Assets,41282,47683,75375,63401,157580,218336,342641,263575,141921,152502,634372,38929,17638,11700,20200,46396,11700
37,Total Current Assets,1150573,2122800,1858315,1482337,1286746,1280809,1483128,1070435,2425839,2443419,3120240,630332,92684,3115401,4871642,2347297,5785057
38,PP&E,21100,16899,34065,115334,133632,249726,714865,748234,466772,262480,103355,15392,- -,6662,21100,21428,20335
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7425433,1352865,1352865,1352865
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,301784,94328,65717,37117,9960,1815469,11448490,5647754,1247019
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,301784,94328,65717,37117,9960,9240902,12801355,7000619,2599884
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4284444,3100,91,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5492,5492,7745,7745,7745,7745,7745,27501,34109,33741,41858,43332,11275,140649,9000,9000,- -
45,Total Non-Current Assets,26592,22391,41810,123079,141377,257471,722610,775735,802665,390549,210930,95841,21235,13672657,12834555,7031138,2620219
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1177165,2145191,1900125,1605416,1428123,1538280,2205738,1846170,3228504,2833968,3331170,726173,113919,16788058,17706197,9378435,8405276
48,Accounts Payable,355475,359518,475452,338165,310753,243795,399924,348712,485401,609957,538632,914697,458280,1255437,2958108,2055175,1676048
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,322000,322000,4276194,10832275,3204142,150000,566250,901283,519004
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,223485,137598,206015,181766,230334,98270,121821,160098,177943,369383,1050557,1512328,1401554,975359,960734,1085292,691552
53,Total Current Liabilities,578960,497116,681467,519931,541087,342065,521745,508810,985344,1301340,5865383,13259300,5063976,2380796,4485092,4041750,2886604
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,298376,- -,2573979,1571773,- -,- -,- -,2300000,2450000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,2600000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,298376,- -,2573979,1571772,- -,- -,- -,2300000,2450000,2600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,578960,497116,681467,519931,541087,342065,521745,807186,985344,3875319,7437155,13259300,5063976,2380796,6785092,6491750,5486604
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,22,- -,- -,20,25,11552538,11575513,5979869,5818909,- -
63,Common Stock,589,803,813,924,1163,1683,2328,3025,5240,6482,7887,9913,19850,62922,93453,282,650
64,Retained Earnings,-1048493,-1529519,-2408574,-3735467,-5312477,-7074733,-9284241,-13418302,-19505767,-30011866,-40471590,-51182093,-61298474,-127108103,-171136522,-186168926,-221116625
65,Other Comprehensive Income/Loss,-35663,-39864,-45569,-63433,-94271,-151232,-280839,-461523,-596035,-830984,-995330,-351622,-55702,-1967,-6364,- -,- -
66,Other Total Stockholders Equity,1681772,3216655,3671988,4883461,6292621,8420497,11246745,14915762,22339722,29795017,37353028,38990650,44831731,129225369,175990669,183236420,224034647
67,Total Stockholders Equity,598205,1648075,1218658,1085485,887036,1196215,1683993,1038984,2243160,-1041351,-4105985,-12533127,-4950057,13753734,10921105,2886685,2918672
68,Total Liabilities And Stockholders Equity,1177165,2145191,1900125,1605416,1428123,1538280,2205738,1846170,3228504,2833968,3331170,726173,113919,16134530,17706197,9378435,8405276
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,653528,- -,- -,- -
70,Total Liabilities & Equity,1177165,2145191,1900125,1605416,1428123,1538280,2205738,1846170,3228504,2833968,3331170,726173,113919,16788058,17706197,9378435,8405276
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084267/000101968712000783/0001019687-12-000783-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000101968713000856/0001019687-13-000856-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000101968714001264/0001019687-14-001264-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000101968715001460/0001019687-15-001460-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000101968716005670/0001019687-16-005670-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000168316817000941/0001683168-17-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000168316818001021/0001683168-18-001021-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000168316819000902/0001683168-19-000902-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000168316820000946/0001683168-20-000946-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000168316821001154/0001683168-21-001154-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000168316822002082/0001683168-22-002082-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-682538,-481026,-879055,-1230393,-1577010,-1762256,-2209508,-4134061,-6087465,-10506099,-10459724,-10710503,-10245493,-58510729,-44027719,-15032404,-35
74,Depreciation and Amortization,5590,4201,5705,17865,30838,56961,129607,233825,289289,274896,192955,159234,22594,42866,1528644,1807007,1
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,652220,385334,706635,474556,1481242,1765074,3117807,1452248,683036,658947,327405,6599000,1347048,4
77,Change in Working Capital,-74513,1054071,-448836,-214442,-216747,193085,22639,-399758,878870,-298416,-3887222,-9883825,7657676,5705897,472804,802088,4592906
78,Accounts Receivable,- -,- -,- -,144234,276130,234663,-236032,90662,10406,-12036,122579,24385,-18576,-2541387,-1132015,1606659,1
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-16458,-81781,72961,38602,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,136689,186756,-71325,432243,32325,797157,1702671,-902933,-0
81,Other Working Capital,571613,1625684,1176848,962406,745659,938744,961383,561625,1440495,1142079,-2745143,-12628968,-4971292,734605,- -,- -,2898453
82,Other Non-Cash Items,499421,-1043287,810947,219114,419854,-218199,-203295,694719,-538398,1533071,3332112,13822206,-1831620,1854322,27084765,6325818,-4592882
83,Cash Provided by Operating Activities,-252040,-466041,-511239,-555636,-957731,-1023774,-1786001,-2124033,-3692630,-5878741,-9369631,-5929852,-3737896,-50580239,-8342506,-4750443,-6
84,CAPEX,-11010,- -,-22871,-99134,-49136,-173056,-594744,-272013,-309611,-30657,-5221,-283684,- -,-9290420,-5093585,-6599,-0
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5417400,- -,- -
88,Other Investing Activites,- -,- -,- -,-100000,100000,- -,- -,- -,-205200,- -,- -,- -,151954,-9281791,-5074750,3631118,9
89,Cash Used for Investing Activites,-11010,- -,-22871,-199134,50864,-173056,-594744,-272013,-309611,-30657,-5221,-283684,151954,-9290420,323815,3624519,9
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103016,-264098,-452101,-520809,0
91,Common Stock Issued,95000,1420937,- -,445000,993227,1364800,2222727,1887556,5380632,3276310,2720000,- -,767753,35378750,6113100,- -,1
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2997500,-17475,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,265525,- -,2549774,7042035,4396177,2770694,35515854,3374727,1005842,1
95,Cash Used/Provided by Financing Activities,95000,1420937,- -,445000,993227,1364800,2222727,2153081,5380632,5826084,9762035,4396177,3435431,67633006,9018251,485033,2
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3504,3308,-14119,13047,- -,- -,- -,- -
97,Net Change In Cash,-168050,954896,-534110,-309770,86360,167970,-158018,-242965,1378391,-86818,390491,-1831478,-137464,567868,615726,-637882,-602177
98,Cash at the End of Period,398235,1353131,819021,509251,595611,763581,605563,362598,1740989,1654171,2044662,213184,56470,624338,1240064,602182,5
99,Cash at the Beginning of Period,566285,398235,1353131,819021,509251,595611,763581,605563,362598,1740989,1654171,2044662,193934,56470,624338,1240064,602182
100,Free Cash Flow,-263050,-466041,-534110,-654770,-1006867,-1196830,-2380745,-2396046,-4002241,-5909398,-9374852,-6213536,-3737896,-59870659,-13436091,-4757042,-6
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084267/000101968712000783/0001019687-12-000783-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000101968713000856/0001019687-13-000856-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000101968714001264/0001019687-14-001264-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000101968715001460/0001019687-15-001460-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000101968716005670/0001019687-16-005670-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000168316817000941/0001683168-17-000941-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000168316818001021/0001683168-18-001021-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000168316819000902/0001683168-19-000902-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000168316820000946/0001683168-20-000946-index.html,https://www.sec.gov/Archives/edgar/data/1084267/000168316821001154/0001683168-21-001154-index.htm,https://www.sec.gov/Archives/edgar/data/1084267/000168316822002082/0001683168-22-002082-index.htm
102,false,,,,,,,,,,,,,,,,,
