,https://roic.ai/company/BNTX,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,273414000,214026000,205647000,97109000,71892000,9000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,281000,66700000
57,Other Non-Current Liabilities,1382000,- -,- -,- -,37540000,208200000
58,Total Non-Current Liabilities,301465000,264375000,259865000,166013000,340760000,455500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,358101000,422919000,385986000,304155000,946774000,3937100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,3270000,166764000,193296000,232304000,246310000,246300000
64,Retained Earnings,-112100000,-197753000,-245771000,-424827000,-409629000,9882900000
65,Other Comprehensive Income/Loss,139301000,-18307000,318628000,691540000,1539954000,1768300000
66,Other Total Stockholders Equity,- -,- -,- -,-5525000,-4789000,-3800000
67,Total Stockholders Equity,30471000,-49296000,266153000,493492000,1371846000,11893700000
68,Total Liabilities And Stockholders Equity,388572000,373623000,652139000,797647000,2318620000,15830800000
69,Minority Interest,1387000,1090000,847000,- -,- -,- -
70,Total Liabilities & Equity,389959000,374713000,652986000,797647000,2318620000,15830800000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1776985/000156459020014536/0001564590-20-014536-index.htm,https://www.sec.gov/Archives/edgar/data/1776985/000156459021016723/0001564590-21-016723-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,-85653000,-48019000,-179056000,15198000,15046400000
74,Depreciation and Amortization,- -,10529000,21984000,33896000,38744000,75200000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,5909000,7641000,30235000,32142000,80500000
77,Change in Working Capital,- -,-7964000,-40961000,-83436000,-93097000,-10730400000
78,Accounts Receivable,- -,- -,- -,- -,- -,-11808100000
79,Inventory,- -,-574000,-1253000,-5798000,-49794000,-438400000
80,Accounts Payable,- -,-4574000,-20976000,-80577000,204583000,1516100000
81,Other Working Capital,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,24617000,1175000,-176000,-6461000,-3582000000
83,Cash Provided by Operating Activities,- -,-52562000,-58180000,-198537000,-13474000,889700000
84,CAPEX,- -,-57742000,-67854000,-71080000,-85446000,-154000000
85,Acquisitions Net,- -,- -,- -,-6056000,-60643000,-20800000
86,Purchases of Investments,- -,- -,- -,- -,- -,-394700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-28229000,-36550000,-32467000,-18172000,-23100000
89,Cash Used for Investing Activites,- -,-52549000,-67148000,-77115000,-144848000,-566100000
90,Debt Repayment,- -,-1643000,-2148000,-3061000,-14309000,-66700000
91,Common Stock Issued,- -,- -,361725000,375351000,753007000,160900000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,5600000,11000000,156027000,- -
95,Cash Used/Provided by Financing Activities,- -,-1643000,365177000,383290000,894725000,94200000
96,Effect of Forex Changes on Cash,- -,-24820000,-459000,16000,-45343000,64700000
97,Net Change In Cash,- -,-131574000,239389000,107654000,691060000,482500000
98,Cash at the End of Period,- -,172106000,411495000,519149000,1210209000,1692700000
99,Cash at the Beginning of Period,- -,303680000,172106000,411495000,519149000,1210200000
100,Free Cash Flow,- -,-110304000,-126034000,-269617000,-98920000,735700000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1776985/000156459020014536/0001564590-20-014536-index.htm,https://www.sec.gov/Archives/edgar/data/1776985/000156459021016723/0001564590-21-016723-index.htm,- -
102,Forex Rate,undefined,1.1996,1.1469,1.121,1.2213,1.1368
