,https://roic.ai/company/EVFM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1618835/000156459015001988/0001564590-15-001988-index.htm,https://www.sec.gov/Archives/edgar/data/1618835/000156459016015451/0001564590-16-015451-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000156459017005093/0001564590-17-005093-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000156459018003259/0001564590-18-003259-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000161883519000031/0001618835-19-000031-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000161883520000047/0001618835-20-000047-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000161883521000040/0001618835-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1618835/000161883522000057/0001618835-22-000057-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-7827616,-15016253,-10819236,-43157045,-13018598,-9993451,-125712000,-80033000,-142309000,-205192000
74,Depreciation and Amortization,123712,72216,17669,58425,69094,45870,262000,263000,302000,1023000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,121829,80487,612952,1578279,1082869,759329,17842000,8579000,12697000,8898000
77,Change in Working Capital,-1838913,-7698491,71986061,-44337601,-19020893,-8991835,-27464371,-12673000,-15227000,10578000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-1067000,-5382000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-6010000,-21000
80,Accounts Payable,-493000,51048,455234,4433561,-5440958,509829,3799000,-2931000,4126000,-4000
81,Other Working Capital,10676130,2977639,74963700,30626099,11605206,2613371,-24851000,746000,2844000,-1861000
82,Other Non-Cash Items,2025099,9657930,-71369564,47946525,14632535,9979128,78572371,28767000,39708000,38026000
83,Cash Provided by Operating Activities,-7395889,-12904111,-9572118,-37911417,-16254993,-8200959,-56500000,-55097000,-104829000,-146667000
84,CAPEX,- -,-21157,-18078,-226128,- -,- -,-7000,-164000,-2254000,-2939000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,2150000,250000,250000,250000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-8233000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,8233000,- -
88,Other Investing Activites,- -,104200,- -,-200000,3100,7100,- -,32000,- -,- -
89,Cash Used for Investing Activites,- -,83043,-18078,-426128,3100,7100,2143000,-8115000,6229000,-2689000
90,Debt Repayment,-824121,-448238,-209698,- -,-10052400,- -,- -,-4010000,- -,- -
91,Common Stock Issued,14791,- -,57815263,- -,- -,- -,57542000,78360000,107519000,81534000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-157000,- -,- -,- -
94,Other Financing Activites,13475890,6533455,23568140,138632,33542,26349,-2968000,3726000,46707000,9159000
95,Cash Used/Provided by Financing Activities,12666560,6085217,81173705,138632,-10018858,26349,54417000,78076000,154226000,90693000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5270671,-6735851,71583509,-38198913,-26270751,-8167510,60000,14864000,55626000,-58663000
98,Cash at the End of Period,11099858,4364007,75947516,37748603,11477852,3510342,1761000,16625000,72251000,13588000
99,Cash at the Beginning of Period,5829187,11099858,4364007,75947516,37748603,11677852,1701000,1761000,16625000,72251000
100,Free Cash Flow,-7395889,-12925268,-9590196,-38137545,-16254993,-8200959,-56507000,-55261000,-107083000,-149606000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1618835/000156459015001988/0001564590-15-001988-index.htm,https://www.sec.gov/Archives/edgar/data/1618835/000156459016015451/0001564590-16-015451-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000156459017005093/0001564590-17-005093-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000156459018003259/0001564590-18-003259-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000161883519000031/0001618835-19-000031-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000161883520000047/0001618835-20-000047-index.html,https://www.sec.gov/Archives/edgar/data/1618835/000161883521000040/0001618835-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1618835/000161883522000057/0001618835-22-000057-index.htm
102,false,,,,,,,,,,
