,https://roic.ai/company/AHT-PD,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,133275000,156383000,145550000,140609000,138547000,144796000,141469000,114502000,187514000,223967000,222631000,236786000,262001000,247381000,143508000
14,Depreciation and Amortization,- -,- -,4446000,- -,5797128,10767785,30291000,52863000,168586000,174365000,157107000,145326000,134273000,136527000,127990000,110931000,210243000,243707000,246493000,258221000,268746000,252458000,218851000
15,EBITDA,-1878473,712722,1540000,-3542000,1734749,12845265,37078000,93579000,337002000,460909000,53936000,234040000,276549000,229918000,229687000,195298000,673406000,422921000,399898000,370823000,386850000,-45372000,101302000
16,EBITDA ratio,-0.0933,0.0243,0.0425,-0.1185,0.0410,0.1099,0.1118,0.1948,0.2986,0.3930,0.0588,0.2782,0.3108,0.2492,0.2438,0.2457,0.5037,0.2835,0.2778,0.2592,0.2574,-0.0893,0.1258
17,Operating Income,1529685,5565881,4388000,3839000,575107,14774183,56120000,78712000,151107000,160328000,-152288000,18023000,91425000,114774000,117403000,76692000,137915000,155704000,135005000,90414000,114729000,-465367000,-125167000
18,Operating Income ratio,0.0760,0.1899,0.1212,0.1284,0.0136,0.1264,0.1692,0.1638,0.1339,0.1367,-0.1661,0.0214,0.1027,0.1244,0.1246,0.0965,0.1032,0.1044,0.0938,0.0632,0.0763,-0.9156,-0.1554
19,Total Other Income Expenses (Gains),-3408158,-4853159,-7294000,-6483000,-4711073,-12399092,-53180000,-46328000,-140151000,-67979000,-118174000,-89374000,-85816000,-170957000,-164450000,-117157000,172608000,-212954000,-225983000,-243941000,-256190000,-169190000,-139933000
20,Income Before Tax,-1878473,712722,-2906000,-2644000,-4135966,2375091,2940000,32384000,10956000,92349000,-270462000,-71351000,5609000,-56183000,-47047000,-40465000,310523000,-57250000,-90978000,-153527000,-141461000,-634557000,-265100000
21,Income Before Tax Ratio,-0.0933,0.0243,-0.0802,-0.0885,-0.0978,0.0203,0.0089,0.0674,0.0097,0.0787,-0.2951,-0.0848,0.0063,-0.0609,-0.0499,-0.0509,0.2323,-0.0384,-0.0632,-0.1073,-0.0941,-1.2485,-0.3291
22,Income Tax expense (Gain),- -,- -,- -,-449000,-142178,658273,-2650000,2920000,4981000,967000,1521000,-155000,1620000,2375000,1511000,1266000,4710000,1532000,-2218000,2782000,-1218000,-1335000,5948000
23,Net Income,-1878473,712722,-2906000,-3093000,-3920201,1419207,9437000,37796000,30160000,129194000,-250242000,-51740000,2109000,-53780000,-41283000,-31401000,270939000,-46285000,-67008000,-126966000,-142679000,-543876000,-267005000
24,Net Income ratio,-0.0933,0.0243,-0.0802,-0.1035,-0.0927,0.0121,0.0285,0.0787,0.0267,0.1102,-0.2730,-0.0615,0.0024,-0.0583,-0.0438,-0.0395,0.2027,-0.0310,-0.0466,-0.0887,-0.0949,-1.0701,-0.3315
25,EPS,-0.13,0.05,-0.20,-0.21,-0.27,0.10,0.64,2.56,2.04,8.75,-16.94,-3.50,0.14,-3.64,-2.79,-2.13,18.34,-3.13,-4.54,-8.60,-9.66,-36.82,-18.08
26,EPS Diluted,-0.13,0.05,-0.20,-0.21,-0.27,0.10,0.64,2.56,2.04,8.75,-16.94,-3.50,0.14,-3.64,-2.79,-2.13,18.34,-3.13,-4.54,-8.60,-9.66,-36.82,-18.08
27,Weighted Average Shares Outstanding,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499
28,Weighted Average Shares Outstanding Diluted,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499,14770499
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1232582/000123258220000013/0001232582-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1232582/000123258221000060/0001232582-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1232582/000123258222000038/0001232582-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,76254052,47108957,57995000,73343000,92271000,241597000,165168000,217690000,167609000,185935000,128780000,215063000,215078000,347091000,354805000,319210000,262636000,92905000,592110000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29601000,63217000,- -,53185000,26926000,21816000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,76254052,47108957,57995000,73343000,92271000,241597000,165168000,217690000,167609000,185935000,158381000,278280000,215078000,400276000,381731000,341026000,262636000,92905000,592110000
34,Net Receivables,- -,- -,- -,- -,1752956,5911236,21831000,22838000,145539000,253925000,87158000,48363000,39822000,96234000,73247000,42562000,67581000,57977000,61644000,58820000,39638000,45207000,80837000
35,Inventory,- -,- -,- -,- -,262619,611807,1186000,2110000,4100000,3341000,2975000,2909000,2371000,2111000,1946000,2104000,4810000,4530000,4244000,4224000,4346000,2447000,3291000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,128611000,69806000,77566000,67666000,84069000,94931000,69017000,92847000,166138000,181180000,154479000,140584000,- -,92809000,112918000
37,Total Current Assets,- -,- -,- -,- -,78269627,53632000,81012000,98291000,370521000,568669000,332867000,336628000,293871000,379211000,302591000,415793000,453607000,643963000,602098000,544654000,306620000,233368000,789156000
38,PP&E,- -,- -,- -,85247000,173723998,427005476,1066962000,1632946000,3885737000,3568215000,3383759000,3023736000,2957899000,2872304000,- -,- -,- -,- -,- -,- -,- -,45008000,44575000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1181000,- -,13889000,3077000,2988000,2899000,2810000,2721000,- -,- -,11343000,10061000,9943000,9824000,797000,797000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1181000,- -,13889000,3077000,2988000,2899000,2810000,2721000,- -,- -,11343000,10061000,9943000,9824000,797000,797000,797000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19122000,20736000,15000000,200901000,182314000,195545000,206790000,62568000,58779000,2955000,4489000,2829000,2811000,11253000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,111144000,180599000,174148000,338261000,134245000,28179000,2178866000,2158497000,4437613000,4178741000,4054854000,4126987000,-2829000,3452399000,3252362000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4010770000,3771013000,3581631000,3379896000,3295855000,3085518000,2374411000,2365287000,4511524000,4247581000,4067752000,4141300000,797000,3501015000,3308987000
46,Other Assets,- -,- -,- -,95416000,189612790,542312837,1401865000,1913621000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,95416000,267882417,595944837,1482877000,2011912000,4381291000,4339682000,3914498000,3716524000,3589726000,3464729000,2677002000,2781080000,4965131000,4891544000,4669850000,4685954000,307417000,3734383000,4098143000
48,Accounts Payable,- -,- -,- -,- -,2127611,8979635,9984000,16371000,55177000,99709000,93959000,83518000,86453000,84293000,70683000,71118000,123444000,126986000,132401000,136757000,134341000,99954000,117650000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,498000,- -,83000,50655000,- -,- -,28000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,142178,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,139814000,27235000,23987000,23339000,30552000,23393000,21935000,33598000,36377000,81731000,57666000,53834000,- -,113120000,20468000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,195743000,126944000,118029000,157512000,117005000,107686000,92646000,104716000,159821000,208717000,190067000,190591000,134341000,213074000,138118000
54,Long-Term Debt,- -,- -,- -,82126000,50786422,302661251,914277000,1095302000,2700775000,2790364000,2772396000,2518164000,2362458000,2339410000,1818929000,1954103000,3840617000,3723559000,3696300000,3927266000,- -,3728911000,3932928000
55,Deferred Revenue,- -,- -,- -,- -,- -,400919,729000,294000,- -,- -,- -,- -,- -,11165000,7306000,5330000,3355000,1380000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,79703000,83331000,168182000,80608000,7646000,159168000,139284000,184498000,149482000,165511000,150337000,114992000,- -,75853000,7009000
58,Total Non-Current Liabilities,- -,- -,- -,82126000,50786422,303062170,915006000,1095596000,2780478000,2873695000,2940578000,2598772000,2370104000,2509743000,1965519000,2143931000,3993454000,3890450000,3846637000,4042258000,- -,3804764000,3939937000
59,Other Liabilities,- -,- -,- -,168231000,108729918,640968584,1951591000,2355935000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4217871000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,621000,456869,312584,453000,177000,498000,207000,83000,36000,- -,- -,28000,- -,- -,- -,- -,- -,53270000,45309000,45106000
61,Total Liabilities,- -,- -,- -,86105000,57943496,337906414,1036585000,1260339000,2976221000,3000639000,3058607000,2756284000,2487109000,2617429000,2058165000,2248647000,4153275000,4099167000,4036704000,4232849000,4352212000,4017838000,4078055000
62,Preferred Stock,- -,- -,- -,- -,- -,23000,23000,23000,103000,86000,72000,105000,151000,158000,158000,158000,158000,222000,226000,226000,226000,152000,65000
63,Common Stock,- -,- -,- -,- -,257300,258104,438000,729000,1228000,1227000,1227000,1234000,1249000,1249000,1249000,1249000,955000,964000,974000,1010000,1021000,644000,345000
64,Retained Earnings,- -,- -,- -,- -,-1627319,-13177461,-42637000,-67574000,-153664000,-124782000,-412011000,-543788000,-609272000,-770467000,-896110000,-1050323000,-787221000,-974015000,-1153697000,-1363020000,- -,-2093292000,-2382970000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,554592,1372000,111000,-115000,-860000,-897000,-550000,-184000,-282000,-197000,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,9311000,173662267,231033547,399127000,708420000,1437451000,1336548000,1249585000,1359807000,1581463000,1601284000,1512689000,1580549000,1597194000,1764450000,1784997000,1814273000,267515000,1808875000,2379906000
67,Total Stockholders Equity,- -,- -,- -,9311000,172292248,218691782,358323000,641709000,1285003000,1212219000,837976000,816808000,973407000,831942000,617789000,531633000,811086000,791621000,632500000,452489000,268762000,-283621000,-2654000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,95416000,230235744,556598196,1394908000,1902048000,4261224000,4212858000,3896583000,3573092000,3460516000,3449371000,2675954000,2780280000,4964361000,4890788000,4669204000,4685338000,4620974000,3734217000,4075401000
69,Minority Interest,- -,- -,- -,- -,37646673,39346641,87969000,109864000,120067000,126824000,17915000,143432000,129210000,15358000,1048000,800000,770000,756000,646000,616000,-4313557000,166000,22742000
70,Total Liabilities & Equity,- -,- -,- -,95416000,267882417,595944837,1482877000,2011912000,4381291000,4339682000,3914498000,3716524000,3589726000,3464729000,2677002000,2781080000,4965131000,4891544000,4669850000,4685954000,307417000,3734383000,4098143000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1232582/000123258220000013/0001232582-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1232582/000123258221000060/0001232582-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1232582/000123258222000038/0001232582-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-2906000,-3093000,-3920201,1419207,9437000,37796000,30160000,129194000,-250242000,-51740000,2109000,-53780000,-41283000,-31401000,270939000,-46285000,-67008000,-126966000,-142679000,-543876000,-267005000
74,Depreciation and Amortization,- -,- -,4446000,- -,5797128,10767785,30291000,52863000,168586000,174365000,157107000,145326000,134273000,136527000,127990000,110931000,210243000,243707000,246493000,258221000,268746000,252458000,218851000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2324000,135000,-159000,-1058000,113000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,6225000,6834000,5037000,7067000,12391000,17440000,25539000,19155000,3470000,9672000,12287000,26939000,19717000,10746000,10025000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,174778000,266947000,-226887000,-35722000,-2250000,94659000,-61580000,101132000,-17291000,141460000,-23215000,-57968000,-181784000,-151985000,619197000
78,Accounts Receivable,- -,- -,- -,- -,1129794,-21919290,-6227000,24960000,9950000,13607000,-4677000,3065000,-2725000,-8757000,633000,-174000,5325000,-880000,2037000,5553000,-6639000,15738000,-21366000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21366000
80,Accounts Payable,- -,- -,- -,- -,2685334,10171789,-2415000,11130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28927000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,174778000,441725000,214838000,179116000,176866000,271525000,209945000,311077000,293786000,435246000,412031000,354063000,172279000,20294000,639491000
82,Other Non-Cash Items,- -,- -,-432000,3716000,3857879,-5535550,16800000,49032000,-224012000,-432397000,380599000,17716000,-71930000,-64211000,94791000,-88498000,-258406000,-173499000,36501000,81199000,213368000,284184000,-725369000
83,Cash Provided by Operating Activities,- -,- -,1108000,623000,5734806,6651442,56528000,139691000,155737000,144943000,65614000,82647000,74593000,130635000,145457000,111319000,208955000,175055000,207382000,181560000,177209000,-149531000,-144188000
84,CAPEX,- -,- -,- -,- -,-79188930,-240885295,-651835000,-588387000,-2186426000,-127293000,-72670000,-62205000,-67797000,-81403000,- -,-208000,-568000,-30000,-225000,-329000,-475000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,28212000,17445000,- -,- -,- -,- -,-12000000,- -,-162822000,-30919000,- -,-2321000,-984000,-667000,11145000,-430000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-87824342,-55494000,-37308000,-21500000,-155916000,- -,-15000000,-145351000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,18085993,26850000,42777000,30083000,23165000,13355000,28284000,22611000,5216000,- -,- -,- -,- -,50942000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-24899000,-1080000,-10000000,- -,- -,- -,304943000,428499000,14561000,1445000,154763000,7741000,-191176000,-176326000,-853544000,-5595000,-113839000,-328967000,-264338000,-7174000,-34040000
89,Cash Used for Investing Activites,- -,- -,-24899000,-1080000,-89188930,-310623644,-652267000,-565473000,-1872900000,168455000,-44754000,-47476000,-47774000,-68446000,-353998000,-207245000,-853544000,-7916000,-63881000,-329634000,-253193000,-7604000,-34040000
90,Debt Repayment,- -,- -,- -,- -,-64048857,-133386016,-524588000,-271444000,-832090000,-741634000,-196772000,-365702000,-235753000,-353409000,-184815000,-514657000,-1550299000,-559037000,-754836000,-2463100000,-272357000,-137849000,-189594000
91,Common Stock Issued,- -,- -,- -,- -,206581981,- -,145524000,290092000,548249000,- -,- -,70443000,86027000,- -,140111000,85840000,110870000,- -,- -,14752000,- -,31873000,562827000
92,Common Stock Repurchased,- -,- -,- -,- -,-224774569,- -,-582000,- -,-214619000,-106809000,-92445000,-50347000,-72986000,-499000,-401000,-458000,-52292000,-116479000,-219697000,-1598000,-1031000,-399000,- -
93,Dividends Paid,- -,- -,- -,- -,-1850750,-9512175,-38178000,-66093000,-124528000,-139974000,-23839000,-24008000,-56474000,-71564000,-78829000,-85417000,-91282000,-91465000,-101592000,-97445000,-86210000,-28619000,-18622000
94,Other Financing Activites,- -,- -,- -,- -,245810986,417725298,1024449000,488575000,2359010000,824345000,215767000,386965000,202286000,381609000,275320000,696901000,2227607000,732831000,912223000,2663205000,393977000,61235000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,161718791,274827107,606625000,441130000,1736022000,-164072000,-97289000,17351000,-76900000,-43863000,151386000,182209000,644604000,-34150000,-163902000,115814000,34379000,-73759000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,69000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,78264667,-29145095,10886000,15348000,18928000,149326000,-76429000,52522000,-50081000,18326000,-57155000,86283000,15000,132013000,-20401000,-32260000,-41605000,-230894000,- -
98,Cash at the End of Period,- -,- -,- -,- -,81233481,47108957,57995000,73343000,92271000,241597000,165168000,217690000,167609000,185935000,128780000,215063000,215078000,347091000,472072000,439812000,398207000,167313000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,2968814,76254052,47109000,57995000,73343000,92271000,241597000,165168000,217690000,167609000,185935000,128780000,215063000,215078000,492473000,472072000,439812000,398207000,- -
100,Free Cash Flow,- -,- -,1108000,623000,-73454124,-234233853,-595307000,-448696000,-2030689000,17650000,-7056000,20442000,6796000,130635000,145457000,111111000,208387000,175025000,207157000,181231000,176734000,-149531000,-144188000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1232582/000123258220000013/0001232582-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1232582/000123258221000060/0001232582-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1232582/000123258222000038/0001232582-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
