,https://roic.ai/company/KSPN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3054000,-743000,-1425000,2658000,-53000,-861000,-3000,-1755000,2616000,-914000,1182000,1423000
79,Inventory,- -,- -,- -,- -,-12000000,-53300000,17900000,-44800000,-50800000,16600000,27800000,31100000,-9900000,-22000000,-11285000,-7766000,66680000,8428000,5275000,-4009000,28534000,10520000,64619000,62053000,111620000,34891000,42837000,35898000,5262000,23790000,6331000,8650000,16892000,14535000,14183000,-6679000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39273000,-542000,-36866000,-13703000,-1439000,-14098000,-11639000,-4469000,-10527000,-7451000,-10209000,-5458000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218628000,253475000,278066000,257467000,266204000,251507000,213389000,181920000,158366000,164295000,189149000,194311000,173444000,161142000,98601000,92827000,65947000,22126000
82,Other Non-Cash Items,- -,- -,- -,- -,900000,-23600000,- -,-19200000,-22400000,12200000,38600000,19600000,54900000,-21500000,107546000,93181000,15698000,11248000,-211055000,-16657000,-40874000,23373000,-16407000,23062000,113885000,60738000,31221000,-8564000,-30382000,4993000,20412000,9927000,87852000,65490000,58058000,31291000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,20000000,1100000,28900000,7900000,3400000,16700000,24100000,44900000,93200000,41600000,212134000,167928000,72550000,-1771000,66180000,105931000,25247000,47268000,-25579000,-37232000,49789000,10464000,16771000,35633000,7308000,16808000,7963000,4436000,-13000,-25518000,-15827000,-13391000
84,CAPEX,- -,- -,- -,- -,-13600000,-25700000,-21900000,-19700000,-34500000,-23600000,-10000000,-10200000,-36400000,-39400000,-51234000,-32782000,-51056000,-40331000,-16989000,-33398000,-41330000,-48289000,-15949000,-10066000,-4586000,-2944000,-2105000,-3351000,-7828000,-8774000,-20700000,-24672000,-8407000,-3689000,-2823000,-1190000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56539000,- -,- -,-37044000,-2000000,- -,-78810000,- -,- -,- -,-1848000,- -,- -,- -,- -,- -,-36600000,-1474000,1347000,127000,11779000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1052000,-500000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,813000,4228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-600000,-1600000,- -,- -,- -,1700000,1900000,600000,2900000,-2077000,-1355000,-6721000,-34000,- -,- -,- -,- -,- -,6193000,- -,- -,- -,29057000,- -,- -,1567000,2839000,14363000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-13600000,-26300000,-23500000,-19700000,-34500000,-23600000,-8300000,-8300000,-35800000,-36500000,-53311000,-92676000,-57777000,-40365000,-54033000,-35398000,-40517000,-122871000,-15949000,-3873000,-4586000,-4792000,-2105000,25706000,-7828000,-8774000,-20185000,-57333000,4482000,-2342000,-2696000,10589000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3744000,-1974000,-1363000,-2572000,-936000,-1066000,-938000,-26192000,-11657000,-35734000,-22702000,-13149000
91,Common Stock Issued,- -,- -,- -,- -,200000,1000000,400000,10500000,100000,100000,- -,200000,1000000,39300000,9356000,837000,580000,255000,614000,2603000,4160000,643000,939000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-300000,- -,- -,- -,- -,-11469000,-85728000,-20236000,-11301000,-16952000,-40247000,-31270000,- -,- -,- -,- -,- -,- -,- -,-5393000,-3464000,-1085000,-2647000,-1000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14864000,- -,-16036000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-100000,-1700000,6700000,-12400000,48900000,71100000,-19000000,-69000000,-18500000,-22700000,-16095000,-5303000,-5258000,-4711000,-1640000,4957000,9821000,-3619000,-3386000,-3497000,- -,- -,- -,564000,4869000,67000,19000,21502000,6618000,34314000,35851000,13420000
