,https://roic.ai/company/ESGC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
34,Net Receivables,37148958,31265388,57468633,57822852,63740000,79656721,86333000,112260000,210131000,188599000,243015000,245079000,205145000,107253000
35,Inventory,1376471,2264429,2008562,1793921,1561000,1129645,793000,566000,475000,287000,214000,353000,435000,- -
36,Other Current Assets,565160,922839,583685,423438,- -,5504421,5893000,- -,2322000,1822000,6981000,6368000,55858000,4787000
37,Total Current Assets,85508572,122154115,115872878,147652480,191468000,231712956,202724000,258275000,366592000,373482000,362477000,339562000,351597000,118405000
38,PP&E,2965615,5531080,5662315,5431848,14075000,12622620,11680000,10166000,9272000,10686000,10354000,10013000,10921000,10746000
39,Goodwill,- -,- -,- -,- -,- -,- -,1878000,1878000,1878000,1878000,4992000,3800000,- -,- -
40,Intangible Assets,- -,256120568,328583069,365797572,438477000,490839367,551421000,593219000,735418000,811685000,922988000,1017823000,710366000,464824000
41,Intangible Assets,111673332,256120568,328583069,365797572,438477000,490839367,553299000,595097000,737296000,813563000,927980000,1021623000,710366000,464824000
42,Investments,- -,- -,- -,- -,- -,- -,30385000,30340000,29917000,30147000,29613000,27257000,2650000,140000
43,Tax Assets,- -,- -,- -,- -,265000,- -,569000,77000,151000,167000,112000,351000,1263000,742000
44,Other Non-Current Assets,395809,2349766,25381705,26691790,25556000,30792802,- -,12056000,6305000,18594000,12829000,11513000,12105000,12799000
45,Total Non-Current Assets,115034756,264001415,359627089,397921210,478373000,534254788,595933000,647736000,782941000,873157000,980888000,1070757000,737305000,489251000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,200543328,386155530,475499967,545573690,669841000,765967744,798657000,906011000,1149533000,1246639000,1343365000,1410319000,1088902000,607656000
48,Accounts Payable,9629388,15450111,17635006,17452032,23197000,10398482,13694000,10868000,10679000,15496000,12142000,16886000,25299000,21030000
49,Short-Term Debt,43763501,34768207,61378462,40478577,49611000,68526446,79902000,92879000,96397000,219275000,188964000,160861000,217274000,119439000
50,Tax Payable,561222,855363,443486,362730,429000,2609207,4167000,5874000,5958000,14537000,21597000,16437000,27936000,28069000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10642000,12260000,9827000
52,Other Current Liabilities,6275840,6602764,8280313,16436691,5008000,20988701,17131000,24833000,21405000,55916000,114995000,50938000,63839000,74984000
53,Total Current Liabilities,59668729,56821083,87293781,74367300,77816000,99913630,110727000,128580000,128481000,290687000,316101000,239327000,318672000,225280000
54,Long-Term Debt,- -,111687334,123865640,151440659,149310000,180768701,165898000,165254000,218273000,92630000,89841000,124983000,71920000,62114000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2326000,13271000,7793000
56,Deferred Tax Liabilities,- -,2699056,6915520,12581733,17340000,20009249,18839000,22260000,27086000,30842000,35973000,39519000,27427000,2688000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,11026418,17017000,11876000,19638000,23386000,17902000,747000,627000,1295000
58,Total Non-Current Liabilities,- -,114386390,130781160,164022392,166650000,211804368,201754000,199390000,264997000,146858000,143716000,167575000,113245000,73890000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1553000
61,Total Liabilities,59668729,171207473,218074942,238389692,244466000,311717998,312481000,327970000,393478000,437545000,459817000,406902000,431917000,299170000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20180362,20858146,21210076,21349486,21349000,21686939,22653000,26322000,30622000,30793000,31877000,35334000,39326000,66727000
64,Retained Earnings,48684532,87318431,128917088,171548666,205745000,242974250,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-22602478,-22298966,-22149980,-16210554,34141000,16497285,285810000,317351000,365208000,405984000,421012000,407007000,-18187000,-405665000
66,Other Total Stockholders Equity,94612183,127320028,127320539,128295734,128398000,135007709,130115000,184018000,301504000,303555000,351568000,423348000,500317000,588057000
67,Total Stockholders Equity,140874599,213197640,255297723,304983333,389633000,416166184,438578000,527691000,697334000,740332000,804457000,865689000,521456000,249119000
68,Total Liabilities And Stockholders Equity,200543328,384405112,473372665,543373025,634099000,727884181,751059000,855661000,1090812000,1177877000,1264274000,1272591000,953373000,548289000
69,Minority Interest,- -,1750417,2127302,2200665,35742000,38083563,47598000,50350000,58721000,68762000,79091000,137728000,135529000,59367000
70,Total Liabilities & Equity,200543328,386155530,475499967,545573690,669841000,765967744,798657000,906011000,1149533000,1246639000,1343365000,1410319000,1088902000,607656000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,29246558,37731215,40468813,42322582,44796000,37406096,27107000,29861000,40344000,3797000,3805000,-22575000,-423867000,-418992000
74,Depreciation and Amortization,- -,31533309,58295519,58493676,69042000,88078725,103673000,100987000,118951000,130588000,138214000,118276000,132418000,67913000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,588791,1315790,1130174,309611,927000,5288718,1888000,18421000,21915000,30992000,23471000,17918000,21561000,22268000
77,Change in Working Capital,-4111690,10246490,-30005404,9374833,-10243000,-21487214,-5387000,-30895000,-92547000,51336000,-68487000,-92751000,-157717000,-85890000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91317000,- -,- -
79,Inventory,80737,-887116,37196,335412,248000,340331,254000,216000,67000,189000,-412000,-219000,-99000,- -
80,Accounts Payable,- -,- -,- -,- -,-7873000,- -,13634000,927000,1361000,31457000,4172000,-1215000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,16025350,-1059776,-1699553,-2224948,-3861000,8417210,12229000,14158000,29292000,17886000,1990000,62375000,502571000,433439000
83,Cash Provided by Operating Activities,41749009,79767028,68189549,108275753,100661000,117703535,139510000,132532000,117955000,234599000,98993000,83243000,74966000,18738000
84,CAPEX,-92264897,-172997582,-131695314,-82204703,-140038000,-145471701,-187235000,-163364000,-278067000,-214455000,-174159000,-187991000,-109009000,-132647000
85,Acquisitions Net,-29366680,-1039930,- -,- -,- -,- -,- -,- -,- -,263000,- -,-9000,- -,- -
86,Purchases of Investments,- -,-2855839,-13220175,- -,- -,- -,- -,- -,-2465000,-230000,- -,- -,-1005000,-4013000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288000,- -,- -,650000
88,Other Investing Activites,- -,2314044,1785389,1518,1942000,3796373,4819000,3355000,-5400000,76000,-4018000,-27000,-49555000,51250000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,-8994207,- -,-20900247,- -,- -,-14321000,-21665000,-95852000,-99708000,-118347000,-157534000,-71253000,-85804000
91,Common Stock Issued,81400820,33386926,18598,- -,71063000,1513117,- -,50608000,110915000,11708000,31404000,16645000,54820000,5164000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,43763501,111687334,45531706,24186067,6380000,50242821,25792000,40454000,162498000,95597000,92872000,218304000,100550000,56354000
95,Cash Used/Provided by Financing Activities,125164321,136080053,45550304,3285821,77443000,51755938,11471000,69397000,177561000,7597000,5929000,77415000,84117000,-24286000
96,Effect of Forex Changes on Cash,- -,15877,-2496397,971328,-218000,-8537045,-4370000,-3102000,-8061000,-1731000,-238000,257000,5000,-460000
97,Net Change In Cash,46417982,41283649,-31886643,31801886,38554000,19255088,-35717000,37807000,8215000,29110000,-70507000,-24505000,1355000,-86554000
98,Cash at the End of Period,2654482,52933251,-5566465,47133691,126167000,76895723,109705000,145449000,153664000,182774000,112267000,87762000,89117000,2563000
99,Cash at the Beginning of Period,-43763501,11649602,26320179,15331805,87613000,57640635,145422000,107642000,145449000,153664000,182774000,112267000,87762000,89117000
100,Free Cash Flow,-50515888,-93230554,-63505765,26071051,-39377000,-27768166,-47725000,-30832000,-160112000,20144000,-75166000,-104748000,-34043000,-113909000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,
