,https://roic.ai/company/NLSN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,1316000000,1065000000,942000000,996000000,1006000000,864000000,1025000000,1074000000,1175000000,1435000000,1108000000,1052000000,953000000,561000000
57,Other Non-Current Liabilities,786000000,551000000,520000000,556000000,621000000,832000000,955000000,887000000,930000000,934000000,1091000000,983000000,653000000,389000000
58,Total Non-Current Liabilities,11067000000,10164000000,9926000000,8171000000,7856000000,8188000000,8445000000,8989000000,9843000000,10726000000,10479000000,9430000000,9978000000,6667000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481000000,358000000,126000000
61,Total Liabilities,13082000000,11788000000,11533000000,9863000000,9607000000,9723000000,10243000000,10676000000,11437000000,12423000000,12136000000,11931000000,11892000000,7324000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,18000000,22000000,22000000,30000000,30000000,32000000,32000000,32000000,32000000,32000000,32000000,32000000,32000000,32000000
64,Retained Earnings,-1248000000,-1739000000,-1609000000,-1525000000,-1252000000,-512000000,-128000000,341000000,456000000,411000000,-795000000,-1210000000,-1216000000,-253000000
65,Other Comprehensive Income/Loss,-288000000,-447000000,-562000000,-299000000,-333000000,-387000000,-777000000,-1059000000,-1211000000,-940000000,-1110000000,-1005000000,-1105000000,-738000000
66,Other Total Stockholders Equity,3511000000,4962000000,5036000000,6427000000,6485000000,6596000000,5929000000,5119000000,4825000000,4742000000,4720000000,4378000000,4340000000,- -
67,Total Stockholders Equity,1993000000,2798000000,2887000000,4633000000,4930000000,5729000000,5056000000,4433000000,4102000000,4245000000,2847000000,2195000000,2051000000,3314000000
68,Total Liabilities And Stockholders Equity,15075000000,14586000000,14420000000,14496000000,14537000000,15452000000,15299000000,15109000000,15539000000,16668000000,14983000000,14126000000,13943000000,10638000000
69,Minority Interest,16000000,14000000,9000000,8000000,48000000,78000000,77000000,194000000,191000000,198000000,196000000,193000000,192000000,182000000
70,Total Liabilities & Equity,15091000000,14600000000,14429000000,14504000000,14585000000,15530000000,15376000000,15303000000,15730000000,16866000000,15179000000,14319000000,14135000000,10820000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492633/000119312512072683/0001193125-12-072683-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000119312513070319/0001193125-13-070319-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459014000287/nlsnnv-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1492633/000156459015000780/nlsnnv-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1492633/000156459016012905/0001564590-16-012905-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459017001729/0001564590-17-001729-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459018001617/0001564590-18-001617-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459019005165/0001564590-19-005165-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459020007004/0001564590-20-007004-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459021008814/0001564590-21-008814-index.htm,https://www.sec.gov/Archives/edgar/data/1492633/000156459022007612/0001564590-22-007612-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-589000000,-491000000,130000000,84000000,273000000,740000000,384000000,570000000,502000000,429000000,-712000000,-415000000,-6000000,963000000
74,Depreciation and Amortization,504000000,562000000,558000000,529000000,520000000,521000000,573000000,574000000,603000000,640000000,675000000,756000000,864000000,548000000
75,Deferred Income Tax,-126000000,-304000000,-183000000,-124000000,47000000,-107000000,105000000,213000000,88000000,162000000,-514000000,5000000,-69000000,-116000000
76,Stock Based Compensation,18000000,14000000,18000000,27000000,34000000,47000000,47000000,48000000,51000000,45000000,35000000,50000000,53000000,37000000
77,Change in Working Capital,70000000,25000000,-74000000,-48000000,674000000,-378000000,- -,407000000,-43000000,-239000000,-870000000,834000000,251000000,-324000000
78,Accounts Receivable,- -,- -,- -,- -,-13000000,-84000000,-93000000,-35000000,53000000,10000000,95000000,4000000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-190000000,-55000000,-4000000,36000000,-63000000,31000000,-21000000,-20000000,-38000000,-184000000
81,Other Working Capital,22000000,47000000,-27000000,-75000000,599000000,221000000,221000000,628000000,585000000,346000000,-524000000,310000000,561000000,-36000000
82,Other Non-Cash Items,440000000,711000000,94000000,173000000,-764000000,78000000,-16000000,-633000000,95000000,273000000,2444000000,-164000000,-94000000,-442000000
83,Cash Provided by Operating Activities,317000000,517000000,543000000,641000000,784000000,901000000,1093000000,1179000000,1296000000,1310000000,1058000000,1066000000,999000000,666000000
84,CAPEX,-370000000,-282000000,-334000000,-367000000,-358000000,-374000000,-412000000,-408000000,-433000000,-489000000,-520000000,-519000000,-519000000,-341000000
85,Acquisitions Net,- -,- -,- -,-118000000,-164000000,-314000000,-320000000,-216000000,-251000000,-776000000,8000000,-44000000,-17000000,2249000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-367000000,-88000000,-187000000,-191000000,-226000000,-243000000,-249000000,-231000000,-282000000,-341000000,-408000000,-422000000,-434000000,-235000000
89,Cash Used for Investing Activites,-591000000,-227000000,-365000000,-486000000,-522000000,-687000000,-732000000,-581000000,-642000000,-1236000000,-506000000,-582000000,-537000000,1933000000
90,Debt Repayment,-63000000,-1321000000,-1232000000,-2116000000,-2230000000,-2171000000,-4598000000,-214000000,-1969000000,-2351000000,-895000000,-117000000,-3152000000,-3882000000
91,Common Stock Issued,- -,- -,- -,1809000000,- -,- -,- -,- -,- -,21000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-11000000,-466000000,-667000000,-418000000,-140000000,-70000000,- -,- -,- -
93,Dividends Paid,- -,- -,-2000000,- -,- -,-265000000,-356000000,-408000000,-434000000,-474000000,-494000000,-395000000,-86000000,-86000000
94,Other Financing Activites,430000000,1050000000,971000000,57000000,1932000000,2530000000,4835000000,827000000,2573000000,2729000000,783000000,-32000000,2931000000,1152000000
95,Cash Used/Provided by Financing Activities,367000000,-271000000,-263000000,-250000000,-298000000,83000000,-585000000,-462000000,-248000000,-215000000,-676000000,-544000000,-307000000,-2816000000
96,Effect of Forex Changes on Cash,-28000000,28000000,-8000000,-7000000,5000000,-21000000,-67000000,-52000000,-9000000,43000000,-8000000,-10000000,1000000,-13000000
97,Net Change In Cash,65000000,47000000,-93000000,-102000000,-31000000,276000000,-291000000,84000000,397000000,-98000000,-132000000,-70000000,156000000,-230000000
98,Cash at the End of Period,467000000,514000000,421000000,319000000,288000000,564000000,273000000,357000000,754000000,656000000,524000000,454000000,610000000,380000000
99,Cash at the Beginning of Period,402000000,467000000,514000000,421000000,319000000,288000000,564000000,273000000,357000000,754000000,656000000,524000000,454000000,610000000
100,Free Cash Flow,-53000000,235000000,209000000,274000000,426000000,527000000,681000000,771000000,863000000,821000000,538000000,547000000,480000000,325000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492633/000119312512072683/0001193125-12-072683-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000119312513070319/0001193125-13-070319-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459014000287/nlsnnv-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1492633/000156459015000780/nlsnnv-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1492633/000156459016012905/0001564590-16-012905-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459017001729/0001564590-17-001729-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459018001617/0001564590-18-001617-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459019005165/0001564590-19-005165-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459020007004/0001564590-20-007004-index.html,https://www.sec.gov/Archives/edgar/data/1492633/000156459021008814/0001564590-21-008814-index.htm,https://www.sec.gov/Archives/edgar/data/1492633/000156459022007612/0001564590-22-007612-index.htm
102,false,,,,,,,,,,,,,,
