,https://roic.ai/company/NXPL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-95000,- -,- -,-160386,-231885,50000,-49580,75000,1137933,125000,177500,- -,37043,2089708,-6598,439545,532030,793527,1565963,8155333
95,Cash Used/Provided by Financing Activities,43730,164300,230000,1019172,562915,828170,1778746,361512,1212933,675000,177500,- -,537043,2089708,242568,439545,532030,659327,1565963,20817317
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11414,-20678,27486,-1952,2544,-40680,43296
97,Net Change In Cash,6761,-6996,110,138233,-151794,-45288,-42742,361512,1212933,-79006,-15027,- -,537043,897437,-848596,118593,-90438,-67526,653400,16539216
98,Cash at the End of Period,6999,3,113,240194,88400,43112,370,- -,94053,15047,20,- -,77137,963329,114733,233326,142888,75362,728762,17267978
99,Cash at the Beginning of Period,238,6999,3,101961,240194,88400,43112,370,- -,94053,15047,20,- -,65892,963329,114733,233326,142888,75362,728762
100,Free Cash Flow,-36969,-171296,-229890,-1205343,-984809,-1330370,-2174347,-717479,-842837,-754006,-192527,-20,-459906,-711791,-1070484,-348438,-620516,-729397,-871883,-4321397
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1058307/000149315221006558/0001493152-21-006558-index.htm,https://www.sec.gov/Archives/edgar/data/1058307/000149315222008346/0001493152-22-008346-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
