,https://roic.ai/company/IMOS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
68,Total Liabilities And Stockholders Equity,25895807000,26699410000,27542348000,32013404000,30925406000,16262750000,18136088000,18036285000,34305887000,35080814000
69,Minority Interest,2136196000,2566475000,2506405000,2621685000,- -,10824062000,-18106844000,-18008299000,- -,- -
70,Total Liabilities & Equity,28032003000,29265885000,30048753000,34635089000,30925406000,27086812000,29244000,27986000,34305887000,35080814000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123134/000119312517129583/0001193125-17-129583-index.htm,https://www.sec.gov/Archives/edgar/data/1123134/000119312518121873/0001193125-18-121873-index.htm,https://www.sec.gov/Archives/edgar/data/1123134/000119312519117833/0001193125-19-117833-index.htm,https://www.sec.gov/Archives/edgar/data/1123134/000119312520115821/0001193125-20-115821-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,361891000,1119395000,2323254000,3318633000,2230469000,- -,2082000,2238000,2508574000,2378978000
74,Depreciation and Amortization,5786284000,4669896000,3294948000,2908965000,3021923000,- -,- -,- -,3731914000,4175519000
75,Deferred Income Tax,19731000,112568000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,44596000,162079000,191678000,228792000,158320000,- -,486858000,147000,822000,- -
77,Change in Working Capital,-281778000,-895774000,182903000,-721370000,775011000,-1095657000,474631000,-1195432000,695807000,-1035232000
78,Accounts Receivable,-970660000,-327661000,-4680000,-761759000,1023154000,- -,- -,- -,293504000,-910310000
79,Inventory,-122903000,-91301000,168486000,-185262000,36974000,- -,- -,- -,11193000,-334433000
80,Accounts Payable,440670000,-240653000,66722000,118126000,-366445000,215555000,-147596000,-50568000,181930000,170172000
81,Other Working Capital,-220159000,-92358000,15166000,1855000,-120886000,-13736000,29989000,-38331000,-40383000,-13875000
82,Other Non-Cash Items,-63014000,-219060000,-230248000,107266000,-620132000,1095657000,-963571000,1193047000,-954680000,420971000
83,Cash Provided by Operating Activities,5867710000,4949104000,5762535000,5842286000,5565591000,- -,- -,- -,5982437000,5940236000
84,CAPEX,-4137012000,-2707362000,-3251283000,-3119020000,-4428057000,59134000,306634000,18160000,-5440621000,-3961026000
85,Acquisitions Net,- -,- -,- -,- -,-116000000,- -,407727000,-794694000,1180179000,17000000
86,Purchases of Investments,-28584000,- -,- -,-209114000,- -,- -,- -,- -,- -,-17381000
87,Sales/Maturities of Investments,- -,528296000,1156030000,1109606000,-7822000,- -,- -,- -,30851000,- -
88,Other Investing Activites,411834000,71368000,151704000,3183000,47686000,-4476524000,-4207762000,-4352745000,-8250000,162056000
89,Cash Used for Investing Activites,-3753762000,-2107698000,-1943549000,-2215345000,-4504193000,-4417390000,-3493401000,-5129279000,-4237841000,-3799351000
90,Debt Repayment,-755226000,-200601000,-2227800000,-6695575000,-1508153000,- -,- -,- -,-1639566000,-5992449000
91,Common Stock Issued,- -,- -,- -,576746000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-633737000,- -,- -,- -,- -,- -
93,Dividends Paid,-139537000,- -,-421427000,-1037544000,-1999225000,-1792553000,-257026000,-256806000,-872718000,-1309032000
94,Other Financing Activites,-1991706000,-179898000,-18602000,6900216000,-105988000,-1431384000,-293795000,-2143605000,834958000,4581239000
95,Cash Used/Provided by Financing Activities,-2886469000,-380499000,-2667829000,-256157000,-4247103000,-3223937000,-550821000,-2400411000,-1677326000,-2720242000
96,Effect of Forex Changes on Cash,42515000,-36776000,241509000,223041000,-529000,-73447000,-38617000,7312000,-5708000,-11076000
97,Net Change In Cash,-730006000,2424131000,1392666000,3593825000,-3186234000,-4166087000,74451000,-3393192000,61562000,-590433000
98,Cash at the End of Period,6066286000,8490417000,9718077000,13311902000,10125668000,7961263000,8035714000,4642522000,4704084000,4113651000
99,Cash at the Beginning of Period,6796292000,6066286000,8325411000,9718077000,13311902000,12127350000,7961263000,8035714000,4642522000,4704084000
100,Free Cash Flow,1730698000,2241742000,2511252000,2723266000,1137534000,59134000,306634000,18160000,541816000,1979210000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1123134/000119312517129583/0001193125-17-129583-index.htm,https://www.sec.gov/Archives/edgar/data/1123134/000119312518121873/0001193125-18-121873-index.htm,https://www.sec.gov/Archives/edgar/data/1123134/000119312519117833/0001193125-19-117833-index.htm,https://www.sec.gov/Archives/edgar/data/1123134/000119312520115821/0001193125-20-115821-index.htm,- -
102,Forex Rate,0.033,0.03439,0.03351,0.0316,0.03044,0.0308,0.0337,0.03269,0.03342,0.03558
