,https://roic.ai/company/AIH,2016,2017,2018,2019,2020
56,Deferred Tax Liabilities,- -,2648000,1971000,12703000,13377000
57,Other Non-Current Liabilities,- -,- -,301000,- -,8181000
58,Total Non-Current Liabilities,- -,466758000,92746000,191235000,310662000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,201881000,214851000
61,Total Liabilities,- -,600224000,264038000,456537000,612350000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,259000,367000,469000,469000
64,Retained Earnings,- -,-113808000,-373920000,-242232000,-477905000
65,Other Comprehensive Income/Loss,- -,66684000,757000000,789285000,870355000
66,Other Total Stockholders Equity,- -,- -,- -,-41000,-2023000
67,Total Stockholders Equity,- -,-46865000,383447000,547481000,390896000
68,Total Liabilities And Stockholders Equity,- -,553359000,647485000,1004018000,1003246000
69,Minority Interest,- -,24625000,29054000,43117000,34840000
70,Total Liabilities & Equity,- -,577984000,676539000,1047135000,1038086000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1757143/000110465920053940/0001104659-20-053940-index.htm,https://www.sec.gov/Archives/edgar/data/1757143/000110465921058304/0001104659-21-058304-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,50350000,-76675000,-255237000,136309000,-235479000
74,Depreciation and Amortization,38729000,29111000,32140000,83834000,106405000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,47788000,78967000
77,Change in Working Capital,-36700000,-9152000,-64397000,-19795000,11733000
78,Accounts Receivable,-2776000,-4174000,-824000,1376000,-7781000
79,Inventory,-110000,-10969000,3395000,-3037000,-8971000
80,Accounts Payable,3866000,2708000,-2196000,-1567000,15969000
81,Other Working Capital,-10580000,-7884000,-25123000,-304000,-13145000
82,Other Non-Cash Items,-295000,133695000,292388000,-161375000,37531000
83,Cash Provided by Operating Activities,52084000,76979000,4894000,86761000,-843000
84,CAPEX,-39174000,-47658000,-46249000,-75998000,-45162000
85,Acquisitions Net,- -,-42405000,-2051000,-27276000,-49957000
86,Purchases of Investments,- -,- -,- -,-31231000,-21287000
87,Sales/Maturities of Investments,- -,- -,- -,6791000,- -
88,Other Investing Activites,-223000,20706000,-28615000,6656000,-17769000
89,Cash Used for Investing Activites,-38865000,-69195000,-76182000,-114172000,-127368000
90,Debt Repayment,- -,-65239000,-57881000,-229347000,-281236000
91,Common Stock Issued,- -,- -,25700000,181911000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1982000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,58626000,37052000,98922000,126997000,300915000
95,Cash Used/Provided by Financing Activities,58626000,-28187000,66741000,79561000,17697000
96,Effect of Forex Changes on Cash,-2684000,-3217000,1088000,454000,408000
97,Net Change In Cash,69161000,-23620000,-3459000,52604000,-110106000
98,Cash at the End of Period,129626000,106006000,102547000,154490000,44384000
99,Cash at the Beginning of Period,60465000,129626000,106006000,101886000,154490000
100,Free Cash Flow,12910000,29321000,-41355000,10763000,-46005000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1757143/000110465920053940/0001104659-20-053940-index.htm,https://www.sec.gov/Archives/edgar/data/1757143/000110465921058304/0001104659-21-058304-index.htm
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532
