,https://roic.ai/company/VOYA-PB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.1184,0.0041,0.0286,0.0630,0.0866,0.0709,0.0515,-0.0569,0.0613,0.0716,0.0749,0.0460,0.6565
22,Income Tax expense (Gain),-298000000,171000000,175000000,-5200000,-32500000,-1752200000,45900000,-214700000,740000000,55000000,-205000000,-18000000,-98000000
23,Net Income,-603200000,-122900000,-88100000,473000000,600500000,2299700000,408300000,-428000000,-2992000000,875000000,-301000000,-206000000,2126000000
24,Net Income ratio,-0.0644,-0.0133,-0.0091,0.0492,0.0686,0.2077,0.0360,-0.0397,-0.3472,0.1028,-0.0403,-0.0269,0.5026
25,EPS,-1.98,-0.40,-0.29,1.55,1.97,7.55,1.34,-1.41,-9.83,2.87,-0.99,-0.68,6.98
26,EPS Diluted,-1.98,-0.40,-0.29,1.55,1.97,7.55,1.34,-1.41,-9.83,2.87,-0.99,-0.68,6.98
27,Weighted Average Shares Outstanding,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996
28,Weighted Average Shares Outstanding Diluted,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996,304520996
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1535929/000153592920000012/0001535929-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1535929/000153592921000025/0001535929-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1535929/000153592922000018/0001535929-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,810000000,775000000,2227600000,3551500000,3241300000,2980300000,3043900000,1435000000,1869000000,1181000000,1723000000,1573000000
32,Short-Term Investments,- -,66998100000,72408000000,77905600000,70233200000,72720500000,70221800000,71352300000,50806000000,48150000000,- -,44079000000,34904000000
33,Cash and Short-Term Investments,- -,67808100000,73183000000,80133200000,73784700000,75961800000,73202100000,74396200000,52241000000,50019000000,1181000000,45802000000,36477000000
34,Net Receivables,- -,7758400000,7749400000,7379300000,6702200000,7116900000,7653700000,7482600000,7636000000,7097000000,- -,3557000000,13635000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49130000000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1181000000,229000000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,436500000,382500000,348500000,323700000,284400000,250800000,219500000,- -,- -,- -,- -,- -
42,Investments,- -,21335300000,24256800000,23131000000,24088700000,28276100000,29673700000,23806200000,17704000000,17196000000,- -,15251000000,41706000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,869000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15251000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,869000000,- -
46,Other Assets,- -,204376500000,203572800000,216394200000,221023200000,226951400000,218249600000,214235100000,222532000000,154682000000,167870000000,- -,171262000000
47,Total Assets,- -,204376500000,203572800000,216394200000,221023200000,226951400000,218249600000,214235100000,222532000000,154682000000,169051000000,1098000000,171262000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,5464600000,1054600000,1064600000,- -,- -,- -,- -,337000000,1000000,1000000,1000000,1000000
50,Tax Payable,- -,37000000,- -,11700000,44100000,84800000,70000000,- -,- -,- -,27000000,2000000,23000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1458000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1521000000,- -
53,Total Current Liabilities,- -,5464600000,1054600000,1064600000,- -,- -,- -,- -,337000000,1000000,1459000000,1522000000,1000000
54,Long-Term Debt,- -,4411600000,3400200000,7000500000,8676300000,10353800000,10442100000,5516700000,4170000000,3676000000,3042000000,3827000000,3475000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,26000000,513000000,1042700000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-786000000,- -
58,Total Non-Current Liabilities,- -,4437600000,3913200000,8043200000,8676300000,10353800000,10442100000,5516700000,4170000000,3676000000,3042000000,3041000000,3475000000
59,Other Liabilities,- -,195281700000,192505300000,207311600000,214185500000,218782000000,212415900000,205784700000,215326000000,149416000000,160404000000,170859000000,164915000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,196308700000,189646700000,200333000000,205509200000,208428200000,201973800000,200268000000,211493000000,145741000000,158821000000,169340000000,161441000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2300000,2600000,2600000,2700000,2700000,3000000,3000000,2000000,2000000,1000000
64,Retained Earnings,- -,-12969800000,-13108600000,-12755700000,-12143200000,-9841500000,-9406300000,-9843300000,-12719000000,-11732000000,- -,-4957000000,-1310000000
65,Other Comprehensive Income/Loss,- -,973300000,2595000000,3710700000,1849100000,3103700000,1424900000,2021700000,2731000000,607000000,3331000000,4898000000,2100000000
66,Other Total Stockholders Equity,- -,21037600000,27034700000,22917600000,23563700000,22843100000,21414500000,20812800000,19994000000,19335000000,6075000000,10167000000,7462000000
67,Total Stockholders Equity,- -,6830800000,12353900000,13874900000,13272200000,16107900000,13435800000,12993900000,10009000000,8213000000,9408000000,10110000000,8253000000
68,Total Liabilities And Stockholders Equity,- -,203139500000,202000600000,214207900000,218781400000,224536100000,215409600000,213261900000,221502000000,153954000000,168229000000,179450000000,169694000000
69,Minority Interest,- -,1237000000,1572200000,2186300000,2241800000,2415300000,2840000000,973200000,1030000000,728000000,822000000,-178352000000,1568000000
70,Total Liabilities & Equity,- -,204376500000,203572800000,216394200000,221023200000,226951400000,218249600000,214235100000,222532000000,154682000000,169051000000,1098000000,171262000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1535929/000153592920000012/0001535929-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1535929/000153592921000025/0001535929-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1535929/000153592922000018/0001535929-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-603200000,-122900000,-88100000,473000000,600500000,2299700000,408300000,-428000000,-2992000000,875000000,-301000000,-206000000,2126000000
74,Depreciation and Amortization,104000000,98700000,96000000,90500000,85400000,90600000,92500000,98600000,- -,- -,60000000,357000000,- -
75,Deferred Income Tax,-357700000,600100000,236600000,-44500000,-110800000,-1840600000,-18400000,-40800000,862000000,1000000,-332000000,-9000000,346000000
76,Stock Based Compensation,- -,- -,- -,- -,80000000,92600000,74000000,94100000,117000000,96000000,98000000,88000000,88000000
77,Change in Working Capital,928400000,- -,- -,- -,- -,- -,- -,- -,- -,-278000000,-1015000000,1293000000,-647000000
78,Accounts Receivable,144700000,-171900000,35000000,344100000,467800000,-414700000,-536800000,368800000,-345000000,773000000,111000000,462000000,-1474000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-278000000,-1293000000,- -,-703000000
82,Other Non-Cash Items,4795300000,1973800000,4112500000,2763100000,2608300000,2986300000,2689300000,3862100000,3591000000,1174000000,2800000000,-314000000,-1841000000
83,Cash Provided by Operating Activities,4866800000,2549700000,4357000000,3282100000,3263400000,3628600000,3245700000,3586000000,1578000000,1868000000,1310000000,1209000000,72000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,612800000,-22900000,-656900000,-352900000,-685800000,-2148500000,-2271400000,481600000,-85000000,328000000,-997000000,-707000000,-467000000
86,Purchases of Investments,-18483900000,-24937400000,-18660000000,-17334100000,-19062400000,-13013700000,-13715100000,-15037100000,-8846000000,-9015000000,-6510000000,-6911000000,-8109000000
87,Sales/Maturities of Investments,15786200000,21792600000,15539400000,13332200000,19105300000,11917600000,12116300000,11948800000,8592000000,8335000000,6615000000,5614000000,7172000000
88,Other Investing Activites,2365800000,1511500000,825800000,1978900000,-1242700000,-69300000,-403700000,-1076700000,-2089000000,70000000,-363000000,-457000000,1077000000
89,Cash Used for Investing Activites,280900000,-1656200000,-2951700000,-2375900000,-1885600000,-3313900000,-4273900000,-3683400000,-2428000000,-282000000,-1255000000,-2461000000,-327000000
90,Debt Repayment,-1935500000,-1578200000,-2600200000,-1268200000,-2997200000,-75800000,-509900000,-1163300000,-1294000000,-1366000000,-1016000000,-991000000,-1770000000
91,Common Stock Issued,- -,- -,- -,- -,571600000,- -,- -,1300000,3000000,3000000,3000000,4000000,4000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-789400000,-1486600000,-687200000,-923000000,-1025000000,-1136000000,-516000000,-1113000000
93,Dividends Paid,- -,- -,- -,- -,-5200000,-10100000,-9000000,-8000000,-8000000,-6000000,-72000000,-112000000,-116000000
94,Other Financing Activites,-4158400000,30600000,1217600000,1510800000,2107000000,250700000,3015500000,2352600000,1877000000,630000000,2100000000,3317000000,2730000000
95,Cash Used/Provided by Financing Activities,-6093900000,-1547600000,-1382600000,242600000,-323800000,-624600000,1010000000,495400000,-345000000,-1764000000,-121000000,1702000000,-265000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-946200000,-654100000,22700000,1148800000,1054000000,-309900000,-18200000,398000000,-1195000000,-178000000,-66000000,450000000,-520000000
98,Cash at the End of Period,1269400000,615300000,638000000,1786800000,2840800000,2530900000,2512700000,2910700000,1716000000,1538000000,1472000000,1922000000,1402000000
99,Cash at the Beginning of Period,2215600000,1269400000,615300000,638000000,1786800000,2840800000,2530900000,2512700000,2911000000,1716000000,1538000000,1472000000,1922000000
100,Free Cash Flow,4866800000,2549700000,4357000000,3282100000,3263400000,3628600000,3245700000,3586000000,1578000000,1868000000,1310000000,1209000000,72000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1535929/000153592920000012/0001535929-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1535929/000153592921000025/0001535929-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1535929/000153592922000018/0001535929-22-000018-index.htm
102,false,,,,,,,,,,,,,
