,https://roic.ai/company/FULC,2017,2018,2019,2020,2021
74,Depreciation and Amortization,715000,1345000,2053000,2379000,2515000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,1371000,2159000,4224000,7350000,11070000
77,Change in Working Capital,804000,71313000,18077000,4842000,114014000
78,Accounts Receivable,- -,- -,- -,-2000000,-500000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,208000,-20000,803000,1773000,973000
81,Other Working Capital,-1447000,69866000,87943000,92785000,206799000
82,Other Non-Cash Items,- -,-64791000,18840000,2593000,-125230000
83,Cash Provided by Operating Activities,-20074000,-22562000,-39483000,-53655000,-78478000
84,CAPEX,-1908000,-8981000,-853000,-1342000,-1713000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-124270000,-216234000
87,Sales/Maturities of Investments,- -,- -,- -,68474000,88278000
88,Other Investing Activites,- -,- -,-91000,- -,- -
89,Cash Used for Investing Activites,-1908000,-8981000,-944000,-57138000,-129669000
90,Debt Repayment,- -,-70000,-45000,-50000,-18000
91,Common Stock Issued,41000,12000,64173000,69946000,182857000
92,Common Stock Repurchased,- -,- -,-34000,-193000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,17621000,105083000,249000,1429000,3668000
95,Cash Used/Provided by Financing Activities,17662000,105025000,64343000,71132000,186507000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-4320000,73482000,23916000,-39661000,-21640000
98,Cash at the End of Period,407000,73889000,97805000,58144000,36504000
99,Cash at the Beginning of Period,4727000,407000,73889000,97805000,58144000
100,Free Cash Flow,-21982000,-31543000,-40336000,-54997000,-80191000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680581/000156459020008951/0001564590-20-008951-index.htm,https://www.sec.gov/Archives/edgar/data/1680581/000156459021010715/0001564590-21-010715-index.htm,https://www.sec.gov/Archives/edgar/data/1680581/000095017022002727/0000950170-22-002727-index.htm
102,false,,,,,
