,https://roic.ai/company/BHR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,2721000,2631000,2542000,23160000,22846000,22545000,27678000,5019000,4640000,4261000
42,Investments,- -,- -,765326000,- -,58742000,8407000,18124000,11880000,1899000,1708000,1689000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,775518000,8565000,996238000,1095530000,1018950000,1156518000,1314504000,1495022000,1439488000,1469324000
45,Total Non-Current Assets,- -,778239000,776522000,998780000,1177432000,1050203000,1197187000,1354062000,1584536000,1527096000,1555736000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,847280000,962407000,1229508000,1352750000,1256997000,1423819000,1636487000,1758947000,1674021000,1879522000
48,Accounts Payable,- -,18109000,17279000,29273000,43568000,44791000,56803000,64116000,94919000,61758000,96316000
49,Short-Term Debt,- -,- -,- -,- -,80000000,566101000,200098000,- -,502500000,42500000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,585000,14924000,5821000,11494000,13596000,11558000,14372000,15172000,6901000,4257000
53,Total Current Liabilities,- -,18694000,32203000,35094000,135062000,624488000,268459000,78488000,612591000,111159000,100573000
54,Long-Term Debt,- -,570809000,621882000,765230000,755592000,198515000,620861000,985873000,555986000,1088094000,1233615000
55,Deferred Revenue,- -,633000,474000,316000,158000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4766000,164447000,154425000,128892000,130561000,157947000,180041000,227116000,213598000,21469000
58,Total Non-Current Liabilities,- -,576208000,786803000,919971000,884642000,329076000,778808000,1165914000,783102000,1301692000,1255084000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,649000,- -,- -,- -,- -,- -,61118000,60917000,60937000
61,Total Liabilities,- -,594902000,819006000,955065000,1019704000,953564000,1047267000,1244402000,1395693000,1412851000,1355657000
62,Preferred Stock,- -,- -,- -,- -,62248000,65960000,106123000,106139000,106936000,106965000,105496000
63,Common Stock,- -,- -,161000,254000,285000,260000,321000,325000,329000,382000,653000
64,Retained Earnings,- -,-32513000,-101062000,-96404000,-99773000,-93254000,-88807000,-115410000,-150629000,-266010000,-309240000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,284891000,246928000,375054000,438347000,401790000,469791000,512545000,519551000,541870000,707418000
67,Total Stockholders Equity,- -,239863000,146027000,278904000,401107000,374756000,487428000,503599000,476187000,383207000,504327000
68,Total Liabilities And Stockholders Equity,- -,834765000,965033000,1233969000,1420811000,1328320000,1534695000,1748001000,1871880000,1796058000,1859984000
69,Minority Interest,- -,12515000,-2626000,-4461000,-68061000,-71323000,-110876000,-111514000,-112933000,-122037000,19538000
70,Total Liabilities & Equity,- -,847280000,962407000,1229508000,1352750000,1256997000,1423819000,1636487000,1758947000,1674021000,1879522000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1574085/000157408514000026/0001574085-14-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408515000018/ahp2014q410-k.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408516000151/0001574085-16-000151-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408517000016/0001574085-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408518000019/0001574085-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408519000018/0001574085-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408520000010/0001574085-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408521000029/0001574085-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408522000032/0001574085-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,626000,-4545000,-11782000,1939000,-6712000,19316000,23022000,1320000,371000,-105262000,-26664000
74,Depreciation and Amortization,29602000,29334000,30646000,40472000,43718000,46004000,52442000,57577000,70763000,74205000,74274000
75,Deferred Income Tax,- -,- -,- -,- -,-1093000,1089000,615000,-807000,764000,-956000,-174000
76,Stock Based Compensation,- -,- -,342000,2351000,3847000,4156000,-1327000,7004000,7943000,7892000,10183000
77,Change in Working Capital,-5884000,- -,103335000,41952000,-155378000,-457950000,375867000,245764000,-642117000,473946000,11117000
78,Accounts Receivable,-2588000,548000,220000,-3433000,1923000,-5617000,6901000,5249000,-5788000,4057000,-11036000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,4057000,- -
80,Accounts Payable,1561000,-1621000,-1940000,4360000,5416000,3277000,782000,-8172000,13394000,- -,- -
81,Other Working Capital,50347000,50347000,153682000,195634000,40256000,-417694000,-41827000,203937000,-438180000,35766000,-15550000
82,Other Non-Cash Items,-8949000,3063000,-88456000,-31860000,125008000,444476000,-380011000,-240125000,628538000,-500112000,-4786000
83,Cash Provided by Operating Activities,15395000,27852000,34085000,54854000,9390000,57091000,70608000,70733000,66262000,-50287000,63950000
84,CAPEX,-10281000,-11944000,-28354000,-193146000,-163424000,59309000,-188149000,-197188000,-248010000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-16623000,- -,- -,-2000000,265000,-26000,-233000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,43489000,2289000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-19617000,-3207000,-2513000,11918000,32364000,21320000,-16515000,-41443000
89,Cash Used for Investing Activites,-10281000,-11944000,-28354000,-212763000,-183254000,100285000,-173942000,-166824000,-226425000,-16541000,-41676000
90,Debt Repayment,-4717000,-7187000,-148594000,-8180000,-76998000,-73268000,-464228000,-400551000,-257086000,-47822000,-84224000
91,Common Stock Issued,- -,- -,177740000,143932000,3094000,- -,66442000,- -,- -,13259000,102461000
92,Common Stock Repurchased,- -,- -,- -,-15448000,-8876000,-39228000,-395000,-323000,-384000,-263000,-376000
93,Dividends Paid,-21963000,-24068000,-85700000,-6402000,-11819000,-16879000,-27101000,-30328000,-33409000,-16154000,-9088000
94,Other Financing Activites,23606000,19209000,174286000,71670000,202063000,-6250000,549313000,600439000,322937000,100575000,119177000
95,Cash Used/Provided by Financing Activities,-3074000,-12046000,117732000,185572000,107464000,-135625000,124031000,169237000,32058000,49595000,127950000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2040000,3862000,123463000,27663000,-66400000,21751000,20697000,73146000,-128105000,-17233000,150224000
98,Cash at the End of Period,16451000,20313000,143776000,171439000,105039000,126790000,185342000,258488000,130383000,113150000,263374000
99,Cash at the Beginning of Period,14411000,16451000,20313000,143776000,171439000,105039000,164645000,185342000,258488000,130383000,113150000
100,Free Cash Flow,15395000,27852000,34085000,54854000,9390000,57091000,70608000,70733000,66262000,-50287000,63950000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1574085/000157408514000026/0001574085-14-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408515000018/ahp2014q410-k.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408516000151/0001574085-16-000151-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408517000016/0001574085-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408518000019/0001574085-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408519000018/0001574085-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408520000010/0001574085-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1574085/000157408521000029/0001574085-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1574085/000157408522000032/0001574085-22-000032-index.htm
102,false,,,,,,,,,,,
