,https://roic.ai/company/HYRE,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,41383,1330148,-362530,1375704,407300,2452596
81,Other Working Capital,227298,-1337331,5030694,1016421,791398,193284
82,Other Non-Cash Items,7500,2982149,-3920933,- -,-2182,-1944096
83,Cash Provided by Operating Activities,-662262,-2517531,-6515069,-8113762,-7804704,-17709179
84,CAPEX,- -,- -,-233136,-1207,-2247,-366435
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-34825,-142979,35460,-5000,- -,-366435
89,Cash Used for Investing Activites,-34825,-142979,-197676,-6207,-2247,-366435
90,Debt Repayment,- -,- -,-350000,- -,-5000,-5000
91,Common Stock Issued,- -,2164029,12600000,12075000,- -,29727500
92,Common Stock Repurchased,- -,- -,-1260000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1203000,194262,2273672,-62761,2078326,-1822994
95,Cash Used/Provided by Financing Activities,1203000,2358291,13263672,12012239,2073326,27899506
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,505913,-302219,6550926,3892270,-5733625,9823892
98,Cash at the End of Period,516163,213944,6764870,10657140,4923515,14747407
99,Cash at the Beginning of Period,10250,516163,213944,6764870,10657140,4923515
100,Free Cash Flow,-662262,-2517531,-6748205,-8114969,-7806951,-18075614
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1713832/000121390019005139/0001213900-19-005139-index.htm,https://www.sec.gov/Archives/edgar/data/1713832/000121390020009200/0001213900-20-009200-index.htm,https://www.sec.gov/Archives/edgar/data/1713832/000121390021018852/0001213900-21-018852-index.htm,https://www.sec.gov/Archives/edgar/data/1713832/000143774922006291/0001437749-22-006291-index.htm
102,false,,,,,,
