,https://roic.ai/company/ASM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-203.8366,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4447,0.2118,0.2530,0.1542,0.1883,0.1626,0.0596,-0.0935,-0.5549,-0.1441
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-33231,-17271,-500514,81062,-228786,332088,84719,261674,2405214,2039648,1772445,4106205,2770589,407000,-633000,-1408000,439000
23,Net Income,- -,-275236,-1389808,-482719,-746930,-2075043,-122890,-336295,-657146,-2072251,-884857,-1264483,-943328,-1489956,-4098287,-1269743,796615,2165781,348366,1482389,2653461,1626000,-31461000,-7651000,-2057000
24,Net Income ratio,- -,-4.0000,-21.0000,-7.0000,-559245.4413,-Infinity,-949.1929,-53.6921,-194.0248,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5601,0.0527,0.1303,0.0253,0.0499,0.0795,0.0477,-0.9910,-0.4775,-0.1832
25,EPS,- -,-0.08,-0.32,-0.10,-0.16,-0.43,-0.02,-0.05,-0.06,-0.19,-0.04,-0.06,-0.05,-0.07,-0.16,-0.05,0.03,0.07,0.01,0.05,0.05,0.03,-0.45,-0.09,-0.02
26,EPS Diluted,- -,-0.08,-0.32,-0.10,-0.16,-0.43,-0.02,-0.05,-0.06,-0.19,-0.04,-0.06,-0.05,-0.07,-0.16,-0.05,0.03,0.07,0.01,0.05,0.05,0.03,-0.45,-0.09,-0.02
27,Weighted Average Shares Outstanding,- -,3636364,4375000,4666667,4577686,4872966,5625498,7015604,10410379,10965718,22144908,20584727,20584727,21059008,26795632,27072053,27405179,32333224,36229424,42695999,52523454,56851626,69980178,83180069,100161357
28,Weighted Average Shares Outstanding Diluted,- -,3636364,4375000,4666667,4577686,4872966,5713525,7491525,10516775,10965718,22144908,20584727,20584727,21059008,26795632,27072053,27701403,33273740,36723725,43791451,53320009,60000637,69980178,83180069,100161357
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316888/000101241006000138/avinoform20-f.htm,- -,https://www.sec.gov/Archives/edgar/data/316888/000106299309002484/form20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793210000380/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793211001029/avino_20f.htm,- -,https://www.sec.gov/Archives/edgar/data/316888/000147793213002381/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793214001875/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793215003004/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793216009599/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793217001115/0001477932-17-001115-index.html,https://www.sec.gov/Archives/edgar/data/316888/000147793218001656/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793219001137/0001477932-19-001137-index.html,https://www.sec.gov/Archives/edgar/data/316888/000147793220001510/0001477932-20-001510-index.html,https://www.sec.gov/Archives/edgar/data/316888/000147793221001525/0001477932-21-001525-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,137618,66181,- -,4185,831,13212,2137703,1841902,2682009,6335274,2937749,2702325,9050008,5173814,4056959,3606032,3660901,5386746,11767449,3419532,3252000,9625000,11713000,24765000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9989584,1000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,137618,66181,- -,4185,831,13212,2137703,1841902,2682009,6335274,2937749,2702325,9050008,5173814,4056959,3606032,3660901,5386746,21757033,4419532,3252000,9625000,11713000,24765000
34,Net Receivables,- -,137618,- -,- -,6598,5197,1998,24142,26729,30614,413262,320416,84873,355403,1135562,454292,1633106,3641688,4888233,6572572,11003772,9434000,6960000,5573000,4572000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2237407,1741661,3277002,3323677,5797967,9102257,9231000,5592000,1659000,5179000
36,Other Current Assets,- -,0,198544,- -,1374,22108,105359,2177,18026,95559,32280,9439,47382,30458,84491,126941,670536,699998,848210,964171,2065223,1030000,594000,757000,962000
37,Total Current Assets,- -,275236,264725,- -,12157,28136,120570,2164022,1886657,2808182,6780816,3267604,2834581,9435869,6393867,6875600,7651335,11279590,14446867,35091742,26590784,22947000,22771000,19702000,35478000
38,PP&E,- -,3371637,2316347,2206714,2161567,1008961,134069,172177,256761,393957,14166079,13177927,15307661,17085594,18901394,19236133,24653956,41419924,48360950,58469519,75289475,85524000,45485000,44898000,46728000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87526,200111,522776,298133,210461,139974,80879,27897,26689,33773,10000,3197000,4176000,3939000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2133076,1654533,1792955,1183167,375113,280680,322328,344486,258917,219965,4519,-0,0,5387,5529,5165,125338,104851,108251,713830,107000,1118000,4000,133000
45,Total Non-Current Assets,- -,5504713,3970880,3999669,3344733,1384074,414749,494505,601247,652875,14386044,13269972,15507772,17608371,19204914,19452122,24799096,41626141,48493697,58604459,76037078,85641000,49800000,49078000,50800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5779949,4235606,3999669,3356890,1412210,535319,2658527,2487904,3461056,21166860,16537576,18342353,27044240,25598781,26327722,32450431,52905731,62940565,93696202,102627862,108588000,72571000,68780000,86278000
48,Accounts Payable,- -,68809,66181,68960,87880,45162,10467,34326,52049,54829,520118,- -,- -,- -,588616,1151701,1325119,3418712,3011170,3723371,3511720,5885000,4907000,2068000,3260000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157032,550208,1113249,6122837,7070987,5964764,2484000,4275000,2793000,389000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39959,855495,829597,816434,525378,167000,46000,7000,31000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,573000,- -,- -,- -
52,Other Current Liabilities,- -,137618,- -,68960,212600,209241,239314,196398,114250,158645,176587,472643,522559,643234,199572,175622,187252,1046789,986565,1015620,711941,899000,380000,161000,194000
53,Total Current Liabilities,- -,206427,66181,137920,300480,254403,249781,230725,166299,213474,696705,472643,522559,643234,788188,1484355,2062579,5578750,10120572,11809978,10188425,9841000,9562000,5022000,3843000
54,Long-Term Debt,- -,1032134,860357,965437,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5846593,5851299,5064484,6295000,2603000,- -,680000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1832830,1588800,1617808,2025824,2062053,2377971,4587028,4855906,3525943,4683431,4548000,3903000,2938000,1369000,1781000
57,Other Non-Current Liabilities,- -,-68809,66181,-68960,945581,1027356,- -,- -,-1,299590,- -,- -,- -,- -,285994,403960,2746992,3663302,6019286,9959255,14032039,13381000,3545000,3381000,1467000
58,Total Non-Current Liabilities,- -,963325,926539,896478,945581,1027356,- -,- -,-1,299590,1832830,1588800,1617808,2025824,2348047,2781932,7334020,8519208,15391822,20493986,23644523,23579000,9086000,4750000,3928000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-2,- -,3665662,- -,- -,- -,- -,5563863,- -,- -,30783643,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236173,1574821,2842148,2969886,2808745,2349150,1819000,1134000,486000,1069000
61,Total Liabilities,- -,1169752,992720,1034397,1246061,1281759,249781,230725,166299,513064,2529537,2061443,2140368,2669058,3136235,4266287,9396599,14097958,25512393,32303964,33832948,33420000,18648000,9772000,7771000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42306829,40182229,50485759,44868057,68095724,81467603,88045000,96396000,108303000,129953000
64,Retained Earnings,- -,-3853299,-5095963,-5792624,-6355762,-8076743,-8540302,-10143849,-11738412,-14961870,-21619455,-19049240,-23083453,-25656773,-27737259,-29611410,-26768658,-22332026,-18308435,-17246487,-19083196,-16505000,-47204000,-54339000,-55953000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,54612,62715,323531,216632,4624,-85099,-5777,307225,-257003,9468415,9735933,10741793,10941958,10618791,6507607,3725000,4828000,5141000,4604000
66,Other Total Stockholders Equity,- -,8463497,8338848,8757896,8466591,8207193,8825839,12572188,14061567,17912401,- -,33534558,39298337,50049292,50451195,-102398,-95672,-87753,-73409,-75790,-97100,-97000,-97000,-97000,-97000
67,Total Stockholders Equity,- -,4610197,3242886,2965272,2110829,130450,285537,2427802,2321606,2947994,18637324,14476133,16201985,24375182,22462546,22061436,23053831,38807773,37428171,61392238,68794914,75168000,53923000,59008000,78507000
68,Total Liabilities And Stockholders Equity,- -,5779949,4235606,3999669,3356890,1412210,535319,2658527,2487904,3461057,21166861,16537576,18342353,27044240,25598781,26327722,32450431,52905731,62940565,93696202,102627862,108588000,72571000,68780000,86278000
69,Minority Interest,- -,- -,- -,- -,-0,- -,-0,-0,0,-1,-1,0,- -,- -,0,-0,- -,-0,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,5779949,4235606,3999669,3356890,1412210,535319,2658527,2487904,3461056,21166860,16537576,18342353,27044240,25598781,26327722,32450431,52905731,62940565,93696202,102627862,108588000,72571000,68780000,86278000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316888/000101241006000138/avinoform20-f.htm,- -,https://www.sec.gov/Archives/edgar/data/316888/000106299309002484/form20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793210000380/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793211001029/avino_20f.htm,- -,https://www.sec.gov/Archives/edgar/data/316888/000147793213002381/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793214001875/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793215003004/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793216009599/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793217001115/0001477932-17-001115-index.html,https://www.sec.gov/Archives/edgar/data/316888/000147793218001656/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793219001137/0001477932-19-001137-index.html,https://www.sec.gov/Archives/edgar/data/316888/000147793220001510/0001477932-20-001510-index.html,https://www.sec.gov/Archives/edgar/data/316888/000147793221001525/0001477932-21-001525-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-275236,-1389808,-482719,-746930,-2075043,-122890,-336295,-657146,-2072251,-884857,-1264483,-943328,-1489956,-4098287,-1269743,796615,2165781,348366,1482389,2653461,1626000,-31461000,-7651000,-2057000
74,Depreciation and Amortization,- -,68809,66181,68960,27473,- -,- -,537,977,857,2044,2357,2223,3833,786,195464,892224,15814,13085,11836,14761,25000,43000,116000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17271,-500514,- -,-228786,332088,84720,214791,2365255,471009,-813000,991074,-140315,-645000,-960000,-1569000,412000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,579008,227187,361726,2477591,18504,853106,846598,29416,1201566,2018363,630000,937000,1857000,1469000
77,Change in Working Capital,- -,- -,-66181,275839,188770,163136,-8747,48395,-96913,-114143,-986043,-239381,215872,-75799,59218,-721844,-1139574,-1259114,-2216625,-636854,-9077103,4999000,4162000,2551000,-1548000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625485,-1099812,-968075,-836962,-271507,-1584985,543000,2615000,1211000,-680000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2237407,348781,-1679507,-374341,369179,-2564647,-42000,3182000,4150000,-3664000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,826966,249068,1674226,151277,614547,-136244,2329000,-941000,-2877000,1240000
81,Other Working Capital,- -,- -,- -,- -,188770,163136,-8747,48395,- -,- -,65695,- -,- -,- -,- -,- -,- -,9,- -,- -,- -,573000,-573000,- -,-1000
82,Other Non-Cash Items,- -,-481662,1058901,137920,548945,1918987,15080,30770,32537,1304658,27833,175556,589238,42471,208586,95515,-26582,220119,749208,1946839,2363895,2589000,32786000,4768000,1833000
83,Cash Provided by Operating Activities,- -,-688089,-330907,- -,18257,7080,-116557,-256593,-720546,-898150,-2341537,-746942,-137594,-825636,-1267386,-1467313,3741045,2460208,-1889551,4996849,-2166938,9224000,5507000,72000,109000
84,CAPEX,- -,-206427,-66181,- -,-17812,-17699,- -,-18750,-73723,-205502,-2361677,-1526878,-574502,-1181261,-2898366,-951204,-3113529,-4714413,-3681611,-3817819,-6608168,-9416000,-3276000,-2014000,-1913000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79934,- -,- -,- -,- -,6599000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2623,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9989584,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,1000000,23000,78000,- -
88,Other Investing Activites,- -,- -,330907,-68960,- -,-76453,751,-7547,- -,45472,- -,- -,- -,- -,-1445425,1108541,-763803,-7257034,-2721611,-4139740,-5526937,-4813000,-7080000,-231000,-1294000
89,Cash Used for Investing Activites,- -,-206427,264725,-68960,-17812,-94152,751,-26297,-73723,-162654,-2361677,-1526878,-574502,-1181261,-2898366,157337,-3877332,-11891513,-6403222,-17947142,-3135105,-13229000,-3734000,-2167000,-3207000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43192,-315121,-812913,-1275998,-2734863,-3094898,-4611000,-2313000,-4190000,-3049000
91,Common Stock Issued,- -,963325,66181,- -,- -,- -,128154,2405421,351508,1745929,5933,- -,- -,8227753,578365,75993,279107,10551537,1717631,22364445,39912,8466000,7283000,8393000,18098000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,83950,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,-0,- -,9973409,- -,- -,- -,- -,- -,1043000
95,Cash Used/Provided by Financing Activities,- -,963325,66181,- -,- -,83950,128154,2405421,351508,1745929,5933,- -,- -,8227753,578365,32801,-36013,9738624,10415042,19629582,-3054986,3855000,4970000,4203000,16092000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104468,24218,-12143,46039,201982,-473282,-3157,-18000,-370000,-20000,58000
97,Net Change In Cash,- -,- -,-66181,- -,445,-3121,12347,2122531,-442761,685125,-4697282,-2273821,-712096,6220856,-3691855,-1252957,-184444,353358,2324251,6206007,-8360186,-168000,6373000,2088000,13052000
98,Cash at the End of Period,- -,137618,66181,- -,4185,831,13212,2137703,1841902,2682009,6335274,2937749,2702325,9050008,5173814,4056959,3606032,3660901,5386746,11767449,3419532,3252000,9625000,11713000,24765000
99,Cash at the Beginning of Period,- -,- -,132363,68960,3740,3952,866,15173,2284663,1996883,11032556,5211570,3414422,2829152,8865669,5309916,3790476,3307544,3062495,5561442,11779718,3420000,3252000,9625000,11713000
100,Free Cash Flow,- -,-894516,-397088,- -,445,-10619,-116557,-275343,-794269,-1103652,-4703214,-2273821,-712096,-2006897,-4165752,-2418517,627516,-2254206,-5571162,1179031,-8775106,-192000,2231000,-1942000,-1804000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316888/000101241006000138/avinoform20-f.htm,- -,https://www.sec.gov/Archives/edgar/data/316888/000106299309002484/form20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793210000380/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793211001029/avino_20f.htm,- -,https://www.sec.gov/Archives/edgar/data/316888/000147793213002381/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793214001875/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793215003004/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793216009599/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793217001115/0001477932-17-001115-index.html,https://www.sec.gov/Archives/edgar/data/316888/000147793218001656/avino_20f.htm,https://www.sec.gov/Archives/edgar/data/316888/000147793219001137/0001477932-19-001137-index.html,https://www.sec.gov/Archives/edgar/data/316888/000147793220001510/0001477932-20-001510-index.html,https://www.sec.gov/Archives/edgar/data/316888/000147793221001525/0001477932-21-001525-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
