,https://roic.ai/company/PANL,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-5869085,-11153901,-7159343,-3733026,-6068102,-12089092,-6209344,-7004988,-6498501
20,Income Before Tax,- -,15514521,-13647946,13367087,9158811,9100655,23981646,17048868,12692110,72373704
21,Income Before Tax Ratio,- -,0.0395,-0.0343,0.0465,0.0385,0.0236,0.0643,0.0414,0.0331,0.1008
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,15452369,-12128449,11276193,7456955,7812794,17757020,11657958,11352180,72373704
24,Net Income ratio,- -,0.0394,-0.0305,0.0392,0.0313,0.0203,0.0476,0.0283,0.0296,0.1008
25,EPS,- -,-0.65,-1.61,0.32,0.21,0.20,0.42,0.27,0.26,1.53
26,EPS Diluted,- -,-0.65,-1.61,0.32,0.21,0.20,0.42,0.27,0.26,1.50
27,Weighted Average Shares Outstanding,- -,13421955,18726308,34784733,35158917,38414383,42248776,42752413,43417879,43997311
28,Weighted Average Shares Outstanding Diluted,- -,13421955,18726308,34957542,35376950,38925745,42783586,43267178,43817348,44848997
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1606909/000160690916000185/0001606909-16-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690917000022/0001606909-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690918000033/0001606909-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690919000010/0001606909-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690920000018/0001606909-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690921000035/0001606909-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690922000032/0001606909-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,485007,29817507,37520240,22322949,34531812,53614735,50555091,46897216,56208902
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,15,- -
33,Cash and Short-Term Investments,- -,485007,29817507,37520240,22322949,34531812,53614735,50555091,46897231,56208902
34,Net Receivables,- -,- -,27362216,19617943,20476797,27242637,30961587,34775470,35975562,54259265
35,Inventory,- -,- -,15601659,7490590,13202937,15356712,19222087,21001010,15966247,27147760
36,Other Current Assets,- -,46333,12092038,4682633,12541583,5879060,9707751,20623909,14192521,46347687
37,Total Current Assets,- -,531340,84873420,69311406,68544266,83010221,113506160,126955480,113031561,183963614
38,PP&E,- -,- -,207667613,255145807,275265672,336286867,337468462,335090162,321981949,517108569
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,38471430,42505783,18383964,- -,- -,15357189,15390635,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,98523674,1450802,- -,- -,4000000,2500000,2500000,- -,5951823
45,Total Non-Current Assets,- -,98523674,247589845,297651590,293649636,340286867,339968462,352947351,337372584,523060392
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,99055014,332463265,366962996,362193902,423297088,453474622,479902831,450404145,707024006
48,Accounts Payable,- -,20141,33538153,14064870,15435179,15686235,19892511,24173291,18678099,- -
49,Short-Term Debt,- -,- -,79909751,32820681,35599993,25988932,23005488,23323661,60125526,14722655
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,11748926,4448795,6422982,5815924,14717072,14376394,12799561,32205312
52,Other Current Liabilities,- -,- -,19488466,20816157,20420825,22519062,21433557,28981513,19206144,64811319
53,Total Current Liabilities,- -,20141,144685296,72150503,77878979,70010153,79048628,90854859,110809330,111739286
54,Long-Term Debt,- -,- -,87430416,129496153,107637851,117615634,95374270,88478081,54643116,105836797
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,25015659,45684727,57498217,50520294,188766529
58,Total Non-Current Liabilities,- -,- -,87430416,129496153,107637851,142631293,141058997,145976298,105163410,294603326
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,26801279,51049690,70047425,57498486,- -
61,Total Liabilities,- -,20141,232115712,201646656,185516830,212641446,220107625,236831157,215972740,406342612
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,93492095,3476,3650,3659,4379,4400,4489,4545,4562
64,Retained Earnings,- -,-65618,-36142727,-24866534,-17409579,-9596785,5737199,12736580,23179805,85663375
65,Other Comprehensive Income/Loss,- -,- -,- -,-34878153,-49038746,-61275403,-73143324,-76727387,- -,- -
66,Other Total Stockholders Equity,- -,5608396,133955445,167953562,182716067,216219131,229089776,234232282,159581415,215013457
67,Total Stockholders Equity,- -,99034873,97816194,108212525,116271401,145351322,161688051,170245964,182765765,300681394
68,Total Liabilities And Stockholders Equity,- -,99055014,329931906,309859181,301788231,357992768,381795676,407077121,398738505,707024006
69,Minority Interest,- -,- -,2531359,57103815,60405671,65304320,71678946,72825710,51665640,- -
70,Total Liabilities & Equity,- -,99055014,332463265,366962996,362193902,423297088,453474622,479902831,450404145,707024006
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1606909/000160690916000185/0001606909-16-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690917000022/0001606909-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690918000033/0001606909-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690919000010/0001606909-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690920000018/0001606909-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690921000035/0001606909-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690922000032/0001606909-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,15452369,-12128449,11276193,7456955,7812794,17757020,11657958,11352180,72373704
74,Depreciation and Amortization,- -,9614859,11668128,12730872,14107822,15614571,17620725,18529476,17055271,22974249
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1816,- -,- -,- -,- -,- -,2314940,2102897
77,Change in Working Capital,- -,-5619938,56972779,-6495616,22334781,21457464,1643089,-33878390,61092941,8909156
78,Accounts Receivable,- -,-15445496,14561418,6769321,-1781268,-5642755,-7661352,-725972,-995167,-26666490
79,Inventory,- -,-7215740,5470533,8111069,-5712347,-2153775,-3865375,-2425497,5034763,-11181513
80,Accounts Payable,- -,16952155,-6413198,-17846557,3690569,6976446,-392160,- -,- -,16983215
81,Other Working Capital,- -,511199,-2839097,-9334713,13000068,34457532,36100621,2222231,63315172,72224328
82,Other Non-Cash Items,- -,1670167,-31919556,8497669,-24685895,-15661598,3114115,48149688,-70979830,-44614700
83,Cash Provided by Operating Activities,- -,21117457,24594718,26009118,19213663,29223231,40134949,44458732,20835502,61745306
84,CAPEX,- -,-81749090,-57576824,-72063997,-10254315,-64029798,-17541135,-56990969,-2926222,- -
85,Acquisitions Net,- -,- -,- -,-250000,- -,-830906,- -,- -,-15000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-628000,-1990000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2231285,18399346,8265179,- -,306968,31594,10388723,11666507,-195802380
89,Cash Used for Investing Activites,- -,-83980375,-39177478,-64048818,-10254315,-64553736,-17509541,-46602246,-6887715,-197792380
90,Debt Repayment,- -,-19675501,-30276312,-26764710,-26223155,-26528179,-28692182,-29825007,-35539612,-61960469
91,Common Stock Issued,- -,- -,- -,- -,- -,9631530,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-50812,- -,- -,- -
93,Dividends Paid,- -,-100000,-100000,-100000,-100000,-1001424,-2270000,-8090213,-535153,-3333334
94,Other Financing Activites,- -,81870671,55848652,72607143,2166516,65437441,25970509,36999090,17469103,209152563
95,Cash Used/Provided by Financing Activities,- -,62095170,25472340,45742433,-24156639,47539368,-5042485,-916130,-18605662,143858760
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-767748,10889580,7702733,-15197291,12208863,17582923,-3059644,-4657875,7811686
98,Cash at the End of Period,- -,18927927,29817507,37520240,22322949,34531812,56114735,53055091,48397216,56208902
99,Cash at the Beginning of Period,- -,19695675,18927927,29817507,37520240,22322949,38531812,56114735,53055091,48397216
100,Free Cash Flow,- -,-60631633,-32982106,-46054879,8959348,-34806567,22593814,-12532237,17909280,61745306
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1606909/000160690916000185/0001606909-16-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690917000022/0001606909-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690918000033/0001606909-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690919000010/0001606909-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690920000018/0001606909-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690921000035/0001606909-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1606909/000160690922000032/0001606909-22-000032-index.htm
102,false,,,,,,,,,,
