,https://roic.ai/company/TECH,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842023/000084202395000006/0000842023-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202396000003/0000842023-96-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842023/000084202300000004/0000842023-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202301500014/0000842023-01-500014-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842023/000084202307000029/0000842023-07-000029-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202308000024/0000842023-08-000024-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202309000032/0000842023-09-000032-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202310000031/0000842023-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312511235045/0001193125-11-235045-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312512373084/0001193125-12-373084-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312513351961/0001193125-13-351961-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312514327566/0001193125-14-327566-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774915016645/0001437749-15-016645-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774916038182/tech20160630_10k.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774917015711/0001437749-17-015711-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774918016190/0001437749-18-016190-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774919017565/tech20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774920018754/0001437749-20-018754-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774921020980/0001437749-21-020980-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,5300000,7400000,8600000,27400000,12800000,17356108,21267791,26392480,39371062,51201000,80344000,89634000,135485000,166992000,160940000,94139000,77613000,116675000,163786000,318568000,54532000,64237000,91612000,121990000,100886000,146625000,199091000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16300000,42468183,75804077,70671341,78130269,125392000,16790000,19212000,29289000,39353000,41947000,44672000,63200000,152311000,169151000,44786000,56389000,31598000,66102000,59764000,65147000,124268000,32463000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,5300000,7400000,8600000,27400000,29100000,59824291,97071868,97063821,117501331,176593000,97134000,108846000,164774000,206345000,202887000,138811000,140813000,268986000,332937000,363354000,110921000,95835000,157714000,181754000,166033000,270893000,231554000
34,Net Receivables,- -,- -,- -,- -,- -,- -,7400000,8400000,9100000,10000000,13500000,18891182,18322288,21259039,20440270,21099000,23722000,25078000,30966000,33332000,31153000,34137000,37860000,37741000,40175000,55001000,70034000,93393000,116830000,120296000,137466000,122534000,145385000
35,Inventory,- -,- -,- -,- -,- -,- -,3300000,3700000,4100000,3800000,5700000,4651615,5437594,6077035,6332248,7457000,7758000,9024000,8757000,9515000,11269000,13737000,44906000,38277000,34877000,38847000,49577000,57102000,60151000,85648000,91050000,103152000,116748000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,11800000,13800000,18000000,17300000,2600000,2934117,3359759,4677854,5240888,5774000,6367000,6874000,8341000,9241000,10158000,14355000,6838000,1503000,1527000,12211000,17751000,7561000,13330000,10668000,18058000,24341000,16919000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,27800000,33300000,39800000,58500000,50900000,86301205,124191509,129077749,149514737,210923000,134981000,149822000,212838000,258433000,255467000,201040000,230417000,346507000,409516000,469413000,248283000,253891000,348025000,398366000,412607000,520920000,510606000
38,PP&E,- -,- -,- -,- -,- -,- -,4300000,9000000,11300000,11700000,15100000,46266177,49193972,70312602,81166311,80504000,89036000,88772000,91535000,101722000,100133000,97400000,95398000,93788000,108756000,117120000,129749000,132362000,135124000,145348000,154039000,248294000,281741000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25308000,25068000,25068000,25068000,25068000,86633000,85682000,84336000,151473000,390638000,430882000,579026000,597890000,732667000,728308000,843067000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,800000,600000,400000,300000,45600000,36335500,27446246,18897000,16957750,15359000,14138000,6713000,5099000,3964000,3004000,2044000,52282000,46476000,40552000,108776000,292839000,310524000,452042000,446332000,579429000,516545000,615968000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,800000,600000,400000,300000,45600000,36335500,27446246,18897000,16957750,15359000,14138000,32021000,30167000,29032000,28072000,27112000,138915000,132158000,124888000,260249000,683477000,741406000,1031068000,1044222000,1312096000,1244853000,1459035000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83982000,191730000,151621000,145022000,132907000,14021000,- -,- -,40385000,2660000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4128000,9400000,8715000,7843000,6524000,4638000,4362000,5055000,3601000,1011000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,1200000,1500000,2400000,2400000,12200000,11506699,10565386,10559608,6923330,10831000,50584000,95259000,115942000,113127000,750000,523000,1319000,1849000,2031000,1688000,1851000,1922000,3617000,2606000,5668000,13522000,11575000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,6300000,11100000,14100000,14400000,72900000,94108376,91333604,109169210,113762391,114537000,160282000,220690000,242006000,248936000,216538000,317776000,387253000,372817000,368582000,393078000,815077000,875690000,1210194000,1194836000,1471803000,1506669000,1752351000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,34100000,44400000,53900000,72900000,123800000,180409581,215525113,238246959,263277128,325460000,295263000,370512000,454844000,507369000,472005000,518816000,617670000,719324000,778098000,862491000,1063360000,1129581000,1558219000,1593202000,1884410000,2027589000,2262957000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2200000,1700000,1600000,3200000,2400000,2630164,3477072,4326359,2215928,3847000,2715000,5460000,6934000,6111000,5156000,5232000,5207000,6291000,6236000,9652000,13443000,20653000,16856000,18452000,16210000,23090000,29384000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,824315,884760,949637,1233921,1281000,1238000,1229000,- -,- -,- -,- -,- -,- -,- -,5949000,4024000,3759000,6132000,- -,12500000,22035000,24102000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4046000,3636000,5509000,3251000,2276000,496000,1972000,1779000,2478000,8878000,5764000,2376000,5336000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3380000,4717000,5968000,7067000,9084000,13049000,18995000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,1900000,3300000,3300000,4200000,11100000,9106675,11529724,9353528,7358184,8331000,10063000,11277000,10259000,14128000,10367000,11792000,12981000,29459000,25848000,10790000,18921000,25018000,106566000,53991000,64191000,48494000,79803000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,4100000,5000000,4900000,7400000,13500000,12561154,15891556,14629524,10808033,13459000,14016000,17966000,17193000,20239000,15523000,17024000,18188000,35750000,32084000,26391000,39768000,54147000,135522000,79510000,101985000,106668000,152284000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18935049,18050289,17100652,15851901,14576000,13378000,12198000,- -,- -,- -,- -,- -,- -,- -,6997000,73000000,91500000,343771000,339000000,492660000,344243000,396452000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13360000,9132000,8473000,33838000,61429000,62837000,120596000,86293000,89754000,101090000,93125000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,500000,500000,900000,1700000,13500000,7768000,3923000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42228000,41817000,8703000,9338000,34422000,94396000,49862000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,500000,500000,900000,1700000,13500000,26703049,21973289,17100652,15851901,14576000,13378000,12198000,- -,- -,- -,- -,13360000,9132000,8473000,40835000,176657000,196154000,473070000,434631000,616836000,539729000,539439000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76783000,79227000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,4600000,5500000,5800000,9100000,27000000,39264203,37864845,31730176,26659934,28035000,27394000,30164000,17193000,20239000,15523000,17024000,31548000,44882000,40557000,67226000,216425000,250301000,608592000,514141000,718821000,646397000,691723000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,206910,414324,415621,409132,412000,386000,394000,395000,386000,372000,370000,371000,368000,368000,370000,371000,372000,374000,376000,379000,385000,390000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,20700000,27200000,34900000,49400000,62100000,88336230,121209686,147369149,169808690,222728000,185049000,232328000,314339000,359208000,345641000,400119000,472730000,520448000,587725000,653279000,713851000,770553000,799027000,876931000,931934000,1057470000,1085461000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-6300000,-7900000,-10000000,-11400000,-13300000,-16400108,-19900694,-23983963,3120129,5325000,3630000,5685000,12924000,12128000,-7477000,-21234000,-16291000,21775000,14553000,-5388000,-30593000,-70405000,-48935000,-44814000,-83521000,-97199000,-57291000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,15100000,19600000,23200000,25800000,47800000,69002346,75936952,82715976,63279243,68960000,78804000,101941000,109993000,115408000,117946000,122537000,129312000,131851000,134895000,147004000,163306000,178760000,199161000,246568000,316797000,420536000,534411000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,29500000,38900000,48100000,63800000,96800000,141145378,177660268,206516783,236617194,297425000,267869000,340348000,437651000,487130000,456482000,501792000,586122000,674442000,737541000,795265000,846935000,879280000,949627000,1079061000,1165589000,1381192000,1562971000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,34100000,44400000,53900000,72900000,123800000,180409581,215525113,238246959,263277128,325460000,295263000,370512000,454844000,507369000,472005000,518816000,617670000,719324000,778098000,862491000,1063360000,1129581000,1558219000,1593202000,1884410000,2027589000,2254694000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8263000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,34100000,44400000,53900000,72900000,123800000,180409581,215525113,238246959,263277128,325460000,295263000,370512000,454844000,507369000,472005000,518816000,617670000,719324000,778098000,862491000,1063360000,1129581000,1558219000,1593202000,1884410000,2027589000,2262957000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/842023/000084202395000006/0000842023-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202396000003/0000842023-96-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842023/000084202300000004/0000842023-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202301500014/0000842023-01-500014-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842023/000084202307000029/0000842023-07-000029-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202308000024/0000842023-08-000024-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202309000032/0000842023-09-000032-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202310000031/0000842023-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312511235045/0001193125-11-235045-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312512373084/0001193125-12-373084-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312513351961/0001193125-13-351961-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312514327566/0001193125-14-327566-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774915016645/0001437749-15-016645-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774916038182/tech20160630_10k.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774917015711/0001437749-17-015711-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774918016190/0001437749-18-016190-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774919017565/tech20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774920018754/0001437749-20-018754-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774921020980/0001437749-21-020980-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1000000,1600000,2000000,4400000,5100000,6700000,8600000,10900000,15200000,16700000,26582797,34045376,27129669,45396293,52928000,66132000,73351000,85111000,103558000,105242000,109776000,112302000,112331000,112561000,110948000,107735000,104476000,76086000,126150000,96072000,229296000,140410000
74,Depreciation and Amortization,- -,300000,500000,1000000,1300000,1800000,1700000,1900000,2300000,2300000,11900000,12651350,12737448,12687915,6352847,6040000,6108000,6955000,6994000,7259000,7766000,8130000,8700000,12467000,12321000,19175000,37226000,42764000,60036000,64463000,78171000,82737000,87747000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,-800000,-200000,-1000000,-700000,-400000,-1900000,-1157000,-508000,-6292000,232000,317000,672000,-937000,-797000,-661000,-730000,-1551000,3194000,-7363000,-2534000,-2853000,1304000,-2624000,-3433000,-46716000,-13582000,13130000,-27431000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1478000,1135000,1138000,1641000,1864000,3523000,5957000,9430000,14631000,28240000,32280000,32367000,48982000
77,Change in Working Capital,- -,-500000,- -,- -,- -,- -,23700000,4600000,6600000,16200000,-13700000,36340051,34559902,6148272,24258479,58757296,-76499000,10891000,63789000,42549000,1750000,-55928000,28213000,98528000,66675000,65590000,-234507000,-8771000,12759000,106353000,-8234000,103630000,-55930000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-100000,-300000,300000,800000,-200000,-700000,-400000,-400000,300000,3800000,986120,-846902,-560517,-173139,-1017000,-325000,1111000,205000,-1062000,-2123000,-2368000,-1021000,-1577000,-2216000,-2895000,-4714000,-6626000,-732000,-13327000,-13647000,-14861000,-7140000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1581000,243000,1368000,2154000,8924000,5695000,5026000,6101000,10343000,19091000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,23700000,28300000,34900000,51100000,37400000,73740051,108299953,114448225,138706704,197464000,120965000,131856000,195645000,238194000,239944000,184016000,212229000,310757000,377432000,443022000,208515000,199744000,212503000,318856000,310622000,414252000,358322000
82,Other Non-Cash Items,- -,300000,-300000,900000,-1100000,200000,-24600000,-4300000,-6600000,-13000000,15400000,-35677795,-34463015,-12006629,-22150724,-52489296,78020000,-4671000,-64594000,-37388000,-4185000,49698000,-26353000,-90858000,-67325000,-59621000,221644000,-1405000,-16631000,-108123000,-3088000,-255943000,158386000
83,Cash Provided by Operating Activities,- -,1100000,1800000,3900000,4500000,6300000,7300000,9800000,12500000,20300000,28400000,38739403,46371711,27667227,54088895,65553000,74433000,85589000,90503000,115317000,111321000,111260000,127194000,126746000,123562000,136762000,139359000,143870000,143448000,170367000,181619000,205217000,352164000
84,CAPEX,- -,-400000,-900000,-600000,-2600000,-1300000,-1300000,-6400000,-4200000,-3000000,-30600000,-30367862,-6814953,-22276262,-15193756,-3710000,-11410000,-4603000,-8076000,-16365000,-6556000,-4644000,-3630000,-6017000,-22454000,-13821000,-19905000,-16898000,-15179000,-20934000,-25411000,-51744000,-44301000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19587000,- -,- -,- -,- -,-131766000,463000,1095000,-119180000,-420102000,-91423000,-293785000,-46277000,-289492000,1906000,-225908000
86,Purchases of Investments,- -,- -,- -,-1900000,-5500000,-4700000,-10400000,-11900000,-16000000,-24200000,-15000000,-39569406,-57177268,-64679571,-64560000,-144230000,-146870000,-104735000,-57305000,-79305000,-49173000,-176621000,-151366000,-147011000,-112712000,-106746000,- -,- -,-3069000,-8571000,-43475000,-70187000,-39684000
87,Sales/Maturities of Investments,- -,- -,- -,500000,3000000,3400000,4900000,10700000,11600000,25000000,14000000,13445879,23841374,69812307,58045072,96895000,212016000,58208000,25589000,68968000,75667000,66600000,173520000,131726000,103610000,289410000,13466000,776000,6079000,36390000,21579000,147120000,66377000
88,Other Investing Activites,- -,- -,- -,1000000,- -,-1800000,-600000,- -,-200000,- -,-7000000,-3553160,-500000,-5258103,- -,-8462000,-461000,- -,-125000,-808000,1340000,50000,-943000,-829000,-743000,25000,48000,-25000,- -,680000,- -,- -,- -
89,Cash Used for Investing Activites,- -,-400000,-900000,-1000000,-5100000,-4400000,-7400000,-7600000,-8800000,-2200000,-38600000,-60044549,-40650847,-22401629,-21708684,-59507000,53275000,-70717000,-39917000,-27510000,21278000,-114615000,-114185000,-21668000,-31204000,49688000,-426493000,-107570000,-305954000,-38712000,-336799000,27095000,-243516000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94964000,-58500000,-116500000,-59500000,-413500000,-188500000,-271500000
