,https://roic.ai/company/TIXT,2017,2018,2019,2020,2021
67,Total Stockholders Equity,- -,196700000,245800000,1110900000,1655000000
68,Total Liabilities And Stockholders Equity,- -,909100000,1169000000,3744800000,3626000000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,909100000,1169000000,3744800000,3626000000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,43400000,47100000,69000000,102900000,78000000
74,Depreciation and Amortization,32200000,49500000,92200000,182200000,257000000
75,Deferred Income Tax,15700000,21900000,26000000,47600000,64000000
76,Stock Based Compensation,1300000,4100000,1800000,15000000,75000000
77,Change in Working Capital,12500000,-26500000,-28200000,-72200000,-69000000
78,Accounts Receivable,26300000,-33100000,-38000000,-29400000,-124000000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,-600000,2400000,-300000,-72300000,-4000000
82,Other Non-Cash Items,-14200000,-2600000,-19200000,-12500000,-123000000
83,Cash Provided by Operating Activities,90900000,93500000,141600000,263000000,282000000
84,CAPEX,-44500000,-47500000,-52700000,-59200000,-99000000
85,Acquisitions Net,-62500000,-115400000,-50800000,-1811900000,-11000000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-107000000,-162900000,-103500000,-1871100000,-110000000
90,Debt Repayment,-43600000,-43200000,-96000000,-819000000,-765000000
91,Common Stock Issued,- -,18900000,- -,655600000,527000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,92200000,75000000,72000000,1854000000,32000000
95,Cash Used/Provided by Financing Activities,48600000,50700000,-24000000,1690600000,-206000000
96,Effect of Forex Changes on Cash,1000000,-1100000,-200000,-9500000,-4000000
97,Net Change In Cash,33500000,-19800000,13900000,73000000,-38000000
98,Cash at the End of Period,85400000,65600000,79500000,152500000,115000000
99,Cash at the Beginning of Period,51900000,85400000,65600000,79500000,153000000
100,Free Cash Flow,46400000,46000000,88900000,203800000,183000000
101,SEC Link,- -,- -,- -,- -,- -
102,false,,,,,
