,https://roic.ai/company/ASPU,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,835694,1076397,1158473,653518,784818,1013434,1354989,1814136,2456865,3712994,6825014
52,Other Current Liabilities,- -,- -,3600,851701,336564,263982,445795,462153,290202,584687,1686226,2144141,3454968,5096301
53,Total Current Liabilities,- -,- -,3600,2107925,1630426,1935860,3516816,1476080,1362837,2746377,6777576,6350227,10357073,15417624
54,Long-Term Debt,- -,- -,- -,441983,1050000,850000,1844175,1843989,1301783,- -,1000000,9646672,8449146,16298808
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,21274,15017,21450,7751,- -,29169,86937,77365,746176,5685335,- -
58,Total Non-Current Liabilities,- -,- -,- -,463257,1065017,871450,1851926,1843989,1330952,86937,1077365,10392848,14134481,16298808
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7368587,18328629
61,Total Liabilities,- -,- -,3600,2571182,2695443,2807310,5368742,3320069,2693789,2833314,7854941,16743075,24491554,31716432
62,Preferred Stock,- -,- -,- -,3481660,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,900,11838,55244,58573,73414,128254,134958,13504,18334,18666,21771,25067
64,Retained Earnings,- -,- -,-3600,-5326370,-11337104,-12740086,-18090434,-22358722,-24605427,-25710687,-32771748,-42049965,-47709030,-58158003
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-569665,-938703,-1387876,-1680687,-1090010,-1320360,-1825524,-2841019,- -
66,Other Total Stockholders Equity,- -,- -,8100,3275296,12083615,13845553,17170821,26216523,27964138,34627433,67807365,70318251,92276235,107223410
67,Total Stockholders Equity,- -,- -,5400,1442424,801755,594375,-1784902,2598179,1812982,7840240,33733591,26461428,41747957,49090474
68,Total Liabilities And Stockholders Equity,- -,- -,9000,4013606,3497198,3401685,3583840,5918248,4506771,10673554,41588532,43204503,66239511,80806906
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,9000,4013606,3497198,3401685,3583840,5918248,4506771,10673554,41588532,43204503,66239511,80806906
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1487198/000155335013000500/aspu_10kt.htm,https://www.sec.gov/Archives/edgar/data/1487198/000155335014000845/0001553350-14-000845-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335015000775/0001553350-15-000775-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335016002268/aspu_10k.htm,https://www.sec.gov/Archives/edgar/data/1487198/000155335017000878/0001553350-17-000878-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335018000804/0001553350-18-000804-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335019000717/0001553350-19-000717-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000148719820000010/0001487198-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1487198/000148719821000003/0001487198-21-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,- -,-13546,-2135573,-6010734,- -,-5350348,-4268288,-2246705,-1105260,-7061061,-9278217,-5659065,-10448973
74,Depreciation and Amortization,- -,- -,- -,264082,397923,160000,474752,528496,598303,556730,1092283,2170098,2203461,2426365
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,347657,154062000,608429,456871,308260,338294,642566,1190385,2116309,3958085
77,Change in Working Capital,- -,- -,3500,524728,126846,-407891,-1398445,4685915,-1261935,3843831,9644490,-525302,8327456,-6894782
78,Accounts Receivable,- -,- -,- -,475800,-17415,-288117000,-439834,-463112,-1292190,-2974073,-3360277,-6477948,-8717424,-8215190
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,390628,-865405,97609000,141378,-275674,-169908,747500,1319268,-527993,-193362,-39371
81,Other Working Capital,- -,- -,5400,532182,106222,-301669,-1700114,2985801,1723866,5567697,15212187,14686885,23014341,16119559
82,Other Non-Cash Items,- -,- -,650,-332567,734947,-154544109,2000648,-4144460,157656,-5121755,-9928213,-3772978,-12736794,11944883
83,Cash Provided by Operating Activities,- -,- -,-9396,-1679330,-4403361,-730000,-3664964,-2741466,-2444421,-1488160,-5609935,-10216014,-5748633,985578
84,CAPEX,- -,- -,- -,-1114977,-505146,-166214000,-392527,-523245,-557508,-813358,-1885006,-2623043,-3290361,-8977303
85,Acquisitions Net,- -,- -,- -,3200,337,- -,- -,- -,- -,- -,-2589719,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-204090,-140292,166044000,-609625,-397940,1031861,-908800,714506,-91522,-13851,-128908
89,Cash Used for Investing Activites,- -,- -,- -,-1261777,-619801,-170000,-995652,-777432,564977,-1713358,-3711831,-2623043,-3290361,-8977303
90,Debt Repayment,- -,- -,- -,-30871,- -,- -,-30824,-2265186,-242206,-3698783,-7500000,-2060932,- -,- -
91,Common Stock Issued,- -,- -,21000,- -,3025236,1041540000,750000,5547826,- -,7500000,23023000,7370000,16066639,- -
92,Common Stock Repurchased,- -,- -,- -,-761200,-202000,1040000,- -,- -,-5838,- -,- -,-7370000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,3622701,2078312,-1041540000,3395107,2143091,751821,1372722,5655108,10064676,911368,3751039
95,Cash Used/Provided by Financing Activities,- -,- -,21000,2830630,4901548,1040000,4114283,5425731,503777,5173939,21178108,8003744,16978007,3751039
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,21000,471764,-121614,150000,-477602,1912083,-1375667,1972421,11856342,-4835313,7939013,-4240686
98,Cash at the End of Period,- -,- -,11604,766602,644988,790000,247380,2159463,783796,2756217,14612559,9967752,17906765,13666079
99,Cash at the Beginning of Period,- -,- -,- -,294838,766602,640000,724982,247380,2159463,783796,2756217,14803065,9967752,17906765
100,Free Cash Flow,- -,- -,-9396,-2794307,-4908507,-900000,-4057491,-3264711,-3001929,-2301518,-7494941,-12839057,-9038994,-7991725
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1487198/000155335013000500/aspu_10kt.htm,https://www.sec.gov/Archives/edgar/data/1487198/000155335014000845/0001553350-14-000845-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335015000775/0001553350-15-000775-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335016002268/aspu_10k.htm,https://www.sec.gov/Archives/edgar/data/1487198/000155335017000878/0001553350-17-000878-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335018000804/0001553350-18-000804-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000155335019000717/0001553350-19-000717-index.html,https://www.sec.gov/Archives/edgar/data/1487198/000148719820000010/0001487198-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1487198/000148719821000003/0001487198-21-000003-index.htm
102,false,,,,,,,,,,,,,,
