,https://roic.ai/company/ICCC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204479,96292,26000,15000,17202,12493,15552,19169,54662,16909,14301,118283,27440,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,81000,75274,66689,57827,80235,161697,218571,427782,431788,412687,- -
14,Depreciation and Amortization,100000,100000,100000,100000,100000,200000,200000,100000,100000,100000,101537,133158,177000,236771,256270,278522,643622,278522,788896,399104,424440,419511,418372,402516,417201,448921,529261,802379,904435,1520711,2267421,2328179,2461
15,EBITDA,-900000,-500000,-1300000,-100000,- -,100000,200000,- -,400000,- -,652380,609046,874000,1718155,972647,455715,1714710,1312572,1932539,-561549,-4061,-241901,-197309,669942,689150,251297,2673044,1722398,684526,88442,1431796,1708866,-66539
16,EBITDA ratio,-0.3214,-0.1667,-0.5909,-0.0323,- -,0.0227,0.0408,- -,0.0870,- -,0.1329,0.1081,0.1309,0.2778,0.2897,0.1233,0.3441,0.2734,0.3184,-0.1212,-0.0009,-0.0552,-0.0386,0.1243,0.1147,0.0331,0.2613,0.1805,0.0656,0.0081,0.1043,0.1114,-0.0035
17,Operating Income,-900000,-500000,-1400000,-300000,-100000,-300000,- -,-100000,300000,- -,614970,413374,671000,533141,-429031,120771,938034,770681,872103,-1167597,-527027,-690281,-632726,245001,-19552,-206398,2122322,890204,-242845,-1446570,-953908,-1380353,257000
18,Operating Income ratio,-0.3214,-0.1667,-0.6364,-0.0968,-0.0256,-0.0682,- -,-0.0227,0.0652,- -,0.1253,0.0733,0.1005,0.0862,-0.1278,0.0327,0.1882,0.1605,0.1437,-0.2520,-0.1169,-0.1574,-0.1238,0.0455,-0.0033,-0.0272,0.2075,0.0933,-0.0233,-0.1317,-0.0695,-0.0900,0.0134
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,-97133,62514,26000,948243,1145408,56422,133054,263369,271540,206944,98526,6869,-63955,-52849,224812,-49053,-58774,-131882,-195635,-413481,-313505,348353,-326000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,475888,697000,1481384,716377,177193,1071088,1034050,1143643,-960653,-428501,-683412,-696681,192152,205260,-255451,2063548,758322,-438480,-1860051,-1267413,-1032000,-69000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0844,0.1044,0.2395,0.2134,0.0479,0.2149,0.2154,0.1884,-0.2073,-0.0950,-0.1558,-0.1363,0.0357,0.0342,-0.0336,0.2017,0.0795,-0.0420,-0.1693,-0.0924,-0.0673,-0.0036
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1746158,277000,595147,305161,33674,363306,386913,481505,-492096,-212008,-298728,-287171,102640,87865,-88292,850309,249874,-270333,461620,28174,-10000,9000
23,Net Income,-1000000,-600000,-1400000,-200000,- -,-100000,- -,-100000,300000,-100000,550843,2222046,420000,886237,411216,143519,707782,647137,662138,-468557,-216493,-384684,-409510,89512,117395,-167159,1213239,508448,-168147,-2321671,-1295587,-1022000,-78000
24,Net Income ratio,-0.3571,-0.2000,-0.6364,-0.0645,- -,-0.0227,- -,-0.0227,0.0652,-0.0222,0.1122,0.3943,0.0629,0.1433,0.1225,0.0388,0.1420,0.1348,0.1091,-0.1011,-0.0480,-0.0877,-0.0801,0.0166,0.0195,-0.0220,0.1186,0.0533,-0.0161,-0.2113,-0.0944,-0.0666,-0.0041
25,EPS,-0.50,-0.28,-0.69,-0.11,-0.01,-0.06,0.01,-0.03,0.11,-0.04,0.23,0.84,0.15,0.32,0.15,0.05,0.25,0.22,0.23,-0.16,-0.07,-0.13,-0.14,0.03,0.04,-0.06,0.40,0.12,-0.03,-0.42,-0.19,-0.14,-0.01
26,EPS Diluted,-0.50,-0.28,-0.69,-0.11,-0.01,-0.06,0.01,-0.03,0.10,-0.04,0.22,0.79,0.15,0.32,0.15,0.05,0.24,0.21,0.22,-0.16,-0.07,-0.13,-0.14,0.03,0.04,-0.06,0.38,0.12,-0.03,-0.42,-0.19,-0.14,-0.01
27,Weighted Average Shares Outstanding,1992000,2142857,2028986,1818182,2635000,1666667,2291981,2318244,2332939,2426474,2432701,2632038,2717857,2735495,2738193,2755070,2823599,2888128,2897488,2893597,2958784,2970833,2984749,3018296,3019407,3027001,3042376,4225789,4949000,5486000,6819000,7213000,7213000
28,Weighted Average Shares Outstanding Diluted,1992000,2142857,2028986,1818182,2635000,1666667,2500000,2727273,3000000,2426474,2503832,2822964,2836309,2797660,2823696,2966923,3003002,3051470,3033797,2893597,2958784,2970833,2984749,3108419,3085048,3027001,3165735,4336229,4949000,5486000,6819000,7213000,7213000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811641/000119312504051776/0001193125-04-051776-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312505063555/0001193125-05-063555-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312506061748/0001193125-06-061748-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312507067375/0001193125-07-067375-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312508065930/0001193125-08-065930-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312509065667/0001193125-09-065667-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312510069708/0001193125-10-069708-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312511079611/0001193125-11-079611-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000114420412017287/0001144204-12-017287-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000114420413018264/0001144204-13-018264-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000114420414017813/0001144204-14-017813-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390015002097/0001213900-15-002097-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390016011870/0001213900-16-011870-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390017003009/0001213900-17-003009-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390018003621/0001213900-18-003621-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390019004653/0001213900-19-004653-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390020007650/0001213900-20-007650-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390021018473/0001213900-21-018473-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390022016147/0001213900-22-016147-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,1600000,1000000,1000000,1500000,1823688,1895149,1883000,2355970,3356742,1700567,1200341,1348854,1192637,1199929,975490,1398985,781516,2673719,2270385,850028,1573328,5150344,3798811,2521050,6293293,7946000,10185468
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,787046,888320,2749596,3949742,5265336,4218880,3854103,3610000,3227000,4178000,2240000,2985000,2489000,4464000,5474013,- -,- -,2480753,996495,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,1600000,1000000,1000000,1500000,1823688,1895149,1883000,3143016,4245062,4450163,5150083,6614190,5411517,5054032,4585490,4625985,4959516,4913719,5255385,3339028,6037328,10624357,3798811,2521050,8774046,8942495,10185468
34,Net Receivables,- -,- -,- -,- -,- -,- -,400000,400000,700000,200000,453139,875066,974000,424743,369854,434591,696761,620713,919954,894604,415512,497513,383796,611354,631410,1005292,754104,1137238,1493612,1425587,1677699,1796801,2694229
35,Inventory,- -,- -,- -,- -,- -,- -,600000,600000,500000,500000,520656,502448,534000,790194,674507,667666,704085,789178,588609,596404,1087391,1601016,1666465,1649002,1206508,945755,870207,2126899,2049732,2331671,2518256,2092514,3089974
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,27826,112331,116000,128473,92019,259979,237123,326743,145281,184159,218335,241191,140823,189107,174329,178862,211777,459634,165077,142528,219032,-674802,295197
37,Total Current Assets,- -,- -,- -,- -,- -,- -,2600000,2100000,2200000,2300000,2825309,3384994,3507000,4486426,5381442,5812399,6788052,8350824,7065361,6729199,6306728,6965705,7150600,7363182,7267632,5468937,7873416,14348128,7507232,6420836,13189033,12157008,16264868
38,PP&E,- -,- -,- -,- -,- -,- -,700000,800000,800000,700000,779830,946398,1684000,1739780,1794585,1901144,1771404,1883284,2940386,2935342,2978998,2710891,2515331,2357609,2524765,3837647,5718814,9846293,26069689,26027549,25265738,26754975,28002732
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95557,95557,95557,95557,95557,95557
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309000,- -,228460,1141886,810530,546438,66704,31945,900,- -,- -,- -,- -,- -,- -,171936,152832,133728,114624,95520,76416
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309000,- -,228460,1141886,810530,546438,66704,31945,900,- -,- -,- -,- -,- -,- -,267493,248389,229285,210181,191077,171973
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,496000,487000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,782145,674240,585240,583240,340037,431707,698085,1040606,1306335,1245982,1154681,1230340,471705,201003,472726,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-100000,200000,200000,100000,250840,2112524,1617000,1287187,- -,- -,- -,- -,- -,- -,- -,33977,19006,63634,13636,18930,49712,34264,920,53162,26884,- -,26115
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,600000,1000000,1000000,800000,1030670,3058922,3610000,3026967,2805190,3717270,3167174,3012962,3347127,3398994,3677983,3785474,3840672,3667225,3693082,5582917,6727231,10349053,26791724,26309996,25502803,26946052,28200820
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56401952
47,Total Assets,- -,- -,- -,- -,- -,- -,3200000,3100000,3200000,3100000,3855979,6443916,7117000,7513393,8186632,9529669,9955226,11363786,10412488,10128193,9984711,10751179,10991272,11030407,10960714,11051854,14600647,24697181,34298956,32730832,38691836,39103060,44466000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,200000,300000,200000,100000,322241,239254,171000,86800,61640,92732,125502,249525,118336,101637,139885,105739,149877,228711,152153,456193,200615,1507259,1221845,603743,572178,1350227,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,200000,200000,200000,- -,18691,20481,22000,- -,- -,- -,- -,- -,- -,- -,- -,42384,172973,181491,190390,150382,135840,133269,316629,1344351,1274790,860849,920219
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000,20010,- -,493151,359012,632576,- -,- -,- -,- -,8250,- -,- -,6690,- -,33856,24100,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,300000,200000,200000,300000,264991,231010,257000,151974,354540,228609,212776,534697,237181,382855,222885,376895,303900,255568,293076,395484,481138,384504,501425,616917,648388,- -,1614250
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,700000,700000,600000,400000,605923,490745,564000,258784,416180,814492,697290,1416798,355517,484492,362770,525018,635000,665770,635619,1008749,817593,2058888,2063999,2565011,2495356,2211076,2534469
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,600000,600000,300000,500000,434658,414178,392000,300000,400000,986301,700424,- -,- -,- -,- -,943760,1267939,1086568,896224,745920,3090709,2878805,8639021,8421487,7146676,9396974,8542072
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,115000,- -,- -,- -,- -,614974,340037000,- -,- -,- -,67900,83386,33002,38817,78525,37346,996,- -,58526,- -,812207
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,600000,500000,300000,500000,434658,414178,507000,300000,400000,986301,700424,614974,340037000,- -,- -,943760,1335839,1169954,929226,784737,3169234,2916151,8640017,8421487,7205202,9396974,9354279
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19269898,18708810
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1235681,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,1300000,1200000,900000,900000,1040581,904923,1071000,558784,816180,1800793,1397714,2031772,355517,484492,362770,1468778,1970839,1835724,1564845,1793486,3986827,4975039,10704016,10986498,9700558,12084000,11889000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283468,305478,312000,312558,313608,319015,326115,326115,326115,326115,326115,326115,326115,326115,326115,326115,326115,504484,566265,566265,729901,729901,781417
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-5900000,-5900000,-5700000,-5800000,-5235581,-3013535,-2593000,-1706863,-1295647,-599002,-444346,202791,864929,396372,179879,-204805,-614315,-524803,-407408,-574567,638672,1147120,978973,-1342698,-2638285,- -,-3738694
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-700000,-600000,-700000,-800000,-881384,-988374,-1068000,-1125602,-1322691,-1481643,-1761277,-1982629,-1926008,-2273663,-2619828,9631,-40812,-50120,-19836,-23331,-50256,-23902,-638,30157,-43895,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,8500000,8400000,8700000,8800000,8648895,9235424,9395000,9474516,9675182,9490506,10437020,10785737,10791935,11194877,11735775,9151460,9349445,9443491,9496998,9530151,9699289,18094440,22050340,22490610,30943557,27536299,35534277
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,1900000,1900000,2300000,2200000,2815398,5538993,6046000,6954609,7370452,7728876,8557512,9332014,10056971,9643701,9621941,9282401,9020433,9194683,9395869,9258368,10613820,19722142,23594940,21744334,28991278,28266200,32577000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,3200000,3100000,3200000,3100000,3855979,6443916,7117000,7513393,8186632,9529669,9955226,11363786,10412488,10128193,9984711,10751179,10991272,11030407,10960714,11051854,14600647,24697181,34298956,32730832,38691836,40350200,44466000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1247140,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,3200000,3100000,3200000,3100000,3855979,6443916,7117000,7513393,8186632,9529669,9955226,11363786,10412488,10128193,9984711,10751179,10991272,11030407,10960714,11051854,14600647,24697181,34298956,32730832,38691836,39103060,44466000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811641/000119312504051776/0001193125-04-051776-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312505063555/0001193125-05-063555-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312506061748/0001193125-06-061748-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312507067375/0001193125-07-067375-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312508065930/0001193125-08-065930-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312509065667/0001193125-09-065667-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312510069708/0001193125-10-069708-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000119312511079611/0001193125-11-079611-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000114420412017287/0001144204-12-017287-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000114420413018264/0001144204-13-018264-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000114420414017813/0001144204-14-017813-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390015002097/0001213900-15-002097-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390016011870/0001213900-16-011870-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390017003009/0001213900-17-003009-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390018003621/0001213900-18-003621-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390019004653/0001213900-19-004653-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390020007650/0001213900-20-007650-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390021018473/0001213900-21-018473-index.htm,https://www.sec.gov/Archives/edgar/data/811641/000121390022016147/0001213900-22-016147-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1000000,-600000,-1400000,-200000,- -,-100000,- -,-100000,300000,-100000,550843,2222046,420000,886237,411216,143519,707782,647137,662138,-468557,-216493,-384684,-409510,89512,117395,-167159,1213239,508448,-168147,-2321671,-1295587,-1022000,-78292
74,Depreciation and Amortization,100000,100000,100000,100000,100000,200000,200000,100000,100000,100000,101537,133158,177000,236771,256270,278522,643622,278522,788896,399104,424440,419511,418372,402516,417201,448921,529261,802379,904435,1520711,2267421,2328179,2461140
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1746158,255000,589480,280667,6493,140000,-62118,435203,-108141,-213348,-299171,-302500,94370,87166,-88590,821469,236289,-284809,462315,24684,-14631,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55285,94062,29513,38172,35985,31359,30004,23222,67399,199783,344016,313144,253135,144313
77,Change in Working Capital,100000,- -,- -,- -,- -,- -,1900000,-500000,200000,300000,319386,674863,48751,1284642,737620,32645,1092855,843264,-224182,-465137,-300749,496729,74913,181812,-65399,-2171825,2595635,5233417,-6846007,-1587408,6837852,-747745,3784467
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227858,-20056,-373882,251188,-277521,-330306,411724,-704867,-159636,-897428
79,Inventory,300000,-100000,-200000,-100000,200000,-100000,100000,- -,200000,- -,-44707,18208,-31000,-256330,115687,6841,-36419,6841,200569,-7795,-490987,-513625,-65449,17463,442494,260753,75548,-1143693,77167,-281939,-186585,425742,-997460
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16699,29985,-26811,59479,100047,-95503,- -,- -,- -,- -,- -,- -,- -,245760
81,Other Working Capital,- -,- -,- -,- -,- -,- -,1900000,1400000,1600000,1900000,2219386,2894249,2943000,4227642,4965262,4997907,6090762,6934026,6709844,6244707,5943958,6440687,6515600,6697412,6632013,4460188,7055823,12289240,5443233,3855825,10693677,9945932,13730399
82,Other Non-Cash Items,200000,- -,100000,-200000,- -,-200000,-1800000,400000,-500000,300000,-292067,-1202404,5249,-1098745,-281840,896857,-1819482,-348769,-1312498,640583,102423,-1070511,143238,-459805,510938,2251013,-2282590,-7171834,7370568,1208633,-7914003,518640,-5357458
83,Cash Provided by Operating Activities,-600000,-500000,-1200000,-300000,100000,-100000,300000,-100000,100000,600000,679699,81505,906000,1898385,1403933,1358036,764777,1358036,349557,53137,-109665,-808613,-37315,344390,1098660,302364,2900236,-323902,1175823,-373404,233511,1315578,954170
84,CAPEX,- -,-200000,-100000,- -,-400000,-400000,-100000,-400000,-100000,-100000,-131595,-274726,-896000,-250004,-304245,-338229,-185129,-1303229,-1527825,-410624,-459548,-116547,-243735,-275395,-597697,-1535558,-2719189,-3586349,-17759876,-2029895,-1391446,-4072539,-2608649
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-35000,- -,- -,- -,-965000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-368219,-8661,-14077,-8914,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1179191,-1882976,-3740689,-4637080,-3740689,-4803885,-4539103,-3610000,-3725000,-4178000,-2240000,-3234000,-2985000,-4455000,-4963000,-249000,- -,-10123000,-1992000,- -
87,Sales/Maturities of Investments,600000,1000000,1200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,392145,1781702,1879413,3436934,1879413,5850341,4903880,3854103,4108000,3227000,4178000,2489000,2985000,2489000,4464000,5699000,- -,7670000,- -,996000
88,Other Investing Activites,- -,- -,-100000,100000,- -,- -,- -,-100000,- -,100000,-13023,- -,-67000,3005,- -,4000,6000,4000,- -,- -,- -,- -,- -,- -,- -,- -,66215,30939,45000,250000,450000,3494600,15290
89,Cash Used for Investing Activites,600000,800000,1000000,300000,-400000,-400000,-100000,-500000,-100000,- -,-394618,-309726,-963000,-1034045,-405519,-3160505,-1379275,-3160505,-481369,-45847,-215445,266453,-1194735,1662605,-1342697,-1535558,-4618974,-4422629,-12273537,-1793972,-3403360,-2569939,-1597359
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40345,-145232,-172853,-181445,-190312,-169753,-135840,-151976,-398308,-1361347,-9573568,-768271
91,Common Stock Issued,- -,- -,- -,600000,300000,300000,- -,- -,200000,- -,16959,318372,66000,22718,14625,146294,114272,146294,38212,- -,- -,- -,- -,- -,- -,- -,- -,8474146,3768338,- -,8303436,- -,11693
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,-12267,- -,- -,- -,-65450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-200000,300000,300000,- -,100000,- -,-100000,-17257,-18690,-21000,-414178,- -,- -,- -,- -,2833,2,100671,1006000,759813,58061,22148,3149,2611791,-14759,6129819,1287923,3,11484573,4635298
95,Cash Used/Provided by Financing Activities,- -,- -,- -,400000,600000,300000,- -,100000,- -,-100000,-298,299682,45000,-391460,2358,146294,114272,146294,-24405,2,100671,965655,614581,-114792,-159297,-187163,2442038,8323547,9746181,889615,6942092,1911005,3878720
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
