,https://roic.ai/company/APYX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,2540400,1395800,1538796,1360259,1329970,1519925,1578239,1597966,1404210,1414145,1829132,2087153,1702679,2316969,2472877,2137000,2389000,1922000,2912000,3766000,4121000,5272000,5973000,7702000,12311000,9153000,13205000
54,Long-Term Debt,643100,482700,74107,11226,- -,- -,- -,411664,379995,348325,- -,- -,- -,3875000,3958150,3884000,3629000,3281000,3185000,3173000,3074000,2834000,2595000,140000,- -,- -,18000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,621000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8188,530863,- -,- -,- -,- -,- -,564000,564000,564000,368000,- -,- -,- -,- -
57,Other Non-Current Liabilities,4700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418150,318150,268150,- -,- -,105000,85000,5749000,12636000,285000,217000,20000,- -,1175000,478000,1489000
58,Total Non-Current Liabilities,647800,482700,74107,11226,- -,- -,- -,411664,379995,348325,- -,418150,326338,4674013,3958150,3884000,3734000,3366000,8934000,16373000,3923000,3615000,2983000,140000,1175000,1099000,1507000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,993000,676000,- -
61,Total Liabilities,3188200,1878500,1612903,1371485,1329970,1519925,1578239,2009630,1784205,1762470,1829132,2505303,2029017,6990982,6431027,6021000,6123000,5288000,11846000,20139000,8044000,8887000,8956000,7842000,13486000,10252000,14712000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2259000,3190000,2000,1000,- -,- -,- -,- -,- -
63,Common Stock,64700,121700,124071,14780,14115,13756,13274,13274,16641,13881,14059,15241,15457,16796,16952,18000,18000,18000,18000,18000,27000,31000,33000,34000,34000,34000,34000
64,Retained Earnings,-11182900,-10958900,-10859735,-11928381,-14112223,-13611595,-12827302,-13342067,-12660750,-11148757,-10742549,-8059343,-5658752,-3981964,-1831079,-3366000,-3257000,-2640000,-9634000,-27848000,-19484000,-23434000,-28496000,35513000,14517000,2621000,-12551000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-535527,-673999,-867460,-1060706,-1285686,-1563395,-1931536,-2411362,-3017344,-88464,-88967,- -,-5000000,-5451000,-5666000,-6348000,-6873000,-7269000,-6711000,-6358000,-4403000,- -,- -
66,Other Total Stockholders Equity,11530500,12857400,12960362,21201945,20647484,20665487,20681794,20880750,21379622,21954802,22461626,24515761,25452505,22841545,23056526,25113000,30356000,30968000,34353000,35682000,49732000,56894000,57206000,58579000,61111000,61066000,66526000
67,Total Stockholders Equity,412300,2020200,2224698,9288344,6013849,6393649,7000306,6491251,7449827,9256531,9801600,14060297,16791866,18787913,21153432,21765000,22117000,22895000,21330000,4694000,23404000,26223000,22032000,87768000,71259000,63721000,54009000
68,Total Liabilities And Stockholders Equity,3600500,3898700,3837601,10659829,7343819,7913574,8578545,8500881,9234032,11019001,11630732,16565600,18820883,25778895,27584459,27786000,28240000,28183000,33176000,24833000,31448000,35110000,30988000,95610000,84745000,73973000,68721000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140000,120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000,- -
70,Total Liabilities & Equity,3600500,3898700,3837601,10659829,7343819,7913574,8578545,8500881,9234032,11019001,11770732,16685600,18820883,25778895,27584459,27786000,28240000,28183000,33176000,24833000,31448000,35110000,30988000,95610000,84745000,74111000,68721000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719135/000112188805000052/0001121888-05-000052-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036106004776/0001140361-06-004776-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913507000012/0000719135-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036108008085/0001140361-08-008085-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036109007066/0001140361-09-007066-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036110012046/0001140361-10-012046-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036111019571/0001140361-11-019571-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036112017979/0001140361-12-017979-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036113014654/0001140361-13-014654-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000147793214001436/0001477932-14-001436-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000147793215001424/0001477932-15-001424-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000147793216009087/0001477932-16-009087-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913517000009/0000719135-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913518000015/0000719135-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000162828019002892/0001628280-19-002892-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913520000029/0000719135-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913521000029/0000719135-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913522000020/0000719135-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-154100,407300,99191,-998046,-2183842,500628,784293,-514765,681317,1511993,406208,2683206,2400591,1831788,595522,-1535000,109000,617000,-4339000,-17282000,-5370000,-3950000,-5062000,64009000,-19706000,-11896000,-15200000
74,Depreciation and Amortization,171000,260600,311138,787088,321172,396810,524242,274876,314682,395119,545876,529260,770826,973069,1049633,1006000,925000,857000,827000,876000,812000,734000,696000,669000,754000,887000,- -
75,Deferred Income Tax,- -,8300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-208835,754013,60378,-974000,-76000,210000,-1613000,3975000,-25000,25000,-196000,-368000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136385,163000,132000,161000,506000,388000,575000,809000,871000,1525000,3581000,4210000,- -
77,Change in Working Capital,97800,1525500,-111997,1119694,691232,41353,729017,-51156,752739,1714008,-50071,2579801,1679788,34627,945435,2033930,1320000,-46000,2861000,-5311000,6322000,3346000,-4693000,65241000,-17393000,-7486000,-9404000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440422,451000,-126000,-658000,884000,-3000,-933000,-1884000,-303000,-382000,- -,-558000,- -
79,Inventory,-91800,-247800,-109925,-24697,-201231,-312172,-407837,-286703,-234105,249503,-870832,-612469,-812127,-1287354,-1461642,-822000,-719000,287000,-884000,1955000,-102000,-379000,-870000,-881000,-2367000,615000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-727929,362000,134000,-284000,257000,494000,-189000,392000,-23000,-224000,1054000,-965000,- -
81,Other Working Capital,-858900,666600,554603,1674297,2365529,2406882,3135899,3084743,3837482,5551490,5501419,8081220,9761008,9795635,10741070,12775000,14095000,14049000,16910000,11599000,17921000,21267000,16574000,81815000,64422000,56936000,47532000
82,Other Non-Cash Items,-102200,-1776400,-397125,-922746,1702162,-281291,-1096775,365025,-1335217,-1577133,-1091635,-2806049,-2601026,-2850668,-2885685,-1259930,-513000,-1634000,-778000,16937000,-8100000,-3801000,4680000,-152087000,14289000,-1781000,24604000
83,Cash Provided by Operating Activities,12500,425300,-98793,-14010,530724,657500,940777,73980,413521,2043987,-189622,2986218,2041344,742829,-98332,-566000,1897000,165000,-2536000,-417000,-5786000,-2837000,-3704000,-21011000,-18475000,-16066000,- -
84,CAPEX,-362900,-456800,-257723,-321220,-126728,-256081,-172940,-220671,-565915,-606505,-910284,-2474970,-1713377,-4523162,-2465247,-201000,-542000,-753000,-588000,-630000,-421000,-286000,-624000,-363000,-1301000,-581000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,91095000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87189000,-18884000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25758000,80726000,- -,- -
88,Other Investing Activites,-381100,456800,-13381,-142615,- -,-383788,-346368,-26496,-88926,291760,-6770,- -,- -,10573,1233,633000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-381100,- -,-257733,-443835,-126728,-639869,-519308,-247167,-654841,-314745,-917054,-2474970,-1713377,-4512589,-2464014,432000,-542000,-753000,-588000,-630000,-921000,-286000,-624000,29301000,60541000,-581000,- -
90,Debt Repayment,- -,- -,-41936,-50006,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175000,-1135000,-3851000,-130000,-162000,-3257000,-239000,-240000,-239000,-2694000,-60000,-369000,- -
91,Common Stock Issued,80900,181000,- -,982756,177374,30000,- -,- -,251000,290425,138861,1332840,253900,223025,78750,9000,- -,- -,48000,- -,11531000,5830000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-425000,-152000,-183000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-97200,-181000,325804,-244478,-19969,-32043,61223,-25958,-82752,-31058,-31665,-186462,- -,2664883,2249481,2843000,3549000,- -,7000000,2113000,1487000,184000,60000,202000,207000,296000,- -
95,Cash Used/Provided by Financing Activities,-16300,- -,283868,688272,-267595,-154043,-121777,-25958,168248,259367,107196,1146378,253900,2887908,2153231,1717000,-302000,-130000,6886000,-1144000,12779000,5774000,-179000,-2492000,147000,-73000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88464,-503,89000,- -,- -,- -,- -,- -,- -,- -,- -,3000,-177000,- -
97,Net Change In Cash,-384900,-44900,-72658,230427,136401,-136412,299692,-199145,-73072,1988609,-999480,1657626,581867,-970316,-409618,1672000,1053000,-718000,3762000,-2191000,6072000,2651000,-4507000,5798000,42216000,-16897000,- -
98,Cash at the End of Period,165800,120900,48246,278673,415074,278662,578354,379209,306137,2294746,1295266,2952892,3534759,2564443,2154825,3827000,4880000,4162000,7924000,5733000,11805000,14456000,9949000,16466000,58812000,41915000,- -
99,Cash at the Beginning of Period,550700,165800,120904,48246,278673,415074,278662,578354,379209,306137,2294746,1295266,2952892,3534759,2564443,2155000,3827000,4880000,4162000,7924000,5733000,11805000,14456000,10668000,16596000,58812000,41915000
100,Free Cash Flow,-350400,-31500,-356516,-335230,403996,401419,767837,-146691,-152394,1437482,-1099906,511248,327967,-3780333,-2563579,-767000,1355000,-588000,-3124000,-1047000,-6207000,-3123000,-4328000,-21374000,-19776000,-16647000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719135/000112188805000052/0001121888-05-000052-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036106004776/0001140361-06-004776-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913507000012/0000719135-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036108008085/0001140361-08-008085-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036109007066/0001140361-09-007066-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036110012046/0001140361-10-012046-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036111019571/0001140361-11-019571-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036112017979/0001140361-12-017979-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000114036113014654/0001140361-13-014654-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000147793214001436/0001477932-14-001436-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000147793215001424/0001477932-15-001424-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000147793216009087/0001477932-16-009087-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913517000009/0000719135-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913518000015/0000719135-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000162828019002892/0001628280-19-002892-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913520000029/0000719135-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913521000029/0000719135-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/719135/000071913522000020/0000719135-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
