,https://roic.ai/company/CHEF,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,23563000,30371000,33718000,33925000,43157000,64888000,65514000,70019000,87799000,94097000,57515000,118284000
49,Short-Term Debt,- -,16945000,6107000,5175000,6867000,7736000,6266000,14795000,3827000,61000,18174000,23262000,21023000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,7164000,7347000,8810000,21799000,26167000,31990000,27065000,34427000,37682000,37880000,37325000,57711000
53,Total Current Liabilities,- -,47672000,43825000,47703000,62591000,77060000,103144000,107374000,108273000,125542000,150151000,118102000,197018000
54,Long-Term Debt,- -,82580000,39590000,119352000,140847000,135800000,268508000,317725000,313995000,278169000,506678000,507217000,521456000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,2552000,8338000,8067000,9316000,6958000,6015000,9601000,10883000,- -,- -
57,Other Non-Current Liabilities,- -,1232000,893000,1245000,10917000,8472000,17286000,7721000,10865000,10410000,10034000,4416000,5110000
58,Total Non-Current Liabilities,- -,83812000,40483000,123149000,160102000,152339000,295110000,332404000,330875000,298180000,527595000,511633000,526566000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138025000,126300000,143178000
61,Total Liabilities,- -,131484000,84308000,170852000,222693000,229399000,398254000,439778000,439148000,423722000,677746000,629735000,723584000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,208000,210000,250000,250000,263000,263000,284000,300000,304000,373000,380000
64,Retained Earnings,- -,- -,3556000,18067000,35057000,49271000,65480000,68503000,82869000,103271000,125437000,42534000,37611000
65,Other Comprehensive Income/Loss,- -,-10682000,-12900000,-15000000,-215000,-693000,-2949000,-2186000,-1549000,-2221000,-2048000,-2051000,-2022000
66,Other Total Stockholders Equity,- -,- -,32706000,36005000,96973000,97966000,- -,127180000,166997000,207326000,212240000,303734000,314242000
67,Total Stockholders Equity,- -,-48812000,23570000,39282000,132065000,146794000,187964000,193760000,248601000,308676000,335933000,344590000,350211000
68,Total Liabilities And Stockholders Equity,- -,82672000,107878000,210134000,354758000,376193000,586218000,633538000,687749000,732398000,1013679000,974325000,1073795000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,82672000,107878000,210134000,354758000,376193000,586218000,633538000,687749000,732398000,1013679000,974325000,1073795000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1517175/000119312512139054/0001193125-12-139054-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000119312513105358/0001193125-13-105358-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000138713114000844/0001387131-14-000844-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000138713115000830/0001387131-15-000830-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1517175/000162828017002472/0001628280-17-002472-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000162828018003044/0001628280-18-003044-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717519000003/0001517175-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717520000004/0001517175-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717521000003/0001517175-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717522000002/0001517175-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,8961000,15874000,7698000,14511000,16990000,14215000,16209000,3023000,14366000,20402000,24193000,-82903000,-4923000
74,Depreciation and Amortization,1520000,1388000,1722000,3932000,7317000,8243000,15413000,18515000,20549000,22206000,25991000,33276000,34965000
75,Deferred Income Tax,369000,-2772000,1164000,-83000,970000,173000,-809000,2991000,-703000,2554000,2063000,-18418000,-1845000
76,Stock Based Compensation,- -,- -,2097000,1547000,1210000,1374000,3539000,2579000,3018000,4094000,4399000,9292000,11479000
77,Change in Working Capital,-244000,-2436000,-4318000,-13953000,-16602000,-14588000,-1875000,-7003000,-11594000,-13506000,-26811000,63275000,-62348000
78,Accounts Receivable,-3054000,-5643000,-7033000,-7739000,-5883000,-21332000,-11055000,-2503000,-13611000,-19466000,-13213000,77590000,-70777000
79,Inventory,1584000,-450000,-3969000,-5130000,395000,-10809000,-6109000,7038000,-11783000,-6330000,-9439000,49050000,-60799000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-11000,-863000,-74000,-374000,-496000,735000,-1376000,-3429000,-1368000,-1507000,-6121000,1317000,-108000
82,Other Non-Cash Items,1279000,1470000,8357000,2437000,753000,380000,5250000,18809000,5861000,9332000,15172000,38359000,2773000
83,Cash Provided by Operating Activities,11885000,13524000,16720000,8391000,10638000,9797000,37727000,38914000,31497000,45082000,45007000,42881000,-19899000
84,CAPEX,-1061000,-1133000,-2081000,-3186000,-11704000,-24206000,-21656000,-16623000,-12311000,-19817000,-16077000,-7036000,-38801000
85,Acquisitions Net,-3766000,-3738000,-17757000,-72521000,-77995000,484000,-123831000,-19742000,-30095000,-13901000,-28077000,-60932000,-10190000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1061000,-1133000,-2076000,-3193000,-11704000,-24157000,-5469000,-16073000,-12311000,-19787000,-16077000,-7036000,-38801000
89,Cash Used for Investing Activites,-4827000,-4871000,-19833000,-75714000,-89699000,-23673000,-129300000,-35815000,-42406000,-33688000,-44154000,-67968000,-48991000
90,Debt Repayment,-329795000,-354485000,-487999000,-220771000,-151071000,-26154000,-140493000,-306681000,-36830000,-52276000,-46078000,-100432000,-57610000
91,Common Stock Issued,- -,- -,63279000,- -,75037000,- -,- -,- -,34020000,- -,- -,85941000,- -
92,Common Stock Repurchased,-263000,-68423000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-146000,-1597000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,322430000,416955000,427888000,286179000,174761000,23456000,231539000,333916000,22239000,41834000,143025000,92547000,48388000
95,Cash Used/Provided by Financing Activities,-7774000,-7550000,3168000,65408000,98727000,-2698000,91046000,27235000,19429000,-10442000,96947000,78056000,-9222000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,230000,-112000,-347000,74000,122000,-46000,23000,79000,-14000
97,Net Change In Cash,-716000,1103000,55000,-1915000,19896000,-16686000,-874000,30408000,8642000,906000,97823000,53048000,-78126000
98,Cash at the End of Period,875000,1978000,2033000,118000,20014000,3328000,2454000,32862000,41504000,42410000,140233000,193281000,115155000
99,Cash at the Beginning of Period,1591000,875000,1978000,2033000,118000,20014000,3328000,2454000,32862000,41504000,42410000,140233000,193281000
100,Free Cash Flow,10824000,12391000,14639000,5205000,-1066000,-14409000,16071000,22291000,19186000,25265000,28930000,35845000,-58700000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517175/000119312512139054/0001193125-12-139054-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000119312513105358/0001193125-13-105358-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000138713114000844/0001387131-14-000844-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000138713115000830/0001387131-15-000830-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1517175/000162828017002472/0001628280-17-002472-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000162828018003044/0001628280-18-003044-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717519000003/0001517175-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717520000004/0001517175-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717521000003/0001517175-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1517175/000151717522000002/0001517175-22-000002-index.htm
102,false,,,,,,,,,,,,,
