,https://roic.ai/company/AMPH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,8000000,8000000,8000000,41957000,44961000,45375000,46107000,46395000,46982000,47038000,47038000
28,Weighted Average Shares Outstanding Diluted,8000000,8000000,8000000,41957000,44961000,47504000,48367000,46395000,49907000,49124000,49124000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1297184/000117184315001654/0001171843-15-001654-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000155837016004146/0001558370-16-004146-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718417000007/0001297184-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718418000011/0001297184-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718419000013/0001297184-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718420000007/0001297184-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718421000008/0001297184-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718422000007/0001297184-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,50213000,53587000,67828000,66074000,72354000,65594000,86337000,73685000,92642000,126353000
32,Short-Term Investments,- -,- -,- -,- -,- -,527000,2635000,2831000,11675000,12977000,- -
33,Cash and Short-Term Investments,- -,50213000,53587000,67828000,66074000,72881000,68229000,89168000,85360000,105619000,126353000
34,Net Receivables,- -,38275000,27014000,23125000,33471000,26799000,42032000,52212000,45687000,66390000,78804000
35,Inventory,- -,51378000,69916000,82332000,70665000,79754000,63609000,69322000,110501000,96831000,92807000
36,Other Current Assets,- -,25824000,22454000,24711000,5724000,4662000,13908000,9640000,13693000,10842000,20155000
37,Total Current Assets,- -,165690000,172971000,197996000,175934000,184096000,187778000,220342000,255241000,279682000,318119000
38,PP&E,- -,107366000,116619000,138289000,142161000,152944000,185339000,210418000,233856000,280709000,244597000
39,Goodwill,- -,280000,280000,4467000,3726000,3976000,4461000,3951000,3634000,3940000,- -
40,Intangible Assets,- -,42074000,39883000,38098000,36175000,46331000,40679000,38316000,37519000,36675000,38870000
41,Intangible Assets,- -,42354000,40163000,42565000,39901000,50307000,45140000,42267000,41153000,40615000,38870000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10320000
43,Tax Assets,- -,27000,6118000,6932000,27444000,31001000,27745000,30618000,25873000,24980000,22399000
44,Other Non-Current Assets,- -,2040000,2877000,3588000,4696000,9390000,8663000,9918000,30848000,5250000,37224000
45,Total Non-Current Assets,- -,151787000,165777000,191374000,214202000,243642000,266887000,293221000,331730000,351554000,353410000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,317477000,338748000,389370000,390136000,427738000,454665000,513563000,586971000,631236000,671529000
48,Accounts Payable,- -,17663000,20380000,10161000,13872000,16196000,16629000,31323000,25061000,24357000,- -
49,Short-Term Debt,- -,22052000,22104000,7594000,10934000,5366000,6312000,18229000,10916000,15620000,5184000
50,Tax Payable,- -,3032000,2847000,3123000,3076000,7705000,3325000,1187000,2042000,1077000,126000
51,Deferred Revenue,- -,642000,643000,14013000,643000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,19718000,22275000,30827000,34506000,39055000,44251000,57282000,54032000,72224000,98626000
53,Total Current Liabilities,- -,60075000,65402000,62595000,59955000,60617000,67192000,106834000,90009000,112201000,103810000
54,Long-Term Debt,- -,15950000,10069000,36106000,30165000,32356000,40844000,31984000,39394000,34186000,99479000
55,Deferred Revenue,- -,3332000,2625000,1982000,1339000,97000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,3188000,7154000,6337000,497000,2300000,2240000,1446000,4292000,5450000,534000
57,Other Non-Current Liabilities,- -,1493000,1953000,490000,2670000,3113000,7060000,8940000,25748000,30676000,22184000
58,Total Non-Current Liabilities,- -,23963000,21801000,44915000,34671000,37866000,50144000,42370000,69434000,70312000,122197000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,19490000,20821000,- -
61,Total Liabilities,- -,84038000,87203000,107510000,94626000,98483000,117336000,149204000,159443000,182513000,226007000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4000,4000,4000,5000,5000,5000,5000,5000,5000,6000
64,Retained Earnings,- -,61947000,73809000,63110000,60323000,70855000,76235000,67485000,116370000,117773000,180337000
65,Other Comprehensive Income/Loss,- -,-79751000,-90575000,-1654000,-2475000,-4696000,-2100000,-4013000,-4687000,-3721000,-6765000
66,Other Total Stockholders Equity,- -,251239000,268307000,220400000,237657000,263091000,263189000,268958000,269678000,288249000,271944000
67,Total Stockholders Equity,- -,233439000,251545000,281860000,295510000,329255000,337329000,332435000,381366000,402306000,445522000
68,Total Liabilities And Stockholders Equity,- -,317477000,338748000,389370000,390136000,427738000,454665000,481639000,540809000,584819000,671529000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,31924000,46162000,46417000,- -
70,Total Liabilities & Equity,- -,317477000,338748000,389370000,390136000,427738000,454665000,513563000,586971000,631236000,671529000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1297184/000117184315001654/0001171843-15-001654-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000155837016004146/0001558370-16-004146-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718417000007/0001297184-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718418000011/0001297184-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718419000013/0001297184-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718420000007/0001297184-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718421000008/0001297184-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718422000007/0001297184-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,7752000,18094000,11862000,-10699000,-2787000,10532000,4508000,-5738000,48939000,1403000,63301000
74,Depreciation and Amortization,11150000,11497000,13078000,14448000,13252000,14564000,15436000,16516000,21121000,25180000,- -
75,Deferred Income Tax,-36006000,8275000,2081000,-8244000,-7881000,-3271000,3933000,-1878000,7552000,1123000,- -
76,Stock Based Compensation,8040000,7425000,7035000,9280000,12815000,15124000,17087000,16680000,17295000,20498000,- -
77,Change in Working Capital,27579000,105615000,- -,1954000,27832000,-19422000,7500000,-2893000,-7078000,51724000,46828000
78,Accounts Receivable,-1171000,-16647000,11824000,1210000,-11012000,6377000,-8102000,-16295000,6702000,-20160000,- -
79,Inventory,-1901000,-25219000,-18538000,6565000,9775000,-9715000,18650000,-5984000,-41103000,15297000,- -
80,Accounts Payable,20814000,-8008000,4203000,5500000,-3131000,-823000,6687000,29159000,- -,- -,- -
81,Other Working Capital,- -,105615000,105615000,107569000,135401000,115979000,123479000,120586000,113508000,165232000,214309000
82,Other Non-Cash Items,581000,-152556000,-3014000,14313000,-32550000,21033000,-9255000,15504000,-46067000,-42662000,-110129000
83,Cash Provided by Operating Activities,19096000,-1650000,31042000,21052000,10681000,38560000,39209000,38191000,41762000,57266000,- -
84,CAPEX,-10718000,-25245000,-18302000,-20499000,-16047000,-21382000,-35099000,-46808000,-41555000,-33855000,- -
85,Acquisitions Net,- -,- -,- -,-18352000,- -,-12461000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-3602000,-5645000,-308000,-8815000,-13557000,- -
87,Sales/Maturities of Investments,185000,810000,513000,- -,- -,3075000,3650000,91000,- -,12411000,- -
88,Other Investing Activites,-791000,-2789000,-1169000,-2750000,-2507000,-5131000,-1661000,4843000,-157000,-1414000,- -
89,Cash Used for Investing Activites,-10535000,-25112000,-18298000,-39773000,-16925000,-39501000,-38755000,-42182000,-50527000,-36415000,- -
90,Debt Repayment,-5900000,-30126000,-73152000,-54214000,-8991000,-14652000,-9712000,-5705000,-6781000,-8401000,- -
91,Common Stock Issued,- -,- -,- -,38018000,1320000,20639000,13758000,38036000,18298000,- -,- -
92,Common Stock Repurchased,-1754000,-811000,-199000,-734000,-10486000,-9908000,-30747000,-25047000,-22291000,-24425000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-922000,54174000,63981000,49047000,20394000,11061000,18983000,17724000,6991000,30580000,- -
95,Cash Used/Provided by Financing Activities,-8576000,23237000,-9370000,32117000,2237000,7140000,-7718000,25008000,-3783000,-2246000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,845000,2253000,81000,504000,-274000,-104000,352000,- -
97,Net Change In Cash,-15000,-3525000,3374000,14241000,-1754000,6280000,-6760000,20743000,-12652000,18957000,- -
98,Cash at the End of Period,53738000,50213000,53587000,67828000,66074000,72354000,65594000,88202000,75550000,94507000,- -
99,Cash at the Beginning of Period,53753000,53738000,50213000,53587000,67828000,66074000,72354000,67459000,88202000,75550000,- -
100,Free Cash Flow,8378000,-26895000,12740000,553000,-5366000,17178000,4110000,-8617000,207000,23411000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1297184/000117184315001654/0001171843-15-001654-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000155837016004146/0001558370-16-004146-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718417000007/0001297184-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718418000011/0001297184-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718419000013/0001297184-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718420000007/0001297184-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718421000008/0001297184-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1297184/000129718422000007/0001297184-22-000007-index.htm
102,false,,,,,,,,,,,
