,https://roic.ai/company/PETS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,-169977,-88287,236715,367673,550392,573817,544535,530440,589990,814542,1321000,1375000,1411000,1091000,867000,660000,770000,1369000,2126000,2225000,2257000,2427000
15,EBITDA,-1964214,-2914994,1062128,3848079,9763917,13177232,19579729,23731189,31001135,36471188,42063000,34652000,27782000,28397000,29266000,28458000,33337000,39293000,55915000,51346000,36150000,41643000
16,EBITDA ratio,-0.1338,-0.2913,0.0332,0.0700,0.1039,0.1216,0.1423,0.1463,0.1646,0.1662,0.1765,0.1496,0.1166,0.1246,0.1254,0.1241,0.1421,0.1577,0.2042,0.1812,0.1272,0.1347
17,Operating Income,-1585555,-2639098,747940,3483007,9211394,12501626,18145244,21500025,27995612,34200985,40542000,33024000,26022000,27005000,28218000,27613000,32388000,37483000,52136000,46174000,30977000,37587000
18,Operating Income ratio,-0.1080,-0.2637,0.0234,0.0634,0.0980,0.1154,0.1319,0.1325,0.1486,0.1559,0.1702,0.1426,0.1092,0.1185,0.1209,0.1204,0.1380,0.1504,0.1904,0.1629,0.1090,0.1216
19,Total Other Income Expenses (Gains),-14351,-187609,77473,-2601,2131,101789,889950,1700724,2415533,1455661,200000,253000,349000,301000,181000,185000,179000,441000,1653000,2947000,2916000,1629000
20,Income Before Tax,- -,-2826707,825413,3480406,9213525,12603415,19035194,23200749,30411145,35656646,40742000,33277000,26371000,27306000,28399000,27798000,32567000,37924000,53789000,49121000,33893000,39216000
21,Income Before Tax Ratio,- -,-0.2825,0.0258,0.0633,0.0980,0.1163,0.1384,0.1430,0.1615,0.1625,0.1710,0.1437,0.1107,0.1199,0.1217,0.1212,0.1388,0.1522,0.1965,0.1733,0.1193,0.1268
22,Income Tax expense (Gain),- -,- -,- -,222841,3399921,4593045,6971680,8757247,10388914,12680235,14740000,12406000,9712000,10141000,10427000,10345000,12000000,14105000,16506000,11381000,8042000,8613000
23,Net Income,-1794237,-2826707,825413,3257565,5813604,8010370,12063514,14443502,20022231,22976411,26002000,20871000,16659000,17165000,17972000,17453000,20567000,23819000,37283000,37740000,25851000,30603000
24,Net Income ratio,-0.1222,-0.2825,0.0258,0.0593,0.0619,0.0739,0.0877,0.0890,0.1063,0.1047,0.1091,0.0901,0.0699,0.0753,0.0770,0.0761,0.0876,0.0956,0.1362,0.1332,0.0910,0.0990
25,EPS,-0.28,-0.28,0.05,0.19,0.30,0.35,0.51,0.60,0.83,0.99,1.15,0.93,0.81,0.86,0.90,0.87,1.02,1.18,1.83,1.84,1.29,1.53
26,EPS Diluted,-0.28,-0.28,0.04,0.16,0.25,0.34,0.50,0.60,0.82,0.98,1.14,0.92,0.80,0.86,0.90,0.87,1.02,1.17,1.82,1.84,1.29,1.52
27,Weighted Average Shares Outstanding,6369822,9943625,16360010,17300130,19471681,22862417,23658722,24109035,24088258,23305726,22616785,22514000,20613000,19926000,19901000,20015000,20124000,20232000,20346000,20461000,20041000,20060000
28,Weighted Average Shares Outstanding Diluted,6369822,9943625,19739493,20749515,23689866,23833189,24211955,24270879,24299364,23482177,22746433,22643000,20708000,20049000,20043000,20136000,20254000,20378000,20433000,20491000,20055000,20119000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1040130/000094344004000298/0000943440-04-000298-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1040130/000094344007000291/0000943440-07-000291-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344008000245/0000943440-08-000245-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344009000359/0000943440-09-000359-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344010000378/0000943440-10-000378-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344011000276/0000943440-11-000276-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000118811212001799/t73684_10k.htm,https://www.sec.gov/Archives/edgar/data/1040130/000118811213001701/0001188112-13-001701-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104914002091/0001571049-14-002091-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104915004580/0001571049-15-004580-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104916015491/0001571049-16-015491-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104917005258/0001571049-17-005258-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774918010847/0001437749-18-010847-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774919010894/0001437749-19-010894-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774920011720/0001437749-20-011720-index.htm,https://www.sec.gov/Archives/edgar/data/1040130/000143774921013213/0001437749-21-013213-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,311846,408699,737284,984169,3278926,12680962,23216907,316470,20267829,30126041,53143000,49660000,46801000,18155000,18305000,35613000,37639000,58730000,77936000,100529000,103762000,118718000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,39125000,4780000,- -,- -,10116000,10347000,15490000,15539000,15591000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,311846,408699,737284,984169,3278926,12680962,23216907,39441470,25047829,30126041,53143000,59776000,57148000,33645000,33844000,51204000,37639000,58730000,77936000,100529000,103762000,118718000
34,Net Receivables,187873,162468,291513,651883,1133301,1796756,1155781,1369521,1575263,2881085,2097000,1985000,1572000,1439000,1761000,1931000,1724000,1808000,2292000,2542000,3843000,2587000
35,Inventory,1752696,631394,2306620,4268146,11179858,11180333,14997675,16086207,17909549,26778096,29064000,25140000,26217000,31601000,35727000,25068000,25586000,20228000,23337000,21370000,17884000,34420000
36,Other Current Assets,650544,22114,148608,478108,232218,213152,583038,1071171,691859,1839906,2195000,2703000,2670000,3502000,2877000,2197000,2678000,1019000,1670000,1990000,3529000,5462000
37,Total Current Assets,2902959,1224675,3484025,6382306,15824303,25871203,39953401,57968369,45224500,61625128,86499000,89604000,87607000,70187000,74209000,80400000,67627000,81785000,105235000,126431000,129018000,161187000
38,PP&E,3306568,3185851,1120056,1496979,1688327,1286267,1497589,1990578,1903294,5057561,4429000,3433000,2597000,2132000,1310000,1569000,20929000,30164000,28741000,27136000,25445000,25450000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,365000,365000,365000,365000,365000,365000,850000,850000,860000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,365000,365000,365000,365000,365000,365000,850000,850000,860000,860000,860000,860000,860000,860000,860000,860000,860000,860000,860000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,25000000,14430250,12392000,12390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,581356,581356,582846,794002,894540,1221853,- -,- -,- -,- -,- -,- -,23000,863000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,116908,94231,50155,200155,21822,14167,14167,- -,-260000,- -,- -,- -,- -,- -,1996000,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,3423476,3280082,1170211,2643490,2656505,2248280,2670758,3250118,28230147,20337811,17671000,16683000,3457000,2992000,4166000,2452000,22652000,31024000,29601000,27996000,26305000,26310000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6326435,4504757,4654236,9025796,18480808,28119483,42624159,61218487,73454647,81962939,104170000,106287000,91064000,73179000,78375000,82852000,90279000,112809000,134836000,154427000,155323000,187497000
48,Accounts Payable,1282633,1542166,2724995,3296223,3273062,2724990,3052953,5859756,4358774,4817097,4776000,6452000,6619000,6454000,5768000,5153000,5004000,15221000,15274000,16275000,19658000,39548000
49,Short-Term Debt,1027060,1905810,68442,68442,68442,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1177000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,195048,250048,- -,- -,1144795,1177429,1931677,1495158,2061898,2177838,2312000,2509000,2772000,2543000,2325000,2264000,2080000,3134000,2835000,2351000,4685000,5387000
53,Total Current Liabilities,2504741,3698024,2793437,3364665,4486299,3902419,4984630,7354914,6420672,6994935,7088000,8961000,9391000,8997000,8093000,7417000,7084000,18355000,18109000,18626000,24343000,44935000
54,Long-Term Debt,1807444,- -,278099,68443,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,321000,492000,168000,65000,- -,- -,1088000,996000,1121000,970000,1281000
57,Other Non-Current Liabilities,383398,49446,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,2190842,49446,278099,68443,- -,- -,- -,- -,- -,- -,225000,321000,492000,168000,65000,- -,- -,1088000,996000,1121000,970000,1281000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4695583,3747470,3071536,3433108,4486299,3902419,4984630,7354914,6420672,6994935,7313000,9282000,9883000,9165000,8158000,7417000,7084000,19443000,19105000,19747000,25313000,46216000
62,Preferred Stock,- -,- -,- -,8898,8898,8898,8898,8898,8898,8898,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
63,Common Stock,6370,16360,16360,18461,21860,23459,23967,24309,23734,22687,23000,22000,20000,20000,20000,20000,20000,21000,21000,21000,20000,20000
64,Retained Earnings,-2970149,-5796856,-4971443,-1713878,4099726,12110096,24173610,38617112,58639343,75156169,94305000,97115000,81108000,63987000,68647000,72343000,78295000,86530000,106320000,122172000,126177000,134141000
65,Other Comprehensive Income/Loss,- -,-771037,-831856,-840001,-1390394,-1964211,-1795717,-2326007,-2915997,-3673538,-4123000,-5060000,-6376000,-7467000,-8334000,-7627000,-8397000,-4047000,-6173000,-8397000,-10654000,-10328000
66,Other Total Stockholders Equity,4594631,7308820,7369639,8119208,11254419,14038822,15228771,17539261,11277997,3453788,6643000,4919000,6420000,7465000,9875000,10690000,13268000,10853000,15554000,20875000,14458000,17439000
67,Total Stockholders Equity,1630852,757287,1582700,5592688,13994509,24217064,37639529,53863573,67033975,74968004,96857000,97005000,81181000,64014000,70217000,75435000,83195000,93366000,115731000,134680000,130010000,141281000
68,Total Liabilities And Stockholders Equity,6326435,4504757,4654236,9025796,18480808,28119483,42624159,61218487,73454647,81962939,104170000,106287000,91064000,73179000,78375000,82852000,90279000,112809000,134836000,154427000,155323000,187497000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6326435,4504757,4654236,9025796,18480808,28119483,42624159,61218487,73454647,81962939,104170000,106287000,91064000,73179000,78375000,82852000,90279000,112809000,134836000,154427000,155323000,187497000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1040130/000094344004000298/0000943440-04-000298-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1040130/000094344007000291/0000943440-07-000291-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344008000245/0000943440-08-000245-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344009000359/0000943440-09-000359-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344010000378/0000943440-10-000378-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344011000276/0000943440-11-000276-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000118811212001799/t73684_10k.htm,https://www.sec.gov/Archives/edgar/data/1040130/000118811213001701/0001188112-13-001701-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104914002091/0001571049-14-002091-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104915004580/0001571049-15-004580-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104916015491/0001571049-16-015491-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104917005258/0001571049-17-005258-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774918010847/0001437749-18-010847-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774919010894/0001437749-19-010894-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774920011720/0001437749-20-011720-index.htm,https://www.sec.gov/Archives/edgar/data/1040130/000143774921013213/0001437749-21-013213-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1794237,-2826707,825413,3257565,5813604,8010370,12063514,14443502,20022231,22976411,26002000,20871000,16659000,17165000,17972000,17453000,20567000,23819000,37283000,37740000,25851000,30603000
74,Depreciation and Amortization,-169977,-88287,236715,367673,550392,573817,544535,530440,589990,814542,1321000,1375000,1411000,1091000,867000,660000,770000,1369000,2126000,2225000,2257000,2427000
75,Deferred Income Tax,- -,- -,- -,-581356,- -,-1490,-211156,-100538,-327313,497292,-305000,348000,-56000,-76000,-183000,157000,-23000,1951000,-92000,125000,-151000,311000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1464225,1594000,2171000,2246000,1943000,1479000,1481000,1612000,1935000,2575000,3097000,2822000,3307000
77,Change in Working Capital,1036476,-2871567,3163937,2327053,8320363,10630780,12999987,15644684,-11809627,15826365,24780807,1232000,-2427000,-17026000,4926000,6867000,-12440000,2887000,23696000,20679000,-3130000,11577000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1379803,766000,64000,366000,77000,-417000,-264000,-53000,-505000,-596000,-335000,-1492000,1126000
79,Inventory,-175983,1121302,-1675226,-1961526,-6911712,-475,-3817342,-1088532,-1823342,-8868547,-2286000,3924000,-1077000,-5384000,-4126000,10659000,-518000,5358000,-3109000,1967000,3486000,-16536000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-313436,313000,1964000,297000,-165000,-686000,-616000,-149000,10217000,53000,1001000,3383000,19890000
81,Other Working Capital,398218,-2473349,690588,3017641,11338004,21968784,34968771,50613455,38803828,54630193,79411000,80643000,78216000,61190000,66116000,72983000,60543000,63430000,87126000,107805000,104675000,116252000
82,Other Non-Cash Items,610497,4739978,-3750041,-4400634,-13578764,-10864678,-15119390,-13953648,10905213,-26613151,-25707807,4109000,2558000,10193000,-11555000,5425000,10567000,15243000,-28209000,-18728000,11195000,-8150000
83,Cash Provided by Operating Activities,-317241,-1046583,476024,970301,1105595,8348799,10277490,16564440,19380494,14965684,27685000,30106000,20391000,13290000,13506000,32043000,21053000,47204000,37379000,45138000,38844000,40075000
84,CAPEX,-552096,-241888,-555645,-744596,-741740,-171757,-758176,-1025079,-502706,-3692615,-1047000,-677000,-705000,-626000,-45000,-918000,-20130000,-10604000,-703000,-620000,-2311000,-2432000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-16275000,- -,- -,- -,- -,- -,-5189000,-84000,-68000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,9605000,14870000,2150000,- -,- -,- -,- -,- -,15645000,- -,- -,- -,- -,- -
88,Other Investing Activites,-366084,311429,2016921,-350000,- -,- -,600,400,- -,2000,- -,-10146000,12344000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-918180,69541,1461276,-1094596,-741740,-171757,-757576,-17299679,9102294,11179385,1103000,-10823000,11639000,-5815000,-129000,-986000,-4485000,-10604000,-703000,-620000,-2311000,-2432000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,256998,1954142,- -,580836,1999345,1293436,1016031,442084,2784987,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1000,- -,- -,- -,- -,- -,- -,-11600721,-18447539,- -,-12247000,-23685000,-3865000,- -,- -,- -,- -,- -,- -,-11497000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6805000,-10727000,-10964000,-31972000,-13326000,-13807000,-14684000,-15509000,-17470000,-21925000,-21803000,-22687000
94,Other Financing Activites,604520,-879247,-1608715,-209656,-68443,-68442,- -,242718,284305,2160682,1034000,208000,-240000,-284000,99000,58000,142000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,861518,1073895,-1608715,371180,1930902,1224994,1016031,684802,-8531429,-16286857,-5771000,-22766000,-34889000,-36121000,-13227000,-13749000,-14542000,-15509000,-17470000,-21925000,-33300000,-22687000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-373903,96853,328585,246885,2294757,9402036,10535945,-50437,19951359,9858212,23017000,-3483000,-2859000,-28646000,150000,17308000,2026000,21091000,19206000,22593000,3233000,14956000
98,Cash at the End of Period,311846,408699,737284,984169,3278926,12680962,23216907,316470,20267829,30126041,53143000,49660000,46801000,18155000,18305000,35613000,37639000,58730000,77936000,100529000,103762000,118718000
99,Cash at the Beginning of Period,685749,311846,408699,737284,984169,3278926,12680962,366907,316470,20267829,30126000,53143000,49660000,46801000,18155000,18305000,35613000,37639000,58730000,77936000,100529000,103762000
100,Free Cash Flow,-869337,-1288471,-79621,225705,363855,8177042,9519314,15539361,18877788,11273069,26638000,29429000,19686000,12664000,13461000,31125000,923000,36600000,36676000,44518000,36533000,37643000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1040130/000094344004000298/0000943440-04-000298-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1040130/000094344007000291/0000943440-07-000291-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344008000245/0000943440-08-000245-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344009000359/0000943440-09-000359-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344010000378/0000943440-10-000378-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344011000276/0000943440-11-000276-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000118811212001799/t73684_10k.htm,https://www.sec.gov/Archives/edgar/data/1040130/000118811213001701/0001188112-13-001701-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104914002091/0001571049-14-002091-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104915004580/0001571049-15-004580-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104916015491/0001571049-16-015491-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104917005258/0001571049-17-005258-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774918010847/0001437749-18-010847-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774919010894/0001437749-19-010894-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774920011720/0001437749-20-011720-index.htm,https://www.sec.gov/Archives/edgar/data/1040130/000143774921013213/0001437749-21-013213-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
