,https://roic.ai/company/TKLS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
38,PP&E,- -,- -,- -,- -,- -,- -,8770,5890,1480,1220,1230,50230,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,60000,41520,39240,20210,16080,11940,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,60000,41520,39240,20210,16080,11940,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,10000,- -,18170,1500,1490,1510,3280,122260,925
45,Total Non-Current Assets,- -,- -,- -,- -,10000,60000,68460,46630,23180,18810,16450,172490,925
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,20000,- -,370000,1280000,1320000,897910,857420,509790,702350,870810,927240,1797
48,Accounts Payable,20000,50000,150000,70000,30000,80000,- -,620910,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,9560,32952,93241,60396,579751,131024,227571,523016,1350982,1128087,2078746,1645119
50,Tax Payable,- -,- -,- -,3060,11891,11891,12505,11984,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,14235000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,-14224560,-2952,26759,29604,20249,367036,42949,465244,633638,1189453,1821754,-1641820
53,Total Current Liabilities,20000,70000,180000,190000,120000,680000,498060,891430,988260,1984620,2317540,3900500,3299
54,Long-Term Debt,- -,- -,- -,500000,500000,- -,- -,233000,148160,151360,509110,17240,249
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37190,-2687
58,Total Non-Current Liabilities,- -,- -,- -,500000,500000,- -,- -,233000,148160,151360,509110,54430,-2438
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51912,37189
61,Total Liabilities,20000,70000,180000,690000,620000,680000,498060,1124430,1136420,2135980,2826650,3954930,861
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,61,76,76,76,10
63,Common Stock,- -,10000,- -,10000,10000,10000,16940,19350,23720,27930,34740,45430,74
64,Retained Earnings,-80000,-410000,-1410000,-2100000,-3270000,-6480000,-13506820,-17800180,-21073010,-23997140,-27532750,-32425980,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,70000,350986,1230000,1772223,3919613,7107060,13889725,17513824,20422604,22535502,25542088,29352784,-2363566
67,Total Stockholders Equity,-7964,-49014,-179271,-317777,659613,637060,399845,-267006,-626625,-1433632,-1955846,-3027690,-2363482
68,Total Liabilities And Stockholders Equity,12036,20986,729,372223,1279613,1317060,897905,857424,509795,702348,870804,927240,-2362621
69,Minority Interest,-2036,-986,-729,-2223,387,2940,5,-4,-5,2,6,- -,2364418
70,Total Liabilities & Equity,10000,20000,- -,370000,1280000,1320000,897910,857420,509790,702350,870810,927240,1797
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1429393/000107704809000050/acbr_10-k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704810000038/form10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704811000100/annualreport.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704812000194/bolc10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704813000074/bolc10-k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704814000074/bolc10-k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704815000023/0001077048-15-000023-index.html,https://www.sec.gov/Archives/edgar/data/1429393/000107704816000091/bolc10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390517000214/bolc_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390518000136/bolc_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390519000116/tkls_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390520000120/tkls_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390521000310/0001393905-21-000310-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-80000,-340000,-1000000,-650000,-1170000,-3210000,-7217940,-4293360,-3272830,-2871970,-3535620,-4893230,-10567089
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,21187,23582,27272,4379,5035,950,272
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,204000,126100,111600,2488534,450450,- -,- -,- -,- -,- -
77,Change in Working Capital,18497,-40000,-130000,360000,970000,-570000,-248610,-412030,-421010,-799430,-162100,-1682570,3143322
78,Accounts Receivable,12931,343,- -,- -,- -,- -,-54477,-18056,-43800,-12913,-85014,-92393,85065
79,Inventory,- -,- -,- -,- -,- -,- -,-174132,-48405,159700,-94651,-245835,296364,82304
80,Accounts Payable,5566,23917,86277,19490,-37162,48172,261882,294482,- -,162550,547310,60842,-44381
81,Other Working Capital,-10000,-50000,-180000,180000,1150000,580000,331390,-80640,-501650,-1301080,-1463180,-3145750,-2428
82,Other Non-Cash Items,15036,62808,1058613,-99364,-293347,3209840,2223988,1707491,2257472,2145077,2104148,4356524,5948556
83,Cash Provided by Operating Activities,-46467,-317192,-71387,-185364,-367247,-458560,-2732841,-2523867,-1409096,-1521944,-1588537,-2218326,-1474939
84,CAPEX,- -,- -,- -,-550,-3500,-55098,-12324,-18424,-3828,- -,-892,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-550,-3500,-55098,-275,-17258,-3828,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-550,-3500,-55098,-12324,-18424,-3828,- -,-892,- -,- -
90,Debt Repayment,- -,- -,- -,-11189,-60445,- -,-17000,-128187,-144760,-159949,-84791,-57750,-816103
91,Common Stock Issued,57000,294532,43500,125000,407500,395000,2887999,1559500,625070,1044458,1202466,1533250,807000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11400,- -,- -,- -
94,Other Financing Activites,- -,13115,26947,72919,26700,119115,-89351,1074150,1016130,808000,402823,737500,1631328
95,Cash Used/Provided by Financing Activities,57000,307647,70447,186730,373755,514115,2781648,2505463,1496440,1597109,1520498,2213000,1622225
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,57000,-9545,-940,816,3008,457,36483,-36828,83516,75165,-68931,-5326,147286
98,Cash at the End of Period,10533,988,48,864,3872,4329,40446,3618,87134,162299,9668,4342,151628
99,Cash at the Beginning of Period,- -,10533,988,48,864,3872,3963,40446,3618,87134,78599,9668,4342
100,Free Cash Flow,-46467,-317192,-71387,-185914,-370747,-513658,-2745165,-2542291,-1412924,-1521944,-1589429,-2218326,-1474939
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1429393/000107704809000050/acbr_10-k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704810000038/form10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704811000100/annualreport.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704812000194/bolc10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704813000074/bolc10-k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704814000074/bolc10-k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000107704815000023/0001077048-15-000023-index.html,https://www.sec.gov/Archives/edgar/data/1429393/000107704816000091/bolc10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390517000214/bolc_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390518000136/bolc_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390519000116/tkls_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390520000120/tkls_10k.htm,https://www.sec.gov/Archives/edgar/data/1429393/000139390521000310/0001393905-21-000310-index.htm
102,false,,,,,,,,,,,,,
