,https://roic.ai/company/LFVN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1144950,818250,510765,- -,- -,- -,- -,545000,887000,990000,2406000,1743000,1107000,998000,792000,319000
52,Other Current Liabilities,39600,47517,49406,- -,- -,- -,- -,4500,- -,207673,401290,230811,338268,1081961,3223607,12147102,12412085,14850000,13351000,10096000,14415000,13961000,16885000,18563000,18432000,15138000
53,Total Current Liabilities,63825,87973,156178,24000,- -,1329,764,14471,20000,865200,2160073,1200061,1156302,3734185,5130894,13380296,16027782,20566000,22702000,25860000,28550000,23355000,23805000,26195000,25019000,25199000
54,Long-Term Debt,115000,115000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223484,382194,121014,- -,- -,- -,25073000,9631000,7409000,5440000,3412000,- -,- -,16032000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23677,- -,21017,216885,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3146,846,- -,8429710,17150310,19905401,- -,973000,2234000,2063000,2169000,1927000,1978000,1879000,604000,694000
58,Total Non-Current Liabilities,115000,115000,- -,- -,- -,- -,- -,- -,- -,- -,3146,846,223484,8835581,17271324,19926418,216885,973000,27307000,11694000,9578000,7367000,5390000,1879000,604000,16726000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3146,846,- -,41490,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1184000,18183000
61,Total Liabilities,178825,202973,156178,24000,- -,1329,764,14471,20000,865200,2163219,1200907,1379786,12569766,22402218,33306714,16244667,21539000,50009000,37554000,38128000,30722000,29195000,28074000,25623000,41925000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5666,5666,5666,5666,5666,6630,6730,6730,10000,22118,22118,22268,24766,53969,61495,98795,110853,121000,102000,98000,14000,14000,1000,1000,1000,1000
64,Retained Earnings,- -,-204670,-283382,-298586,-323316,-339666,-349096,-361338,-360000,-6275838,-9010339,-12703917,-14758356,-23872990,-37661857,-88453607,-76960603,-76476000,-111240000,-114095000,-108076000,-106992000,-102731000,-99960000,-93307000,-92346000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18472,-55607,-99692,-156856,-165346,-31777,-59683,-21197,-113000,-116000,-251000,43000,-94000,14000,62000,144000,104000
66,Other Total Stockholders Equity,124030,304663,304663,304663,361663,371199,378099,- -,370000,17250304,17328487,15494729,18059696,17130273,21457145,67606293,105154116,110413000,115244000,117573000,120150000,121599000,124663000,127096000,126416000,129048000
67,Total Stockholders Equity,129696,105659,26947,11743,44013,38163,35733,23491,20000,10978112,8284659,2713388,3169250,-6854094,-16174994,-20808202,28283169,33945000,3990000,3325000,12131000,14527000,21947000,27199000,33254000,36807000
68,Total Liabilities And Stockholders Equity,308521,308632,183125,35743,- -,39492,36497,37962,40000,11843312,10447878,3914295,4549036,5715672,6227224,12498512,44527836,55484000,53999000,40879000,50259000,45249000,51142000,55273000,58877000,78732000
69,Minority Interest,- -,- -,- -,- -,44013,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,308521,308632,183125,35743,44013,39492,36497,37962,40000,11843312,10447878,3914295,4549036,5715672,6227224,12498512,44527836,55484000,53999000,40879000,50259000,45249000,51142000,55273000,58877000,78732000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849146/000102189006000015/lifeline6300510kam1.htm,https://www.sec.gov/Archives/edgar/data/849146/000095013406022340/d41704a1e10ksbza.htm,https://www.sec.gov/Archives/edgar/data/849146/000103570407000701/d50106e10ksb.htm,https://www.sec.gov/Archives/edgar/data/849146/000103570408000332/d60449e10ksb.htm,https://www.sec.gov/Archives/edgar/data/849146/000095012309046600/0000950123-09-046600-index.html,https://www.sec.gov/Archives/edgar/data/849146/000095012310086417/0000950123-10-086417-index.html,https://www.sec.gov/Archives/edgar/data/849146/000119312511258536/0001193125-11-258536-index.html,https://www.sec.gov/Archives/edgar/data/849146/000119312512386589/0001193125-12-386589-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914613000013/0000849146-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914614000062/0000849146-14-000062-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914615000098/0000849146-15-000098-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914616000207/lfvn_06302016x10k.htm,https://www.sec.gov/Archives/edgar/data/849146/000084914617000094/0000849146-17-000094-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914618000074/0000849146-18-000074-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914619000063/lfvn0630201910k.htm,https://www.sec.gov/Archives/edgar/data/849146/000084914620000115/0000849146-20-000115-index.htm,https://www.sec.gov/Archives/edgar/data/849146/000084914621000078/0000849146-21-000078-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-19842,-24037,-78712,-15204,-24730,-16350,-9430,-12242,- -,-5822397,-2734501,-3693578,-2054439,-9114634,-11048328,-50791750,12469077,7608000,11383000,6987000,6019000,1608000,5761000,7429000,11549000,12894000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,3726833,265279,92432,219690,179682,254902,214703,521271,1659000,2118000,2285000,1895000,1643000,1325000,1895000,5100000,5825000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2723415,-892000,2172000,91000,-2554000,-740000,831000,563000,364000,955000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1454249,2659915,766485,1322566,2169000,2953000,1806000,2621000,2647000,3196000,5525000,4919000,2036000
77,Change in Working Capital,6360,-24037,-376622,167706,32270,-5850,-2430,9207,-7748,5187146,-2913004,-2300373,863312,-1565434,-1355546,-1001146,25905230,2574815,-8104000,-12656000,9244000,-1668000,2942000,1860000,1856000,4006000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-550108,246519,-540205,608507,-3653000,-2044000,2651000,1770000,160000,-730000,14000,-539000,-265000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-219644,174643,17167,-76581,-635599,246156,-1630805,-9228126,-3356000,1646000,-936000,-15650000,8309000,2953000,-64000,-152000,-2069000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1889487,- -,28269,2816487,1606000,-2384000,-171000,3673000,-6210000,-1024000,1369000,-1648000,3214000
81,Other Working Capital,244696,220659,-155963,11743,44013,38163,35733,- -,-20000,5167146,2254142,-46231,817081,-748353,-2103899,-3105045,22800185,25375000,17271000,4615000,13859000,12191000,15133000,16993000,18849000,22855000
82,Other Non-Cash Items,12100,48185,454527,-279884,-27270,7179,1865,- -,7748,-6004559,4466597,2773429,223660,3839233,4989574,55492633,-18105781,-2456815,1583000,14708000,-11239000,3107000,-799000,517000,-5462000,-9443000
83,Cash Provided by Operating Activities,-1382,111,-807,-127382,-19730,-15021,-9995,-3035,- -,-2912977,-915629,-3128090,-747777,-5206904,-4499483,4680925,19388948,10662000,12105000,13221000,5986000,6597000,13256000,17789000,18326000,16273000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59059,-136367,-60166,-70298,-245508,-46704,-163967,-2246272,-5080000,-2248000,-1159000,-562000,-1055000,-4649000,-2506000,-2681000,-3741000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3064180,- -,-1525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3064180,425000,450000,225000,75000,350000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,147167,- -,- -,- -,- -,- -,-493589,-59879,58558,- -,-18807,-40629,-41664,-52321,- -,-350000,- -,- -,- -,- -,-2000000,- -,7000
89,Cash Used for Investing Activites,- -,- -,- -,147167,- -,- -,- -,- -,- -,-552648,-3260426,3062572,-1170298,204492,178296,-88967,-1896272,-5080000,-2248000,-1159000,-562000,-1055000,-4649000,-4506000,-2681000,-3734000
90,Debt Repayment,-7500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9830,-189857,- -,-433984,- -,-16175000,-9200000,-22125000,-2000000,-2000000,-4000000,-1500000,- -
91,Common Stock Issued,7500,- -,- -,- -,28000,10500,7000,- -,- -,4988811,- -,150,453571,5531830,916265,169246,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-976073,-7123000,-46171000,-9850000,- -,- -,-1500000,-4655000,-5405000,-13349000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-20000,- -,- -,- -,4500,- -,1812356,-1169,-1984,1500627,-107676,4655437,- -,2155506,3100000,46542000,596000,10428000,42000,1000,-2466000,-5517000,1896000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-20000,28000,10500,7000,4500,- -,6801167,-1169,-1834,1954198,5414324,5381845,169246,745449,-4023000,-15804000,-18454000,-11697000,-1958000,-3499000,-11121000,-12422000,-11453000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31777,-27906,38486,92000,35000,-90000,251000,-9000,86000,10000,91000,-50000
97,Net Change In Cash,-1382,111,-807,- -,- -,-4521,-2995,1465,- -,3335542,-4177224,-67352,36123,411912,1028881,4733298,18276611,1651000,-5912000,-6482000,-6022000,3575000,5194000,2172000,3314000,1036000
98,Cash at the End of Period,911,1022,215,- -,8270,3749,754,2219,- -,3385205,228112,160760,196883,608795,1637676,6370974,24647585,26299000,20387000,13905000,7883000,11458000,16652000,18824000,22138000,23174000
99,Cash at the Beginning of Period,2293,911,1022,215,- -,8270,3749,754,- -,49663,4405336,228112,160760,196883,608795,1637676,6370974,24648000,26299000,20387000,13905000,7883000,11458000,16652000,18824000,22138000
100,Free Cash Flow,-1382,111,-807,-127382,-19730,-15021,-9995,-3035,- -,-2972036,-1051996,-3188256,-818075,-5452412,-4546187,4516958,17142676,5582000,9857000,12062000,5424000,5542000,8607000,15283000,15645000,12532000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849146/000102189006000015/lifeline6300510kam1.htm,https://www.sec.gov/Archives/edgar/data/849146/000095013406022340/d41704a1e10ksbza.htm,https://www.sec.gov/Archives/edgar/data/849146/000103570407000701/d50106e10ksb.htm,https://www.sec.gov/Archives/edgar/data/849146/000103570408000332/d60449e10ksb.htm,https://www.sec.gov/Archives/edgar/data/849146/000095012309046600/0000950123-09-046600-index.html,https://www.sec.gov/Archives/edgar/data/849146/000095012310086417/0000950123-10-086417-index.html,https://www.sec.gov/Archives/edgar/data/849146/000119312511258536/0001193125-11-258536-index.html,https://www.sec.gov/Archives/edgar/data/849146/000119312512386589/0001193125-12-386589-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914613000013/0000849146-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914614000062/0000849146-14-000062-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914615000098/0000849146-15-000098-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914616000207/lfvn_06302016x10k.htm,https://www.sec.gov/Archives/edgar/data/849146/000084914617000094/0000849146-17-000094-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914618000074/0000849146-18-000074-index.html,https://www.sec.gov/Archives/edgar/data/849146/000084914619000063/lfvn0630201910k.htm,https://www.sec.gov/Archives/edgar/data/849146/000084914620000115/0000849146-20-000115-index.htm,https://www.sec.gov/Archives/edgar/data/849146/000084914621000078/0000849146-21-000078-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
