,https://roic.ai/company/HST,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -,- -,8202000000,8396000000,8338000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,8202000000,8396000000,8338000000,8316000000,8592000000,8421000000,8245000000,11808000000,11812000000,11951000000,12555000000,12411000000,13068000000,12994000000,12814000000,12207000000,11784000000,11408000000,11693000000,12090000000,12305000000,12890000000,12352000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194000000,214000000,298000000,243000000,278000000,283000000,293000000,263000000,71000000,85000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,221000000,257000000,106000000,102000000,101000000,98000000,110000000,- -,- -,- -,- -,- -,- -,763000000,946000000,704000000,1291000000,1206000000,1170000000,1049000000,989000000,2471000000,676000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,910000000,921000000,546000000,491000000,394000000,405000000,348000000,708000000,530000000,302000000,368000000,411000000,444000000,-763000000,-946000000,-704000000,-1291000000,-1206000000,-1170000000,-1049000000,-989000000,64000000,42000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,1131000000,1178000000,652000000,593000000,495000000,503000000,458000000,708000000,530000000,302000000,368000000,411000000,444000000,194000000,214000000,298000000,243000000,278000000,283000000,293000000,263000000,2606000000,803000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,5069000000,5322000000,5602000000,5625000000,5486000000,5523000000,5370000000,5878000000,5625000000,5952000000,5837000000,5477000000,5753000000,5411000000,4759000000,3991000000,4016000000,3648000000,3953000000,3836000000,3794000000,3070000000,4779000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,497000000,475000000,475000000,488000000,475000000,- -,- -,- -,188000000,- -,139000000,191000000,158000000,530000000,579000000,550000000,443000000,449000000,455000000,395000000,923000000,888000000,324000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,5566000000,5797000000,6077000000,6113000000,5961000000,5523000000,5370000000,5878000000,5813000000,5952000000,5976000000,5668000000,5911000000,5941000000,5338000000,4541000000,4459000000,4097000000,4408000000,4231000000,4717000000,3958000000,5103000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,606000000,610000000,564000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,6189000000,6490000000,6519000000,6483000000,6237000000,5818000000,5802000000,6373000000,6343000000,6254000000,6344000000,6079000000,6355000000,6135000000,5552000000,4839000000,4702000000,4375000000,4691000000,4524000000,4980000000,6564000000,5906000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,339000000,339000000,337000000,241000000,97000000,97000000,97000000,97000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,2000000,2000000,3000000,3000000,3000000,3000000,4000000,5000000,5000000,5000000,6000000,7000000,7000000,7000000,8000000,8000000,8000000,7000000,7000000,7000000,7000000,7000000,7000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-539000000,-600000000,-779000000,-830000000,-851000000,-911000000,-923000000,-585000000,-379000000,-299000000,-801000000,-965000000,-1079000000,-1234000000,-1263000000,-1098000000,-1139000000,-1007000000,-1071000000,-610000000,-307000000,-1180000000,-1192000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,28000000,13000000,15000000,25000000,45000000,5000000,12000000,25000000,-1000000,12000000,-9000000,-50000000,-107000000,-83000000,-60000000,-59000000,-56000000,-74000000,-76000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,2550000000,2504000000,2595000000,2100000000,2617000000,2953000000,3080000000,5680000000,5673000000,5709000000,6875000000,7236000000,7750000000,8040000000,8492000000,8476000000,8302000000,8077000000,8097000000,8156000000,7675000000,7568000000,7702000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,2013000000,1906000000,1819000000,1610000000,2136000000,2395000000,2417000000,5222000000,5441000000,5517000000,6189000000,6303000000,6677000000,6825000000,7228000000,7336000000,7064000000,6994000000,6973000000,7494000000,7319000000,6321000000,6441000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,8202000000,8396000000,8338000000,8093000000,8373000000,8213000000,8219000000,11595000000,11784000000,11771000000,12533000000,12382000000,13032000000,12960000000,12780000000,12175000000,11766000000,11369000000,11664000000,12018000000,12299000000,12885000000,12347000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,223000000,219000000,208000000,26000000,213000000,28000000,180000000,22000000,29000000,36000000,34000000,34000000,32000000,18000000,39000000,29000000,72000000,6000000,5000000,5000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,8202000000,8396000000,8338000000,8316000000,8592000000,8421000000,8245000000,11808000000,11812000000,11951000000,12555000000,12411000000,13068000000,12994000000,12814000000,12207000000,11784000000,11408000000,11693000000,12090000000,12305000000,12890000000,12352000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070750/000156459021008676/0001564590-21-008676-index.htm,https://www.sec.gov/Archives/edgar/data/1070750/000095017022001965/0000950170-22-001965-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-60000000,-25000000,-143000000,-13000000,50000000,47000000,211000000,156000000,51000000,-16000000,14000000,- -,166000000,738000000,727000000,427000000,-252000000,-130000000,-15000000,61000000,317000000,732000000,558000000,762000000,564000000,1087000000,920000000,-732000000,-11000000
74,Depreciation and Amortization,-178000000,-169000000,-122000000,-162000000,-236000000,243000000,293000000,331000000,378000000,372000000,367000000,354000000,373000000,459000000,517000000,579000000,703000000,593000000,655000000,751000000,697000000,701000000,716000000,724000000,751000000,944000000,676000000,665000000,762000000
75,Deferred Income Tax,-13000000,-18000000,- -,- -,- -,- -,-66000000,-47000000,- -,- -,- -,- -,- -,-5000000,-7000000,-8000000,-38000000,-36000000,-11000000,17000000,6000000,-1000000,5000000,27000000,38000000,4000000,7000000,-165000000,-93000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,18000000,22000000,11000000,12000000,11000000,14000000,15000000,17000000,18000000
77,Change in Working Capital,-6000000,- -,- -,- -,- -,-1131000000,-47000000,526000000,1344000000,320000000,-368000000,-291000000,163000000,-189000000,188000000,841000000,-568000000,-333000000,-116000000,392000000,-275000000,-334000000,179000000,659000000,642000000,-229000000,-1622000000,-4196000000,-101000000
78,Accounts Receivable,-43000000,-6000000,- -,- -,- -,- -,-55000000,2000000,83000000,41000000,59000000,-1000000,9000000,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,33000000,-3000000,- -,- -,- -,- -,-61000000,65000000,-5000000,-60000000,-19000000,28000000,12000000,32000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-1131000000,-1178000000,-652000000,692000000,1012000000,644000000,353000000,516000000,327000000,515000000,1356000000,788000000,455000000,339000000,731000000,456000000,122000000,301000000,960000000,1602000000,1373000000,-249000000,-4445000000,-151000000
82,Other Non-Cash Items,411000000,370000000,407000000,376000000,650000000,1182000000,-72000000,-483000000,-1534000000,-287000000,360000000,297000000,-190000000,-122000000,-424000000,-819000000,707000000,426000000,148000000,-455000000,256000000,30000000,-298000000,-881000000,-776000000,-520000000,1254000000,4104000000,-283000000
83,Cash Provided by Operating Activities,154000000,158000000,142000000,201000000,464000000,341000000,319000000,483000000,239000000,389000000,373000000,360000000,512000000,881000000,1001000000,1020000000,552000000,520000000,661000000,782000000,1019000000,1150000000,1171000000,1303000000,1230000000,1300000000,1250000000,-307000000,292000000
84,CAPEX,-197000000,-730000000,-160000000,-159000000,-160000000,-1240000000,-737000000,-379000000,-492000000,-105000000,-201000000,-250000000,-349000000,-554000000,- -,-672000000,-340000000,-326000000,-542000000,-638000000,-459000000,-436000000,-672000000,-550000000,-277000000,-474000000,-558000000,-499000000,-427000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-988000000,-29000000,-40000000,-63000000,-117000000,-324000000,-503000000,-284000000,-1020000000,-15000000,- -,- -,-380000000,-1047000000,-522000000,-240000000,-161000000,-336000000,-45000000,-485000000,-1031000000,-607000000,-5000000,-1458000000
86,Purchases of Investments,- -,-90000000,- -,- -,-354000000,-134000000,-14000000,-41000000,-84000000,-23000000,-8000000,-47000000,- -,-78000000,-358000000,-77000000,-13000000,-54000000,-49000000,-6000000,-19000000,-13000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,90000000,- -,- -,- -,488000000,- -,- -,60000000,- -,- -,- -,2000000,- -,- -,- -,52000000,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,46000000,538000000,-48000000,-345000000,-532000000,1169000000,243000000,12000000,14000000,23000000,377000000,299000000,202000000,255000000,181000000,-639000000,-155000000,-255000000,-480000000,-361000000,184000000,81000000,-400000000,-70000000,218000000,1131000000,665000000,-190000000,300000000
89,Cash Used for Investing Activites,-151000000,-192000000,-208000000,-504000000,-1046000000,-705000000,-176000000,-448000000,-279000000,-222000000,-156000000,-501000000,-429000000,-855000000,-192000000,-716000000,-116000000,-706000000,-1576000000,-886000000,-75000000,-93000000,-736000000,-115000000,-267000000,100000000,58000000,-195000000,-1158000000
90,Debt Repayment,-121000000,-423000000,-1060000000,-255000000,-496000000,-1898000000,-1397000000,-278000000,-703000000,-13000000,-1007000000,-1230000000,-689000000,-913000000,-1300000000,-343000000,-905000000,-1198000000,-709000000,-1999000000,-1421000000,-759000000,-1761000000,-953000000,-464000000,-463000000,-706000000,-1212000000,-1200000000
91,Common Stock Issued,12000000,238000000,13000000,987000000,6000000,1000000,5000000,4000000,3000000,1000000,501000000,405000000,100000000,150000000,- -,- -,767000000,406000000,323000000,274000000,303000000,4000000,2000000,4000000,- -,- -,- -,- -,138000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-87000000,-59000000,- -,- -,- -,-208000000,-200000000,-300000000,- -,-100000000,- -,-101000000,- -,- -,- -,- -,-675000000,-218000000,- -,- -,-482000000,-169000000,- -
93,Dividends Paid,-21000000,- -,- -,- -,- -,- -,-219000000,-209000000,-284000000,-35000000,-35000000,-56000000,-132000000,-309000000,-453000000,-531000000,-54000000,-30000000,-70000000,-187000000,-313000000,-469000000,-646000000,-596000000,-628000000,-629000000,-623000000,-320000000,- -
94,Other Financing Activites,40000000,211000000,1247000000,74000000,879000000,2186000000,1396000000,543000000,1063000000,-111000000,727000000,813000000,675000000,1526000000,1068000000,690000000,890000000,580000000,1084000000,1607000000,938000000,-2000000,2215000000,726000000,690000000,344000000,496000000,2932000000,405000000
95,Cash Used/Provided by Financing Activities,-90000000,26000000,200000000,806000000,389000000,289000000,-302000000,1000000,79000000,-158000000,186000000,-276000000,-246000000,154000000,-685000000,-284000000,698000000,-343000000,628000000,-305000000,-493000000,-1226000000,-865000000,-1037000000,-402000000,-748000000,-1315000000,1231000000,-657000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,-8000000,-15000000,- -,4000000,-5000000,1000000,-3000000,- -
97,Net Change In Cash,-90000000,26000000,200000000,806000000,389000000,-75000000,-159000000,36000000,39000000,9000000,403000000,-417000000,-163000000,180000000,124000000,20000000,1134000000,-529000000,-287000000,-409000000,444000000,-177000000,-445000000,151000000,565000000,647000000,-6000000,726000000,-1523000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,436000000,277000000,313000000,352000000,361000000,764000000,347000000,184000000,364000000,488000000,508000000,1642000000,1113000000,826000000,417000000,861000000,684000000,239000000,372000000,1109000000,1756000000,1750000000,2476000000,953000000
99,Cash at the Beginning of Period,190000000,103000000,67000000,201000000,704000000,511000000,436000000,277000000,313000000,352000000,361000000,764000000,347000000,184000000,364000000,488000000,508000000,1642000000,1113000000,826000000,417000000,861000000,684000000,221000000,544000000,1109000000,1756000000,1750000000,2476000000
100,Free Cash Flow,-43000000,-572000000,-18000000,42000000,304000000,-899000000,-418000000,104000000,-253000000,284000000,172000000,110000000,163000000,327000000,1001000000,348000000,212000000,194000000,119000000,144000000,560000000,714000000,499000000,753000000,953000000,826000000,692000000,-806000000,-135000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070750/000156459021008676/0001564590-21-008676-index.htm,https://www.sec.gov/Archives/edgar/data/1070750/000095017022001965/0000950170-22-001965-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
