,https://roic.ai/company/YPF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,853029360,863000000,2144563200,1524370700,3765770700,7956008150,7812124200,8744694130,7248004400,6847101270,6198000000,5894000000,9020000000,8246000000,8565000000,14348000000,22072000000,29063000000,-29804000000,8703000000,90144000000,-7010000000,- -,63601000000
21,Income Before Tax Ratio,0.1551,0.1308,0.2476,0.1868,0.1918,0.3742,0.3889,0.3820,0.2831,0.2351,0.1777,0.1717,0.2042,0.1454,0.1275,0.1592,0.1555,0.1861,-0.1419,0.0344,0.2068,-0.0103,- -,0.0512
22,Income Tax expense (Gain),264047180,382000000,915532800,705634500,417297200,3307916400,3041020950,3407613750,2796884200,2760267240,2558000000,2408000000,3230000000,2950000000,4663000000,9269000000,13223000000,24637000000,-1425000000,-3969000000,51538000000,26369000000,- -,64409000000
23,Net Income,588982180,481000000,1229030400,818736200,3348473500,4648091750,4913790450,5334051390,4451120200,4086834030,3640000000,3486000000,5790000000,5296000000,3902000000,5125000000,9002000000,4579000000,-28237000000,12340000000,38613000000,-34071000000,- -,257000000
24,Net Income ratio,0.1071,0.0729,0.1419,0.1003,0.1706,0.2186,0.2446,0.2330,0.1739,0.1404,0.1044,0.1016,0.1311,0.0934,0.0581,0.0569,0.0634,0.0293,-0.1344,0.0488,0.0886,-0.0502,- -,0.0002
25,EPS,1.64,1.35,3.49,2.08,8.50,11.77,12.40,13.58,11.32,10.39,9.25,9.38,14.72,13.47,9.92,13.05,22.95,11.68,-72.13,31.43,98.43,-86.85,-177.42,0.66
26,EPS Diluted,1.64,1.35,3.49,2.08,8.50,11.77,12.40,13.58,11.32,10.39,9.25,9.38,14.72,13.47,9.92,13.05,22.95,11.68,-72.13,31.43,98.43,-86.85,-177.42,0.66
27,Weighted Average Shares Outstanding,353401236,353000000,353000000,393312000,393902937,394903379,396253404,392721210,393226970,393219406,393312793,393312793,393342391,393170007,393312793,392789433,392244009,392037671,391497615,392625259,392302437,392314842,392302437,392302437
28,Weighted Average Shares Outstanding Diluted,353401236,353000000,353000000,393312000,393902937,394903379,396253404,393312793,393312793,393312793,393312793,393312793,393342391,393170007,393312793,392789433,392244009,392037671,391497615,392625259,392302437,392314842,392302437,392302437
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,249032200,366568750,496432550,121159600,116409200,195361380,391000000,669000000,570000000,899000000,4747000000,10713000000,9758000000,15387000000,10757000000,28738000000,46028000000,66100000000,54618000000,62678000000
32,Short-Term Investments,- -,- -,- -,- -,427393100,964808950,410225700,408913650,971097800,655405920,825000000,1476000000,1957000000,562000000,3797000000,- -,- -,804000000,7548000000,12936000000,10941000000,8370000000,28934000000,51012000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,676425300,1331377700,906658250,530073250,1087507000,850767300,1216000000,2145000000,2527000000,1461000000,8544000000,10713000000,9758000000,16191000000,18305000000,41674000000,56969000000,74470000000,83552000000,113690000000
34,Net Receivables,- -,- -,- -,- -,7060399400,8454541650,5966108550,6642575070,7134658600,7486752240,4563000000,5321000000,6411000000,6563000000,5874000000,11949000000,15932000000,36515000000,44159000000,49972000000,87367000000,139970000000,128943000000,170226000000
35,Inventory,- -,- -,- -,- -,625945800,979471700,1141497600,1314581660,1694060200,2574358830,3449000000,3066000000,3865000000,6074000000,6922000000,9881000000,13001000000,19258000000,21820000000,27291000000,53324000000,80479000000,100137000000,153927000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,383471850,- -,1259057400,113435640,- -,- -,- -,- -,-2992000000,1971000000,3409000000,5009000000,2942000000,3361000000,10755000000,14502000000,14937000000,28400000000
37,Total Current Assets,- -,- -,- -,- -,8362770500,10765391050,8397736250,8487229980,11175283200,11025314010,9228000000,10532000000,12803000000,14098000000,18348000000,34514000000,42100000000,76973000000,87226000000,122298000000,208415000000,309421000000,327569000000,466243000000
38,PP&E,- -,- -,- -,- -,18926447200,20533715100,20713425200,21948061540,22482292600,25444244250,28028000000,27993000000,31567000000,39650000000,57373000000,94289000000,158755000000,273740000000,310958000000,357908000000,705994000000,1147057000000,1437044000000,1709529000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,30287700,52785900,14863250,6057980,9190200,9452970,6000000,12000000,10000000,7000000,1090000000,1653000000,2568000000,4444000000,5170000000,6511000000,13495000000,20524000000,25683000000,29004000000
41,Intangible Assets,- -,- -,- -,- -,30287700,52785900,14863250,6057980,9190200,9452970,6000000,12000000,10000000,7000000,1090000000,1653000000,2568000000,4444000000,5170000000,6511000000,13495000000,20524000000,25683000000,29004000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848000000,749000000,594000000,633000000,1914000000,2124000000,3177000000,4372000000,13225000000,6045000000,32686000000,67590000000,107112000000,159459000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,508524400,- -,- -,- -,- -,- -,48000000,34000000,244000000,954000000,564000000,588000000,301000000,1583000000,2629000000,1921000000
44,Other Non-Current Assets,- -,- -,- -,- -,2274942800,2111436000,2036265250,1768930160,1170218800,1638514800,969000000,997000000,1615000000,1011000000,1176000000,2981000000,1710000000,2970000000,3996000000,12368000000,33125000000,27114000000,23188000000,23912000000
45,Total Non-Current Assets,- -,- -,- -,- -,21231677700,22697937000,22764553700,23723049680,24170226000,27092212020,29851000000,29751000000,33786000000,41301000000,61601000000,101081000000,166454000000,286480000000,333913000000,383420000000,785601000000,1263868000000,1595656000000,1923825000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,29594448200,33463328050,31162289950,32210279660,35345509200,38117526030,39079000000,40283000000,46589000000,55399000000,79949000000,135595000000,208554000000,363453000000,421139000000,505718000000,994016000000,1573289000000,1923225000000,2390068000000
48,Accounts Payable,- -,- -,- -,- -,1699476500,1903224950,2039237900,2932062320,3489212600,4342064220,6763000000,5857000000,7639000000,11915000000,10705000000,17360000000,28331000000,38782000000,40667000000,44655000000,81450000000,145942000000,136930000000,193159000000
49,Short-Term Debt,- -,- -,- -,- -,1531211500,1052785450,246729950,345304860,912893200,472648500,3219000000,4679000000,6176000000,8113000000,5004000000,8814000000,13275000000,27817000000,26777000000,39336000000,64826000000,128498000000,172829000000,113967000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1132000000,1437000000,2571000000,812000000,1461000000,1167000000,5383000000,7534000000,4616000000,7070000000,10384000000,13401000000,16504000000,16007000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1325000000,4996000000,7404000000,6824000000,13329000000
52,Other Current Liabilities,- -,- -,- -,- -,1191316200,3873898550,2535670450,2308090380,1874800800,2126918250,2004000000,2076000000,3287000000,1777000000,5221000000,6634000000,11760000000,13192000000,15022000000,17418000000,27697000000,33028000000,54086000000,70623000000
53,Total Current Liabilities,- -,- -,- -,- -,4422004200,6829908950,4821638300,5585457560,6276906600,6941630970,11986000000,12612000000,17102000000,21805000000,20930000000,32808000000,53366000000,79791000000,82466000000,102734000000,178969000000,314872000000,370669000000,391078000000
54,Long-Term Debt,- -,- -,- -,- -,2732623600,2105570900,1697383150,1105581350,508524400,523064340,1260000000,2140000000,7229000000,4654000000,12100000000,23076000000,36030000000,77934000000,127568000000,151727000000,270252000000,460042000000,551747000000,698870000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1470000000,1828000000,294000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,828000000,523000000,- -,4685000000,11459000000,18948000000,44812000000,42465000000,37645000000,91125000000,97231000000,119609000000,185179000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,2126869600,2020526950,2387037950,2983555150,4248935800,4581539460,5477000000,5822000000,2695000000,10205000000,10974000000,20012000000,27429000000,40455000000,49979000000,59609000000,89485000000,152751000000,197805000000,266823000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,4859493200,4126097850,4084421100,4089136500,4757460200,5104603800,6737000000,8790000000,10447000000,14859000000,27759000000,54547000000,82407000000,163201000000,220012000000,250451000000,452690000000,710318000000,869161000000,1150872000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61780000000,46270000000,55622000000
61,Total Liabilities,- -,- -,- -,- -,9281497400,10956006800,8906059400,9674594060,11034366800,12046234770,18723000000,21402000000,27549000000,36664000000,48689000000,87355000000,135773000000,242992000000,302478000000,353185000000,631659000000,1025190000000,1239830000000,1541950000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,3950144850,3962542450,3931629020,3927278800,3935586510,3933000000,3933000000,3933000000,- -,10674000000,10600000000,10400000000,10349000000,10403000000,10402000000,10518000000,10572000000,10385000000,10504000000
64,Retained Earnings,- -,- -,- -,- -,- -,9545450250,9016047450,9156636770,8096566200,7738831440,7189000000,6279000000,6853000000,7303000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,20312950800,9011726150,9277640650,9447419810,4377598600,6472133460,1313000000,748000000,333000000,758000000,20586000000,37416000000,62230000000,110064000000,108352000000,141893000000,348682000000,531977000000,666845000000,829388000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,7909698800,7924739850,7921000000,7921000000,7921000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,20312950800,22507321250,22256230550,22535685600,24311142400,26071291260,20356000000,18881000000,19040000000,18735000000,31260000000,48016000000,72630000000,120413000000,118755000000,152295000000,359200000000,542549000000,677230000000,839892000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,29594448200,33463328050,31162289950,32210279660,35345509200,38117526030,39079000000,40283000000,46589000000,55399000000,79949000000,135371000000,208403000000,363405000000,421233000000,505480000000,990859000000,1567739000000,1917060000000,2381842000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224000000,151000000,48000000,-94000000,238000000,3157000000,5550000000,6165000000,8226000000
70,Total Liabilities & Equity,- -,- -,- -,- -,29594448200,33463328050,31162289950,32210279660,35345509200,38117526030,39079000000,40283000000,46589000000,55399000000,79949000000,135595000000,208554000000,363453000000,421139000000,505718000000,994016000000,1573289000000,1923225000000,2390068000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,588982180,481000000,1229030400,818736200,3348473500,4648091750,4913790450,5334051390,4451120200,4086834030,3640000000,3486000000,5790000000,5296000000,3902000000,5125000000,9002000000,4579000000,-28237000000,12340000000,38613000000,-34071000000,-69649000000,257000000
74,Depreciation and Amortization,1074984960,1010000000,931507200,1003902700,2049467700,2325512150,2333530250,2704888070,3712840800,4140400860,4775000000,4832000000,5273000000,5466000000,8281000000,11433000000,20405000000,27008000000,45469000000,54350000000,89318000000,158777000000,192753000000,291719000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2408000000,1088000000,2950000000,4663000000,9269000000,13223000000,24637000000,-1425000000,-3969000000,51538000000,26369000000,14589000000,64409000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,124000000,153000000,162000000,308000000,493000000,541000000,342000000
77,Change in Working Capital,-138972200,-248000000,229632000,-349314100,-538448000,134897300,181331650,-596711030,-1366276400,-1260396000,4528000000,-2004000000,-1050000000,-2613000000,-324000000,-5819000000,218000000,-4527000000,-12892000000,-946000000,-13475000000,11803000000,48278000000,-51017000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,704000000,-21000000,-407000000,38000000,-517000000,-2627000000,-3824000000,-8031000000,-16079000000,-8073000000,-25912000000,-11833000000,35073000000,10151000000
79,Inventory,25994800,-16000000,-53913600,64057600,-50479500,-70381200,-359690650,-181739400,-382925000,-875975220,-876000000,383000000,-799000000,-2209000000,-916000000,-2959000000,-244000000,101000000,1469000000,-1686000000,951000000,6726000000,13332000000,-27560000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1486000000,-461000000,1809000000,2608000000,1857000000,3243000000,5067000000,6211000000,-1133000000,6408000000,18769000000,29435000000,-21039000000,148000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-963218820,-609616600,-923240070,4474000000,746000000,498000000,1483000000,-1406000000,-713000000,-1974000000,-1758000000,-1753000000,-1388000000,-473000000,-4086000000,-2277000000,-1302000000
82,Other Non-Cash Items,114977000,544000000,533145600,344309600,666329400,351906000,1153388200,805711340,1210043000,1792913310,615000000,692000000,1625000000,1671000000,779000000,956000000,3226000000,-10417000000,46115000000,10037000000,-41244000000,53766000000,22704000000,94304000000
83,Cash Provided by Operating Activities,1639971940,1787000000,2923315200,1817634400,5525822600,7460407200,8582040550,8247939770,8007727600,8759752200,13558000000,9414000000,12726000000,12770000000,17301000000,20964000000,46154000000,41404000000,49183000000,71974000000,125058000000,217137000000,209216000000,400014000000
84,CAPEX,-1351029740,-963000000,-1173120000,-1286156500,-2695605300,-2431083950,-2889415800,-3719599720,-4996405400,-6166487430,-7035000000,-5636000000,-8729000000,-12289000000,-16403000000,-27639000000,-50213000000,-63774000000,-64160000000,-59618000000,-88293000000,-161455000000,-114616000000,-234801000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000000,-7070000000,-163000000,-448000000,-891000000,-2587000000,-4826000000,- -,- -
86,Purchases of Investments,- -,- -,- -,-414372600,-26922400,-5865100,- -,- -,-137853000,-28358910,-8000000,- -,- -,-349000000,- -,-20000000,-106000000,-324000000,-3476000000,- -,- -,- -,-46762000000,-56009000000
87,Sales/Maturities of Investments,- -,69000000,10982400,1523369800,1480732000,- -,14863250,463435470,30634000,6301980,- -,33000000,105000000,11000000,- -,- -,- -,- -,1072000000,4287000000,7879000000,957000000,38332000000,38624000000
88,Other Investing Activites,-157968400,384000000,-53913600,- -,57210100,-38123150,270511150,-3028990,- -,- -,- -,- -,- -,349000000,- -,5371000000,3984000000,212000000,838000000,980000000,750000000,1445000000,13885000000,8194000000
89,Cash Used for Investing Activites,-1508998140,-510000000,-1216051200,-177159300,-1184585600,-2475072200,-2604041400,-3259193240,-5103624400,-6188544360,-7043000000,-5603000000,-8624000000,-12278000000,-16403000000,-22344000000,-53405000000,-64049000000,-66174000000,-55242000000,-82251000000,-163879000000,-109161000000,-243992000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5400000000,-13870000000,-13454000000,-17748000000,-28253000000,-6804000000,-13320000000,-24090000000,-73286000000,-36346000000,-55734000000,-108664000000,-198203000000,-189542000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-88000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000000,-120000000,-50000000,-100000000,-120000000,-280000000,-550000000,- -
93,Dividends Paid,-326034780,-325000000,-317491200,-1652485900,-37018300,-3002931200,-5350770000,-4876673900,-2355754600,-2360091510,-9287000000,-4897000000,-4444000000,-5565000000,-303000000,-326000000,-464000000,-503000000,-889000000,-716000000,-1200000000,-2300000000,- -,- -
94,Other Financing Activites,115076980,-445000000,-1464652800,-343308700,-3742213600,-1527858550,-986919800,-481609410,21443800,-450591570,8540000000,15886000000,14178000000,21742000000,31210000000,14109000000,18970000000,48378000000,85042000000,36807000000,13398000000,55162000000,77641000000,38883000000
95,Cash Used/Provided by Financing Activities,-210957800,-858000000,-1782144000,-1995794600,-3779231900,-4530789750,-6337689800,-5358283310,-2334310800,-2810683080,-6147000000,-2881000000,-3720000000,-1571000000,2654000000,6979000000,4986000000,23665000000,10817000000,-355000000,-43656000000,-56082000000,-121112000000,-150659000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-114420200,-5865100,- -,- -,- -,- -,- -,- -,- -,- -,83000000,224000000,1310000000,4609000000,1692000000,1665000000,18139000000,22896000000,9575000000,2697000000
97,Net Change In Cash,-79984000,419000000,-74880000,-355319500,450950200,448680150,-359690650,-372565770,569792400,-239475240,368000000,930000000,382000000,-1079000000,3635000000,5966000000,-955000000,5629000000,-4630000000,17981000000,17290000000,20072000000,-11482000000,8060000000
98,Cash at the End of Period,94981000,514000000,439296000,96086400,659598800,1269794150,894767650,514928300,1084443600,847616310,1215000000,2145000000,2527000000,1448000000,4747000000,10713000000,9758000000,15387000000,10757000000,28738000000,46028000000,66100000000,54618000000,62678000000
99,Cash at the Beginning of Period,174965000,95000000,514176000,451405900,208648600,821114000,1254458300,887494070,514651200,1087091550,847000000,1215000000,2145000000,2527000000,1112000000,4747000000,10713000000,9758000000,15387000000,10757000000,28738000000,46028000000,66100000000,54618000000
100,Free Cash Flow,288942200,824000000,1750195200,531477900,2830217300,5029323250,5692624750,4528340050,3011322200,2593264770,6523000000,3778000000,3997000000,481000000,898000000,-6675000000,-4059000000,-22370000000,-14977000000,12356000000,36765000000,55682000000,94600000000,165213000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,0.3364,0.3298,0.3269,0.3175,0.2895,0.2631,0.2519,0.23234,0.20338,0.1534,0.11681,0.07726,0.06296,0.05366,0.02653,0.0167,0.01189,0.00974
