,https://roic.ai/company/PBPB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,- -,-187410000,-170518000,-230300000,-225965000,-220337000,-212125000,-219990000,-229558000,-254081000,- -,-343261000
65,Other Comprehensive Income/Loss,- -,-100800000,-111948000,-126700000,-140984000,-154718000,-172114000,-187726000,-200398000,-218318000,- -,- -
66,Other Total Stockholders Equity,- -,102868000,113500000,509745000,522710000,504176000,507415000,524121000,524797000,540916000,5431000,- -
67,Total Stockholders Equity,- -,54546000,81419000,153045000,156059000,129424000,123485000,116723000,95171000,68848000,5770000,-2322000
68,Total Liabilities And Stockholders Equity,- -,99110000,126503000,186045000,191947000,174507000,175445000,170215000,153215000,332879000,283632000,253332000
69,Minority Interest,- -,- -,196000,55000,- -,- -,- -,515000,- -,- -,-193505000,-95000
70,Total Liabilities & Equity,- -,99110000,126699000,186100000,191947000,174507000,175445000,170730000,153215000,332879000,90127000,253237000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1195734/000119312514084597/0001193125-14-084597-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000119312515062851/0001193125-15-062851-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459016013212/0001564590-16-013212-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459017002022/0001564590-17-002022-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459018003783/0001564590-18-003783-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459019005583/0001564590-19-005583-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459020007450/0001564590-20-007450-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459021012800/0001564590-21-012800-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000119573422000010/0001195734-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-530000,7165000,24046000,1258000,4358000,5628000,8212000,-6956000,-8878000,-23992000,-65672000,-23784000
74,Depreciation and Amortization,15647000,14838000,16219000,17875000,19615000,21476000,22734000,25680000,23142000,22103000,19830000,15909000
75,Deferred Income Tax,647000,113000,-16870000,-1969000,-289000,-72000,-1659000,6096000,-3016000,13808000,10000,18000
76,Stock Based Compensation,1032000,1524000,2825000,11610000,2543000,2399000,3057000,4676000,2882000,2335000,2515000,2137000
77,Change in Working Capital,101000,- -,-1320000,47930000,-3766000,-34735000,-13863000,7115000,-7457000,-31945000,-20747000,-30047000
78,Accounts Receivable,-245000,-389000,-922000,285000,-1013000,-445000,674000,-650000,100000,480000,-35000,-1677000
79,Inventory,-116000,-377000,-213000,-353000,-505000,-388000,-188000,-160000,43000,9000,484000,-502000
80,Accounts Payable,-13000,-2200000,-361000,-176000,1301000,1876000,-1899000,286000,177000,-249000,2458000,326000
81,Other Working Capital,16490000,16490000,15170000,63100000,59334000,24599000,10736000,17851000,10394000,-21551000,-42298000,- -
82,Other Non-Cash Items,1883000,-3519000,185000,-46824000,4093000,45624000,27488000,5208000,24315000,35859000,52455000,30894000
83,Cash Provided by Operating Activities,18780000,20121000,25085000,29880000,26554000,40320000,45969000,41819000,30988000,18168000,-11609000,-4873000
84,CAPEX,-6243000,-17758000,-25936000,-28098000,-29209000,-35725000,-36712000,-34684000,-21395000,-14365000,-10920000,-9048000
85,Acquisitions Net,- -,- -,- -,- -,- -,-333000,-1108000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-6243000,-17758000,-25936000,-28098000,-29209000,-36058000,-37820000,-34684000,-21395000,-14365000,-10920000,-9048000
90,Debt Repayment,-4148000,-4153000,-14295000,-14079000,-84000,-1008000,- -,- -,- -,- -,-55000000,-34436000
91,Common Stock Issued,- -,- -,- -,110343000,- -,- -,- -,- -,- -,- -,10000000,14839000
92,Common Stock Repurchased,-234000,-13525000,- -,- -,-10246000,-39754000,-22321000,-12941000,-22916000,-4217000,- -,- -
93,Dividends Paid,- -,- -,- -,-49854000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10481000,13595000,-1208000,6411000,5501000,5545000,7957000,7568000,-555000,59849000,36745000
95,Cash Used/Provided by Financing Activities,-4382000,-7197000,-700000,45202000,-3919000,-35261000,-16776000,-4984000,-15348000,-4772000,14849000,17148000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,8155000,-4834000,-1551000,46984000,-6574000,-30999000,-8627000,2151000,-5755000,-969000,-7680000,3227000
98,Cash at the End of Period,28980000,24146000,22595000,69579000,63005000,32006000,23379000,25530000,19775000,18806000,11126000,14353000
99,Cash at the Beginning of Period,20825000,28980000,24146000,22595000,69579000,63005000,32006000,23379000,25530000,19775000,18806000,11126000
100,Free Cash Flow,12537000,2363000,-851000,1782000,-2655000,4595000,9257000,7135000,9593000,3803000,-22529000,-13921000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1195734/000119312514084597/0001193125-14-084597-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000119312515062851/0001193125-15-062851-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459016013212/0001564590-16-013212-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459017002022/0001564590-17-002022-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459018003783/0001564590-18-003783-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459019005583/0001564590-19-005583-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459020007450/0001564590-20-007450-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459021012800/0001564590-21-012800-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000119573422000010/0001195734-22-000010-index.htm
102,false,,,,,,,,,,,,
