,https://roic.ai/company/NMTR,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.9974,-0.9748,-1.0575,-1.5284,-4.2087,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-6.50,-20.91,-16.45,-11.20,-9.36,-0.98,-0.81,-0.58,-0.15
26,EPS Diluted,-6.50,-20.91,-16.45,-11.20,-9.36,-0.98,-0.81,-0.58,-0.15
27,Weighted Average Shares Outstanding,528700,528700,531405,552400,942000,24762151,33328591,105642203,243108526
28,Weighted Average Shares Outstanding Diluted,531405,531405,531405,552400,942000,24762151,33328591,105642203,243108526
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551986/000114420417017815/0001144204-17-017815-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000114420418036723/0001144204-18-036723-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198619000019/0001551986-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198620000050/0001551986-20-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198621000033/0001551986-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198622000030/0001551986-22-000030-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1000,97000,119000,1453000,426000,5728900,4592932,37851388,46993285
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000,97000,119000,1453000,426000,5728900,4592932,37851388,46993285
34,Net Receivables,870000,3569000,644000,856000,90000,- -,- -,- -,- -
35,Inventory,744000,2587000,633000,1105000,101000,- -,- -,- -,- -
36,Other Current Assets,291000,116000,141000,619000,46000,684613,630052,1075587,2991948
37,Total Current Assets,1906000,6369000,1537000,4033000,663000,6413513,5222984,38926975,49985233
38,PP&E,- -,- -,- -,- -,- -,- -,- -,11191,182712
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,2548000,2417000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,2548000,2417000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,25000,42000,1116000,14000,14000,40675,73832,- -,5580
45,Total Non-Current Assets,25000,42000,3664000,2431000,14000,40675,73832,11191,188292
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1931000,6411000,5201000,6464000,677000,6454188,5296816,38938166,50173525
48,Accounts Payable,837000,3765000,1021000,268000,441000,3618634,3890094,1487948,2434452
49,Short-Term Debt,- -,- -,- -,38000,1359000,5196667,3184655,48629,54796
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1850000,1840000,125000,- -,- -,- -,- -
52,Other Current Liabilities,1630000,7634000,8024000,1830000,725000,1297951,7836081,5311885,5967822
53,Total Current Liabilities,2467000,11399000,10895000,3976000,2650000,10113252,14910830,6848462,8457070
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,113142
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,113142
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,167938,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,42830,216567,- -
61,Total Liabilities,2467000,11399000,10895000,3976000,2650000,10113252,14910830,7016400,8570212
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,1000,2609,3948,20463,25824
64,Retained Earnings,-6077000,-17134000,-25875000,-32088000,-40013000,-43515970,-70564778,- -,-168840667
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-26148,-47755,- -,- -
66,Other Total Stockholders Equity,5541000,12146000,20181000,34575000,38039000,39880445,60994571,32121650,210418156
67,Total Stockholders Equity,-536000,-4988000,-5694000,2488000,-1973000,-3659064,-9614014,32142113,41603313
68,Total Liabilities And Stockholders Equity,1931000,6411000,5201000,6464000,677000,6454188,5296816,39158513,50173525
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-220347,- -
70,Total Liabilities & Equity,1931000,6411000,5201000,6464000,677000,6454188,5296816,38938166,50173525
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551986/000114420417017815/0001144204-17-017815-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000114420418036723/0001144204-18-036723-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198619000019/0001551986-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198620000050/0001551986-20-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198621000033/0001551986-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198622000030/0001551986-22-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-3435000,-11057000,-8741000,-6213000,-7925000,-24162279,-27048808,-61496489,-36779400
74,Depreciation and Amortization,- -,- -,54000,131000,131000,19555,21607,1519668,43983
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,356000,966000,1111000,3805000,2871000,4723000,2413000
77,Change in Working Capital,-563000,-4469000,-4328000,9415000,-2044000,-1712739,-5988107,41766359,9449650
78,Accounts Receivable,-692000,-3100000,2746000,-365000,746000,- -,- -,- -,- -
79,Inventory,-127000,-1843000,1954000,-472000,1004000,- -,- -,- -,- -
80,Accounts Payable,295000,2928000,-585000,-753000,173000,86412,124973,-2465074,1054504
81,Other Working Capital,-561000,-5030000,-9358000,57000,-1987000,-3699739,-9687846,32078513,41528163
82,Other Non-Cash Items,126000,8074000,10929000,-12726000,4725000,6881133,12176316,-5922324,-4605508
83,Cash Provided by Operating Activities,-3872000,-7452000,-1730000,-8427000,-4002000,-15169330,-17967992,-19409786,-29478275
84,CAPEX,- -,- -,- -,- -,- -,-13943,-11934,-2543,-12476
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-3184454,-2418165
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-13943,-11934,-3186997,-2430641
90,Debt Repayment,-1179000,-10337000,-11939000,-1295000,-248000,-325000,-7790557,-23000,- -
91,Common Stock Issued,3887000,- -,2969000,8824000,419000,18132661,20706919,37147681,34500000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1103000,17885000,10722000,2232000,2804000,2748949,3927596,18730558,6550813
95,Cash Used/Provided by Financing Activities,3811000,7548000,1752000,9761000,2975000,20556610,16843958,55855239,41050813
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-61000,96000,22000,1334000,-1027000,5373337,-1135968,33258456,9141897
98,Cash at the End of Period,1000,97000,119000,1453000,426000,5728900,4592932,37851388,46993285
99,Cash at the Beginning of Period,62000,1000,97000,119000,1453000,355563,5728900,4592932,37851388
100,Free Cash Flow,-3872000,-7452000,-1730000,-8427000,-4002000,-15183273,-17979926,-19412329,-29490751
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551986/000114420417017815/0001144204-17-017815-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000114420418036723/0001144204-18-036723-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198619000019/0001551986-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198620000050/0001551986-20-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198621000033/0001551986-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1551986/000155198622000030/0001551986-22-000030-index.htm
102,false,,,,,,,,,
