,https://roic.ai/company/SVBL,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,-906036,-1426244,-890938,-2093805,-669652,-1179402,-5226667,-3467392,-11417385,-7413133,-8742626,-4453003,-10837963,-11745380,-13379761,-2649311,-4705122,-18780971,-2320257,-2076504,-3002024,-4360968,-2202925,-3540531
18,Operating Income ratio,- -,-Infinity,-1426244.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-14,10938,23805,-100348,69402,186667,167392,227385,533133,-3537374,-266997,1427963,-464620,129761,-4340689,-14878,-92529,94477,24824,-513924,427708,-14682,1097429
20,Income Before Tax,- -,- -,- -,-880000,-2070000,-770000,-1110000,-5040000,-3300000,-11190000,-6880000,-12280000,-4720000,-9410000,-12210000,-13250000,-6990000,-4720000,-18873500,-2225780,-2051680,-3515948,-3933260,-2217607,-2443102
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,40000,10000,- -,30000,110000,60000,20000,340,9110,1870,3718,5310,7942,4550
23,Net Income,-582919,-906036,-1423045,-880000,-2070000,-770000,-1110000,-5040000,-3300000,-11190000,-6930000,-12320000,-4720000,-9410000,-12240000,-13360000,-7470000,-4910000,-18745830,-2234880,-2053540,-3519666,-3938570,-2225549,-2249514
24,Net Income ratio,-Infinity,-Infinity,-1423045.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-1.28,-1.36,-1.76,-0.80,-1.68,-0.64,-0.80,-2.40,-1.28,-2.88,-1.60,-2.48,-0.96,-0.96,-0.88,-0.80,-0.40,-0.24,-0.96,-0.08,-0.08,-0.16,-0.16,-0.08,-0.07
26,EPS Diluted,-1.28,-1.36,-1.76,-0.80,-1.68,-0.64,-0.80,-2.40,-1.28,-2.88,-1.60,-2.48,-0.96,-0.96,-0.88,-0.80,-0.40,-0.25,-0.96,-0.08,-0.08,-0.16,-0.16,-0.08,-0.07
27,Weighted Average Shares Outstanding,455405,680342,826900,1071740,1239032,1271620,1369427,2128203,2501789,3843582,4406630,4947870,5185341,10179078,13747242,16717972,19060173,19884082,19884082,20668145,23037982,26326918,29485841,29580786,33954929
28,Weighted Average Shares Outstanding Diluted,455405,680342,826900,1071740,1239032,1271620,1369427,2128203,2501789,3843582,4406630,4947870,5185341,10179078,13747242,16717972,19060173,19884082,19884082,20668145,23037982,26326918,29485841,29580786,33954929
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031093/000103109301000003/0001031093-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000103109302000001/0001031093-02-000001-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031093/000114420406023059/v044544_10ksba.htm,https://www.sec.gov/Archives/edgar/data/1031093/000114420407004344/v063777_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1031093/000136231008000348/c72158e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1031093/000136231009001985/c80993e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031093/000113717110000013/0001137171-10-000013-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997311000036/mmg_10k.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997312000010/0001079973-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997313000016/0001079973-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997314000037/svbr_10k-103113.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997315000053/svbr_10k-123114.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997316000755/0001079973-16-000755-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997317000033/0001079973-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997318000029/0001079973-18-000029-index.html,- -,https://www.sec.gov/Archives/edgar/data/1031093/000107997320000013/0001079973-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997321000025/0001079973-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997322000065/0001079973-22-000065-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,550000,30000,220000,730000,1380000,210000,690000,1430000,2230000,1480000,10570000,4240000,3200000,5210000,1880000,950880,1467330,681780,3025839,1431630,1861518,189607
32,Short-Term Investments,- -,- -,- -,- -,480000,- -,- -,1250000,- -,5930000,7900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1166770
33,Cash and Short-Term Investments,- -,- -,- -,550000,510000,220000,730000,2630000,210000,6620000,9330000,2230000,1480000,10570000,4240000,3200000,5210000,1880000,950880,1467330,681780,3025839,1431630,1861518,1356377
34,Net Receivables,- -,- -,- -,560000,70000,140000,20000,120000,30000,40000,430000,30000,20000,20000,80000,1060000,400000,190000,153200,121930,162240,187225,265170,594821,128117
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,10000,-10000,- -,10000,20000,10000,20000,20000,140000,270000,330000,320000,1780000,1500000,135420,137550,116830,237253,204720,229647,196178
37,Total Current Assets,- -,- -,- -,1110000,590000,350000,750000,2760000,260000,6670000,9780000,2280000,1640000,10860000,4650000,4580000,7390000,3570000,1239500,1726810,960850,3450317,1901520,2685986,1680672
38,PP&E,- -,- -,- -,4430000,4390000,4660000,4640000,4900000,4830000,4950000,5460000,4990000,4720000,10080000,10130000,9240000,7230000,5930000,5898880,5230690,5213140,201486,5246340,239769,164140
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19740000,18500000,18500000,18500000,18500000,2058030,2058030,2058030,2058031,2058030,2058031,2058031
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5019927,- -,5019927,5019927
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19740000,18500000,18500000,18500000,18500000,2058030,2058030,2058030,7077958,2058030,7077958,7077958
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-10000,550000,680000,630000,1930000,30000,-10000,- -,- -,- -,10,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,4430000,4390000,4660000,4640000,4900000,4830000,4940000,5450000,5540000,5400000,30450000,30560000,27770000,25720000,24430000,7956910,7288720,7271180,7279444,7304370,7317727,7242098
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,5540000,4980000,5010000,5390000,7660000,5090000,11610000,15230000,7820000,7040000,41310000,35210000,32350000,33110000,28000000,9196410,9015530,8232030,10729761,9205890,10003713,8922770
48,Accounts Payable,- -,- -,- -,10000,10000,110000,110000,60000,90000,360000,150000,130000,60000,1360000,1340000,990000,470000,250000,119370,133270,138130,253327,328940,499057,465865
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,4209,4209,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9290,- -,7842,8540,- -,10000,5436,10623,4780,4700,1825,5000,1000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,10000,10000,190000,10000,145791,205791,130000,250000,250000,740000,430000,880000,660000,710000,380000,288370,344920,664750,874766,312080,388718,325454
53,Total Current Liabilities,- -,- -,- -,20000,20000,300000,120000,210000,300000,490000,400000,380000,800000,1790000,2220000,1650000,1180000,630000,407740,478190,802880,1128093,641020,887775,791319
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,20000,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30034,48450
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,20000,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30034,48450
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,20000,20000,300000,140000,220000,300000,490000,400000,380000,800000,1790000,2220000,1650000,1180000,630000,407740,478190,802880,1128093,641020,917809,839769
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,100000,100000,120000,200000,200000,340000,390000,400000,490000,1060000,1150000,1360000,1590000,1590000,1590730,1778950,1992600,2348682,2363280,2399518,2413337
64,Retained Earnings,- -,- -,- -,-4340000,-6410000,-7180000,-8280000,-13320000,-16620000,-27820000,-34750000,-47070000,-51920000,-61320000,-73560000,-86920000,-94390000,-99300000,-118046940,-120281820,-122335360,-125855030,-129793600,-132019148,-134226099
65,Other Comprehensive Income/Loss,- -,- -,- -,-90000,-120000,-150000,1460550,1498550,1347839,11763347,-86642,2356040,2521596,1430889,198451,58480,93162,158188,219561,219308,92248,92248,92248,92248,92248
66,Other Total Stockholders Equity,- -,- -,- -,9850000,11390000,11936760,11950903,19062869,19854921,26838782,49278497,51753679,55145543,98355132,105202671,116201144,124645647,124920769,125025319,126820896,127679659,- -,135902947,138613286,- -
67,Total Stockholders Equity,- -,- -,- -,5520000,4960000,4706760,5251453,7441419,4782760,11122129,14831855,7439719,6237139,39526021,32991122,30699624,31938809,27368957,8788670,8537334,7429147,9601668,8564875,9085904,8083001
68,Total Liabilities And Stockholders Equity,- -,- -,- -,5540000,4980000,5006760,5391453,7661419,5082760,11612129,15231855,7819719,7037139,41316021,35211122,32349624,33118809,27998957,9196410,9015524,8232027,10729761,9205895,10003713,8922770
69,Minority Interest,- -,- -,- -,- -,- -,3240,-1453,-1419,7240,-2129,-1855,281,2861,-6021,-1122,376,-8809,1043,- -,6,3,- -,-5,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,5540000,4980000,5010000,5390000,7660000,5090000,11610000,15230000,7820000,7040000,41310000,35210000,32350000,33110000,28000000,9196410,9015530,8232030,10729761,9205890,10003713,8922770
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1031093/000103109301000003/0001031093-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000103109302000001/0001031093-02-000001-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031093/000114420406023059/v044544_10ksba.htm,https://www.sec.gov/Archives/edgar/data/1031093/000114420407004344/v063777_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1031093/000136231008000348/c72158e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1031093/000136231009001985/c80993e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031093/000113717110000013/0001137171-10-000013-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997311000036/mmg_10k.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997312000010/0001079973-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997313000016/0001079973-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997314000037/svbr_10k-103113.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997315000053/svbr_10k-123114.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997316000755/0001079973-16-000755-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997317000033/0001079973-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997318000029/0001079973-18-000029-index.html,- -,https://www.sec.gov/Archives/edgar/data/1031093/000107997320000013/0001079973-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997321000025/0001079973-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997322000065/0001079973-22-000065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-906036,-1423045,-880000,-2070000,-770000,-1110000,-5040000,-3300000,-11190000,-6930000,-12320000,-4720000,-9410000,-12240000,-13360000,-7470000,-4910000,-18745830,-2234880,-2053540,-3519666,-3938570,-2225549,-2249514
74,Depreciation and Amortization,- -,1798,24839,25830,28498,35829,25008,63045,83557,89355,229474,242478,195455,311336,241150,2147084,1413948,1848259,61189,638264,38829,27105,44119,34694,49192
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1726,-69981,37457,222130,49619,62024
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693588,1023831,1129421,991110,576358,279373,104169,102993,152349,245629,206756,62417,587505
77,Change in Working Capital,- -,-23924,- -,1090000,-520000,-520000,580000,1920000,-2590000,6220000,3200000,-7480000,-1060000,8230000,-6640000,500000,3280000,-3270000,-2108240,416860,-1090650,2164254,-1061724,537711,-908858
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78280,409014,100577,-282495,-32826,-206940,-141404,13935,-37753,121484,71476,120273,595986
81,Other Working Capital,- -,- -,- -,1090000,570000,50000,630000,2550000,-40000,6180000,9380000,1900000,840000,9070000,2430000,2930000,6210000,2940000,831760,1248620,157970,2322224,1260500,1798211,889353
82,Other Non-Cash Items,- -,249300,243176,-1469676,1646017,912419,-15381,-2878716,4180860,257195,-1660257,13063994,1571744,-9452045,6006905,130514,-3224848,3060068,18347622,-409617,998972,-1602156,318160,-417015,774604
83,Cash Provided by Operating Activities,- -,-678862,-1155030,-1233846,-915485,-341752,-520373,-5935671,-1625583,-4623450,-5160783,-6493528,-3319213,-9296878,-11502524,-9591292,-5424542,-2992300,-2341090,-1484654,-2024021,-2647377,-4209129,-1958123,-1685047
84,CAPEX,- -,-74127,- -,-10380,-6584,-301364,-3120,-328746,-7598,-210437,-728838,-781537,-5814,-924465,-940468,-1625116,-807732,-471407,-30000,- -,- -,-35377,-69045,-48050,-82033
85,Acquisitions Net,- -,- -,-331030,-3245114,-112846,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1364757,- -,- -,- -,- -,- -,-505228
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5925000,-15200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,484447,- -,- -,- -,- -,13225000,7900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-335647,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2727448,542665,9779,149330,94335,80238,141285,- -,- -,- -,-360050,-1928450
89,Cash Used for Investing Activites,- -,-409774,-331030,-3255494,-119430,183083,-3120,-328746,-7598,-6135437,-2703838,7118463,-5814,1802983,-397803,-1615337,-658402,-377072,1414995,141285,- -,-35377,-69045,-408100,-2515711
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,15445,1375900,4799235,515390,344000,1040499,6919287,- -,- -,8612047,476563,1322988,15071516,4917221,10217774,8094725,- -,- -,1503254,1230504,3469657,- -,1668669,2432460
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,763500,37500,- -,- -,- -,- -,-4209,462520,11235512,- -,- -,1249380,1535967,690930,36540,32292,- -,- -,377554,- -,1556691,2683686,1130262,98285
95,Cash Used/Provided by Financing Activities,- -,778945,1413400,4799235,515390,344000,1040499,6915078,462520,11235512,8612047,476563,2572368,16607483,5608151,10254314,8127017,- -,- -,1880808,1230504,5026348,2683686,2798931,2530745
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2933,-307207,6824,-25933,-38523,-86344,5690,4538,-9196,-20989,7965,469,283,-2824,-1898
97,Net Change In Cash,- -,-309691,-72660,309895,-519525,185331,517006,650661,-1170661,476625,744493,794291,-745835,9087655,-6330699,-1038659,2049763,-3364834,-935291,516450,-785552,2344063,-1594205,429884,-1671911
98,Cash at the End of Period,- -,313322,240662,550557,31032,216363,733369,1384030,213369,689994,1434487,2228778,1482943,10570598,4239899,3201240,5251003,1886169,950878,1467328,681776,3025839,1431634,1861518,189607
99,Cash at the Beginning of Period,- -,623013,313322,240662,550557,31032,216363,733369,1384030,213369,689994,1434487,2228778,1482943,10570598,4239899,3201240,5251003,1886169,950878,1467328,681776,3025839,1431634,1861518
100,Free Cash Flow,- -,-752989,-1155030,-1244226,-922069,-643116,-523493,-6264417,-1633181,-4833887,-5889621,-7275065,-3325027,-10221343,-12442992,-11216408,-6232274,-3463707,-2371090,-1484654,-2024021,-2682754,-4278174,-2006173,-1767080
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1031093/000103109301000003/0001031093-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000103109302000001/0001031093-02-000001-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031093/000114420406023059/v044544_10ksba.htm,https://www.sec.gov/Archives/edgar/data/1031093/000114420407004344/v063777_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1031093/000136231008000348/c72158e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1031093/000136231009001985/c80993e10vk.htm,https://www.sec.gov/Archives/edgar/data/1031093/000113717110000013/0001137171-10-000013-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997311000036/mmg_10k.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997312000010/0001079973-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997313000016/0001079973-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997314000037/svbr_10k-103113.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997315000053/svbr_10k-123114.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997316000755/0001079973-16-000755-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997317000033/0001079973-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997318000029/0001079973-18-000029-index.html,- -,https://www.sec.gov/Archives/edgar/data/1031093/000107997320000013/0001079973-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1031093/000107997321000025/0001079973-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1031093/000107997322000065/0001079973-22-000065-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
