,https://roic.ai/company/GGB,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,404863373,344867255,375731387,- -,- -,1084679099,1712930000,992800000,1176823000,1273708000,1364416000,1497919000,1547098000,1835761000,1319941000,972089000,836096000,673262000,622578000,509760000
41,Intangible Assets,- -,- -,- -,- -,404863373,344867255,375731387,345237611,718157760,7379256335,13007032000,9417141000,9334921000,10429497000,11397812000,12850964000,14103502000,16488787000,10789957000,8863231000,9948486000,10142573000,12726097000,12937287000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,445453660,- -,1874404000,1219545000,1310319000,1374657000,1441857000,1590031000,1394383000,1392882000,798844000,1280299000,1743258000,1812399000,2271629000,3340775000
43,Tax Assets,- -,- -,122722177,101870012,347266961,667357132,407516217,424295703,400291575,245083072,2287796000,1347036000,1579011000,1547967000,2210300000,2056445000,2567189000,4307462000,3407230000,3054393000,3874054000,4071219000,3393354000,2929308000
44,Other Non-Current Assets,371642320,433473737,896120697,912241241,937199203,1027140716,1179621733,1117007846,1451038300,2472490259,1050995000,1703807000,1549505000,2015453000,1942611000,2121304000,2162728000,2472350000,2490479000,2677983000,2665668000,3062259000,3254250000,2363236000
45,Total Non-Current Assets,1917171760,4065915155,4026760737,4229249678,9069482556,8687252640,9373754801,10100947251,15789957638,25444058049,38274974000,30418630000,29945316000,32662645000,36682761000,40037818000,42359591000,47917211000,36838401000,32319648000,33777947000,35767257000,39713556000,41174136000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3092267080,6361772073,6301572607,6857001797,14464939917,13764667132,18199847434,21719474553,30897504613,40898747302,59050514000,44583316000,42891260000,49981794000,53093158000,58215040000,63042330000,70094709000,54635141000,50301761000,51281029000,54002970000,63123009000,73814613000
48,Accounts Payable,110791940,310385804,405861804,319077053,997715966,1074777758,1667719548,1579307846,2374193285,2590617985,2855419000,1705058000,1783274000,3212163000,3059684000,3271419000,3236356000,3629788000,2743818000,3179954000,4119057000,3762768000,5437953000,8017140000
49,Short-Term Debt,336242060,1295125251,1347372040,1322570751,3910768357,2303796704,1788056752,1322916604,2271368400,2524708177,3933119000,1356781000,1693037000,1756993000,2582353000,1838367000,2037869000,2387237000,4458220000,2004341000,1824938000,1764762000,1663209000,2041579000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,477564845,- -,517272000,675681000,524967000,591983000,528698000,651207000,794410000,490123000,415648000,354343000,747227000,638080000,1410214000,1411309000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,119249340,298266615,138237452,404052332,712031253,831355965,1092174272,1023447132,1590514463,1616034867,1686899000,1756682000,1545589000,1807845000,2181145000,2126844000,2498571000,1846006000,1419471000,2529825000,2560258000,1897007000,4380981000,3978095000
53,Total Current Liabilities,566283340,1903777669,1891471296,2045700136,5620515577,4209930428,4547950572,3925671583,6236076148,6731361029,8475437000,4818521000,5021900000,6777001000,7823182000,7236630000,7772796000,7863031000,8621509000,7714120000,8504253000,7424537000,11482143000,14036814000
54,Long-Term Debt,728302960,1652224890,1620857762,1684366512,3523313819,3715663299,4316752914,6181278928,945294600,13467187502,19300717000,13164134000,12976958000,11926535000,12086217000,14868451000,17483616000,24074516000,16125013000,14505243000,13083126000,15089374000,16731471000,12941127000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,83486620,251425057,281749356,351264131,454569525,208092886,155787370,330826053,887218095,1518977341,3060268000,2273759000,2270849000,1858725000,2877344000,2481850000,2520901000,2819205000,2634662000,910569000,888673000,1326712000,1234073000,1840001000
57,Other Non-Current Liabilities,240673440,378533533,347129167,302149808,711624174,818343848,774169259,856429967,12314323838,1717547154,3170514000,2322109000,2473938000,2899730000,1508498000,1607352000,2010483000,3367574000,2979304000,3277888000,2866406000,2989220000,2590112000,2181022000
58,Total Non-Current Liabilities,1052463020,2282183480,2249736285,2337780452,4689507518,4742100034,5246709544,7368534948,14146836533,16703711997,25531499000,17760002000,17721745000,16684990000,16472059000,18957653000,22015000000,30261295000,21738979000,18693700000,16838205000,19405306000,20555656000,16962150000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,804269000,856474000,918365000
61,Total Liabilities,1618746360,4185961148,4141207580,4383480588,10310023095,8952030462,9794660116,11294206531,20382912680,23435073027,34006936000,22578523000,22743645000,23461991000,24295241000,26194283000,29787796000,38124326000,30360488000,26407820000,25342458000,26829843000,32037799000,30998964000
62,Preferred Stock,- -,- -,- -,- -,1992214236,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,335396320,1316891941,544493133,648486019,995248712,2834970927,4088187392,5165889846,- -,- -,- -,14184805000,15651352000,- -,19249181000,19249181000,19249181000,19249181000,19249181000,19249181000,19249181000,19249181000,19249181000,19249181000
64,Retained Earnings,537528180,559373352,1318197786,1770739816,3315437890,3351202855,4010214026,3341515459,3113061885,4574507142,5110818000,5795720000,5534468000,6242932000,9180210000,10472752000,11366957000,6908059000,3763207000,3315374000,4806089000,5644706000,7292332000,17838494000
65,Other Comprehensive Income/Loss,-1028419840,-1832708527,-1676203440,-1935082020,-3248305204,-2130455691,-1367735766,-495115950,158700650,1623582322,1877992000,-1357385000,-12158398000,-293784000,835080000,2589079000,3550785000,8789412000,3987829000,4027562000,4826585000,5175181000,7418892000,8539841000
66,Other Total Stockholders Equity,1629016060,2132254159,1973877547,1989377394,7384065,-7642815,-30578989,261976538,- -,- -,- -,-115667000,10443020000,- -,-2018867000,-1971933000,-1966104000,-3260851000,-2972081000,-2946916000,-3151251000,-3113367000,-3100134000,-3023234000
67,Total Stockholders Equity,1473520720,2175810925,2160365026,2473521209,3061979698,4048075276,6700086663,8274265894,10514591933,12469518680,20166502000,18507473000,19470442000,24997469000,27245604000,30339079000,32200819000,31685801000,24028136000,23645201000,25730604000,26955701000,30860271000,42604282000
68,Total Liabilities And Stockholders Equity,3092267080,6361772073,6301572607,6857001797,13372002793,13000105737,16494746779,19568472425,30897504613,35904591707,54173438000,41085996000,42214087000,48459460000,51540845000,56533362000,61988615000,69810127000,54388624000,50053021000,51073062000,53785544000,62898070000,73603246000
69,Minority Interest,- -,- -,- -,- -,1092937124,764561394,1705100655,2151002128,- -,4994155596,4877076000,3497320000,677173000,1522334000,1552313000,1681678000,1053715000,284582000,246517000,248740000,207967000,217426000,224939000,211367000
70,Total Liabilities & Equity,3092267080,6361772073,6301572607,6857001797,14464939917,13764667132,18199847434,21719474553,30897504613,40898747302,59050514000,44583316000,42891260000,49981794000,53093158000,58215040000,63042330000,70094709000,54635141000,50301761000,51281029000,54002970000,63123009000,73814613000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1073404/000110465907044392/0001104659-07-044392-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1073404/000110465909043268/0001104659-09-043268-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465910032711/0001104659-10-032711-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465911032881/0001104659-11-032881-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465912027435/0001104659-12-027435-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465913025466/0001104659-13-025466-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465914022270/0001104659-14-022270-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465915024632/0001104659-15-024632-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465916108976/0001104659-16-108976-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465917016620/0001104659-17-016620-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465918022121/0001104659-18-022121-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465919018684/0001104659-19-018684-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465920041231/0001104659-20-041231-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,234149160,352753497,367667359,388643872,820625851,1471909868,3076645182,2609400360,3228195560,2878183310,3940505000,1121966000,2142488000,2005727000,1425633000,1583731000,1402873000,-4551438000,-2890811000,-359360000,2303868000,1203736000,2365763000,15558938000
74,Depreciation and Amortization,114537360,198201003,274762900,315549479,632937515,526263664,715064401,704611252,1075052960,1225509725,1896076000,1745319000,1893074000,1771881000,1827499000,2029507000,2227396000,2607909000,2535955000,2092551000,1891814000,2074295000,2499104000,2658561000
75,Deferred Income Tax,16673160,- -,29650027,66032278,-72591089,-351774352,205712954,274945073,-6642738,197843377,948216000,26952000,501859000,253096000,234486000,-35889000,131487000,-1175108000,652196000,185110000,-225360000,93751000,226398000,3657189000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7545000,22380000,18629000,13974000,36699000,38223000,39614000,48589000,46683000,35576000,41186000,43895000,- -,- -
77,Change in Working Capital,-15344140,-198967335,-224492786,-120555238,-959156707,-270340429,-1383576389,-3231495401,-1799254225,968618510,-3789776000,3938767000,-1703511000,-1973993000,-1598827000,1149174000,-882933000,1648721000,406437000,-952635000,-2735068000,1254764000,610825000,-6811047000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-93275550,- -,1065076000,1449678000,-660891000,-203041000,168134000,-23790000,-36468000,1219605000,64805000,-54690000,71631000,656831000,-527722000,-1614047000
79,Inventory,-20781040,- -,-81248017,-133678555,-334431574,-214218102,-1415055775,1048411,-381877438,-786026725,-2489882000,3766059000,-1160419000,-681604000,-264366000,1018398000,-173191000,1977361000,794591000,-1269455000,-2427473000,1556713000,-428263000,-7704329000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2215810000,-1731878000,110358000,1121433000,-522870000,-128942000,-251911000,-768627000,110466000,800164000,900388000,-642699000,1014800000,2534329000
81,Other Working Capital,- -,-198967335,-42958027,- -,- -,-114636460,482769799,-160236354,-1410081505,1788696915,80366000,400832000,442193000,-1667735000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-24768100,188641649,-7904854,75744137,818732047,-24422964,432700788,448280720,604435800,637789302,632778000,-504792000,1286581000,-360667000,2418557000,-666334000,-347576000,8583645000,2765906000,1074886000,723243000,-3027649000,705816000,-2546708000
83,Cash Provided by Operating Activities,325247440,540628814,439682646,725414529,1240547618,1351635786,3046546937,805742004,3101787358,5907944224,3635344000,6350592000,4139120000,1710018000,4344047000,4098412000,2570861000,7162318000,3516366000,2076128000,1999683000,1642792000,6407906000,12516933000
84,CAPEX,-416587360,-557137319,-516328922,-566689968,-658024219,-859073793,-1171225991,-1628506086,-2211892975,-2365511899,-2741048000,-1377776000,-1383367000,-2103045000,-3284061000,-2756660000,-2408658000,-2451146000,-1377935000,-911268000,-1262322000,-1846913000,-1805028000,-3192333000
85,Acquisitions Net,- -,- -,- -,35728586,-1388303245,-42498554,-838618070,-162704438,-1408810535,-7605913220,-4076171000,-71068000,-283110000,-74785000,-206214000,-184108000,- -,-61453000,- -,-178670000,-375456000,-74343000,-485324000,113595000
86,Purchases of Investments,-1202159000,-610955010,-717649215,-657134264,-3001080635,-2768384089,-1327903134,-329116841,-3265998388,-1179071246,-484965000,-2589350000,-1371835000,-723285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1156005760,- -,790512704,519902590,2998609841,3180363283,1124894029,329116841,3002783913,1395734296,426671000,2853762000,1415981000,778484000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-91339920,-1888845,-6264997,342808637,21341575,11471436,-181197705,15067690,264048283,-159819446,314868000,136098000,-75329000,-130193000,-104555000,78808000,925982000,-35486000,254650000,516518000,3953863000,-78508000,-92975000,-83675000
89,Cash Used for Investing Activites,-554080520,-1169981174,-449730429,-325384420,-2027456684,-478121717,-2394050870,-1776142833,-3619869703,-9914581514,-6560645000,-1048334000,-1603062000,-2111158000,-3438025000,-2703565000,-1340720000,-2421657000,-1069241000,-535481000,2383473000,-1899451000,-2229077000,-2996103000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-3128629135,- -,-4967812000,-8469908000,-3453158000,-3806777000,-2124220000,-5223100000,-2173555000,-5028386000,-4611898000,-7241401000,-6000433000,-5110996000,-5339719000,-5392475000
91,Common Stock Issued,- -,6152238,- -,- -,8205303,- -,481601141,517464139,- -,916028472,2885058000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-604100,- -,- -,- -,- -,-17080206,-24796789,-16562084,-70178443,- -,-50259000,-12919000,-38705000,-78094000,-44932000,- -,- -,-189071000,-95343000,- -,-243396000,- -,- -,- -
93,Dividends Paid,-54248180,-69441138,-128665442,-164644103,-262884732,-352746655,-731975408,-924609340,-949534010,-957250145,-1649936000,-328691000,-1018488000,-550706000,-523076000,-426988000,-455139000,-358226000,-85962000,-86386000,-599099000,-484173000,-274815000,-5339426000
94,Other Financing Activites,291901120,956342011,143131675,-193946885,1257124595,-348831479,69482006,1882265794,4524552973,5131464433,6382907000,3877886000,1011750000,5162641000,1655934000,4845555000,2105271000,2733841000,2455371000,3271657000,2586544000,5585573000,3120745000,749259000
95,Cash Used/Provided by Financing Activities,237048840,893053112,14466234,-358590988,1002445166,-718658340,-205689050,1458558508,376211385,5090242760,2599958000,-4933632000,-3498601000,727064000,-1036294000,-804533000,-523423000,-2841842000,-2337832000,-4056130000,-4256384000,-9596000,-2493789000,-9982642000
96,Effect of Forex Changes on Cash,-362460,- -,1164084,-5678024,-170845872,-4691286,-31269559,173627521,41905758,77365417,325856000,-303291000,-68367000,89641000,90908000,71675000,244029000,699290000,-693990000,7438000,208034000,17763000,290512000,5262000
97,Net Change In Cash,7974120,263702550,5582535,35761098,44690228,150164443,415537458,661785201,-99965203,1160970886,513000,65335000,-1030910000,415565000,-39364000,661989000,950747000,2598109000,-584697000,-2508045000,334806000,-248492000,1975552000,-456550000
98,Cash at the End of Period,13169380,694868299,24242982,64634254,143210498,266889766,661231782,1243090301,1035324485,2025390365,2026609000,2091944000,1061034000,1476599000,1437235000,2099224000,3049971000,5648080000,5063383000,2555338000,2890144000,2641652000,4617204000,4160654000
99,Cash at the Beginning of Period,5195260,431165749,18660447,28873156,98520270,116725323,245694324,581305100,1135289688,864419479,2026096000,2026609000,2091944000,1061034000,1476599000,1437235000,2099224000,3049971000,5648080000,5063383000,2555338000,2890144000,2641652000,4617204000
100,Free Cash Flow,-91339920,-16508505,-76646276,158724560,582523399,492561993,1875320946,-822764081,889894383,3542432325,894296000,4972816000,2755753000,-393027000,1059986000,1341752000,162203000,4711172000,2138431000,1164860000,737361000,-204121000,4602878000,9324600000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1073404/000110465907044392/0001104659-07-044392-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1073404/000110465909043268/0001104659-09-043268-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465910032711/0001104659-10-032711-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465911032881/0001104659-11-032881-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465912027435/0001104659-12-027435-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465913025466/0001104659-13-025466-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465914022270/0001104659-14-022270-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465915024632/0001104659-15-024632-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465916108976/0001104659-16-108976-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465917016620/0001104659-17-016620-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465918022121/0001104659-18-022121-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465919018684/0001104659-19-018684-index.htm,https://www.sec.gov/Archives/edgar/data/1073404/000110465920041231/0001104659-20-041231-index.htm,- -,- -
102,Forex Rate,0.8276,0.5539,0.5128,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
