,https://roic.ai/company/TTE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,844918033,884561404,925547445,935510204,959558626,979379845,979622642,1209150274,2815534676,2775099358,2611088852,2487681136,2416420916,2347222792,2293063190,2255294231,2234856551,2230599211,2234829043,2247479529,2256118143,2264349795,2272859512,2344239631,2458730159,2568750000,2680562061,2682619048,2497241379,2497241379
28,Weighted Average Shares Outstanding Diluted,844918033,884561404,925547445,935510204,959558626,979379845,979622642,1216996533,2815534676,2775099358,2629820028,2498372320,2426823772,2362028860,2312304652,2274384984,2246658542,2237292199,2244494576,2256951403,2267000000,2271543658,2281004151,2344239631,2458730159,2568750000,2680562061,2682619048,2621000000,2621000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2762900000,4075200000,4475200000,5824000000,6172800000,2100200000,1782800000,3977000000,4332000000,3186000000,5216000000,6080000000,5198000000,5110000000,3290000000,8744000000,17152044993,16708693908,19269849714,18177694252,20457851721,20225634511,25181000000,23269000000,24597000000,33185000000,27907000000,27352000000,31268000000,21342000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,731700000,643000000,604000000,895000000,1584000000,1765000000,1829000000,- -,5158000000,- -,260322410,445584274,1602606730,907264597,1497077261,270650943,833000000,5970000000,4507000000,3221000000,3609000000,3847000000,4630000000,12315000000
33,Cash and Short-Term Investments,2762900000,4075200000,4475200000,5824000000,6172800000,2100200000,2514500000,4620000000,4936000000,4081000000,6800000000,7845000000,7027000000,5110000000,8448000000,8744000000,17412367403,17154278182,20872456444,19084958849,21954928981,20496285454,26014000000,29239000000,29104000000,36406000000,31516000000,31199000000,35898000000,33657000000
34,Net Receivables,3228500000,3010900000,3683800000,4406700000,4606100000,3879600000,3658600000,13453000000,13474000000,12030000000,13745000000,18903000000,20827000000,25026000000,28203000000,38397000000,21281008993,32981832770,32973799707,38771304517,37241780623,36809909139,29738000000,24866000000,25611000000,28258000000,31093000000,34253000000,14068000000,21983000000
35,Inventory,2340300000,1994900000,2222700000,2386400000,2896200000,2415300000,2182300000,7935000000,8853000000,5902000000,6843000000,7715000000,9554000000,15019000000,15502000000,20227000000,13393379180,19867900739,20747439819,23487784330,23007644087,22125714601,15196000000,13116000000,15247000000,16520000000,14880000000,17132000000,14730000000,19952000000
36,Other Current Assets,1407700000,1269300000,1458500000,1470100000,1664100000,1755100000,1970400000,3889000000,4667000000,6473000000,5506000000,2641000000,5435000000,6627000000,4317000000,3074000000,13422613247,1285173935,1129139513,1169075238,7087311873,5280455135,7029000000,3015000000,2555000000,3764000000,2310000000,2681000000,14983000000,35544000000
37,Total Current Assets,9739400000,10350300000,11840200000,14087200000,15339200000,10150200000,10325800000,29897000000,31930000000,28486000000,32894000000,37104000000,42843000000,51782000000,56470000000,70442000000,65509368823,71289185627,75722835483,82513122934,89291665565,84712364329,77977000000,70236000000,72517000000,84948000000,79799000000,85265000000,79679000000,111136000000
38,PP&E,7325600000,7471000000,8708500000,9762900000,10476000000,10192400000,11677400000,36126000000,35505000000,36788000000,40533000000,45619000000,49337000000,48012000000,53552000000,60554000000,64234206643,73915410625,73100146296,83542220206,91692014706,104613493883,106876000000,109518000000,111971000000,109397000000,113324000000,116408000000,108335000000,106559000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1483000000,1558000000,1495113734,1664851854,1199627610,1179443976,1175708202,1253831920,619000000,626000000,1157000000,1427000000,8174000000,8346000000,- -,- -
40,Intangible Assets,1589700000,1551400000,1609100000,1646100000,1808400000,1556300000,1712100000,3141000000,2744000000,2849000000,2890000000,2536000000,2585000000,5188000000,4727000000,5232000000,5940084083,9100808069,10659662189,14908949517,15829079271,17168383551,14063000000,13923000000,14205000000,13160000000,20748000000,83600000000,- -,- -
41,Intangible Assets,1589700000,1551400000,1609100000,1646100000,1808400000,1556300000,1712100000,3141000000,2744000000,2849000000,2890000000,2536000000,2585000000,5188000000,6210000000,6790000000,7435197817,10765659923,11859289799,16088393494,17004787473,18422215471,14682000000,14549000000,15362000000,14587000000,28922000000,- -,33528000000,32484000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22041094746,21184595106,21420401649,21604562245,19770148385,22109144135,20673000000,20625000000,22617000000,25446000000,26016000000,30144000000,35051000000,35082000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1105000000,- -,- -,- -,- -,- -,1064000000,1164000000,- -,- -,- -,- -,2422831751,3880250766,4079000000,3982000000,4368000000,5206000000,6663000000,- -,7016000000,5400000000
44,Other Non-Current Assets,2273500000,3365700000,3093000000,2837900000,2889700000,3285100000,3423500000,12563000000,11371000000,10846000000,13304000000,15270000000,19239000000,20639000000,21577000000,26854000000,5479299496,5882858617,9037105998,8874343853,7063506758,5831423127,5511000000,5574000000,4143000000,3047000000,2038000000,41477000000,2523000000,2797000000
45,Total Non-Current Assets,11188800000,12388100000,13410600000,14246900000,15174100000,15033800000,16813000000,51830000000,50725000000,50483000000,56727000000,63425000000,71161000000,73839000000,82403000000,95362000000,99189798703,111748524271,115416943743,130109519798,137953289073,154856527383,151821000000,154248000000,158461000000,157683000000,176963000000,188029000000,186453000000,182322000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20928200000,22738400000,25250800000,28334100000,30513300000,25184000000,27138800000,81727000000,82655000000,78969000000,89621000000,100529000000,114004000000,125621000000,138873000000,165804000000,164699167525,183037709897,191139779226,212622642732,227244954638,239568891712,229798000000,224484000000,230978000000,242631000000,256762000000,273294000000,266132000000,293458000000
48,Accounts Payable,2553600000,2253900000,2767400000,3182700000,3453300000,3042400000,2751000000,9486000000,9307000000,8943000000,10751000000,12954000000,15811000000,19417000000,19903000000,26553000000,20623938525,22039944983,24537837478,28625494135,28629618854,30321190864,24150000000,20928000000,23227000000,26479000000,26134000000,28394000000,23574000000,36837000000
49,Short-Term Debt,1321000000,1912100000,2303000000,2951200000,4387500000,1443700000,1382200000,8539000000,3817000000,3177000000,5352000000,4821000000,4772000000,4639000000,7731000000,6736000000,10749784225,10020631555,12838143370,12539692826,14568730658,11207158441,10942000000,12488000000,13920000000,11096000000,13306000000,14819000000,17099000000,15035000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8630867098,9622290198,- -,9820932632,9007429092,6894000000,5363000000,5455000000,5786000000,6861000000,7438000000,5734000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317401539,299649258,469000000,342000000,424000000,419000000,546000000,17120000000,- -,- -
52,Other Current Liabilities,2460000000,2459400000,2676000000,2743100000,3098600000,2921300000,3416200000,8412000000,10561000000,11115000000,10346000000,11278000000,15015000000,15506000000,16608000000,18788000000,16412840716,17237377500,16156403777,19364914782,21312190864,20030931536,18112000000,17217000000,17114000000,18711000000,22248000000,9911000000,24003000000,43230000000
53,Total Current Liabilities,6334600000,6625400000,7746400000,8877000000,10939400000,7407400000,7549400000,26437000000,23685000000,23235000000,26449000000,29053000000,35598000000,39562000000,44242000000,52077000000,47786563466,49297954037,53532384626,60530101743,64827941916,61858930100,53673000000,50975000000,54685000000,56705000000,62234000000,70244000000,64676000000,95102000000
54,Long-Term Debt,3739000000,4094200000,4271800000,5056100000,4093000000,3765000000,4447900000,10266000000,10839000000,9951000000,10668000000,12299000000,13186000000,16324000000,18707000000,21723000000,22539465991,26007221044,24920867137,26477869224,29457507869,34617084150,45481000000,44464000000,43067000000,41340000000,40129000000,41510000000,60203000000,49512000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,607200000,1036100000,898500000,828400000,855300000,868200000,902600000,4718000000,5860000000,5812000000,6711000000,6843000000,8213000000,8256000000,9422000000,11585000000,11099200935,12820218924,13229152813,15890091375,16908244505,17872628352,14810000000,12360000000,11060000000,10828000000,11490000000,- -,10326000000,10904000000
57,Other Non-Current Liabilities,1488500000,1616000000,1891300000,2114200000,2513800000,1567500000,1585400000,10285000000,11045000000,8925000000,11270000000,13273000000,13810000000,12384000000,12195000000,13683000000,13738619595,18204481632,17969144833,19790033050,17930541963,21779115689,22303000000,21276000000,20592000000,19721000000,24795000000,- -,24842000000,22941000000
58,Total Non-Current Liabilities,5834700000,6746300000,7061600000,7998700000,7462100000,6200700000,6935900000,25269000000,27744000000,24688000000,28649000000,32415000000,35209000000,36964000000,40324000000,46991000000,47377286522,57031921600,56119164783,62157993649,64296294337,74268828192,82594000000,78100000000,74719000000,71889000000,76414000000,41510000000,95371000000,83357000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94754573043,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125255000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372514184,232743716,197006027,- -,- -,- -,- -,- -,- -,- -,1202000000,1206000000,- -
61,Total Liabilities,12169300000,13371700000,14808000000,16875700000,18401500000,13608100000,14485300000,51706000000,51429000000,47923000000,55098000000,61468000000,70807000000,76526000000,84566000000,99068000000,95163849987,106329875638,109651549408,122688095392,129124236253,136127758292,136267000000,129075000000,129404000000,128594000000,138648000000,153989000000,160047000000,178459000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,2185900000,7288000000,6741000000,6292000000,7218000000,8160000000,8602000000,7280000000,8003000000,8746000000,8255143804,8411656828,7812209070,7658609293,7822625440,8207904112,7518000000,7670000000,7604000000,7882000000,8227000000,8123000000,8267000000,8224000000
64,Retained Earnings,5304300000,5237100000,6078300000,6698100000,7027700000,6887200000,7887700000,9636000000,10421000000,- -,32049000000,38229000000,45062000000,44386000000,54719000000,71258000000,73707436590,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85755000000,- -,- -
65,Other Comprehensive Income/Loss,-7953800000,-7719100000,-9060600000,-10807300000,-11949800000,-10976800000,-11926900000,-51664000000,-50176000000,-51719000000,-872000000,-4109000000,-6303000000,1682000000,-1825000000,-6419000000,-6787872038,-7262593845,-3318260407,-1280539174,-1967889544,-6055124417,-7480000000,-12119000000,-13871000000,-7908000000,-11313000000,-11503000000,-10256000000,-12671000000
66,Other Total Stockholders Equity,10996900000,11471600000,12971600000,15081700000,16605500000,15399100000,14225100000,63266000000,63529000000,75673000000,-4632000000,-4054000000,-5016000000,-5245000000,-7681000000,-8079000000,-6973021132,74144650123,75854501928,81804160456,90571851773,98138584330,90292000000,96943000000,104947000000,111582000000,118726000000,34403000000,105691000000,- -
67,Total Stockholders Equity,8347400000,8989600000,9989300000,10972500000,11683400000,11309500000,12371800000,28526000000,30515000000,30246000000,33763000000,38226000000,42345000000,48103000000,53216000000,65506000000,68201687223,75293713107,80348450592,88182230575,96426587669,100291364026,90330000000,92494000000,98680000000,111556000000,115640000000,116778000000,103702000000,111736000000
68,Total Liabilities And Stockholders Equity,20516700000,22361300000,24797300000,27848200000,30084900000,24917600000,26857100000,80232000000,81944000000,78169000000,88861000000,99694000000,113152000000,124629000000,137782000000,164574000000,163365537211,181623588744,190000000000,210870325967,225550823921,236419122318,226597000000,221569000000,228084000000,240150000000,254288000000,270767000000,263749000000,290195000000
69,Minority Interest,411500000,377100000,453500000,485900000,428400000,266400000,281700000,1495000000,711000000,800000000,760000000,835000000,852000000,992000000,1091000000,1230000000,1333630314,1414121153,1139779226,1752316765,1694130717,3149769394,3201000000,2915000000,2894000000,2481000000,2474000000,2527000000,2383000000,3263000000
70,Total Liabilities & Equity,20928200000,22738400000,25250800000,28334100000,30513300000,25184000000,27138800000,81727000000,82655000000,78969000000,89621000000,100529000000,114004000000,125621000000,138873000000,165804000000,164699167525,183037709897,191139779226,212622642732,227244954638,239568891712,229798000000,224484000000,230978000000,242631000000,256762000000,273294000000,266132000000,293458000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,515400000,504200000,634000000,458400000,1089100000,1263400000,1038400000,1534000000,6502000000,6826000000,6240000000,8832000000,13020000000,14525000000,15531000000,19248000000,14742322577,12102412746,14059050406,15910828851,14142883593,11654561021,4244000000,5087000000,6196000000,8631000000,11446000000,11267000000,-7242000000,16032000000
74,Depreciation and Amortization,986500000,986700000,1243500000,1681000000,1536400000,1506100000,1627400000,2499000000,5237000000,4804000000,6555000000,6669000000,8250000000,6689000000,7331000000,8683000000,8237046524,9777064588,11554728022,10495755298,330626604,302411003,254000000,332000000,344000000,192000000,225000000,266000000,- -,14343000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-117300000,430400000,-157300000,128900000,-200400000,-284700000,268200000,-1978000000,-65000000,-1948000000,-67000000,481000000,638000000,-4736000000,-582000000,-950000000,3579085113,-4750988595,-659662189,-2253904478,3265268337,4282084565,2500000000,-880000000,-2678000000,443000000,-118000000,-1776000000,87000000,-616000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4485341203,-492864921,-3606862615,-1668070767,1014362420,3308569693,5916000000,4153000000,-1916000000,-1897000000,-1461000000,-933000000,4818000000,- -
79,Inventory,-44900000,- -,- -,- -,- -,- -,383800000,-1597000000,-1309000000,- -,-188000000,-24000000,-1218000000,- -,-660000000,-3952000000,5596235766,-6041893518,-2521611916,-2391290260,491972386,1121268193,5289000000,888000000,-2475000000,-476000000,1430000000,-2071000000,2274000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4254252861,818098458,3300970874,3429460178,456264713,179513381,-4531000000,-2235000000,2546000000,2339000000,-822000000,1998000000,-5355000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,791000000,- -,- -,- -,- -,-4736000000,- -,1206000000,- -,- -,- -,- -,1831671384,1617001298,-1980000000,-2563000000,-1559000000,-384000000,-887000000,-58000000,-1782000000,-616000000
82,Other Non-Cash Items,400600000,263700000,347600000,193600000,555000000,153000000,27200000,1371000000,936000000,1284000000,-1168000000,-283000000,-2362000000,883000000,-1083000000,-1154000000,-569368266,580262479,-359090305,1167779146,11967360542,13412411279,18610000000,15407000000,12659000000,13053000000,13150000000,14928000000,21958000000,651000000
83,Cash Provided by Operating Activities,1785200000,2185000000,2067800000,2461900000,2980100000,2637800000,2961200000,3426000000,12610000000,10966000000,11560000000,15699000000,19546000000,17361000000,21197000000,25827000000,25989085948,17708751218,24595025934,25320458817,29706139075,29651467867,25608000000,19946000000,16521000000,22319000000,24703000000,24685000000,14803000000,30410000000
84,CAPEX,-1895100000,-1774500000,-1849400000,-2540400000,-3158900000,-2753900000,-3348200000,-3760000000,-6207000000,-6700000000,-7291000000,-8433000000,-9708000000,-10038000000,-13079000000,-15405000000,-16511679706,-16976617571,-18369464024,-23264856458,-26324490174,-30931536358,-26320000000,-25132000000,-18106000000,-13767000000,-17080000000,-11810000000,-10764000000,-12343000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-535000000,-186000000,-937000000,-134000000,-529000000,-177000000,-1321000000,-168000000,-22000000,-1234791324,-229239498,-734140178,-361609747,-974687227,912756497,-1284000000,1867000000,-1033000000,741000000,-4475000000,-6208000000,-2804000000,-2730000000
86,Purchases of Investments,-70400000,-650200000,-118600000,-11600000,-56300000,-126500000,-417200000,- -,-39000000,-381000000,-530000000,-154000000,-283000000,- -,-531000000,-513000000,-1119247153,-573098745,-869796515,-5864817575,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,238200000,- -,43100000,- -,- -,- -,- -,251000000,1516000000,4130000000,1414000000,420000000,628000000,- -,923000000,770000000,3295097029,3617685827,2138582258,7376061176,3724178062,342456295,1072000000,837000000,132000000,294000000,1444000000,349000000,578000000,722000000
88,Other Investing Activites,-480500000,92900000,149700000,459200000,621300000,-413500000,282000000,570000000,76000000,332000000,-653000000,1487000000,-512000000,-603000000,219000000,325000000,-16330706908,-17526792366,1932437824,1425701510,-25327320338,-30402662322,-24107000000,-23153000000,-16752000000,-12667000000,-11915000000,-11318000000,-10853000000,-11648000000
89,Cash Used for Investing Activites,-2207800000,-2331800000,-1775200000,-2092800000,-2593900000,-3293900000,-3483400000,-3474000000,-4840000000,-3556000000,-7194000000,-7209000000,-10052000000,-11962000000,-12636000000,-14845000000,-15389648356,-14711444782,-15902380636,-20689521094,-22577829502,-29147449529,-24319000000,-20449000000,-17653000000,-11632000000,-14946000000,-17177000000,-13079000000,-13656000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4475901198,-972203750,-5015877130,- -,- -,- -,- -,-133000000,-276000000,-325000000,-371000000,-315000000,-672000000
91,Common Stock Issued,138500000,695300000,95900000,20000000,40700000,85400000,20200000,309000000,229000000,32000000,518000000,87000000,722000000,20000000,697000000,133000000,- -,90263052,119696768,623420388,42320205,504018338,- -,- -,- -,519000000,498000000,452000000,374000000,381000000
92,Common Stock Repurchased,- -,- -,-176800000,- -,- -,- -,- -,- -,-1936000000,-7161000000,-3093000000,-5021000000,-5141000000,-3774000000,-5055000000,-2228000000,-1296043656,- -,- -,- -,-89930436,-247176116,- -,- -,- -,- -,-4328000000,-2810000000,-611000000,-1823000000
93,Dividends Paid,-303800000,-124300000,-236700000,-197200000,-164200000,-455300000,-587400000,-997000000,-1724000000,- -,-2745000000,-3388000000,-6096000000,-4435000000,-5278000000,-6586000000,-7180443801,-7286950542,-6780156936,-6661914328,-6855873251,-7411140877,-7308000000,-2845000000,-2661000000,-2643000000,-4913000000,-6641000000,-6688000000,-8228000000
94,Other Financing Activites,428000000,1019900000,81200000,876200000,386200000,-2065000000,513100000,1513000000,-3624000000,-1367000000,2497000000,32000000,66000000,2193000000,-140000000,3801000000,7372553387,7563470686,3179944142,5469509429,1950696961,5573200033,13217000000,3905000000,6326000000,-3140000000,-4857000000,1661000000,8638000000,-15155000000
95,Cash Used/Provided by Financing Activities,262700000,1590900000,-236400000,699000000,262700000,-2434900000,-54100000,825000000,-7055000000,-8496000000,-2823000000,-8290000000,-10449000000,-5996000000,-9776000000,-4880000000,-1103934070,-4109118001,-4452719777,-5584861642,-4952786521,-1581098622,5909000000,1060000000,3532000000,-5540000000,-13925000000,-7709000000,1398000000,-25497000000
