,https://roic.ai/company/TCRT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,945,-17820,-7866,4661,6858763,19097623,3286651,-23292012,40168000,11106000,35538000,-31330000,1094000,-29245000,101137000,-45323000,-19148000,4875000,18164000,19255000,-49431000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-270000,-850000,-758000,696000,-218000,-1087000,1582000,4000,-1852000,4261000,-3709000,199000,54000,274000
81,Other Working Capital,- -,-17820,-25686,-21025,6837738,25935361,29222012,5930000,46098000,57204000,92742000,61412000,62506000,33261000,134398000,89075000,69927000,74802000,92966000,112221000,62790000
82,Other Non-Cash Items,40584,45192,33890,27193,-6223221,-15835739,1238037,23016012,-47324000,-1955000,-13622000,43092000,-7741000,19171000,10587000,143553000,9979000,-9324000,50808000,-4249000,53343000
83,Cash Provided by Operating Activities,-30256,-11770,-9332,-7312,-8780149,-14421115,-21650205,-23519000,-12294000,-19694000,-38835000,-78832000,-59509000,-36650000,-10000,-58325000,-54669000,-49457000,-40854000,-57013000,-61468000
84,CAPEX,- -,-316,- -,- -,-130201,-354300,-738115,-132000,-11000,-186000,-1156000,-1559000,-132000,-193000,-412000,-551000,-737000,-459000,-284000,-9778000,740000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1555164,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1555164,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-316,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,-4063000
89,Cash Used for Investing Activites,- -,-316,- -,- -,-130201,-1909464,817049,-131000,-11000,-186000,-1156000,-1559000,-131000,-193000,-412000,-551000,-737000,-459000,-284000,-9778000,-3323000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260000
91,Common Stock Issued,- -,16500,10000,6000,16764411,34305312,29006504,- -,49793000,32804000,71207000,49170000,53880000,- -,94320000,- -,47270000,47101000,6085000,101677000,1036000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-380000,-1668000,-274000,-546000,-498000,-544000,-552000,-1502000,-2059000,-1622000,-653000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4000,-4850,-650,1300,- -,- -,- -,- -,352000,297000,13379000,360000,1156000,11986000,4568000,714000,88000,-5168000,53718000,442000,25000000
95,Cash Used/Provided by Financing Activities,4000,11650,9350,7300,16764411,34305312,29006504,- -,49765000,31433000,84312000,48984000,54538000,11442000,98336000,-788000,45299000,40311000,59150000,102119000,25776000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-26256,-436,18,-12,7854061,17974733,8173348,-23650000,37460000,11553000,44321000,-31407000,-5102000,-25401000,97914000,-59664000,-10107000,-9605000,18012000,35328000,-39015000
98,Cash at the End of Period,451,15,33,21,8880717,26855450,35028798,11379000,48839000,60392000,104713000,73306000,68204000,42803000,140717000,81053000,70946000,61729000,79741000,115069000,76054000
99,Cash at the Beginning of Period,26707,451,15,33,1026656,8880717,26855450,35029000,11379000,48839000,60392000,104713000,73306000,68204000,42803000,140717000,81053000,71334000,61729000,79741000,115069000
100,Free Cash Flow,-30256,-12086,-9332,-7312,-8910350,-14775415,-22388320,-23651000,-12305000,-19880000,-39991000,-80391000,-59641000,-36843000,-422000,-58876000,-55406000,-49916000,-41138000,-66791000,-60728000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107421/000119312521063387/0001193125-21-063387-index.htm,https://www.sec.gov/Archives/edgar/data/1107421/000095017022004972/0000950170-22-004972-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
