,https://roic.ai/company/YCBD,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,- -,-1.13,-0.23,-0.05,-2.82,0.28,-0.47
27,Weighted Average Shares Outstanding,- -,2980223,7492261,7742644,17887247,44140360,54938128
28,Weighted Average Shares Outstanding Diluted,- -,2980223,7492261,7742644,17887247,45171674,54938128
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1644903/000165495417011858/0001654954-17-011858-index.htm,https://www.sec.gov/Archives/edgar/data/1644903/000165495418013865/0001654954-18-013865-index.html,https://www.sec.gov/Archives/edgar/data/1644903/000165495419014052/0001654954-19-014052-index.html,https://www.sec.gov/Archives/edgar/data/1644903/000165495420013835/0001654954-20-013835-index.htm,https://www.sec.gov/Archives/edgar/data/1644903/000165495421013292/0001654954-21-013292-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,546461,34258,284246,4282553,4689966,14824644,26411424
32,Short-Term Investments,- -,- -,859112,2210073,798538,276472,1033351
33,Cash and Short-Term Investments,546461,34258,1143358,6492626,5488504,15101116,27444775
34,Net Receivables,151,163974,1378966,4204758,2665834,1358616,1124339
35,Inventory,167725,687465,588197,123223,4301586,4603360,5021867
36,Other Current Assets,523706,70620,583155,969540,3287111,2649160,2911379
37,Total Current Assets,1238043,956317,3693676,11790147,15743035,23712252,36502360
38,PP&E,97957,180281,135476,53480,2470090,10825552,8706117
39,Goodwill,- -,- -,- -,- -,54669997,54669997,56670970
40,Intangible Assets,486760,486760,3240287,3173985,21635000,21635000,23118107
41,Intangible Assets,486760,486760,3240287,3173985,76304997,76304997,79789077
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-114178
45,Total Non-Current Assets,584717,667041,3375763,3227465,78775087,87130549,88381016
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1822760,1623358,7069439,15017612,94518122,110842801,124883376
48,Accounts Payable,80892,206156,465480,481577,3021271,2850421,2978914
49,Short-Term Debt,331234,797547,- -,- -,- -,2068737,1210620
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,41417,161458,7339,45141,- -
52,Other Current Liabilities,129286,900380,1016628,326920,681268,2724779,2727612
53,Total Current Liabilities,541412,1904083,1523525,969955,3709878,7689078,6917146
54,Long-Term Debt,- -,- -,360000,- -,- -,602100,4859058
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4000,12000,37000,21000,2240300,895000,- -
57,Other Non-Current Liabilities,- -,- -,- -,7502,50963960,22474575,9964985
58,Total Non-Current Liabilities,4000,12000,397000,28502,53204260,23971675,14824043
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,7169306,6010208
61,Total Liabilities,545412,1916083,1920525,998457,56914138,31660753,21741189
62,Preferred Stock,- -,- -,- -,- -,- -,500,5000
63,Common Stock,2654,3401,5792,8124,27720,52131,57783
64,Retained Earnings,-1130847,-4487336,-6257421,-6669497,-59610260,-47388367,-73337865
65,Other Comprehensive Income/Loss,-7281,-52216,-107971,-2512539,- -,-913106,- -
66,Other Total Stockholders Equity,2529193,4899578,10571451,21781095,97186524,127430890,176417269
67,Total Stockholders Equity,1393719,363427,4211851,12607183,37603984,79182048,103142187
68,Total Liabilities And Stockholders Equity,1939131,2279510,6132376,13605640,94518122,110842801,124883376
69,Minority Interest,-116371,-656152,937063,1411972,- -,- -,- -
70,Total Liabilities & Equity,1822760,1623358,7069439,15017612,94518122,110842801,124883376
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1644903/000165495417011858/0001654954-17-011858-index.htm,https://www.sec.gov/Archives/edgar/data/1644903/000165495418013865/0001654954-18-013865-index.html,https://www.sec.gov/Archives/edgar/data/1644903/000165495419014052/0001654954-19-014052-index.html,https://www.sec.gov/Archives/edgar/data/1644903/000165495420013835/0001654954-20-013835-index.htm,https://www.sec.gov/Archives/edgar/data/1644903/000165495421013292/0001654954-21-013292-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,-3356489,-1738734,-412075,-50428226,12602272,-23394889
74,Depreciation and Amortization,- -,44935,71276,222546,289574,720755,2253805
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1345300,- -
76,Stock Based Compensation,- -,11450,56533,639631,2458530,1900194,2924719
77,Change in Working Capital,- -,673881,3117917,8650041,1212965,3990017,-2388102
78,Accounts Receivable,- -,-163823,-789992,-991950,-401982,514352,-183735
79,Inventory,- -,-519740,-41216,255894,-3123437,-535146,-1009192
80,Accounts Payable,- -,785916,-466987,-666668,- -,1479189,- -
81,Other Working Capital,- -,-947766,2170151,10820192,12033157,16023174,-455110
82,Other Non-Cash Items,- -,-271031,-3836833,-14673238,31089690,-28532274,6511034
83,Cash Provided by Operating Activities,- -,-2897254,-2329841,-5573095,-15377467,-10664336,-14093433
84,CAPEX,- -,-127259,-7967,-383559,-1248618,-1320095,-2342013
85,Acquisitions Net,- -,- -,- -,- -,-916555,- -,- -
86,Purchases of Investments,- -,- -,- -,-300000,- -,-250000,-750000
87,Sales/Maturities of Investments,- -,- -,200000,- -,- -,- -,540000
88,Other Investing Activites,- -,- -,-39723,-360000,-18677,- -,-2000000
89,Cash Used for Investing Activites,- -,-127259,152310,-683559,-2133850,-1570095,-2552013
90,Debt Repayment,- -,-1255251,-300000,- -,-764300,- -,- -
91,Common Stock Issued,- -,1984747,829497,10927535,19009897,16766106,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-366850,-2554609
94,Other Financing Activites,- -,1782814,1898022,-672574,-326868,5969854,30786835
95,Cash Used/Provided by Financing Activities,- -,2512310,2427519,10254961,17918729,22369110,28232226
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-512203,249988,3998307,407413,10134678,11586780
98,Cash at the End of Period,- -,34258,284246,4282553,4689966,14824644,26411424
99,Cash at the Beginning of Period,- -,546461,34258,284246,4282553,4689966,14824644
100,Free Cash Flow,- -,-3024513,-2337808,-5956654,-16626085,-11984431,-16435446
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1644903/000165495417011858/0001654954-17-011858-index.htm,https://www.sec.gov/Archives/edgar/data/1644903/000165495418013865/0001654954-18-013865-index.html,https://www.sec.gov/Archives/edgar/data/1644903/000165495419014052/0001654954-19-014052-index.html,https://www.sec.gov/Archives/edgar/data/1644903/000165495420013835/0001654954-20-013835-index.htm,https://www.sec.gov/Archives/edgar/data/1644903/000165495421013292/0001654954-21-013292-index.htm
102,false,,,,,,,
