,https://roic.ai/company/GPRK,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),10322,231669,2065923,2273334,1807694,533904,1855595,13007000,25419000,28326000,32481000,33009000,32215000,33808000,34170000,54673000,49792000
14,Depreciation and Amortization,636511,681265,- -,- -,14900000,22700000,26400000,53317000,70200000,101657000,105557000,75774000,74885000,92240000,105532000,118073000,88969000
15,EBITDA,-2554646,-10419233,-11741030,6200266,9207694,32333904,35555595,92624000,133319000,143263000,-78939000,47887000,39727000,92223000,309221000,-12341000,267159000
16,EBITDA ratio,-0.8995,-1.7343,-1.0646,0.1616,0.2055,0.4062,0.3186,0.3698,0.3940,0.3342,-0.3765,0.2485,0.1203,0.1534,0.4917,-0.0313,0.3880
17,Operating Income,-2456588,-8844667,-13580083,7181635,-3767377,13223902,25784073,40747000,83964000,71844000,-232491000,-28613000,78996000,256492000,210675000,-110663000,185809000
18,Operating Income ratio,-0.8649,-1.4722,-1.2314,0.1871,-0.0841,0.1661,0.2310,0.1627,0.2481,0.1676,-1.1087,-0.1485,0.2393,0.4267,0.3350,-0.2811,0.2699
19,Total Other Income Expenses (Gains),-744890,-2487501,-226870,-3254702,-3732623,-4223902,-13484073,-7947000,-33864000,-50719000,-69129000,-20229000,-53688000,-47585000,-41156000,-74424000,-57411000
20,Income Before Tax,-3201478,-11332168,-13806953,3926933,-7500000,9000000,12300000,32800000,50100000,21125000,-301620000,-48842000,25308000,208907000,169519000,-185087000,128398000
21,Income Before Tax Ratio,-1.1272,-1.8863,-1.2520,0.1023,-0.1674,0.1131,0.1102,0.1309,0.1480,0.0493,-1.4384,-0.2535,0.0767,0.3475,0.2695,-0.4701,0.1865
22,Income Tax expense (Gain),10322,17670,2008,275600,500000,4900000,7200000,14400000,15200000,5195000,17054000,-11804000,-43145000,-106240000,111762000,47863000,67271000
23,Net Income,-3211800,-11349837,-13808961,3651333,-8000000,4200000,100000,11900000,22500000,8085000,-234031000,-49092000,-24228000,72415000,57757000,-232950000,61127000
24,Net Income ratio,-1.1308,-1.8892,-1.2521,0.0951,-0.1786,0.0528,0.0009,0.0475,0.0665,0.0189,-1.1161,-0.2548,-0.0734,0.1205,0.0918,-0.5917,0.0888
25,EPS,-0.16,-0.44,-0.45,0.11,-0.22,0.10,0.00,0.28,0.50,0.13,-4.03,-0.82,-0.40,1.19,0.97,-3.84,1.01
26,EPS Diluted,-0.16,-0.44,-0.45,0.11,-0.22,0.09,0.00,0.27,0.47,0.13,-4.03,-0.82,-0.40,1.19,0.97,-3.84,1.01
27,Weighted Average Shares Outstanding,20080000,25727500,30806736,33116940,37146996,41839692,42080652,42844676,43778261,58021695,57990037,60180644,60838603,61083697,59404254,60668185,60668185
28,Weighted Average Shares Outstanding Diluted,20080000,25727500,30806736,33116940,37146996,44476196,44092668,44285742,46718177,58021695,57990037,60180644,60838603,61083697,59404254,60668185,60668185
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1464591/000095010315003447/dp55186_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000095010316012647/dp64464_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000095010317003464/dp74082_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000114420418020167/tv487929_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000114420419019340/tv515868_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000155837020003471/0001558370-20-003471-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2403259,34194796,8709403,5710311,23800000,99400000,193700000,48300000,121100000,127672000,82730000,73563000,134755000,127727000,111180000,201907000,100604000
32,Short-Term Investments,192674,- -,- -,- -,- -,- -,3000000,- -,- -,- -,1118000,2480000,21378000,898000,14000,28000,864000
33,Cash and Short-Term Investments,2595933,34194796,8709403,5710311,23800000,99400000,196700000,48300000,121100000,127672000,83848000,76043000,156133000,128625000,111194000,201935000,101468000
34,Net Receivables,610707,1452842,2304840,8746284,5900000,13100000,15900000,32300000,42600000,36917000,13480000,18426000,19519000,16215000,44178000,74181000,70531000
35,Inventory,218478,863852,2081985,1170935,2300000,300000,600000,4000000,8100000,8532000,4264000,3515000,5738000,9309000,11447000,13326000,10915000
36,Other Current Assets,24084,543834,4463117,3759240,2400000,4400000,25100000,53000000,42800000,27452000,30252000,23217000,33566000,105484000,59113000,2165000,49663000
37,Total Current Assets,3449202,37055324,17559344,19386769,34400000,117200000,238300000,137600000,214600000,200573000,131844000,121201000,214956000,259633000,225932000,291607000,232577000
38,PP&E,3000203,8236044,31707606,67640065,122400000,159700000,224600000,457800000,595400000,790767000,522611000,473646000,517403000,557170000,581250000,636067000,635061000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1727181,13474128,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,1727181,13474128,23833407,37162227,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,2079977,2140638,2213536,5600509,5226438,7791000,5168000,12979000,13306000,19547000,22110000,10570000,10985000,13364000,13883000
43,Tax Assets,32686,15706,14054,14582,1100000,6000000,13100000,17500000,23100000,30065000,16955000,2770000,2286000,14801000,10850000,18168000,14072000
44,Other Non-Current Assets,610706,3482894,3067766,3463225,2186464,-2700509,-8926438,7309000,8132000,4732000,19083000,23376000,29408000,20486000,23115000,1060000,148000
45,Total Non-Current Assets,5370777,25208772,60702810,110420737,127900000,168600000,234000000,490400000,631800000,838543000,571955000,519339000,571207000,603027000,626200000,668659000,663164000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8819978,62264096,78262154,129807506,162300000,285800000,472300000,628000000,846400000,1039116000,703799000,640540000,786163000,862660000,852132000,960266000,895741000
48,Accounts Payable,2714633,3663518,8448402,11268970,12900000,11600000,27600000,72100000,91600000,88904000,45790000,52008000,96397000,131420000,131345000,100156000,127513000
49,Short-Term Debt,- -,23560,4782341,11427913,8236489,25564750,30612662,27986000,26630000,27153000,35425000,39283000,7664000,17975000,24723000,28579000,26147000
50,Tax Payable,- -,- -,- -,- -,- -,- -,186492,17033000,7231000,7935000,208000,5155000,42942000,58776000,57901000,52775000,8801000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,13358000,33195000,34646000,23053000,27636000,31793000,26934000,- -,- -
52,Other Current Liabilities,302773,871705,1202612,2537268,1363511,3335250,6287338,7314000,-6088000,-25260000,-34438000,-14831000,34595000,37257000,31919000,67921000,50002000
53,Total Current Liabilities,3017406,4558783,14433355,25234151,22500000,40500000,64500000,107400000,125500000,123992000,81423000,99513000,166292000,218445000,214921000,196656000,203662000
54,Long-Term Debt,5112732,16505463,29958899,42252803,52200000,143800000,134600000,165000000,290500000,342440000,343248000,319389000,418540000,429027000,425939000,766897000,668689000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3828000,3331000
56,Deferred Tax Liabilities,- -,- -,- -,275600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7190000,20947000
57,Other Non-Current Liabilities,2974399,92275,1264851,1548608,2100000,9200000,64300000,116200000,159600000,197127000,132476000,115873000,116406000,72167000,78387000,94885000,61057000
58,Total Non-Current Liabilities,8087130,16597738,31223750,44077011,54300000,153000000,198900000,281200000,450100000,539567000,475724000,435262000,534946000,501194000,504326000,872800000,754024000
59,Other Liabilities,- -,33195476,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13243000,22347000,20744000
61,Total Liabilities,11104537,21156521,45657106,69311162,76800000,193500000,263400000,388600000,575600000,663559000,557147000,534775000,701238000,719639000,719247000,1069456000,957686000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20644,31413,30116,33539,- -,- -,- -,- -,- -,58000,59000,60000,61000,60000,59000,61000,60000
64,Retained Earnings,-5616780,-14601062,-24337339,-19207410,-22100000,-16500000,95700000,121700000,151400000,168123000,-80901000,-132932000,-156406000,-92557000,-37070000,-380866000,-314779000
65,Other Comprehensive Income/Loss,3311578,3082381,4198101,4094626,3950087,3917381,115168135,128421000,126465000,124017000,123016000,130118000,129606000,111809000,112471000,92216000,83554000
66,Other Total Stockholders Equity,0,52594844,52714171,75575590,133200000,107000000,111400000,115900000,121600000,83359000,104478000,108519000,111664000,123709000,57425000,179399000,169220000
67,Total Stockholders Equity,-2284558,41107575,32605048,60496343,85482269,92290187,208892797,239421000,270841000,375557000,146652000,105765000,84925000,143021000,132885000,-109190000,-61945000
68,Total Liabilities And Stockholders Equity,8819978,62264096,78262154,129807506,162282269,285790187,472292797,628021000,846441000,1039116000,703799000,640540000,786163000,862660000,852132000,960266000,895741000
69,Minority Interest,- -,- -,- -,-0,17731,9814,7203,-21000,-41000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8819978,62264096,78262154,129807506,162300000,285800000,472300000,628000000,846400000,1039116000,703799000,640540000,786163000,862660000,852132000,960266000,895741000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1464591/000095010315003447/dp55186_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000095010316012647/dp64464_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000095010317003464/dp74082_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000114420418020167/tv487929_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000114420419019340/tv515868_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000155837020003471/0001558370-20-003471-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-3211800,-11349837,-13808961,3651333,-8000000,4200000,100000,11900000,22500000,8085000,-234031000,-49092000,-24228000,72415000,57757000,-232950000,61127000
74,Depreciation and Amortization,636511,681265,- -,- -,14900000,22700000,26400000,53317000,70200000,101657000,105557000,75774000,74885000,92240000,105532000,118073000,88969000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,14394000,15154000,5195000,-17054000,11804000,43145000,106240000,111762000,47863000,67271000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,5396000,9167000,8373000,8223000,3367000,4075000,5446000,2717000,8444000,6621000
77,Change in Working Capital,2711193,298422,3348844,-1450909,12346648,-6539929,7349339,5778000,-19301000,13347000,-24104000,11920000,-25278000,-6358000,-42254000,-5240000,-9351000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-7842000,-10357000,13791000,22470000,-4811000,-1344000,3423000,-27839000,3190000,-23290000
79,Inventory,-10322,-649852,-1134351,863254,-591785,- -,-332577,8837000,-4166000,-410000,2752000,466000,-2031000,511000,-1675000,1220000,1241000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,665756,249339,4521340,272683,5835392,-6539929,8154363,- -,- -,- -,- -,20000000,-10000000,-10000000,- -,- -,- -
82,Other Non-Cash Items,548776,2992069,7876207,10811095,730151,8871548,19129930,41017000,42374000,94089000,187304000,29111000,69559000,-13777000,-85000,232509000,2140000
83,Cash Provided by Operating Activities,684679,-7378081,-2583910,13011519,19976800,29231619,52979269,131802000,140094000,230746000,25895000,82884000,142158000,256206000,235429000,168699000,216777000
84,CAPEX,-3483608,-17964195,-38782741,-58141350,-40504962,-61411451,-101276035,-198204000,-228033000,-238047000,-48842000,-39306000,-105604000,-124744000,-126316000,-75298000,-129258000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-105303000,- -,-114967000,- -,- -,- -,-48850000,- -,-272335000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-189233,212036,-1937431,208523,- -,- -,4999540,- -,6734000,8973000,- -,- -,- -,9000000,7066000,- -,2700000
89,Cash Used for Investing Activites,-3672841,-17752159,-40720171,-57932828,-40504962,-61411451,-96276495,-303507000,-221299000,-344041000,-48842000,-39306000,-105604000,-164594000,-119250000,-347633000,-126558000
90,Debt Repayment,- -,- -,- -,-7116016,-8092585,-36170801,-9150541,-12382000,-179360000,-25431000,-89000,-22645000,-355022000,-15073000,-14645000,-12955000,-282452000
91,Common Stock Issued,- -,47066191,- -,22675010,31688006,- -,- -,- -,3442000,90862000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-6673257,- -,- -,- -,- -,- -,- -,-440000,-388000,-1615000,-1991000,- -,-1801000,-71272000,-4009000,-11841000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2444000,-4859000,-7224000
94,Other Financing Activites,5026717,16503500,17310389,26319052,14999981,128987063,151667727,38757000,340376000,59673000,-16318000,-26500000,378990000,-80767000,-44099000,292968000,111075000
95,Cash Used/Provided by Financing Activities,5026717,56896434,17310389,41878046,38595403,92816262,142517186,26375000,164018000,124716000,-18022000,-51136000,23968000,-97641000,-132460000,271145000,-190442000
96,Effect of Forex Changes on Cash,- -,- -,532041,42288,- -,- -,- -,- -,- -,-4854000,-3973000,-1609000,670000,-999000,-266000,-1484000,-1080000
97,Net Change In Cash,2038556,31766194,-25461651,-3000976,18067241,60636430,99219960,-145330000,82813000,6567000,-44942000,-9167000,61192000,-7028000,-16547000,90727000,-101303000
98,Cash at the End of Period,2595933,34171237,3927061,-5717602,15523857,73846241,166036936,38292000,121105000,127672000,82730000,73563000,134755000,127727000,111180000,201907000,100604000
99,Cash at the Beginning of Period,557377,2405043,29388713,-2716627,-2543384,13209811,66816975,183622000,38292000,121105000,127672000,82730000,73563000,134755000,127727000,111180000,201907000
100,Free Cash Flow,-2798928,-25342276,-41366651,-45129832,-20528162,-32179832,-48296766,-66402000,-87939000,-7301000,-22947000,43578000,36554000,131462000,109113000,93401000,87519000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1464591/000095010315003447/dp55186_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000095010316012647/dp64464_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000095010317003464/dp74082_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000114420418020167/tv487929_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000114420419019340/tv515868_20f.htm,https://www.sec.gov/Archives/edgar/data/1464591/000155837020003471/0001558370-20-003471-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,
