,https://roic.ai/company/FNF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),15460000,15695000,34053000,43103000,3885000,16663000,209972000,54941000,68789000,36700000,46200000,57200000,74400000,93000000,127000000,131000000,136000000,48000000,43000000,47000000,90000000,114000000
14,Depreciation and Amortization,88033000,100225000,74163000,227937000,95718000,102105000,460750000,130092000,142759000,127600000,90400000,76300000,131800000,209000000,476000000,410000000,431000000,389000000,182000000,178000000,296000000,645000000
15,EBITDA,231622000,417873000,946401000,1672703000,981365000,985100000,1459354000,361578000,-93010000,493400000,692300000,637400000,1059400000,909000000,1498000000,1358000000,1589000000,1443000000,973000000,1595000000,2135000000,3894000000
16,EBITDA ratio,0.0907,0.1197,0.1862,0.2168,0.1666,0.1560,0.1547,0.0655,-0.0215,0.0847,0.1206,0.1317,0.1471,0.1061,0.1867,0.1487,0.1663,0.1883,0.1281,0.1883,0.1981,0.2587
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),1763481000,3489519000,- -,- -,3863018000,4086184000,4603030000,1332590000,1521931000,1718900000,391600000,1429100000,1326800000,2535000000,1436000000,1412000000,1158000000,- -,- -,- -,307000000,649000000
20,Income Before Tax,225182000,513627000,851300000,1420639000,882927000,868304000,943202000,176513000,-295393000,344900000,562400000,414800000,843400000,651000000,392000000,867000000,1072000000,864000000,750000000,1369000000,1784000000,3083000000
21,Income Before Tax Ratio,0.0881,0.1472,0.1675,0.1841,0.1499,0.1375,0.1000,0.0320,-0.0682,0.0592,0.0980,0.0857,0.1171,0.0760,0.0489,0.0949,0.1122,0.1127,0.0988,0.1616,0.1655,0.2048
22,Income Tax expense (Gain),- -,- -,306468000,539843000,323598000,327351000,350871000,46776000,-125542000,106800000,185600000,134400000,246700000,205000000,312000000,290000000,372000000,235000000,120000000,308000000,322000000,713000000
23,Net Income,128129000,301953000,531717000,861820000,558164000,538981000,437761000,129769000,-179016000,222300000,370100000,369500000,606500000,402000000,583000000,527000000,650000000,771000000,628000000,1062000000,1427000000,2422000000
24,Net Income ratio,0.0502,0.0865,0.1046,0.1117,0.0948,0.0853,0.0464,0.0235,-0.0414,0.0381,0.0645,0.0763,0.0842,0.0469,0.0727,0.0577,0.0680,0.1006,0.0827,0.1254,0.1324,0.1609
25,EPS,0.74,1.74,3.06,4.97,3.22,3.11,2.40,0.60,-0.85,0.99,1.64,1.69,2.74,1.75,2.09,1.51,1.92,2.44,2.30,3.89,5.02,8.37
26,EPS Diluted,0.74,1.74,3.06,4.97,3.22,3.11,2.39,0.59,-0.85,0.97,1.61,1.66,2.68,1.71,2.09,1.51,1.92,2.38,2.26,3.83,4.99,8.32
27,Weighted Average Shares Outstanding,173519647,173519647,173519647,173519647,173519647,173463000,182031000,216583000,209974000,224674000,226200000,219000000,221200000,230000000,278949502,347999042,338622083,271000000,273000000,273000000,284000000,283000000
28,Weighted Average Shares Outstanding Diluted,173519647,173519647,173519647,173519647,173519647,173575000,182861000,219989000,209974000,228485000,229300000,222700000,226000000,235000000,278949502,347999042,338622083,278000000,278000000,277000000,286000000,285000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1331875/000095013406005246/0000950134-06-005246-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000089256907000186/0000892569-07-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000089256908000204/0000892569-08-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000095014409001785/0000950144-09-001785-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000095012310019326/0000950123-10-019326-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000095012311017206/0000950123-11-017206-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187512000018/0001331875-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187513000012/0001331875-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187514000005/0001331875-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187515000009/0001331875-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187516000111/0001331875-16-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187517000031/0001331875-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187518000015/0001331875-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187519000010/0001331875-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187520000008/0001331875-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187521000015/0001331875-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187522000024/0001331875-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,482600000,459655000,268414000,462157000,676444000,569562000,315297000,202100000,580800000,665700000,1131900000,1969000000,700000000,780000000,1323000000,1110000000,1257000000,992000000,2449000000,3880000000
32,Short-Term Investments,- -,- -,- -,- -,508383000,645082000,848371000,427366000,788350000,348100000,128600000,50400000,3201700000,2985000000,3359000000,3592000000,2919000000,2111000000,2478000000,2966000000,28356000000,32481000000
33,Cash and Short-Term Investments,- -,- -,482600000,459655000,776797000,1107239000,1524815000,996928000,1103647000,550200000,709400000,716100000,4333600000,4954000000,4059000000,4372000000,4242000000,3221000000,3735000000,3958000000,30805000000,36361000000
34,Net Receivables,- -,- -,- -,- -,145447000,178998000,277504000,295094000,406063000,310600000,286400000,327300000,479000000,508000000,563000000,496000000,531000000,317000000,310000000,346000000,3648000000,4295000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,-72549000,-731882000,-1125875000,-722460000,-1508410000,117200000,84200000,110600000,-3603600000,-4356000000,-3205000000,-4426000000,-4430000000,-2428000000,-2788000000,-2928000000,-31734000000,-25654000000
37,Total Current Assets,- -,- -,- -,- -,849695000,554355000,676444000,569562000,1300000,978000000,1080000000,1154000000,1209000000,1106000000,1417000000,442000000,343000000,1110000000,1257000000,1376000000,2719000000,15002000000
38,PP&E,- -,- -,- -,- -,466526000,465627000,578505000,598044000,738746000,597300000,179900000,166100000,632100000,645000000,635000000,510000000,616000000,193000000,164000000,586000000,554000000,561000000
39,Goodwill,- -,- -,- -,- -,959600000,1051526000,1154298000,1339705000,1581658000,1455200000,1470700000,1452200000,1908500000,1901000000,4721000000,4760000000,5065000000,2746000000,2726000000,2727000000,4495000000,4539000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,179325000,215796000,178238000,222900000,199200000,158800000,1024700000,989000000,2096000000,1917000000,2005000000,1016000000,918000000,826000000,2668000000,2957000000
41,Intangible Assets,- -,- -,- -,- -,959600000,1051526000,1333623000,1555501000,1759896000,1678100000,1669900000,1611000000,2933200000,2890000000,6817000000,6677000000,7070000000,3762000000,3644000000,3553000000,7163000000,7496000000
42,Investments,- -,- -,- -,- -,2798270000,3279701000,3957642000,3345210000,4358234000,4581900000,4225800000,3974200000,3948400000,3629000000,4497000000,4747000000,4230000000,3261000000,3414000000,4231000000,31986000000,37631000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-3279701000,-4365335000,-3770511000,-6852121000,-1985300000,-1196600000,-1755100000,-1882800000,-1568000000,-1806000000,-3636000000,-3060000000,-2546000000,-2727000000,-3453000000,-32764000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,4224396000,1517153000,1504435000,1728244000,4755000,4872000000,4879000000,3996200000,5630900000,5596000000,10143000000,8298000000,8856000000,4670000000,4495000000,4917000000,6939000000,45688000000
46,Other Assets,- -,- -,5245951000,7263175000,9298487000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106378000000
47,Total Assets,- -,- -,5245951000,7263175000,5074091000,2071508000,2180879000,2297806000,6055000,5850000000,5959000000,5150200000,6839900000,6702000000,11560000000,8740000000,9199000000,5780000000,5752000000,6293000000,9658000000,60690000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,937687000,13890000,66424000,61700000,57300000,5600000,185600000,236000000,81000000,68000000,75000000,39000000,35000000,44000000,115000000,129000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1350849000,861900000,952000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,8873000,26900000,33600000,- -,154100000,25000000,50000000,57000000,81000000,154000000,20000000,20000000,77000000,86000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,2817000000,2356313000,3130110000,2794727000,2823400000,2498700000,3307400000,4105400000,3897000000,4967000000,5316000000,7463000000,3906000000,3800000000,4413000000,4949000000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,2817000000,3294000000,3144000000,4212000000,3747000000,3508000000,3313000000,4291000000,4133000000,5048000000,5384000000,7538000000,3945000000,3835000000,4457000000,5064000000,- -
54,Long-Term Debt,- -,- -,493458000,659186000,22390000,603262000,491167000,1167739000,- -,- -,952000000,915800000,1343900000,1323000000,2826000000,2793000000,2746000000,759000000,836000000,838000000,2662000000,3510000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,130543000,114705000,109023000,110000000,121400000,40800000,83800000,90000000,164000000,215000000,253000000,107000000,105000000,111000000,117000000,144000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,51248000,75839000,43653000,60609000,- -,- -,- -,95000000,122600000,144000000,703000000,594000000,629000000,169000000,227000000,284000000,300000000,205000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-76101000,-174363000,-175053000,1241977000,752000000,-121400000,-135600000,-206300000,-234000000,-890000000,-809000000,-2641000000,-276000000,-332000000,-395000000,- -,- -
58,Total Non-Current Liabilities,- -,- -,493458000,659186000,73638000,603000000,491000000,1168000000,1351000000,862000000,952000000,916000000,1344000000,1323000000,2803000000,2793000000,987000000,759000000,836000000,838000000,3079000000,3859000000
59,Other Liabilities,- -,- -,3353676000,4034167000,2467022000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1674000000,1693000000,40078000000,55092000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,442000000,414000000,414000000
61,Total Liabilities,- -,- -,2860218000,3374981000,2393384000,3411820000,3729147000,4258458000,5511468000,4589525000,4443100000,4206200000,5153500000,4982000000,7795000000,7343000000,7565000000,4684000000,4673000000,5312000000,42063000000,51233000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,17000,22000,22000,23000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,82771000,345516000,213103000,-188954000,-102400000,110300000,373400000,849400000,1096000000,1150000000,1374000000,1784000000,217000000,641000000,1356000000,2394000000,4369000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-42300000,-78892000,-63046000,-16630000,-91757000,35600000,12600000,-7100000,58500000,37000000,2000000,-69000000,-13000000,111000000,-13000000,43000000,1304000000,779000000
66,Other Total Stockholders Equity,- -,- -,2385733000,3888194000,2680707000,2476141000,3191876000,3047593000,3086261000,3411300000,3321100000,3289500000,3840700000,4409000000,4921000000,5283000000,5127000000,4139000000,4000000000,3966000000,4652000000,- -
67,Total Stockholders Equity,- -,- -,2253936000,3873359000,2676756000,2480037000,3474368000,3244088000,2805573000,3325900000,3427100000,3632700000,4268000000,5068000000,5994000000,5754000000,5996000000,4447000000,4630000000,5382000000,8351000000,9414000000
68,Total Liabilities And Stockholders Equity,- -,- -,5114154000,7248340000,5070140000,5891857000,7203515000,7502546000,8317041000,7915425000,7870200000,7838900000,9421500000,10050000000,13789000000,13097000000,13561000000,9131000000,9303000000,10694000000,50414000000,60647000000
69,Minority Interest,- -,- -,131797000,14835000,3951000,-3820349000,-5022636000,-5204740000,-8310986000,-2065425000,-1911200000,-2688700000,-2581600000,-3348000000,-2229000000,-4357000000,-4362000000,-3351000000,-3551000000,-4401000000,-40756000000,43000000
70,Total Liabilities & Equity,- -,- -,5245951000,7263175000,5074091000,2071508000,2180879000,2297806000,6055000,5850000000,5959000000,5150200000,6839900000,6702000000,11560000000,8740000000,9199000000,5780000000,5752000000,6293000000,9658000000,60690000000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1331875/000095013406005246/0000950134-06-005246-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000089256907000186/0000892569-07-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000089256908000204/0000892569-08-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000095014409001785/0000950144-09-001785-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000095012310019326/0000950123-10-019326-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000095012311017206/0000950123-11-017206-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187512000018/0001331875-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187513000012/0001331875-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187514000005/0001331875-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187515000009/0001331875-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187516000111/0001331875-16-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187517000031/0001331875-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187518000015/0001331875-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187519000010/0001331875-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187520000008/0001331875-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187521000015/0001331875-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187522000024/0001331875-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,558164000,538981000,437761000,129769000,-179016000,222300000,370100000,369500000,606500000,402000000,583000000,527000000,650000000,771000000,628000000,1062000000,1427000000,2422000000
74,Depreciation and Amortization,- -,- -,- -,- -,95718000,102105000,460750000,130092000,142759000,127600000,90400000,76300000,131800000,209000000,476000000,410000000,431000000,389000000,182000000,178000000,296000000,645000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6300000,-31000000,-17000000,-16000000,-21000000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,32669000,33700000,25100000,26600000,27500000,35000000,51000000,56000000,58000000,44000000,31000000,38000000,39000000,43000000
77,Change in Working Capital,- -,- -,- -,- -,3358000,-2262645000,-354911000,43118000,-1636262000,1441700000,341000000,269000000,-923000000,55000000,-604000000,-1311000000,-2253000000,4360000000,257000000,-503000000,736000000,1889000000
78,Accounts Receivable,- -,- -,- -,- -,- -,-33575000,-140194000,36031000,- -,- -,-28200000,15400000,-14500000,- -,-22000000,7000000,-14000000,-11000000,15000000,-36000000,-83000000,-116000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-61737000,-58905000,84171000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-2262645000,-2617556000,-2574438000,-4210700000,-2769000000,-2428000000,-2159000000,-3082000000,-3027000000,-3631000000,-4942000000,-7195000000,-2835000000,-2578000000,-3081000000,-2345000000,261000000
82,Other Non-Cash Items,- -,- -,- -,- -,-11442000,2319030000,177548000,38952000,1644437000,-1445000000,-644100000,-610200000,808200000,-200000000,77000000,1256000000,2276000000,-4827000000,-155000000,346000000,-920000000,-909000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,645798000,697471000,721148000,341931000,4587000,380300000,182500000,124900000,620000000,484000000,567000000,917000000,1162000000,737000000,943000000,1121000000,1578000000,4090000000
84,CAPEX,- -,- -,- -,- -,-77584000,-100196000,-344755000,-124640000,-107278000,-59800000,-53900000,-35900000,-79200000,-145000000,-210000000,-241000000,-290000000,-149000000,-83000000,-96000000,-110000000,-131000000
85,Acquisitions Net,- -,- -,- -,- -,-115712000,-137242000,-172955000,-245825000,-89368000,4900000,183200000,31700000,-80900000,-45000000,-2362000000,-152000000,-723000000,-235000000,-59000000,-35000000,-1245000000,-1846000000
86,Purchases of Investments,- -,- -,- -,- -,-3249735000,-2908127000,-2964994000,-5169830000,-757254000,-1928700000,-1426200000,-1335000000,-1166500000,-979000000,-1428000000,-1694000000,-598000000,-893000000,-1498000000,-1262000000,-4814000000,-16014000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,3061920000,2670634000,3284273000,5520407000,928795000,1561200000,1628100000,1365800000,1012000000,1087000000,1236000000,1158000000,1219000000,1081000000,1193000000,831000000,3592000000,10062000000
88,Other Investing Activites,- -,- -,- -,- -,12993000,51945000,-98162000,-525064000,-22916000,44800000,-8000000,116100000,-74600000,-123000000,-166000000,117000000,-152000000,-48000000,10000000,-54000000,136000000,480000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-367703000,-414928000,-115718000,-515617000,-24926000,-368600000,332700000,149500000,-310000000,-60000000,-2720000000,-571000000,-254000000,-95000000,-354000000,-520000000,-2331000000,-7449000000
90,Debt Repayment,- -,- -,- -,- -,-33367000,-222268000,-874113000,-30335000,-263491000,-398400000,-510100000,-515900000,-558400000,-359000000,-1073000000,-1359000000,-200000000,-996000000,-370000000,- -,-1000000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,50648000,8409000,- -,331400000,- -,- -,- -,511000000,- -,475000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-187245000,-45998000,-74900000,-117600000,-86200000,-37600000,-34000000,-2000000,-498000000,-276000000,-70000000,-20000000,-86000000,-236000000,-463000000
93,Dividends Paid,- -,- -,- -,- -,-438000000,-841154000,-195910000,-262182000,-226611000,-139000000,-156600000,-105100000,-128700000,-153000000,-203000000,-237000000,-239000000,-278000000,-328000000,-344000000,-389000000,-446000000
94,Other Financing Activites,- -,- -,- -,- -,101771000,935113000,583246000,573131000,386071000,168800000,598400000,502600000,776300000,375000000,2365000000,1381000000,127000000,345000000,276000000,-52000000,3721000000,5909000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-369596000,-128309000,-436129000,101778000,-150029000,-112100000,-185900000,-204600000,51600000,340000000,1087000000,-238000000,-588000000,-999000000,-442000000,-482000000,2096000000,5000000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-91501000,154234000,169301000,-71908000,-170368000,-100400000,329300000,69800000,361600000,764000000,-1066000000,108000000,320000000,-357000000,147000000,119000000,1343000000,1641000000
98,Cash at the End of Period,- -,- -,- -,- -,73214000,227448000,447986000,376078000,205710000,105300000,434600000,504400000,866000000,1630000000,564000000,672000000,992000000,635000000,1257000000,1376000000,2719000000,4360000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,164715000,73214000,278685000,447986000,376078000,205700000,105300000,434600000,504400000,866000000,1630000000,564000000,672000000,992000000,1110000000,1257000000,1376000000,2719000000
100,Free Cash Flow,- -,- -,- -,- -,568214000,597275000,376393000,217291000,-102691000,320500000,128600000,89000000,540800000,339000000,357000000,676000000,872000000,588000000,860000000,1025000000,1468000000,3959000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1331875/000095013406005246/0000950134-06-005246-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000089256907000186/0000892569-07-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000089256908000204/0000892569-08-000204-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000095014409001785/0000950144-09-001785-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000095012310019326/0000950123-10-019326-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000095012311017206/0000950123-11-017206-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187512000018/0001331875-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187513000012/0001331875-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187514000005/0001331875-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187515000009/0001331875-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187516000111/0001331875-16-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187517000031/0001331875-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187518000015/0001331875-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187519000010/0001331875-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187520000008/0001331875-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187521000015/0001331875-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1331875/000133187522000024/0001331875-22-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
