,https://roic.ai/company/LBRDK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,20.36,0.49,-1.40,-1.52,-0.49,6.00,11.10,0.38,0.64,2.17,3.76
27,Weighted Average Shares Outstanding,29834548,89531713,29834548,88143000,102504000,152103000,181772000,181325000,181531000,181325000,194433000
28,Weighted Average Shares Outstanding Diluted,29834548,89531713,29834548,88773000,102998000,152852000,183146000,182589000,182784000,182589000,194433000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1611983/000155837015000333/0001558370-15-000333-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837016003202/0001558370-16-003202-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837017000665/0001558370-17-000665-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837018000569/0001558370-18-000569-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837019000515/0001558370-19-000515-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837020000441/0001558370-20-000441-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837021002026/0001558370-21-002026-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837022002157/0001558370-22-002157-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10031000,9251000,44809000,655079000,205728000,81257000,83103000,49724000,1417802000,191000000
32,Short-Term Investments,- -,- -,- -,9001000,9014000,- -,- -,- -,- -,16178939000,- -
33,Cash and Short-Term Investments,- -,10031000,9251000,53810000,664093000,205728000,81257000,83103000,49724000,17596741000,191000000
34,Net Receivables,- -,22062000,19583000,617000,2462000,878000,- -,- -,- -,349256000,206000000
35,Inventory,- -,5940000,441000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,15612000,125519000,26003000,11692000,51813000,2797000,1471000,2409000,-16099486000,62000000
37,Total Current Assets,- -,53645000,154794000,80430000,678247000,258419000,84054000,84574000,52133000,1846511000,459000000
38,PP&E,- -,6821000,4660000,3590000,1248000,710000,- -,- -,- -,1098512000,1031000000
39,Goodwill,- -,20669000,20669000,27166000,6497000,6497000,- -,- -,- -,745577000,762000000
40,Intangible Assets,- -,1562000,429000,12915000,11887000,8596000,12073000,- -,- -,1255549000,1160000000
41,Intangible Assets,- -,22231000,21098000,40081000,18384000,15093000,12073000,- -,- -,2001126000,1922000000
42,Investments,- -,- -,2402024000,2498804000,2372699000,9315253000,11835613000,12004376000,12194674000,16178939000,13260000000
43,Tax Assets,- -,- -,- -,19540000,55368000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,232937000,326803000,361487000,439795000,1485000,49000,9487000,9535000,246036000,296000000
45,Total Non-Current Assets,- -,261989000,2754585000,2923502000,2887494000,9332541000,11847735000,12013863000,12204209000,19524613000,16509000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,315634000,2909379000,3003932000,3565741000,9590960000,11931789000,12098437000,12256342000,21371124000,16968000000
48,Accounts Payable,- -,4283000,9335000,15953000,10493000,7931000,5381000,3504000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,400000000,- -,- -,- -,31026000,28000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,5205000,3260000,5947000,2629000,2171000,5168000,4691000,5971000,24926000,25000000
52,Other Current Liabilities,- -,30537000,57512000,77696000,2254000,2014000,- -,- -,6168000,555810000,529000000
53,Total Current Liabilities,- -,40025000,70107000,99596000,15376000,412116000,10549000,8195000,12139000,611762000,582000000
54,Long-Term Debt,- -,- -,- -,372000000,399703000,198512000,497370000,522928000,572944000,4785207000,3822000000
55,Deferred Revenue,- -,36132000,35740000,37567000,2443000,2596000,- -,- -,- -,39649000,35000000
56,Deferred Tax Liabilities,- -,43014000,24338000,- -,- -,504644000,932593000,965829000,999757000,1977643000,1998000000
57,Other Non-Current Liabilities,- -,4000,- -,- -,- -,- -,4376000,2867000,3556000,442444000,392000000
58,Total Non-Current Liabilities,- -,79150000,60078000,409567000,402146000,705752000,1434339000,1491624000,1576257000,7244943000,6247000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,92840000,89000000
61,Total Liabilities,- -,119175000,130185000,509163000,417522000,1117868000,1444888000,1499819000,1588396000,7856705000,6829000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,858000,1033000,1817000,1813000,1814000,1819000,1965000,1000000
64,Retained Earnings,- -,-173047000,-214775000,-349380000,-399567000,517736000,2568764000,2650669000,2767885000,3165504000,3898000000
65,Other Comprehensive Income/Loss,- -,2040000,7890000,7918000,8905000,7656000,8424000,7778000,8158000,15436000,14000000
66,Other Total Stockholders Equity,- -,403953000,3029661000,2835373000,3537848000,7945883000,7907900000,7938357000,7890084000,10319754000,- -
67,Total Stockholders Equity,- -,196459000,2779194000,2494769000,3148219000,8473092000,10486901000,10598618000,10667946000,13502659000,10127000000
68,Total Liabilities And Stockholders Equity,- -,315634000,2909379000,3003932000,3565741000,9590960000,11931789000,12098437000,12256342000,21359364000,16956000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,11760000,12000000
70,Total Liabilities & Equity,- -,315634000,2909379000,3003932000,3565741000,9590960000,11931789000,12098437000,12256342000,21371124000,16968000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1611983/000155837015000333/0001558370-15-000333-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837016003202/0001558370-16-003202-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837017000665/0001558370-17-000665-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837018000569/0001558370-18-000569-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837019000515/0001558370-19-000515-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837020000441/0001558370-20-000441-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837021002026/0001558370-21-002026-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837022002157/0001558370-22-002157-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,607374000,44196000,-41728000,-134605000,-50187000,917303000,2033667000,69953000,117216000,397619000,732000000
74,Depreciation and Amortization,6181000,5839000,4382000,9043000,6088000,4005000,3770000,2779000,1875000,15227000,267000000
75,Deferred Income Tax,13899000,19837000,-30924000,-66703000,-24964000,560778000,416838000,21569000,37940000,-36456000,-15000000
76,Stock Based Compensation,2848000,-2383000,996000,999000,6380000,5713000,5292000,5707000,10511000,9134000,41000000
77,Change in Working Capital,-7246000,13620000,71067000,-103853000,682037000,-816568000,227202000,2874000,-36385000,1194755000,152000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,13620000,84687000,-19166000,662871000,-153697000,73505000,76379000,39994000,1234749000,- -
82,Other Non-Cash Items,-615780000,-74671000,1682000,297847000,-585282000,-683129000,-2716800000,-129142000,-168720000,-1676021000,-1174000000
83,Cash Provided by Operating Activities,7276000,6438000,5475000,2728000,34072000,-11898000,-30031000,-26260000,-37563000,-95742000,3000000
84,CAPEX,-3170000,-1893000,-1127000,-1398000,-731000,-267000,-70000,-41000,-500000,-1818000,-134000000
85,Acquisitions Net,- -,- -,-2565150000,-223945000,- -,-5000000000,- -,- -,- -,577330000,4179000000
86,Purchases of Investments,- -,- -,-59612000,-9001000,-18032000,-155444000,- -,- -,- -,-14910000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,18019000,164458000,- -,- -,- -,- -,- -
88,Other Investing Activites,-3180000,-21999000,-106000,22960000,-2466000,186000,-56000,-41000,-500000,14910000,-117000000
89,Cash Used for Investing Activites,-3180000,-21999000,-2624868000,-209986000,-2479000,-4990800000,-56000,-41000,-500000,575512000,4062000000
90,Debt Repayment,- -,- -,- -,- -,-40000000,- -,-600000000,-133000000,- -,-1301419000,-2476000000
91,Common Stock Issued,- -,- -,- -,- -,- -,4400000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-596679000,-4272000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-4883000,-5298000,2618613000,242816000,618677000,153347000,505616000,161147000,4684000,2801896000,1456000000
95,Cash Used/Provided by Financing Activities,-4883000,-5298000,2618613000,242816000,578677000,4553347000,-94384000,28147000,4684000,903798000,-5292000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-787000,-20859000,-780000,35558000,610270000,-449351000,-124471000,1846000,-33379000,1383568000,-1227000000
98,Cash at the End of Period,30890000,10031000,9251000,44809000,655079000,205728000,81257000,83103000,49724000,1433292000,206000000
99,Cash at the Beginning of Period,31677000,30890000,10031000,9251000,44809000,655079000,205728000,81257000,83103000,49724000,1433000000
100,Free Cash Flow,4106000,4545000,4348000,1330000,33341000,-12165000,-30101000,-26301000,-38063000,-97560000,-131000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1611983/000155837015000333/0001558370-15-000333-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837016003202/0001558370-16-003202-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837017000665/0001558370-17-000665-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837018000569/0001558370-18-000569-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837019000515/0001558370-19-000515-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837020000441/0001558370-20-000441-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837021002026/0001558370-21-002026-index.htm,https://www.sec.gov/Archives/edgar/data/1611983/000155837022002157/0001558370-22-002157-index.htm
102,false,,,,,,,,,,,
