,https://roic.ai/company/BRBR,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1772016/000177201619000038/0001772016-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1772016/000177201620000070/0001772016-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1772016/000177201621000118/0001772016-21-000118-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,19900000,35200000,96100000,123100000,23500000,27600000
74,Depreciation and Amortization,25000000,25300000,25900000,25300000,25300000,53700000
75,Deferred Income Tax,2300000,-1300000,-8600000,500000,-3300000,-1500000
76,Stock Based Compensation,- -,- -,- -,- -,2500000,4600000
77,Change in Working Capital,-15000000,- -,-19800000,57400000,10300000,50300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,-7200000,2300000,24100000,-77200000,-11500000,32400000
80,Accounts Payable,13100000,-600000,17400000,-1900000,-12100000,42100000
81,Other Working Capital,89200000,89200000,69400000,126800000,137100000,- -
82,Other Non-Cash Items,8600000,21200000,47600000,-108000000,38900000,91400000
83,Cash Provided by Operating Activities,40800000,80400000,141200000,98300000,97200000,226100000
84,CAPEX,-4400000,-3900000,-5000000,-3200000,-2100000,-1600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1800000,6000000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2600000,2100000,-5000000,-3200000,-2100000,-1600000
90,Debt Repayment,- -,- -,- -,- -,-1416300000,-113800000
91,Common Stock Issued,- -,- -,- -,- -,524400000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-32100000,-24600000
94,Other Financing Activites,-34800000,-84000000,-133000000,-100200000,871400000,17500000
95,Cash Used/Provided by Financing Activities,-34800000,-84000000,-133000000,-100200000,-52600000,-120900000
96,Effect of Forex Changes on Cash,-100000,400000,-100000,-300000,700000,300000
97,Net Change In Cash,3300000,-1100000,3100000,-5400000,43200000,103900000
98,Cash at the End of Period,8900000,7800000,10900000,5500000,48700000,152600000
99,Cash at the Beginning of Period,5600000,8900000,7800000,10900000,5500000,48700000
100,Free Cash Flow,36400000,76500000,136200000,95100000,95100000,224500000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1772016/000177201619000038/0001772016-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1772016/000177201620000070/0001772016-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1772016/000177201621000118/0001772016-21-000118-index.htm
102,false,,,,,,
