,https://roic.ai/company/ENRT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,-Infinity,-7.3703,-1.8830,-3.3996,-40.6154,-38.6073,-Infinity,-Infinity,-Infinity,-143.9147,-32.5343,-Infinity,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-2,-4073,425797,-3236107,626508,-231977,-395459,-2286731,92839,-59772,-76501,-45168,-39430,182766,-26002
20,Income Before Tax,- -,- -,- -,- -,- -,-3717846,-165405,-1009735,-730904,-4641005,-1149433,-525501,-801166,-650055,-422341,34132,-389368
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-313.4513,-8.0638,-Infinity,-Infinity,-Infinity,-133.1595,-36.7098,-Infinity,-Infinity,-Infinity,Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-762705,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-167683,-200091,-607397,-372535,84233,-2955141,-165405,-1009735,-730904,-4641005,-1149433,-525501,-801166,-650055,-422341,34132,-389368
24,Net Income ratio,-Infinity,-Infinity,-7.3887,-1.9157,0.8647,-249.1477,-8.0638,-Infinity,-Infinity,-Infinity,-133.1595,-36.7098,-Infinity,-Infinity,-Infinity,Infinity,-Infinity
25,EPS,-0.04,-0.02,-0.08,-0.02,0.01,-0.20,-0.01,-0.04,-0.02,-0.07,-0.01,-0.01,-0.01,-0.01,-0.00,0.00,-0.00
26,EPS Diluted,-0.04,-0.02,-0.08,-0.02,0.01,-0.20,-0.01,-0.04,-0.02,-0.07,-0.01,-0.01,-0.01,-0.01,-0.00,0.00,-0.00
27,Weighted Average Shares Outstanding,5250382,669541,6882261,12935923,14652740,15086412,19893489,25688882,29897481,65894839,77119448,81096334,97249025,109821751,124205582,128313230,134809673
28,Weighted Average Shares Outstanding Diluted,5250382,669541,6882261,12935923,14652740,15086412,19893489,25688882,29897481,65894839,77119448,81096334,97249025,109821751,124205582,128313230,134809673
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1346022/000113717108001078/0001137171-08-001078-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000120445909002255/0001204459-09-002255-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000120445910002959/0001204459-10-002959-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000120445911003185/0001204459-11-003185-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299312005192/0001062993-12-005192-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299313006201/0001062993-13-006201-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299314006973/0001062993-14-006973-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299315006430/0001062993-15-006430-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299316012496/0001062993-16-012496-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299317004925/0001062993-17-004925-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299318004777/0001062993-18-004777-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299319004611/0001062993-19-004611-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299320005369/0001062993-20-005369-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299321010561/0001062993-21-010561-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,338930,153329,301579,124394,282948,34507,263152,13692,1341,888122,84157,31034,150870,176409,9758,45528,354286
32,Short-Term Investments,- -,- -,- -,- -,- -,343074,375910,7500,3750,323750,181950,18780,- -,- -,- -,24354,14994
33,Cash and Short-Term Investments,338930,153329,301579,124394,282948,377581,639062,21192,5091,1211872,266107,49814,150870,176409,9758,69882,369280
34,Net Receivables,- -,- -,14860,21378,9608,16903,37243,56724,10268,42264,23653,11012,9060,7504,6225,1508,4552
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38335,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1087,12589,- -,- -,2777,104191,44265,10731,39110,234091,15832,83286,18782,87777,30262,14824,41263
37,Total Current Assets,340017,165918,316439,145772,295333,498675,720570,88647,54469,1488227,343927,144112,178712,271690,46245,86214,415095
38,PP&E,1,1,203658,3651157,3621617,- -,162045,291843,- -,- -,- -,83750,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4725,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4725,- -
42,Investments,- -,- -,- -,- -,35821,220986,261431,100697,- -,1,22183,2,1,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,40927,- -,- -,29038,- -,- -,774271,- -,12500,12500,- -,- -,- -,- -
45,Total Non-Current Assets,1,1,203658,3692084,3657438,220986,452514,392540,- -,774272,22183,96252,12501,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,340018,165919,520097,3837856,3952771,719661,1173084,481187,54469,2262499,366110,240364,191213,271690,46245,86214,415095
48,Accounts Payable,4421,43793,12688,7775,- -,27035,14881,126770,354928,234993,208749,236242,287706,278036,283430,290336,309277
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,50045,47380,- -,- -,- -,- -,- -,15479,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,22680,9300,210246,131253,129520,122909,73808,187808,123610,344833,76288,140257,141035,171234,203221,188834,111659
53,Total Current Liabilities,27101,53093,222934,139028,129520,149944,88689,364623,525918,579826,325037,376499,428741,449270,502130,479170,420936
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,762704,762704,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,139844,300792,9789,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,762704,762704,139844,300792,9789,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,27101,53093,222934,901732,892224,289788,389481,374412,525918,579826,325037,376499,428741,449270,502130,479170,420936
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,13160,13410,15495,29305,14653,15710,24644,27828,30314,90870,71508,89528,102299,119741,127473,128473,139213
64,Retained Earnings,-167683,-367774,-975171,-1347706,-1263473,-4218614,-4384019,-5393754,-6124658,-12478808,-11915096,-12440597,-13241763,-13891818,-14314159,-14280027,-14669395
65,Other Comprehensive Income/Loss,250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,467190,467190,1256839,4254525,4309367,4632777,5142978,5472701,5622895,14070611,11884661,12214934,12901936,13594497,13730801,13758598,- -
67,Total Stockholders Equity,312917,112826,297163,2936124,3060547,429873,783603,106775,-471449,1682673,41073,-136135,-237528,-177580,-455885,-392956,-5841
68,Total Liabilities And Stockholders Equity,340018,165919,520097,3837856,3952771,719661,1173084,481187,54469,2262499,366110,240364,191213,271690,46245,86214,415095
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,340018,165919,520097,3837856,3952771,719661,1173084,481187,54469,2262499,366110,240364,191213,271690,46245,86214,415095
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1346022/000113717108001078/0001137171-08-001078-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000120445909002255/0001204459-09-002255-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000120445910002959/0001204459-10-002959-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000120445911003185/0001204459-11-003185-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299312005192/0001062993-12-005192-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299313006201/0001062993-13-006201-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299314006973/0001062993-14-006973-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299315006430/0001062993-15-006430-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299316012496/0001062993-16-012496-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299317004925/0001062993-17-004925-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299318004777/0001062993-18-004777-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299319004611/0001062993-19-004611-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299320005369/0001062993-20-005369-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299321010561/0001062993-21-010561-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-167683,-200091,-607397,-372535,84233,-2955141,-165405,-1009735,-730904,-4641005,-1149433,-525501,-801166,-650055,-422341,34132,-389368
74,Depreciation and Amortization,- -,- -,76092,141596,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-762704,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,35780,78858,281638,66953,- -,773441,177596,37107,227428,89596,- -,17308,297691
77,Change in Working Capital,26014,-200091,-19320,-86761,159069,182918,283150,-907857,-195473,1379850,-889511,-251277,-17642,72449,-278305,62929,-87717
78,Accounts Receivable,- -,- -,- -,- -,11770,-7295,-20340,-22439,46456,-9805,-2855,12641,1952,1556,1279,4717,-3044
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38336,7489,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9670,5394,6696,18941
81,Other Working Capital,312916,112825,93505,6744,165813,348731,631881,-275976,-471449,908401,18890,-232387,-250029,-177580,-455885,-392956,- -
82,Other Non-Cash Items,37500,214581,320498,164230,-441860,3182734,-936755,1358735,853626,286535,956146,355345,221108,-106858,374658,-241478,-228808
83,Cash Provided by Operating Activities,-104169,-185601,-230127,-153470,-162778,-273335,-537372,-491904,-72751,-2201179,-905202,-384326,-370272,-594868,-325988,-127109,-408202
84,CAPEX,-1,- -,-17993,-179743,-100213,-47231,-87045,-104798,-40000,- -,- -,-19000,-5000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-61500,-42000,- -,- -,-6271,- -,- -,- -,- -,- -,-21153,-17705
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,56241,- -,10005,3000,117601,31096,- -,- -,- -,74873
88,Other Investing Activites,- -,- -,- -,156028,421545,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,200000,250000
89,Cash Used for Investing Activites,-1,- -,-17993,-23715,321332,-108731,-29045,-48557,-40000,3734,3000,98601,26096,- -,- -,178847,307168
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15968,- -
91,Common Stock Issued,443100,- -,396370,- -,- -,83625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,50000,795063,291001,100400,3084226,98237,232602,464011,620407,159337,- -,409792
95,Cash Used/Provided by Financing Activities,443100,- -,396370,- -,- -,133625,795063,291001,100400,3084226,98237,232602,464011,620407,159337,-15968,409792
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-185601,148250,-177185,158554,-248441,228646,-249460,-12351,886781,-803965,-53123,119836,25539,-166651,35770,308758
98,Cash at the End of Period,338930,153329,301579,124394,282948,34507,263152,13692,1341,888122,84157,31034,150870,176409,9758,45528,354286
99,Cash at the Beginning of Period,- -,338930,153329,301579,124394,282948,34506,263152,13692,1341,888122,84157,31034,150870,176409,9758,45528
100,Free Cash Flow,-104170,-185601,-248120,-333213,-262991,-320566,-624417,-596702,-112751,-2201179,-905202,-403326,-375272,-594868,-325988,-127109,-408202
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1346022/000113717108001078/0001137171-08-001078-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000120445909002255/0001204459-09-002255-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000120445910002959/0001204459-10-002959-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000120445911003185/0001204459-11-003185-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299312005192/0001062993-12-005192-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299313006201/0001062993-13-006201-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299314006973/0001062993-14-006973-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299315006430/0001062993-15-006430-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299316012496/0001062993-16-012496-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299317004925/0001062993-17-004925-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299318004777/0001062993-18-004777-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299319004611/0001062993-19-004611-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299320005369/0001062993-20-005369-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299321010561/0001062993-21-010561-index.htm
102,false,,,,,,,,,,,,,,,,,
