,https://roic.ai/company/H,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468174/000119312511038921/0001193125-11-038921-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000119312512065060/0001193125-12-065060-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000119312513055303/0001193125-13-055303-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817414000011/h10-k123113.htm,https://www.sec.gov/Archives/edgar/data/1468174/000146817415000025/h10-k123114.htm,https://www.sec.gov/Archives/edgar/data/1468174/000146817416000152/0001468174-16-000152-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817417000010/0001468174-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817418000014/0001468174-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817419000009/0001468174-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817420000015/0001468174-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817421000011/0001468174-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1468174/000146817422000016/0001468174-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,409000000,428000000,1327000000,1110000000,534000000,413000000,454000000,685000000,457000000,482000000,503000000,570000000,893000000,1207000000,960000000
32,Short-Term Investments,- -,- -,- -,524000000,588000000,514000000,30000000,130000000,46000000,56000000,49000000,116000000,68000000,675000000,227000000
33,Cash and Short-Term Investments,409000000,428000000,1327000000,1634000000,1122000000,927000000,484000000,815000000,503000000,538000000,552000000,686000000,961000000,1882000000,1187000000
34,Net Receivables,391000000,353000000,410000000,272000000,225000000,531000000,273000000,274000000,298000000,304000000,350000000,427000000,421000000,316000000,633000000
35,Inventory,150000000,170000000,133000000,100000000,87000000,80000000,77000000,17000000,12000000,28000000,14000000,14000000,12000000,9000000,10000000
36,Other Current Assets,115000000,106000000,119000000,159000000,157000000,220000000,329000000,603000000,311000000,269000000,411000000,218000000,312000000,356000000,232000000
37,Total Current Assets,1065000000,1057000000,1989000000,2165000000,1591000000,1758000000,1163000000,1709000000,1124000000,1139000000,1327000000,1345000000,1706000000,2563000000,2062000000
38,PP&E,3495000000,3616000000,3605000000,3453000000,4043000000,4139000000,4671000000,4186000000,4031000000,4270000000,4034000000,3608000000,3949000000,3600000000,3294000000
39,Goodwill,203000000,120000000,113000000,102000000,102000000,133000000,147000000,133000000,129000000,125000000,150000000,283000000,326000000,288000000,2965000000
40,Intangible Assets,359000000,256000000,284000000,280000000,359000000,388000000,591000000,552000000,547000000,599000000,683000000,628000000,437000000,385000000,1977000000
41,Intangible Assets,562000000,376000000,397000000,382000000,461000000,521000000,738000000,685000000,676000000,724000000,833000000,911000000,763000000,673000000,4942000000
42,Investments,324000000,204000000,223000000,245000000,280000000,293000000,329000000,334000000,327000000,186000000,211000000,735000000,843000000,980000000,954000000
43,Tax Assets,151000000,126000000,74000000,62000000,197000000,183000000,198000000,196000000,301000000,313000000,242000000,180000000,144000000,207000000,14000000
44,Other Non-Current Assets,651000000,740000000,867000000,936000000,935000000,746000000,1078000000,1033000000,1137000000,1117000000,1025000000,864000000,1012000000,1106000000,1337000000
45,Total Non-Current Assets,5183000000,5062000000,5166000000,5078000000,5916000000,5882000000,7014000000,6434000000,6472000000,6610000000,6345000000,6298000000,6711000000,6566000000,10541000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6248000000,6119000000,7155000000,7243000000,7507000000,7640000000,8177000000,8143000000,7596000000,7749000000,7672000000,7643000000,8417000000,9129000000,12603000000
48,Accounts Payable,303000000,318000000,196000000,145000000,144000000,138000000,133000000,130000000,141000000,162000000,175000000,151000000,150000000,102000000,523000000
49,Short-Term Debt,- -,- -,- -,57000000,4000000,4000000,194000000,9000000,328000000,119000000,11000000,11000000,11000000,260000000,45000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388000000,445000000,282000000,1178000000
52,Other Current Liabilities,394000000,335000000,299000000,394000000,420000000,476000000,544000000,591000000,638000000,643000000,780000000,511000000,480000000,340000000,486000000
53,Total Current Liabilities,697000000,653000000,495000000,596000000,568000000,618000000,871000000,730000000,1107000000,924000000,966000000,1061000000,1086000000,984000000,2232000000
54,Long-Term Debt,794000000,665000000,1620000000,1516000000,1221000000,1229000000,1289000000,1381000000,1047000000,1445000000,1440000000,1623000000,1612000000,2984000000,4317000000
55,Deferred Revenue,- -,- -,- -,- -,- -,93000000,192000000,383000000,367000000,363000000,523000000,442000000,475000000,659000000,1349000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,80000000,74000000,66000000,59000000,57000000,62000000,54000000,47000000,48000000,93000000
57,Other Non-Current Liabilities,1288000000,1209000000,- -,- -,890000000,789000000,974000000,952000000,1021000000,1052000000,1150000000,786000000,1230000000,1240000000,1046000000
58,Total Non-Current Liabilities,2082000000,1874000000,1620000000,1516000000,2111000000,2191000000,2529000000,2782000000,2494000000,2917000000,3175000000,2905000000,3364000000,4931000000,6805000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,425000000,406000000,384000000
61,Total Liabilities,2779000000,2527000000,2115000000,2112000000,2679000000,2809000000,3400000000,3512000000,3601000000,3841000000,4141000000,3966000000,4450000000,5915000000,9037000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,1213000000,1381000000,1338000000,1404000000,1517000000,1605000000,1821000000,2165000000,2289000000,2493000000,2742000000,3819000000,4170000000,3389000000,3167000000
65,Other Comprehensive Income/Loss,-1716000000,-1796000000,-1922000000,-38000000,-80000000,-67000000,-68000000,-160000000,-230000000,-277000000,-185000000,-200000000,-209000000,-192000000,-245000000
66,Other Total Stockholders Equity,3936000000,3978000000,5598000000,3750000000,3379000000,3281000000,3014000000,2620000000,1931000000,1686000000,967000000,50000000,- -,13000000,640000000
67,Total Stockholders Equity,3434000000,3564000000,5016000000,5118000000,4818000000,4821000000,4769000000,4627000000,3991000000,3903000000,3525000000,3670000000,3962000000,3211000000,3563000000
68,Total Liabilities And Stockholders Equity,6213000000,6091000000,7131000000,7230000000,7497000000,7630000000,8169000000,8139000000,7592000000,7744000000,7666000000,7636000000,8412000000,9126000000,12600000000
69,Minority Interest,35000000,28000000,24000000,13000000,10000000,10000000,8000000,4000000,4000000,5000000,6000000,7000000,5000000,3000000,3000000
70,Total Liabilities & Equity,6248000000,6119000000,7155000000,7243000000,7507000000,7640000000,8177000000,8143000000,7596000000,7749000000,7672000000,7643000000,8417000000,9129000000,12603000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468174/000119312511038921/0001193125-11-038921-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000119312512065060/0001193125-12-065060-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000119312513055303/0001193125-13-055303-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817414000011/h10-k123113.htm,https://www.sec.gov/Archives/edgar/data/1468174/000146817415000025/h10-k123114.htm,https://www.sec.gov/Archives/edgar/data/1468174/000146817416000152/0001468174-16-000152-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817417000010/0001468174-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817418000014/0001468174-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817419000009/0001468174-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817420000015/0001468174-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817421000011/0001468174-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1468174/000146817422000016/0001468174-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,271000000,170000000,-43000000,66000000,113000000,88000000,207000000,344000000,124000000,204000000,249000000,769000000,766000000,-703000000,-222000000
74,Depreciation and Amortization,214000000,249000000,270000000,279000000,305000000,353000000,345000000,354000000,320000000,342000000,366000000,327000000,364000000,341000000,337000000
75,Deferred Income Tax,-100000000,5000000,73000000,-8000000,-137000000,65000000,-7000000,-28000000,-103000000,-3000000,47000000,-33000000,28000000,-59000000,200000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,52000000,26000000,26000000,32000000,28000000,35000000,28000000,59000000
77,Change in Working Capital,47000000,36000000,1090000000,75000000,-546000000,117000000,-848000000,687000000,-962000000,198000000,146000000,-77000000,336000000,959000000,388000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000000,- -
79,Inventory,14000000,-21000000,-10000000,4000000,7000000,8000000,3000000,8000000,1000000,2000000,12000000,- -,1000000,- -,- -
80,Accounts Payable,-19000000,-10000000,-19000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000000
81,Other Working Capital,368000000,404000000,1494000000,1569000000,1023000000,1140000000,292000000,979000000,17000000,215000000,361000000,284000000,620000000,1579000000,235000000
82,Other Non-Cash Items,-46000000,-169000000,-1114000000,38000000,658000000,-124000000,759000000,-936000000,1133000000,-278000000,-220000000,-673000000,-1133000000,-1177000000,-447000000
83,Cash Provided by Operating Activities,386000000,291000000,276000000,450000000,393000000,499000000,456000000,473000000,538000000,489000000,620000000,341000000,396000000,-611000000,315000000
84,CAPEX,-617000000,-286000000,-325000000,-520000000,-331000000,-301000000,-232000000,-253000000,-269000000,-211000000,-298000000,-297000000,-369000000,-122000000,-111000000
85,Acquisitions Net,- -,- -,- -,- -,-716000000,-233000000,-814000000,-548000000,-3000000,-492000000,-259000000,-678000000,-18000000,- -,-2847000000
86,Purchases of Investments,-55000000,-368000000,-139000000,-1825000000,-547000000,-460000000,-729000000,-535000000,-567000000,-571000000,-558000000,-665000000,-350000000,-1143000000,-793000000
87,Sales/Maturities of Investments,135000000,236000000,38000000,1343000000,435000000,519000000,827000000,377000000,543000000,589000000,905000000,624000000,349000000,542000000,1240000000
88,Other Investing Activites,148000000,134000000,-217000000,29000000,-187000000,-315000000,569000000,1079000000,-20000000,94000000,178000000,1093000000,604000000,-135000000,628000000
89,Cash Used for Investing Activites,-389000000,-284000000,-427000000,-663000000,-1015000000,-489000000,-147000000,373000000,-47000000,-380000000,266000000,374000000,585000000,-736000000,-1772000000
90,Debt Repayment,-1158000000,-186000000,-1586000000,-39000000,-54000000,- -,-368000000,-399000000,-5000000,-438000000,-782000000,-231000000,-409000000,-406000000,-1218000000
91,Common Stock Issued,- -,- -,1482000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575000000
92,Common Stock Repurchased,-1101000000,- -,- -,- -,-396000000,-136000000,-275000000,-443000000,-715000000,-272000000,-743000000,-946000000,-421000000,-69000000,- -
93,Dividends Paid,-1000000,-2000000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,-68000000,-80000000,-20000000,- -
94,Other Financing Activites,1886000000,168000000,1161000000,- -,506000000,12000000,379000000,235000000,5000000,614000000,667000000,395000000,369000000,2020000000,1931000000
95,Cash Used/Provided by Financing Activities,-374000000,-20000000,1056000000,-39000000,56000000,-124000000,-264000000,-607000000,-715000000,-96000000,-858000000,-850000000,-541000000,1525000000,1288000000
96,Effect of Forex Changes on Cash,-14000000,25000000,-6000000,8000000,-10000000,-7000000,-4000000,-8000000,-4000000,12000000,-7000000,5000000,1000000,-4000000,-3000000
97,Net Change In Cash,-391000000,12000000,899000000,-217000000,-576000000,-121000000,41000000,231000000,-228000000,25000000,21000000,-130000000,441000000,174000000,-172000000
98,Cash at the End of Period,416000000,428000000,1327000000,1110000000,534000000,413000000,454000000,685000000,457000000,482000000,503000000,622000000,1063000000,1237000000,1065000000
99,Cash at the Beginning of Period,807000000,416000000,428000000,1327000000,1110000000,534000000,413000000,454000000,685000000,457000000,482000000,752000000,622000000,1063000000,1237000000
100,Free Cash Flow,-231000000,5000000,-49000000,-70000000,62000000,198000000,224000000,220000000,269000000,278000000,322000000,44000000,27000000,-733000000,204000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468174/000119312511038921/0001193125-11-038921-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000119312512065060/0001193125-12-065060-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000119312513055303/0001193125-13-055303-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817414000011/h10-k123113.htm,https://www.sec.gov/Archives/edgar/data/1468174/000146817415000025/h10-k123114.htm,https://www.sec.gov/Archives/edgar/data/1468174/000146817416000152/0001468174-16-000152-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817417000010/0001468174-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817418000014/0001468174-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817419000009/0001468174-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817420000015/0001468174-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1468174/000146817421000011/0001468174-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1468174/000146817422000016/0001468174-22-000016-index.htm
102,false,,,,,,,,,,,,,,,
