,https://roic.ai/company/SYBX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1527599/000155837016004457/0001558370-16-004457-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000152759917000004/0001527599-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459018006323/0001564590-18-006323-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459019007367/0001564590-19-007367-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459020010261/0001564590-20-010261-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459021015256/0001564590-21-015256-index.htm,https://www.sec.gov/Archives/edgar/data/1527599/000156459022010714/0001564590-22-010714-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-3658000,-6436000,-15834000,-24983000,-26268000,-40377000,-48435000,-51373000,-59173000,-60561000
74,Depreciation and Amortization,37000,36000,35000,54000,159000,2310000,2421000,4072000,2636000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,24000,163000,408000,985000,1592000,2652000,4317000,4134000,3907000,- -
77,Change in Working Capital,78000,22627000,-15158000,77523000,-26022000,20943000,36435000,8386000,-25838000,24684000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,721000,-132000,189000,2816000,-3264000,- -,- -,- -,- -,- -
81,Other Working Capital,-351000,22276000,7118000,84641000,58619000,79562000,115997000,124383000,98545000,123229000
82,Other Non-Cash Items,-1001000,-22886000,16579000,-74714000,25734000,-16583000,-37208000,-40687000,38915000,35877000
83,Cash Provided by Operating Activities,-4520000,-6496000,-13970000,-21135000,-24805000,-31055000,-42470000,-75468000,-39553000,- -
84,CAPEX,- -,-7000,-102000,-251000,-1729000,-2578000,-5654000,-1251000,-395000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,40433000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-103114000,-51438000,-172887000,-145418000,-86474000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,58784000,22850000,91340000,157465000,119351000,- -
88,Other Investing Activites,- -,- -,- -,- -,-2432000,11000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-7000,-102000,-251000,-48491000,9278000,-87201000,10796000,32482000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-408000,-427000,-266000,-208000,- -
91,Common Stock Issued,- -,- -,- -,60280000,- -,- -,82666000,56996000,13544000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,16847000,16419000,209000,41500000,16000,67086000,244000,22874000,58000,- -
95,Cash Used/Provided by Financing Activities,16847000,16419000,209000,101780000,16000,66678000,82483000,79604000,13394000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,12327000,9916000,-13863000,80394000,-73281000,44901000,-47188000,14932000,6323000,- -
98,Cash at the End of Period,13266000,23182000,9319000,89713000,16432000,59537000,12349000,27281000,33604000,- -
99,Cash at the Beginning of Period,939000,13266000,23182000,9319000,89713000,14636000,59537000,12349000,27281000,33604000
100,Free Cash Flow,-4520000,-6503000,-14072000,-21386000,-26534000,-33633000,-48124000,-76719000,-39948000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527599/000155837016004457/0001558370-16-004457-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000152759917000004/0001527599-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459018006323/0001564590-18-006323-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459019007367/0001564590-19-007367-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459020010261/0001564590-20-010261-index.html,https://www.sec.gov/Archives/edgar/data/1527599/000156459021015256/0001564590-21-015256-index.htm,https://www.sec.gov/Archives/edgar/data/1527599/000156459022010714/0001564590-22-010714-index.htm
102,false,,,,,,,,,,
