,https://roic.ai/company/LEGH,2016,2017,2018,2019,2020
80,Accounts Payable,905000,1896000,-3452000,2340000,5029000
81,Other Working Capital,31598000,35654000,42759000,1034000,18557000
82,Other Non-Cash Items,772000,-26365000,-28478000,7120000,-59198000
83,Cash Provided by Operating Activities,-1903000,4691000,2820000,-4193000,-2037000
84,CAPEX,-2167000,-1428000,-6137000,-4206000,-2845000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-1305000,-828000,1684000,-10907000,127000
89,Cash Used for Investing Activites,-3472000,-2256000,-4453000,-15113000,-2718000
90,Debt Repayment,-42962000,-46297000,-104188000,-52469000,-69227000
91,Common Stock Issued,- -,- -,48000000,7200000,- -
92,Common Stock Repurchased,- -,- -,- -,-3060000,-1417000
93,Dividends Paid,-6905000,-17668000,- -,- -,- -
94,Other Financing Activites,55951000,60949000,59992000,66760000,74443000
95,Cash Used/Provided by Financing Activities,6084000,-3016000,3804000,18431000,3799000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,709000,-581000,2171000,-875000,-956000
98,Cash at the End of Period,1009000,428000,2599000,1724000,768000
99,Cash at the Beginning of Period,300000,1009000,428000,2599000,1724000
100,Free Cash Flow,-4070000,3263000,-3317000,-8399000,-4882000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1436208/000155837019002900/0001558370-19-002900-index.htm,https://www.sec.gov/Archives/edgar/data/1436208/000155837020003380/0001558370-20-003380-index.html,https://www.sec.gov/Archives/edgar/data/1436208/000155837021003153/0001558370-21-003153-index.htm
102,false,,,,,
