,https://roic.ai/company/WHLR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.3917,0.3945,0.2715,-0.0984,-0.2156,-0.2874,-0.4447,-0.0066,0.0093,0.0973,0.1718,0.3019,0.3182
19,Total Other Income Expenses (Gains),- -,- -,- -,-966113,-2497810,-6813426,-9043761,-12664174,-14701000,-20224000,-18983000,-18131000,-28859000
20,Income Before Tax,- -,- -,- -,-1205657,-4375226,-11745815,-21377297,-12955310,-14159000,-13831000,-8129000,287000,-9349000
21,Income Before Tax Ratio,- -,- -,- -,-0.4953,-0.5025,-0.6845,-0.7708,-0.2934,-0.2419,-0.2105,-0.1287,0.0047,-0.1525
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,107464,137000,40000,15000,- -,2000
23,Net Income,179009,98157,-543458,-1161777,-3660254,-10550255,-17520679,-11202570,-12094000,-16500000,-8039000,245000,-9443000
24,Net Income ratio,0.0397,0.0208,-0.1107,-0.4773,-0.4204,-0.6148,-0.6317,-0.2537,-0.2066,-0.2511,-0.1273,0.0040,-0.1540
25,EPS,0.43,0.24,-1.32,-2.80,-6.56,-14.40,-21.36,-1.92,-2.54,-3.17,-2.34,-1.40,-1.36
26,EPS Diluted,0.43,0.24,-1.32,-2.80,-6.56,-14.40,-21.36,-1.92,-2.54,-3.17,-2.34,-1.40,-1.36
27,Weighted Average Shares Outstanding,412687,412687,412687,412687,577575,919054,4867557,8420373,8654240,9256234,9671847,9698274,9711944
28,Weighted Average Shares Outstanding Diluted,412687,412687,412687,412687,577575,919054,4867557,8420373,8654240,9256234,9671847,9698274,9711944
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527541/000119312513136643/0001193125-13-136643-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000119312514110342/d650235d10k.htm,https://www.sec.gov/Archives/edgar/data/1527541/000152754115000038/a12312014whlr10-k.htm,https://www.sec.gov/Archives/edgar/data/1527541/000152754116000246/0001527541-16-000246-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754117000013/0001527541-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754118000030/0001527541-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754119000017/0001527541-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754120000025/0001527541-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000162828021005085/0001628280-21-005085-index.htm,https://www.sec.gov/Archives/edgar/data/1527541/000152754122000007/0001527541-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,434705,363623,218902,2053192,1155083,9969748,11306185,4863372,3677000,3544000,5451000,7660000,22898000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,434705,363623,218902,2053192,1155083,9969748,11306185,4863372,3677000,3544000,5451000,7660000,22898000
34,Net Receivables,886125,1043323,998273,761114,1594864,1985466,3452700,17440080,12358000,10539000,6905000,9153000,9233000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,1707709,10018058,8609000,23437000,17877000,48180000,19568000
37,Total Current Assets,1320830,1406946,1217175,2814306,2749947,11955214,16466594,32321510,24644000,37520000,30233000,64993000,51699000
38,PP&E,27850310,30202357,28971553,43345665,101772335,152250986,238764631,388880290,384334000,- -,11651000,12745000,14122000
39,Goodwill,- -,- -,- -,- -,- -,7004072,5485823,5485823,5486000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,6517529,12962169,40700000,32895000,22382000,15088000,10796000
41,Intangible Assets,- -,- -,- -,- -,- -,7004072,12003352,18447992,46186000,32895000,22382000,15088000,10796000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,912849,1095471,1890833,6527906,20847984,29272096,46735275,49396543,2510000,437666000,420099000,396553000,388664000
45,Total Non-Current Assets,28763159,31297828,30862386,49873571,122620319,188527154,297503258,456724825,433030000,470561000,454132000,424386000,413582000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30083989,32704774,32079561,52687877,125370266,200482368,313969852,489046335,457674000,508081000,484365000,489379000,465281000
48,Accounts Payable,216986,293978,1084197,748727,- -,- -,- -,- -,10624000,12077000,9557000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1081311,1275964,1316121,190169,2526388,5130625,7533769,11320614,5480000,4632000,2026000,24353000,14435000
53,Total Current Liabilities,1298297,1569942,2400318,938896,2526388,5130625,7533769,11320614,16104000,16709000,11583000,24353000,14435000
54,Long-Term Debt,26548618,29199131,28733226,31843503,94562503,141450143,189340456,305972679,308122000,360117000,340913000,334266000,346323000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3673019,2674566,778173,9728889,66560456,62852000,87000000,105862000,113911000,100721000
58,Total Non-Current Liabilities,26548618,29199131,28733226,35516522,97237069,142228316,199069345,372533135,370974000,447117000,446775000,448177000,447044000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,9616000,10045000,11921000,13200000,13040000
61,Total Liabilities,27846915,30769073,31133544,36455418,99763457,147358941,206603114,383853749,387078000,463826000,458358000,472530000,461479000
62,Preferred Stock,- -,- -,505000,- -,1458050,39078304,17538118,93715643,41368000,41453000,41540000,41627000,41642000
63,Common Stock,6822179,7497161,- -,33015,71210,75129,662596,680305,87000,95000,97000,97000,97000
64,Retained Earnings,-4585106,-5561460,-7056144,-5443099,-11298253,-27660234,-140306846,-170377414,-204925000,-233184000,-251580000,-260867000,-274107000
65,Other Comprehensive Income/Loss,-5461450,-6771960,-8096084,-3291556,-5059698,-8376416,-12704944,-20481740,-31045000,- -,- -,- -,- -
66,Other Total Stockholders Equity,5461451,6771960,16098245,17389009,33229391,39453476,233075928,191296626,258023000,233697000,233870000,234061000,234229000
67,Total Stockholders Equity,2237074,1935701,946017,8687369,18400700,42570259,98264852,94833420,63508000,42061000,23927000,14918000,1861000
68,Total Liabilities And Stockholders Equity,30083989,32704774,32079561,45142787,118164157,189929200,304867966,478687169,450586000,505887000,482285000,487448000,463340000
69,Minority Interest,- -,- -,- -,7545090,7206109,10553168,9101886,10359166,7088000,2194000,2080000,1931000,1941000
70,Total Liabilities & Equity,30083989,32704774,32079561,52687877,125370266,200482368,313969852,489046335,457674000,508081000,484365000,489379000,465281000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527541/000119312513136643/0001193125-13-136643-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000119312514110342/d650235d10k.htm,https://www.sec.gov/Archives/edgar/data/1527541/000152754115000038/a12312014whlr10-k.htm,https://www.sec.gov/Archives/edgar/data/1527541/000152754116000246/0001527541-16-000246-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754117000013/0001527541-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754118000030/0001527541-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754119000017/0001527541-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754120000025/0001527541-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000162828021005085/0001628280-21-005085-index.htm,https://www.sec.gov/Archives/edgar/data/1527541/000152754122000007/0001527541-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,179009,98157,-543458,-1161777,-3660254,-10550255,-17520679,-11202570,-12094000,-16500000,-8039000,245000,-9443000
74,Depreciation and Amortization,1380882,1473488,1503978,833713,3466957,9093526,17502786,20666311,26231000,27094000,21319000,16830000,14797000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,456988,697000,1454410,870000,940000,2000,- -,14000
77,Change in Working Capital,-409949,-185529,-1020147,3058553,-1651851,6601030,2108236,12068071,-12460896,12271000,-2161000,21990000,497000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-990000,-145000,-1592000,-2402000,1001000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,3440000,2104000,-2205000,-187000,1143000
81,Other Working Capital,22533,-162996,-1183143,1875410,223559,6824589,8932825,21000896,8540000,20811000,18650000,40640000,-427000
82,Other Non-Cash Items,73203,-35026,1271523,-3020373,-606422,-10042309,-12091641,-12543291,22214896,-1803000,4132000,-23285000,11176000
83,Cash Provided by Operating Activities,1223145,1351090,1211896,-289884,-2451570,-4441020,-9304298,10442931,24761000,22002000,15253000,15780000,17041000
84,CAPEX,- -,-466328,-93451,-8802055,-22582154,-18161992,-62027081,-49158867,2416000,-19623000,3560000,-2271000,-6412000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-999493,-217558,-93451,- -,- -,- -,8180441,-11378431,-7266000,-5567000,-2711000,2237000,5101000
89,Cash Used for Investing Activites,-999493,-683886,-93451,-8802055,-22582154,-18161992,-53846640,-60537298,-4850000,-25190000,849000,2237000,5101000
90,Debt Repayment,-225364,-601810,-465905,-2826631,-11302970,-8749584,-17033559,-30005758,-18438000,-28856000,-43415000,-31493000,-105992000
91,Common Stock Issued,29100,674982,- -,13370984,11862198,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-25,- -,- -,- -,- -,-1106000,-8336000
93,Dividends Paid,-993749,-1074512,-951226,-126084,-2886574,-5432518,-14192289,-17692166,-20742000,-14591000,- -,- -,- -
94,Other Financing Activites,776913,263054,153965,622855,26462961,45599779,94798860,92178087,16212000,49608000,30886000,35759000,89837000
95,Cash Used/Provided by Financing Activities,-413100,-738286,-1263166,11041124,24135615,31417677,63572987,44480163,-22968000,6161000,-12529000,3160000,-24491000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-189448,-71082,-144721,1949185,-898109,8814665,1336437,-5614204,-1186000,5713000,3592000,21177000,-2349000
98,Cash at the End of Period,434705,363623,218902,2053192,1155083,9969748,11306185,4863372,3677000,17999000,21591000,42768000,40419000
99,Cash at the Beginning of Period,624153,434705,363623,104007,2053192,1155083,9969748,10477576,4863000,12286000,17999000,21591000,42768000
100,Free Cash Flow,1223145,884762,1118445,-9091939,-25033724,-22603012,-9835556,8484772,17394000,16435000,12542000,13509000,10629000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527541/000119312513136643/0001193125-13-136643-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000119312514110342/d650235d10k.htm,https://www.sec.gov/Archives/edgar/data/1527541/000152754115000038/a12312014whlr10-k.htm,https://www.sec.gov/Archives/edgar/data/1527541/000152754116000246/0001527541-16-000246-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754117000013/0001527541-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754118000030/0001527541-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754119000017/0001527541-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000152754120000025/0001527541-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1527541/000162828021005085/0001628280-21-005085-index.htm,https://www.sec.gov/Archives/edgar/data/1527541/000152754122000007/0001527541-22-000007-index.htm
102,false,,,,,,,,,,,,,
