,https://roic.ai/company/PFMT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,-26458000,-31892000,-38246000,-45508000,-54403000,-57107000,-64395000,-72755000,-76621000,- -,- -
66,Other Total Stockholders Equity,- -,43563000,67862000,88037000,102837000,116211000,122757000,136854000,150125000,157210000,41975000,133662000
67,Total Stockholders Equity,- -,-15705000,24073000,74234000,91172000,93856000,86245000,80325000,77226000,53625000,41980000,82423000
68,Total Liabilities And Stockholders Equity,- -,182299000,211745000,257260000,262829000,244656000,185078000,164436000,137759000,138872000,126227000,121985000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6149000,- -
70,Total Liabilities & Equity,- -,182299000,211745000,257260000,262829000,244656000,185078000,164436000,137759000,138872000,120078000,121985000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1550695/000119312513119713/0001193125-13-119713-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069514000005/0001550695-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069515000008/0001550695-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069516000050/0001550695-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069517000005/0001550695-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069518000006/0001550695-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069519000022/0001550695-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069520000025/0001550695-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069521000007/0001550695-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069522000015/0001550695-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,9975000,12372000,22951000,36339000,9400000,-1795000,-11453000,-12729000,-8010000,-26820000,-13989000,-10288000
74,Depreciation and Amortization,7213000,21166000,9505000,10655000,12450000,13368000,28818000,10888000,10234000,11125000,7007000,6996000
75,Deferred Income Tax,32000,-9640000,-1826000,-1708000,-1703000,-2943000,-6912000,3733000,490000,13000,- -,- -
76,Stock Based Compensation,629000,120000,1614000,2994000,3707000,5009000,4713000,3740000,2750000,2311000,2610000,2640000
77,Change in Working Capital,-1529000,- -,10012000,36483000,-3059000,-9598000,-34991000,-8093000,5216000,-99000,-40259000,59892000
78,Accounts Receivable,1610000,-5392000,-3646000,3395000,4602000,-2918000,6481000,-1010000,-6695000,-6291000,3954000,1665000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-255000,-3000,1343000,980000,-1013000,-441000,-301000,890000,-445000,1130000,-2125000,717000
81,Other Working Capital,21696000,21696000,31708000,68191000,65132000,55534000,20543000,12450000,17666000,17567000,-22692000,37200000
82,Other Non-Cash Items,1894000,4967000,-5251000,-23557000,7071000,12130000,37609000,5435000,-22829000,-1953000,65440000,-58324000
83,Cash Provided by Operating Activities,18214000,28985000,37005000,61206000,27866000,16171000,17784000,2974000,-12149000,-15423000,20809000,916000
84,CAPEX,-4921000,-6111000,-12193000,-12503000,-10146000,-7895000,-7866000,-7259000,-7645000,-4856000,-3792000,-3416000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,2285000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-837000,- -,- -,1268000,- -,- -,- -,- -,- -,3146000
89,Cash Used for Investing Activites,-4921000,-6111000,-12193000,-12503000,-10146000,-6627000,-7866000,-7259000,-5360000,-4856000,-3792000,-270000
90,Debt Repayment,-9967000,-13948000,-116114000,-14465000,-21509000,-17537000,-46578000,-55513000,-2200000,-2488000,-3450000,-633000
91,Common Stock Issued,- -,- -,12624000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-61511000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1172000,- -,158028000,9828000,2178000,-1154000,-1561000,42836000,3497000,20487000,-266000,1241000
95,Cash Used/Provided by Financing Activities,-11139000,-13948000,-6973000,-4637000,-19331000,-18691000,-48139000,-12677000,1297000,17999000,-3716000,608000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,31000,21000,-3000,-32000,- -,- -,- -
97,Net Change In Cash,2154000,8926000,17839000,44066000,-1611000,-9116000,-38200000,-16965000,-16244000,-2280000,13301000,1254000
98,Cash at the End of Period,11078000,20004000,37843000,81909000,80298000,71182000,32982000,23519000,7275000,4995000,18296000,19550000
99,Cash at the Beginning of Period,8924000,11078000,20004000,37843000,81909000,80298000,71182000,40484000,23519000,7275000,4995000,18296000
100,Free Cash Flow,13293000,22874000,24812000,48703000,17720000,8276000,9918000,-4285000,-19794000,-20279000,17017000,-2500000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1550695/000119312513119713/0001193125-13-119713-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069514000005/0001550695-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069515000008/0001550695-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069516000050/0001550695-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069517000005/0001550695-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069518000006/0001550695-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069519000022/0001550695-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069520000025/0001550695-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069521000007/0001550695-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1550695/000155069522000015/0001550695-22-000015-index.htm
102,false,,,,,,,,,,,,
