,https://roic.ai/company/ATCX,2017,2018,2019,2020,2021
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1751143/000161577419004483/0001615774-19-004483-index.htm,https://www.sec.gov/Archives/edgar/data/1751143/000121390020006535/0001213900-20-006535-index.htm,https://www.sec.gov/Archives/edgar/data/1751143/000121390021017073/0001213900-21-017073-index.htm,https://www.sec.gov/Archives/edgar/data/1751143/000121390022012692/0001213900-22-012692-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-180,287660,-347357,-11089000,-29705000
74,Depreciation and Amortization,- -,- -,19881000,26057000,7208
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1984000,10795000,1173
77,Change in Working Capital,180,1134707,-4191056,96168524,-11769000
78,Accounts Receivable,- -,- -,- -,3519000,4340
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,86103,2772716,-4603000,10956
81,Other Working Capital,-175,1134532,-3056524,93112000,81343000
82,Other Non-Cash Items,- -,-1465815,-18716932,-106448524,70569619
83,Cash Provided by Operating Activities,- -,-43448,-1390345,15483000,29104000
84,CAPEX,- -,- -,-10453000,-3498000,-1549
85,Acquisitions Net,- -,- -,-294000,-20387000,- -
86,Purchases of Investments,- -,-200000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-7125,8957457,318000,-36545451
89,Cash Used for Investing Activites,- -,-200007125,210457,-23567000,-36547000
90,Debt Repayment,- -,-300000,- -,-215683000,- -
91,Common Stock Issued,- -,- -,- -,10229000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-6611000,- -
94,Other Financing Activites,- -,201626144,-60702000,214026000,4078000
95,Cash Used/Provided by Financing Activities,- -,201326144,- -,1961000,4078000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-1179888,-6123000,-14051303
98,Cash at the End of Period,- -,1275571,95683,14062000,10697
99,Cash at the Beginning of Period,- -,- -,1275571,20185000,14062000
100,Free Cash Flow,- -,-43448,-1390345,11985000,29104000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1751143/000161577419004483/0001615774-19-004483-index.htm,https://www.sec.gov/Archives/edgar/data/1751143/000121390020006535/0001213900-20-006535-index.htm,https://www.sec.gov/Archives/edgar/data/1751143/000121390021017073/0001213900-21-017073-index.htm,https://www.sec.gov/Archives/edgar/data/1751143/000121390022012692/0001213900-22-012692-index.htm
102,false,,,,,
