,https://roic.ai/company/RMNI,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1635282/000114420416090669/0001144204-16-090669-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000114420417015054/0001144204-17-015054-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000114420418014946/0001144204-18-014946-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528219000016/0001635282-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528220000014/0001635282-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528221000023/0001635282-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528222000049/0001635282-22-000049-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,967449,1551,21950000,24771000,37952000,87575000,119571000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,967449,1551,21950000,24771000,37952000,87575000,119571000
34,Net Receivables,- -,- -,- -,63525000,80599000,113393000,119651000,138515000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,7951,217668,26637000,7534000,25576000,25994000,28676000
37,Total Current Assets,- -,975400,219219,112112000,112904000,176921000,233220000,286762000
38,PP&E,- -,- -,- -,4255000,3634000,3667000,22341000,17157000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,172578252,173051990,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,719000,909000,1248000,1871000,64033000
44,Other Non-Current Assets,- -,- -,- -,5085000,1438000,19384000,22503000,23310000
45,Total Non-Current Assets,- -,172578252,173051990,10059000,5981000,24299000,46715000,104500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,173553652,173271209,122171000,118885000,201220000,279935000,391262000
48,Accounts Payable,- -,- -,63009,10137000,12851000,2303000,3241000,5708000
49,Short-Term Debt,- -,- -,635681,15500000,2372000,- -,4369000,8206000
50,Tax Payable,- -,- -,- -,- -,- -,- -,7458000,1546000
51,Deferred Revenue,- -,- -,- -,152390000,180358000,205771000,228967000,253221000
52,Other Current Liabilities,- -,19968,- -,50707000,42927000,51265000,58751000,62367000
53,Total Current Liabilities,- -,19968,698690,228734000,238508000,259339000,295328000,329502000
54,Long-Term Debt,- -,- -,1900000,66613000,- -,- -,15993000,92166000
55,Deferred Revenue,- -,- -,- -,29182000,28898000,29727000,27966000,47047000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,6037500,6037500,7943000,117065000,134747000,141586000,2933000
58,Total Non-Current Liabilities,- -,6037500,7937500,103738000,145963000,164474000,185545000,142146000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,533000,387000,222000,20362000,17053000
61,Total Liabilities,- -,6057468,8636190,332472000,384471000,423813000,480873000,471648000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,532,565,6000,6000,7000,8000,9000
64,Retained Earnings,- -,-130726,-2991891,-304407000,-372372000,-314655000,-301675000,-225789000
65,Other Comprehensive Income/Loss,- -,- -,-1000000,-1000000,-2000000,-1000000,-318000,-2724000
66,Other Total Stockholders Equity,- -,167626378,168626345,95100000,108780000,93055000,101047000,148118000
67,Total Stockholders Equity,- -,167496184,164635019,-210301000,-265586000,-222593000,-200938000,-80386000
68,Total Liabilities And Stockholders Equity,- -,173553652,173271209,122171000,118885000,201220000,279935000,391262000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,173553652,173271209,122171000,118885000,201220000,279935000,391262000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1635282/000114420416090669/0001144204-16-090669-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000114420417015054/0001144204-17-015054-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000114420418014946/0001144204-18-014946-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528219000016/0001635282-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528220000014/0001635282-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528221000023/0001635282-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528222000049/0001635282-22-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-45269000,-2861165,-53297000,-67965000,17529000,12980000,75219000
74,Depreciation and Amortization,- -,- -,- -,1973000,1838000,1913000,8005000,8543000
75,Deferred Income Tax,- -,-379000,- -,-124000,-235000,-337000,-514000,-62318000
76,Stock Based Compensation,- -,2272000,- -,2963000,4394000,5532000,7461000,9710000
77,Change in Working Capital,- -,43367000,-1434903,-116142529,-8982000,43186000,20310000,29518000
78,Accounts Receivable,- -,-8501000,- -,-8348000,-18036000,-31221000,-8547000,-18787000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,2257000,- -,1200000,2875000,-10513000,931000,2489000
81,Other Working Capital,- -,955432,-479471,-116622000,-125604000,-82418000,-62108000,49271000
82,Other Non-Cash Items,- -,1582000,794489,193790529,93332000,-47437000,-6139000,6273000
83,Cash Provided by Operating Activities,- -,1573000,-3501579,29163000,22382000,20386000,42103000,66945000
84,CAPEX,- -,-1747000,- -,-1392000,-1053000,-1872000,-1483000,-2108000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1747000,- -,-1392000,-1053000,-1872000,-1483000,-2108000
89,Cash Used for Investing Activites,- -,-1747000,- -,-1392000,-1053000,-1872000,-1483000,-2108000
90,Debt Repayment,- -,-862000,- -,-47377000,-156804000,-2988000,-256000,-2678000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,25657000,56965000
92,Common Stock Repurchased,- -,- -,- -,- -,-2845000,- -,-4500000,-157869000
93,Dividends Paid,- -,- -,- -,- -,-2845000,-14742000,-15781000,-12680000
94,Other Financing Activites,- -,20000,2535681,30887000,127720000,11993000,1255000,89697000
95,Cash Used/Provided by Financing Activities,- -,-842000,2535681,-16490000,-34774000,-5737000,6375000,-26565000
96,Effect of Forex Changes on Cash,- -,- -,- -,509000,-1376000,405000,2526000,-6191000
97,Net Change In Cash,- -,- -,-965898,11790000,-14821000,13182000,49521000,32081000
98,Cash at the End of Period,- -,12559000,1551,40027000,25206000,38388000,87909000,119990000
99,Cash at the Beginning of Period,- -,- -,967449,28237000,40027000,25206000,38388000,87909000
100,Free Cash Flow,- -,-174000,-3501579,27771000,21329000,18514000,40620000,64837000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1635282/000114420416090669/0001144204-16-090669-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000114420417015054/0001144204-17-015054-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000114420418014946/0001144204-18-014946-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528219000016/0001635282-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528220000014/0001635282-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528221000023/0001635282-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1635282/000163528222000049/0001635282-22-000049-index.htm
102,false,,,,,,,,
