,https://roic.ai/company/HCYT,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1591165/000141588916004814/0001415889-16-004814-index.htm,https://www.sec.gov/Archives/edgar/data/1591165/000141588916005540/mdvx10k_dec312015.htm,https://www.sec.gov/Archives/edgar/data/1591165/000165495417002874/0001654954-17-002874-index.html,https://www.sec.gov/Archives/edgar/data/1591165/000149315218004286/0001493152-18-004286-index.html,https://www.sec.gov/Archives/edgar/data/1591165/000149315219005081/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1591165/000149315220006936/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1591165/000149315221006836/0001493152-21-006836-index.htm,https://www.sec.gov/Archives/edgar/data/1591165/000149315222005486/0001493152-22-005486-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,2610000,6680000,1570170,892810,245030,69630,1424100,1640645,95172
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2610000,6680000,1570170,892810,245030,69630,1424100,1640645,95172
34,Net Receivables,- -,- -,33045,- -,393960,20390,41340,22123,13500
35,Inventory,- -,- -,- -,- -,294710,- -,- -,- -,- -
36,Other Current Assets,- -,160000,171715,364830,204530,59670,810140,94434,88784
37,Total Current Assets,2610000,6840000,1774930,1257640,1138230,149690,2275580,1757202,197456
38,PP&E,- -,20000,23720,97590,87170,266920,958160,417727,38374
39,Goodwill,- -,- -,6455650,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,6455650,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,30000,10000,3277430,152750,2750,38290,36870,29239,85575
45,Total Non-Current Assets,30000,30000,9756800,250340,89920,305210,995030,446966,123949
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2640000,6870000,11531730,1507980,1228150,454900,3270610,2204168,321405
48,Accounts Payable,40000,140000,278310,225730,208490,851600,1485540,1006968,585291
49,Short-Term Debt,- -,- -,134540,1096326,132294,697136,2580185,813444,164260
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1048,- -,1046156,634149,414025
52,Other Current Liabilities,30000,220000,177030,529014,133218,644194,662009,438125,3757304
53,Total Current Liabilities,70000,360000,589880,1851070,475050,2192930,5773890,2892686,4920880
54,Long-Term Debt,- -,- -,918640,103740,38990,4306300,6072040,202271,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,490,1180,690,-347930,515290,157050,-4858112
58,Total Non-Current Liabilities,- -,- -,919130,104920,39680,3958370,6587330,359321,-4858112
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,755909,296239,- -
61,Total Liabilities,70000,360000,1509010,1955990,514730,6151300,12361220,3252007,62768
62,Preferred Stock,- -,- -,- -,- -,13,9,6060499,538109,- -
63,Common Stock,10000,10000,11260,14860,21160,33660,99770,127159,164199
64,Retained Earnings,-670000,-3610000,-10133440,-26360930,-32817400,-9296410,-37362530,-43858974,-49028413
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-412670,- -,- -
66,Other Total Stockholders Equity,3236440,10105649,20144905,25898053,33509648,7265925,28584814,42515999,44201971
67,Total Stockholders Equity,2576440,6505649,10022725,-448017,713421,-1996816,-3030117,-677707,-4662243
68,Total Liabilities And Stockholders Equity,2646440,6865649,11531735,1507973,1228151,4154484,9331103,2574300,-4599475
69,Minority Interest,-6440,4351,-5,7,-1,-3699584,-6060493,-370132,4920880
70,Total Liabilities & Equity,2640000,6870000,11531730,1507980,1228150,454900,3270610,2204168,321405
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1591165/000141588916004814/0001415889-16-004814-index.htm,https://www.sec.gov/Archives/edgar/data/1591165/000141588916005540/mdvx10k_dec312015.htm,https://www.sec.gov/Archives/edgar/data/1591165/000165495417002874/0001654954-17-002874-index.html,https://www.sec.gov/Archives/edgar/data/1591165/000149315218004286/0001493152-18-004286-index.html,https://www.sec.gov/Archives/edgar/data/1591165/000149315219005081/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1591165/000149315220006936/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1591165/000149315221006836/0001493152-21-006836-index.htm,https://www.sec.gov/Archives/edgar/data/1591165/000149315222005486/0001493152-22-005486-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-670000,- -,-6520000,-16227480,-6456480,-4394150,-29807880,-6459236,-4799307
74,Depreciation and Amortization,472,2681,433098,200918,27100,23915,834291,81470,15829
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,17636,- -
76,Stock Based Compensation,36252,33972,253659,776968,683169,436326,1785082,643,1184903
77,Change in Working Capital,62873,3940000,-5294950,-1778480,1256610,-2706420,-1455070,2362826,-3587940
78,Accounts Receivable,- -,- -,-33045,33045,-157069,11312,48195,16667,-27900
79,Inventory,- -,- -,- -,- -,-294714,163259,- -,- -,- -
80,Accounts Payable,36125,104553,-164144,-52584,-17235,633770,121907,-478572,-421677
81,Other Working Capital,2540000,6480000,1185050,-593430,663180,-2043240,-3498310,-1135484,-4723424
82,Other Non-Cash Items,-3333,-6736528,5146249,11600606,-1100866,4299165,16352302,-3261082,2376705
83,Cash Provided by Operating Activities,-573736,-2759875,-5981944,-5427468,-5590467,-2341164,-12291275,-7257743,-4809810
84,CAPEX,-3935,-23668,-7059,-85133,-16682,- -,-20686,-2284,-7830
85,Acquisitions Net,- -,- -,-1152291,500000,- -,150000,-372339,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-3935,-23668,-1159350,414867,-16682,150000,-393025,-2284,-7830
90,Debt Repayment,- -,- -,-37251,-136022,-127885,-171072,-370636,-10937,- -
91,Common Stock Issued,3213521,6732269,1084136,2778256,3838671,774502,4337106,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-50000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-14684,- -,- -
94,Other Financing Activites,-29775,129775,980000,1693014,1248575,1389998,10136982,7487513,3272167
95,Cash Used/Provided by Financing Activities,3183746,6862044,2026885,4335248,4959361,1993428,14038768,7476576,3272167
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3183746,4078501,-5114409,-677353,-647788,-197736,1354468,216549,-1545473
98,Cash at the End of Period,2606075,6684576,1570167,892814,245026,47290,1424096,1640645,95172
99,Cash at the Beginning of Period,- -,2606075,6684576,1570167,892814,245026,69628,1424096,1640645
100,Free Cash Flow,-577671,-2783543,-5989003,-5512601,-5607149,-2341164,-12311961,-7260027,-4817640
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1591165/000141588916004814/0001415889-16-004814-index.htm,https://www.sec.gov/Archives/edgar/data/1591165/000141588916005540/mdvx10k_dec312015.htm,https://www.sec.gov/Archives/edgar/data/1591165/000165495417002874/0001654954-17-002874-index.html,https://www.sec.gov/Archives/edgar/data/1591165/000149315218004286/0001493152-18-004286-index.html,https://www.sec.gov/Archives/edgar/data/1591165/000149315219005081/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1591165/000149315220006936/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1591165/000149315221006836/0001493152-21-006836-index.htm,https://www.sec.gov/Archives/edgar/data/1591165/000149315222005486/0001493152-22-005486-index.htm
102,false,,,,,,,,,
