,https://roic.ai/company/SA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1231346/000095012007000228/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1231346/000095012008000123/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1231346/000117891309000820/0001178913-09-000820-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380510000809/0001193805-10-000809-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380511000627/0001193805-11-000627-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380512000576/0001193805-12-000576-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380513000719/0001193805-13-000719-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380514000666/0001193805-14-000666-index.html,- -,https://www.sec.gov/Archives/edgar/data/1231346/000119380516002905/0001193805-16-002905-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380517000509/0001193805-17-000509-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380518000434/0001193805-18-000434-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000121390019004979/0001213900-19-004979-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000121390020007870/0001213900-20-007870-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-153990,-1630250,-1338273,-1226287,-1157281,-3300000,-5541784,10289688,-4678569,3539727,-20098000,-12509000,-13649000,-13023000,-9066000,-7289000,-10287000,-19940000,-11613000,-14942000,895000
74,Depreciation and Amortization,432,1728,2941,4339,7215,2611,24761,40754,39349,35989,31000,13000,- -,- -,- -,- -,- -,- -,36000,36000,85000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,171000,-303000,498000,2578000,5960000,5899000,2700000,2974000,2164000,4967000,-697000,- -,4630000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1852004,1481466,452829,14917000,10691000,7038000,9679000,3647000,3670000,7518000,5178000,5397000,- -,3506000
77,Change in Working Capital,-131406,-191135,33217,-199216,275745,76062,-188980,5850796,-5636268,-1813764,1152000,613000,-1256000,1212000,-1703000,687000,-2079000,-50000,-1798000,8735000,1034000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,182175,-127685,-2738500,1899000,-679000,1218000,-253000,408000,-3000,15000,-997000,-1664000,-1696000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1273000,-2150000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-131406,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-315,837388,485909,-343181,-346166,891019,2355935,-20585444,90310,-10537047,272000,-5571000,-3797000,-8021000,-3004000,-5220000,-7457000,439000,-2221000,6171000,-21848000
83,Cash Provided by Operating Activities,-285279,-982269,-816206,-1764345,-1220487,-2330308,-3350068,-2552202,-8532712,-8625266,-3228000,-4185000,-5704000,-4254000,-7426000,-5178000,-10141000,-9406000,-10896000,- -,-11698000
84,CAPEX,-126225,-5857121,-6304843,-6714026,-3842958,-30921,-8525224,-14706219,-21666928,-37763017,-41305000,-48724000,-34556000,-30988000,-18602000,-24070000,-21916000,-37068000,-27201000,-158795000,-73611000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1000000,- -,- -,- -,-39000
86,Purchases of Investments,- -,-2743430,- -,-1739302,-3241551,- -,-11557493,-19357358,-474402,-31709805,-20317000,- -,-14000000,-12000000,-30000000,-18000000,-28000000,-28000000,-18133000,- -,-24349000
87,Sales/Maturities of Investments,- -,- -,1852530,- -,- -,5871753,- -,- -,21893464,- -,830000,6142000,35153000,28119000,21791000,27120000,23490000,22988000,31197000,- -,15011000
88,Other Investing Activites,- -,- -,-1,224999,-1,-14592074,-200000,16145269,-21666928,-27583309,-30302000,1355000,2000000,5435000,5119000,-602000,-725000,-568000,-634000,153355000,4306000
89,Cash Used for Investing Activites,-126225,-8600551,-4452314,-8228329,-7084510,-8751242,-20282717,-3212089,-247866,-59293114,-49789000,-41227000,-11403000,-9434000,-21692000,-16552000,-28151000,-42648000,-14771000,-5440000,-78682000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000,-21000,-77000
91,Common Stock Issued,10550,7278168,7467020,8241374,11299051,12545702,31327426,383126,966876,68677469,59036000,40633000,15886000,12881000,29852000,22386000,38414000,41596000,- -,- -,59104000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2281000,9336000,31556000,199742000,25532000
95,Cash Used/Provided by Financing Activities,10550,8078168,7467020,8241374,11299051,12545702,31327426,383126,966876,68677469,59036000,40633000,15886000,12881000,29852000,22386000,40695000,50932000,31532000,199721000,84559000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184000
97,Net Change In Cash,-400954,-1504652,2198500,-1751299,2994054,1464152,7694641,-5381165,-7813702,759089,6019000,-4779000,-1221000,-807000,734000,656000,2403000,-1122000,5865000,8735000,-6005000
98,Cash at the End of Period,1983796,880098,3078598,1327300,4321354,5785506,13480147,8098982,285280,1044369,7063000,2284000,1063000,256000,990000,1646000,4049000,2927000,8793000,- -,11523000
99,Cash at the Beginning of Period,2384750,2384750,880098,3078599,1327300,4321354,5785506,13480147,8098982,285280,1044000,7063000,2284000,1063000,256000,990000,1646000,4049000,2928000,- -,17528000
100,Free Cash Flow,-411504,-6839390,-7121049,-8478371,-5063445,-2361229,-11875292,-17258421,-30199640,-46388283,-44533000,-52909000,-40260000,-35242000,-26028000,-29248000,-32057000,-46474000,-38097000,- -,-85309000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1231346/000095012007000228/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1231346/000095012008000123/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1231346/000117891309000820/0001178913-09-000820-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380510000809/0001193805-10-000809-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380511000627/0001193805-11-000627-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380512000576/0001193805-12-000576-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380513000719/0001193805-13-000719-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380514000666/0001193805-14-000666-index.html,- -,https://www.sec.gov/Archives/edgar/data/1231346/000119380516002905/0001193805-16-002905-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380517000509/0001193805-17-000509-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000119380518000434/0001193805-18-000434-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000121390019004979/0001213900-19-004979-index.html,https://www.sec.gov/Archives/edgar/data/1231346/000121390020007870/0001213900-20-007870-index.html,- -,- -
102,Forex Rate,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
