,https://roic.ai/company/UG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,1700000,1800000,1700000,200000,300000,1400000,2000000,2000000,2000000,2200000,2300000,2400000,2800000,2400000,2555722,2336441,2303030,2455240,2589034,2592215,2829299,2595977,2698671,2608478,3415139,2552790,2508334,2504526,2640997,2510501,2504661,2431239,2522263,2545766,2477576,2514612
11,COGS and Expenses,- -,4500000,5200000,6100000,6900000,4700000,4400000,5600000,6100000,6200000,6400000,7200000,7400000,7200000,7000000,7318477,6990692,7199667,7515856,7661067,8283181,8470962,7450008,8110075,7932735,8665260,8202950,7727293,8115339,7958704,7712659,7387305,7732591,8189558,8203119,7349911,8262543
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575027,492443,395261,455786,332652,325017,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,200000,- -,200000,300000,200000,200000,100000,100000,100000,100000,100000,- -,- -,- -,536,38,- -,- -,- -,- -,798,56,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,200000,- -,- -,200000,200000,100000,200000,200000,200000,300000,300000,400000,600000,300000,295267,275301,256990,203805,209792,205811,195369,197802,200804,178691,229777,255583,254441,189729,181188,173484,187035,200677,191942,175810,165261,- -
15,EBITDA,- -,500000,-500000,- -,400000,-200000,800000,1100000,1000000,500000,900000,1200000,1700000,2200000,2500000,3662308,3107404,2340836,4014716,3893191,4295085,4333338,5337568,4867556,5918621,5743377,7127230,7181118,8821591,5936158,6798895,3883102,5751456,5657796,6206180,4326261,5877925
16,EBITDA ratio,- -,0.1111,-0.1042,- -,0.0563,-0.0435,0.1600,0.1746,0.1429,0.0746,0.1286,0.1500,0.1932,0.2500,0.2747,0.3505,0.3242,0.2575,0.3598,0.3500,0.3539,0.3553,0.4490,0.3960,0.4458,0.4185,0.4971,0.5194,0.5722,0.4414,0.4854,0.3603,0.4435,0.4109,0.4564,0.3938,0.4220
17,Operating Income,- -,- -,-400000,- -,200000,-100000,600000,700000,900000,500000,600000,800000,1400000,1600000,2100000,3128897,2592990,1891749,3641567,3462408,3851815,3724710,4438554,4182072,5344249,5057814,6135562,6098471,7301554,5490975,6293585,3389562,5235614,5579843,5395965,3636170,5667086
18,Operating Income ratio,- -,- -,-0.0833,- -,0.0282,-0.0217,0.1200,0.1111,0.1286,0.0746,0.0857,0.1000,0.1591,0.1818,0.2308,0.2995,0.2706,0.2081,0.3264,0.3113,0.3174,0.3054,0.3733,0.3402,0.4025,0.3686,0.4279,0.4411,0.4736,0.4083,0.4493,0.3145,0.4037,0.4052,0.3968,0.3310,0.4068
19,Total Other Income Expenses (Gains),- -,200000,-100000,200000,100000,100000,-100000,-100000,-200000,-300000,-100000,- -,-100000,- -,100000,237608,239075,192097,169344,220991,237459,412461,583933,484680,395681,455786,736085,828206,1330308,263995,331826,306505,315165,-113989,634405,524830,210839
20,Income Before Tax,- -,- -,-500000,- -,- -,- -,500000,600000,700000,200000,500000,800000,1300000,1600000,2200000,3366505,2832065,2083846,3810911,3683399,4089274,4137171,5022487,4666752,5739930,5513600,6871647,6926677,8631862,5754970,6625411,3696067,5550779,5465854,6030370,4161000,5877925
21,Income Before Tax Ratio,- -,- -,-0.1042,- -,- -,- -,0.1000,0.0952,0.1000,0.0299,0.0714,0.1000,0.1477,0.1818,0.2418,0.3222,0.2955,0.2292,0.3416,0.3311,0.3370,0.3392,0.4225,0.3797,0.4323,0.4018,0.4792,0.5010,0.5599,0.4279,0.4730,0.3430,0.4280,0.3970,0.4434,0.3788,0.4220
22,Income Tax expense (Gain),- -,- -,-100000,- -,- -,- -,200000,200000,200000,100000,200000,300000,500000,600000,800000,1313132,941055,662341,1339757,1208341,1471791,1399939,1595402,1503821,1860967,1713908,2155117,2095897,2728553,1704554,2018482,1114925,1706489,1113523,1268659,856022,1219383
23,Net Income,- -,100000,-400000,-200000,- -,-600000,300000,600000,500000,100000,300000,500000,800000,1000000,1400000,2053373,1891010,1421505,2471154,2475058,2617483,2737232,3544308,3162931,3878963,3799692,4716530,4830780,5903309,4050416,4606929,2581142,3844290,4352331,4761711,3304978,4658542
24,Net Income ratio,- -,0.0222,-0.0833,-0.0328,- -,-0.1304,0.0600,0.0952,0.0714,0.0149,0.0429,0.0625,0.0909,0.1136,0.1538,0.1965,0.1973,0.1564,0.2215,0.2225,0.2157,0.2244,0.2981,0.2573,0.2922,0.2769,0.3289,0.3494,0.3829,0.3012,0.3289,0.2395,0.2964,0.3161,0.3501,0.3008,0.3344
25,EPS,- -,0.03,-0.07,-0.05,- -,-0.12,0.06,0.12,0.10,0.03,0.06,0.11,0.17,0.21,0.28,0.42,0.39,0.29,0.50,0.50,0.53,0.55,0.72,0.64,0.78,0.80,1.03,1.05,1.28,0.88,1.00,0.56,0.84,0.95,1.04,0.72,1.01
26,EPS Diluted,- -,0.03,-0.07,-0.05,- -,-0.12,0.06,0.12,0.10,0.03,0.06,0.11,0.16,0.20,0.28,0.42,0.39,0.29,0.50,0.50,0.53,0.55,0.72,0.64,0.78,0.80,1.03,1.05,1.28,0.88,1.00,0.56,0.84,0.95,1.04,0.72,1.01
27,Weighted Average Shares Outstanding,- -,4796000,5714286,4000000,4763000,5000000,5000000,5000000,5000000,5000000,5000000,4545455,4832783,4880343,4885770,4884439,4868215,4878401,4898456,4928785,4935472,4941657,4944943,4946439,4946439,4738357,4596439,4596439,4596439,4596439,4594319,4594319,4594319,4581401,4594319,4594319,4594319
28,Weighted Average Shares Outstanding Diluted,- -,4796000,5714286,4000000,4763000,5000000,5000000,5000000,5000000,5000000,5000000,4545455,4852641,4904587,4907224,4909888,4886769,4888958,4914412,4938026,4941858,4944721,4945923,4946439,4946439,4738357,4596439,4596439,4596439,4596439,4594319,4594319,4594319,4581401,4594319,4594319,4594319
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101295/000010129508000003/0000101295-08-000003-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184309000269/0001171843-09-000269-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184310000469/0001171843-10-000469-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184311000851/0001171843-11-000851-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184312001021/0001171843-12-001021-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184313001097/0001171843-13-001097-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184314001385/0001171843-14-001385-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184315001673/0001171843-15-001673-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184316008781/0001171843-16-008781-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184317001709/0001171843-17-001709-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184318002183/0001171843-18-002183-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184319001878/0001171843-19-001878-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184320002021/0001171843-20-002021-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184321001963/0001171843-21-001963-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184322002061/0001171843-22-002061-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,800000,800000,1300000,2000000,2226812,1599857,3184599,2710029,3735945,3425593,3027486,4555388,3425538,5021073,1514589,1090974,1748382,1634262,2023383,1080489,424301,724721,550135,1048311,591444,531213
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,3007810,5309462,5034030,7714737,6654052,7766160,7874478,8021248,9052135,9453623,8314403,9295755,7743946,8863205,9389501,10719470,10218009,7721568,7622196,6867516,7591381,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,800000,800000,1300000,3300000,5234622,6909319,8218629,10424766,10389997,11191753,10901964,12576636,12477673,14474696,9828992,10386729,9492328,10497467,11412884,11799959,10642310,8446289,8172331,7915827,8182825,531213
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,900000,900000,1300000,1000000,801070,844388,704560,1007055,918085,1083992,1421788,1278386,1381012,1364886,1090711,1653440,1535677,1839552,1593260,934754,1597997,1905415,1672567,2098411,1387698,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,1800000,1400000,1200000,1300000,1464564,1185535,1037315,1093312,1375880,1031563,1923068,1188222,1344579,1153134,1321389,1467434,1242750,1610747,1237154,1293642,1255813,1340523,1482151,1217277,1415773,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,700000,900000,400000,394293,607748,640250,472795,739042,657769,700049,715301,582128,663849,549143,465193,352648,359452,419773,489605,472569,158295,360051,335766,260315,11052177
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,3800000,3800000,4700000,6000000,7894549,9546990,10600754,12997928,13423004,13965077,14946869,15758545,15785392,17656565,12790235,13972796,12623403,14307218,14663071,14517960,13968689,11850522,11687100,11567281,11246611,11583390
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1500000,1500000,1500000,1400000,1267535,1198413,1105570,1026251,997671,948480,848793,953397,951979,946711,1209160,1245487,1235863,1334501,1207903,1096113,1090591,942887,827925,780707,673665,658862
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,200000,100000,86995,35150,456,65,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14824,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,200000,100000,86995,35150,456,65,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14824,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,600000,300000,400000,400000,148316,1000,700,700,700,108680,148430,322526,546252,113016,75344,37672,- -,9147,68042,74118,59295,59471,29647,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,2100000,2300000,2100000,1900000,1502846,1234563,1106726,1027016,998371,1057160,997223,1275923,1498231,1059727,1284504,1283159,1235863,1343648,1275945,1170231,1149886,1002358,857572,795531,673665,658862
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,5900000,6100000,6800000,7900000,9397395,10781553,11707480,14024944,14421375,15022237,15944092,17034468,17283623,18716292,14074739,15255955,13859266,15650866,15939016,15688191,15118575,12852880,12544672,12362812,11920276,12242252
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,200000,300000,300000,300000,178035,213728,188868,309921,172320,148051,222625,123290,187810,322325,208244,400389,151385,385699,141111,96815,82821,354285,186797,71385,31800,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,- -,- -,- -,6036,- -,- -,- -,- -,- -,7988,7988,6657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87403,- -,- -,- -,131638,- -,- -,- -,55848,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,500000,500000,600000,827684,831348,833521,1088505,1282844,1535381,1732622,2226575,2354245,2598349,815996,676959,676123,859653,833859,891552,963130,1068098,1179354,1271674,1382485,2337761
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,800000,800000,800000,900000,1011755,1045076,1022389,1398426,1455164,1683432,1963235,2357853,2548712,2920674,1024240,1077348,827508,1245352,974970,988367,1045951,1422383,1366151,1343059,1414285,2337761
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14645,6657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,10000,10000,10000,10000,59817,34360,139862,28616,138007,3626,64578,193740,169587,227108,118010,252135,33855,253583,386855,151684,83222
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,20000,20000,10000,- -,- -,- -,- -,- -,- -,706162,- -,- -,- -,- -,- -,- -,- -,- -,32384,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,600000,20000,20000,10000,10000,10000,10000,10000,10000,59817,755167,146519,28616,138007,3626,64578,193740,169587,227108,150394,252135,33855,253583,386855,151684,83222
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1400000,800000,800000,900000,1021755,1055076,1032389,1408426,1465164,1743249,2718402,2504372,2577328,3058681,1027866,1141926,1021248,1414939,1202078,1138761,1298086,1456238,1619734,1729914,1565969,2420983
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,490114,493264,494334,498444,499474,500034,500434,500864,500864,500864,459644,459644,459644,459644,459644,459432,459432,459432,459432,459432,459432,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,1000000,1500000,2200000,3200000,4720383,6124349,7057740,8791158,9146154,9444111,9858538,10689400,11131789,12042889,12580394,13619773,12199395,13644160,14017425,14017637,13185423,10471185,10465506,10173466,9894875,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2400000,-2600000,-2800000,-3000000,-3300000,-3533542,-3721343,-55776,-30614,-86730,-84365,-566130,-120018,-386208,-345992,6835,34612,178979,132123,259869,72361,175634,466025,- -,-6609818,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,6100000,6600000,6800000,6600000,6698685,6830207,3178793,3357530,3397313,3419208,3432848,3459850,3459850,3459850,- -,- -,- -,- -,- -,- -,- -,- -,- -,6609818,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,4500000,5300000,6000000,7000000,8375640,9726477,10675091,12616518,12956211,13278988,13225690,14530096,14706295,15657611,13046873,14114029,12838018,14235927,14736938,14549430,13820489,11396642,10924938,10632898,10354307,9821269
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,5900000,6100000,6800000,7900000,9397395,10781553,11707480,14024944,14421375,15022237,15944092,17034468,17283623,18716292,14074739,15255955,13859266,15650866,15939016,15688191,15118575,12852880,12544672,12362812,11920276,12242252
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,5900000,6100000,6800000,7900000,9397395,10781553,11707480,14024944,14421375,15022237,15944092,17034468,17283623,18716292,14074739,15255955,13859266,15650866,15939016,15688191,15118575,12852880,12544672,12362812,11920276,12242252
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101295/000010129508000003/0000101295-08-000003-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184309000269/0001171843-09-000269-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184310000469/0001171843-10-000469-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184311000851/0001171843-11-000851-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184312001021/0001171843-12-001021-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184313001097/0001171843-13-001097-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184314001385/0001171843-14-001385-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184315001673/0001171843-15-001673-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184316008781/0001171843-16-008781-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184317001709/0001171843-17-001709-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184318002183/0001171843-18-002183-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184319001878/0001171843-19-001878-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184320002021/0001171843-20-002021-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184321001963/0001171843-21-001963-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184322002061/0001171843-22-002061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,100000,- -,-200000,- -,-600000,300000,600000,500000,100000,300000,500000,800000,1000000,1400000,2053373,1891010,1421505,2471154,2475058,2617483,2737232,3544308,3162931,3878963,3799692,4716530,4830780,5903309,4050416,4606929,2581142,3844290,4352331,4761711,3304978,4658542
74,Depreciation and Amortization,- -,200000,- -,- -,200000,200000,100000,200000,200000,200000,300000,300000,400000,600000,300000,295267,275301,256990,203805,209792,205811,195369,197802,200804,178691,229777,255583,254441,189729,181188,173484,187035,200677,191942,175810,165261,145977
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,-100000,- -,-100000,- -,-39782,-46465,4612,75077,17500,54645,-56229,146317,-105032,822,82807,40999,59541,-12161,-254,-22369,59712,-31760,219728,133272,-235171,-68462
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,100000,- -,900000,1200000,1782794,1619120,1076451,2021137,368338,313805,701989,417058,-164012,1499211,-2969896,1129453,-1099553,1265971,626235,-158508,-606855,-2494599,-107190,-182889,664918,-586697
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18753,278853,-557636,624758,-762031,185162,679746,-671532,-311695,237173,-430127,717874,-431883
79,Inventory,- -,- -,- -,- -,- -,- -,-300000,-200000,300000,-200000,- -,300000,300000,100000,-200000,-153381,243029,148220,-202997,-373568,324317,-892505,601055,-156357,191445,-168255,-146045,224684,-367997,373593,-56488,37829,-84710,-141628,249874,-198496,4984
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134515,-114082,192145,-249004,234314,-244588,-44296,-13995,271464,-167488,-115412,-39585,379094
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,3000000,3000000,3900000,5100000,6882794,8501914,9578365,11599502,11967840,12281645,12983634,13400692,13236680,14735891,11765995,12895448,11795895,13061866,13688101,13529593,12922738,10428139,10320949,- -,- -,9245629
82,Other Non-Cash Items,- -,-300000,- -,200000,-200000,400000,-100000,-300000,-200000,100000,-3200000,300000,300000,-1200000,-1100000,-1663240,-1477313,-815491,-2139216,-898112,-19714,-1501564,-148427,317694,-1220239,2950938,-1705436,1335538,-1541762,-376833,600436,69410,2473679,293601,-411793,-305746,1163917
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,300000,400000,500000,400000,300000,1100000,1500000,1200000,1800000,2428412,2261653,1944067,2631957,2172576,3172030,2076797,4157058,3412385,4337448,4093318,4437129,5380747,5805086,4480752,5199972,2290444,3992287,4950412,4476111,3594240,5313277
84,CAPEX,- -,- -,- -,- -,- -,- -,-100000,-200000,-200000,-300000,-300000,-200000,-300000,-300000,-100000,-146509,-173136,-131650,-118179,-198371,-156620,-94412,-302406,-177465,-155331,-454554,-274645,-252356,-288367,-54590,-62573,-166689,-38149,-74993,-113769,-43395,-116375
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84361,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-200000,-700000,-1699504,-2381073,-4433,-5862617,-2274468,-5590206,-2899491,-612201,-3494228,-1034981,-6323425,-3987606,-4266419,-5311313,-3437478,-5556065,-2309935,-1922513,-8256570,-14779161,-6796409,-4219760
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,213327,3216036,3245737,4365351,2820216,599400,1850000,1135000,7524294,3040000,6016244,4139018,3077588,3944388,2966859,4776044,8022804,15964917,6371128,4152660
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,100000,300000,- -,- -,- -,- -,- -,- -,- -,- -,13500,14500,500,15500,- -,8000,5000,7988,90062,- -,38658,30350,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,100000,-200000,-300000,-300000,-200000,-700000,-500000,-800000,-1846013,-2490709,91744,-2764260,788398,-1381475,-165687,-225846,-1813705,34750,746315,-1183593,1527819,-1460662,-414480,-1674250,490235,2815382,-308759,1071987,-468676,-183475
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99107
