,https://roic.ai/company/NOK,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,7862002500,10948085640,10699310720,8338405560,7057882350,9643332200,1275053500,2947000000,4683000000,1666000000,1421000000,1623000000,2811000000,2961000000,2125000000,1213000000,855000000,261000000,1335000000,2913000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,9359118370,12090694810,11788864080,9902067680,8536893230,11771586810,6836441780,8873000000,12275000000,10902000000,10373000000,9256000000,7981000000,9956000000,9622000000,8582000000,7116000000,6171000000,8275000000,9604000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,5389998320,5221541280,4378868480,5341949370,5888008990,11373782210,9567570460,7995000000,7609000000,7235000000,5586000000,3109000000,3798000000,4303000000,7442000000,7665000000,7025000000,6826000000,6871000000,6742000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,1277932770,1167224100,1304218240,1666667940,1554022190,2880654000,2539331900,1865000000,2523000000,2330000000,1538000000,804000000,1275000000,1014000000,2506000000,2646000000,3168000000,2936000000,2242000000,2392000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,1574306440,1568209250,2021980880,2026344000,2607211290,3314123840,5584375160,4880000000,4738000000,4988000000,3381000000,5974000000,670000000,551000000,1149000000,971000000,962000000,875000000,827000000,859000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,17601355900,20047669440,19493931680,18937028990,18586135700,29340146860,24527719300,23613000000,27145000000,25455000000,20878000000,19143000000,13724000000,15824000000,20719000000,19864000000,18271000000,16808000000,18215000000,19597000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,1875444960,1563445070,1532899040,1583925560,1601756660,1914949040,2094679440,1867000000,1898000000,1819000000,1431000000,566000000,716000000,695000000,1981000000,1853000000,1790000000,2768000000,2588000000,2808000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,531898380,1386143270,6271826540,5171000000,5723000000,4838000000,4876000000,3295000000,2563000000,237000000,5724000000,5248000000,5452000000,5527000000,5074000000,5431000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,668984940,370017980,298760400,300574360,549325250,2740050650,4167090340,2762000000,1984000000,1429000000,647000000,296000000,350000000,323000000,5236000000,3971000000,3353000000,2429000000,1953000000,1620000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,668984940,370017980,298760400,300574360,1081223630,4126193920,10438916880,7933000000,7707000000,6267000000,5523000000,3591000000,2913000000,560000000,10960000000,9219000000,8805000000,7956000000,7027000000,7051000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,623000000,669000000,708000000,747000000,806000000,879000000,1088000000,1410000000,1159000000,1208000000,1350000000,1284000000,1326000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,731880960,741624020,622601920,691489890,809212920,1555553160,1967533260,1507000000,1596000000,1848000000,1254000000,890000000,2720000000,2634000000,5701000000,4582000000,4911000000,5124000000,1822000000,1272000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,2470098240,1155313650,703746720,768322100,538717590,721535240,647224340,195000000,108000000,108000000,116000000,195000000,111000000,125000000,4130000000,4347000000,4532000000,5122000000,5255000000,7995000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,5746409100,3830400720,3158008080,3344311910,4030910800,8318231360,15148353920,12125000000,11978000000,10750000000,9071000000,6048000000,7339000000,5102000000,24182000000,21160000000,21246000000,22320000000,17976000000,20452000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,23347765000,23878070160,22651939760,22281340900,22617046500,37658378220,39676073220,35738000000,39123000000,36205000000,29949000000,25191000000,21063000000,20926000000,44901000000,41024000000,39517000000,39128000000,36191000000,40049000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,2957065910,2914090100,2666713200,3491221850,3731623250,7085037100,5237416940,4950000000,6101000000,5532000000,4394000000,1842000000,2313000000,1910000000,3781000000,3996000000,4773000000,3786000000,3174000000,3679000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,377376120,470065760,214664880,376562260,247006940,1072700680,3599601740,771000000,1037000000,1352000000,462000000,3376000000,116000000,51000000,370000000,309000000,994000000,551000000,750000000,301000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,821000000,796000000,763000000,760000000,996000000,836000000,655000000,546000000,525000000,202000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2256000000,1163000000,1829000000,1857000000,3178000000,3513000000,2538000000,2907000000,2549000000,2293000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,5085047920,4881696440,5081877520,5794499530,6181992710,10848405790,11565992340,9467000000,10402000000,10560000000,7534000000,7797000000,3030000000,2573000000,5276000000,4926000000,5799000000,4811000000,5288000000,5828000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,8419489950,8265852300,7963255600,9662283640,10160622900,19006143570,20403011020,15188000000,17540000000,17444000000,14646000000,14178000000,7288000000,6391000000,12605000000,12744000000,14104000000,12055000000,11761000000,12101000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,186782120,- -,19179680,21107750,68949790,203017520,862726340,4432000000,4242000000,3969000000,5087000000,3286000000,2576000000,2023000000,3657000000,3457000000,2828000000,4756000000,5736000000,5361000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1573000000,1235000000,1171000000,2204000000,1883000000,1530000000,1026000000,790000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,206794490,240591090,178518560,151131490,205333990,964333220,1791539960,1303000000,1022000000,800000000,700000000,195000000,32000000,61000000,403000000,413000000,350000000,390000000,260000000,282000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,67660870,86549270,95160720,96251340,122745780,119341380,69678980,66000000,88000000,76000000,69000000,872000000,925000000,692000000,6090000000,5988000000,4981000000,4996000000,4863000000,4053000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,461237480,327140360,292858960,268490580,397029560,1286692120,2723945280,5801000000,5352000000,4845000000,5856000000,4353000000,5106000000,4011000000,11321000000,12062000000,10042000000,11672000000,11885000000,10486000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1030000000,910000000,1009000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,8880727430,8592992660,8256114560,9930774220,10557652460,20292835690,23126956300,20989000000,22892000000,22289000000,20502000000,18531000000,12394000000,10402000000,23926000000,24806000000,24146000000,23727000000,23646000000,22587000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,286843970,287438860,279580720,265957650,246249250,246227330,246390620,246000000,- -,- -,246000000,246000000,246000000,246000000,246000000,246000000,246000000,246000000,246000000,246000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,11671976560,13928874260,13754781280,13144218080,11122889200,13891610980,11719717100,10132000000,10500000000,7836000000,3995000000,2581000000,4710000000,6279000000,3588000000,1147000000,-1062000000,-1613000000,-4143000000,-2537000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,128650950,7940300,-57539040,-106383060,-47734470,3163918310,3718127840,3112000000,3989000000,4073000000,4003000000,3629000000,4204000000,4316000000,16702000000,15778000000,16077000000,16617000000,16271000000,19549000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,2206125550,897253900,250811200,-1158393320,646309570,-2505483110,-1442426720,-402000000,- -,- -,-183000000,12000000,-549000000,-338000000,-442000000,-1033000000,28000000,75000000,91000000,102000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,14293597030,15121507320,14227634160,12145399350,11967713550,14796273510,14241808840,13088000000,14384000000,11873000000,8061000000,6468000000,8611000000,10503000000,20094000000,16138000000,15289000000,15325000000,12465000000,17360000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,23174324460,23714499980,22483748720,22076173570,22525366010,35089109200,37368765140,34077000000,37276000000,34162000000,28563000000,24999000000,21005000000,20905000000,44020000000,40944000000,39435000000,39052000000,36111000000,39947000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,173440540,163570180,168191040,205167330,91680490,2569269020,2307308080,1661000000,1847000000,2043000000,1386000000,192000000,58000000,21000000,881000000,80000000,82000000,76000000,80000000,102000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,23347765000,23878070160,22651939760,22281340900,22617046500,37658378220,39676073220,35738000000,39123000000,36205000000,29949000000,25191000000,21063000000,20926000000,44901000000,41024000000,39517000000,39128000000,36191000000,40049000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,397286154,598585150,1049089860,1741984380,2584847790,3949120660,2203987510,3383996470,3585839480,3204481920,3613646800,4305952270,7216038270,3997562100,891000000,1850000000,-1164000000,-3106000000,-615000000,3462000000,2466000000,-766000000,-1494000000,-340000000,7000000,-2516000000,1623000000
74,Depreciation and Amortization,- -,385665600,462726810,507332700,666833090,1011503000,1432985250,1312239690,1136256930,867511680,711753330,712228600,1207817070,1620575040,1784000000,1771000000,1562000000,1326000000,728000000,297000000,320000000,1594000000,1591000000,1455000000,1660000000,1132000000,1095000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1145000000,401000000,-1281000000,338000000,-429000000,937000000,64000000,140000000,3254000000,273000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,47000000,18000000,13000000,56000000,37000000,49000000,113000000,92000000,68000000,81000000,76000000,- -
77,Change in Working Capital,-952348101,516631210,147272580,-449351820,-20869590,-1380967780,980049520,955828910,-203271680,299498080,-365586230,-792543740,605623210,-2551543680,140000000,2349000000,-638000000,123000000,-945000000,1153000000,-998000000,-2207000000,597000000,-943000000,-1788000000,-710000000,-268000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1281000000,137000000,2040000000,1655000000,115000000,-693000000,18000000,-421000000,246000000,159000000,- -,- -
79,Inventory,- -,537521430,-119999880,-103171860,-362733350,-422701780,434953170,243007350,-41289560,-192534480,-300574360,84103590,-245541460,321816320,640000000,-512000000,289000000,707000000,193000000,-462000000,341000000,533000000,-296000000,-544000000,285000000,553000000,-48000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1698000000,1563000000,-1064000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,440805132,-65081070,50909040,-121077720,-119254800,-60690180,1940992570,166769750,716215060,-31720240,180682340,252310770,-1135114850,137921280,416000000,-1243000000,1359000000,145000000,447000000,-2393000000,-1668000000,241000000,88000000,56000000,290000000,523000000,-97000000
83,Cash Provided by Operating Activities,-114256815,1435800890,1709998290,1678887540,3111556490,3518965700,6558014850,5818834820,5235039790,4339771440,4140496240,4477947900,7894363700,3204514740,3247000000,4774000000,1137000000,-354000000,72000000,1275000000,507000000,-1454000000,1811000000,360000000,390000000,1759000000,2626000000
84,CAPEX,-587116248,-466816070,-646362990,-833048820,-1305840060,-1584333120,-1042988480,-432648380,-431158290,-547358560,-606214580,-776632250,-873112510,-1022197820,-558000000,-679000000,-597000000,-461000000,-407000000,-311000000,-314000000,-477000000,-601000000,-672000000,-690000000,-479000000,-560000000
85,Acquisitions Net,- -,- -,- -,- -,-178882200,-401406980,-131497470,-10482670,-7146270,- -,-92029790,-531140690,253086030,-5934925080,42000000,3000000,-812000000,2000000,-71000000,2340000000,2488000000,5835000000,-420000000,-49000000,19000000,-93000000,-33000000
86,Purchases of Investments,- -,- -,-8181810,- -,- -,- -,-323686080,-99108880,-281880650,-10697835360,-7359850270,-3306559160,-4956096620,-816034240,-3590000000,-9345000000,-4425000000,-1763000000,-1074000000,-3050000000,-3532000000,-4204000000,-2833000000,-2249000000,-653000000,-1213000000,-1922000000
87,Sales/Maturities of Investments,- -,- -,5454540,- -,- -,- -,204551620,162004900,380340370,11029791360,9645397440,5075007620,4993819470,4687886840,1854000000,7576000000,7298000000,2478000000,715000000,1836000000,3271000000,5623000000,3796000000,2567000000,1135000000,245000000,675000000
88,Other Investing Activites,419825553,-63474130,150908940,57128220,140124390,-314098300,-1390276670,-488873610,26997020,-113602720,254981620,545536800,-128943560,173119940,-454000000,-655000000,-562000000,-155000000,-261000000,71000000,-17000000,59000000,68000000,88000000,22000000,23000000,45000000
89,Cash Used for Investing Activites,-167290695,-530290200,-498181320,-775920600,-1344597870,-2299838400,-2683897080,-869108640,-312847820,-329005280,1842284420,1006212320,-711247190,-2912150360,-2148000000,-2421000000,1499000000,562000000,-691000000,886000000,1896000000,6836000000,10000000,-315000000,-167000000,-1517000000,-1795000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-209000000,-6000000,-51000000,-266000000,-990000000,-2791000000,-79000000,-2699000000,-2086000000,-31000000,-987000000,-480000000,-1220000000
91,Common Stock Issued,- -,- -,11818170,107435160,152049870,72402320,77549790,162957870,23026870,- -,1688620,46219090,988338670,53157160,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-21354290,-17153460,-1353027120,-2646058160,-4254478090,-3370962810,-3825096990,-3128370700,- -,- -,- -,- -,- -,-427000000,-173000000,-216000000,-823000000,- -,- -,- -,- -
93,Dividends Paid,-140383800,-155873180,-178181640,-371759760,-598261580,-1007244040,-1398144040,-1349405520,-1375259960,-1411919520,-1529889720,-1553264500,-1762685900,-2053015720,-1546000000,-1519000000,-1536000000,-755000000,-71000000,-1392000000,-512000000,-1515000000,-970000000,-1081000000,-570000000,-148000000,-9000000
94,Other Financing Activites,249805173,-179173810,-276363360,202080420,-147080920,-340716800,-556335450,-377376120,-69874640,-256712640,216987670,-87892040,761315700,3579488220,1059000000,613000000,488000000,556000000,584000000,34000000,180000000,-493000000,2130000000,143000000,1078000000,1511000000,17000000
95,Cash Used/Provided by Financing Activities,109421373,-335046990,-442726830,-62244180,-593292630,-1275558520,-1898283990,-1580977230,-2775134850,-4314690320,-5565691520,-4965900260,-3838128520,-1548741040,-696000000,-911000000,-1099000000,-465000000,-477000000,-4576000000,-584000000,-4923000000,-1749000000,-969000000,-479000000,883000000,-1212000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-42708580,-162957870,-181832870,-22868080,183215270,-50765230,-15089140,-48847120,-25000000,224000000,107000000,-27000000,-223000000,-48000000,6000000,43000000,-200000000,-184000000,-95000000,-95000000,133000000
97,Net Change In Cash,109421373,570463700,769090140,839870100,1171678410,-55366480,1934249110,3205791080,1966018280,-326792240,600304410,466737040,3329898850,-1304505440,378000000,1666000000,1644000000,-284000000,-1319000000,-2463000000,1825000000,502000000,-128000000,-1108000000,-351000000,1030000000,-249000000
98,Cash at the End of Period,- -,1302424870,2052725220,2876874840,4170936630,4195075600,6124185590,9336247090,11300634960,2454999040,3055557890,3524773880,6860757610,5561388280,5926000000,7592000000,9236000000,8952000000,7633000000,5170000000,6995000000,7497000000,7369000000,6261000000,5910000000,6940000000,6691000000
99,Cash at the Beginning of Period,922087593,731961170,1283635080,2037004740,2999258220,4250442080,4189936480,6130456010,9334616680,2781791280,2455253480,3058036840,3530858760,6865893720,5548000000,5926000000,7592000000,9236000000,8952000000,7633000000,5170000000,6995000000,7497000000,7369000000,6261000000,5910000000,6940000000
100,Free Cash Flow,-701373063,968984820,1063635300,845838720,1805716430,1934632580,5515026370,5386186440,4803881500,3792412880,3534281660,3701315650,7021251190,2182316920,2689000000,4095000000,540000000,-815000000,-335000000,964000000,193000000,-1931000000,1210000000,-312000000,-300000000,1280000000,2066000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.2777,1.2538,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
