,https://roic.ai/company/CXDC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
25,EPS,-0.19,-0.22,-0.46,-0.28,33.02,-0.36,0.59,1.17,1.35,2.08,1.85,1.27,1.54,0.48,1.03,0.05,-2.68
26,EPS Diluted,-0.19,-0.22,-0.46,-0.28,0.35,-0.36,0.59,1.16,1.35,2.08,1.85,1.27,1.54,0.48,1.03,0.05,-2.68
27,Weighted Average Shares Outstanding,399936,399936,399936,399936,414569,27789044,44252571,47280468,47549275,47794028,48833434,49225566,49419197,49598609,50290425,61109560,67916583
28,Weighted Average Shares Outstanding Diluted,399936,399936,399936,399936,38608641,27789044,44733516,47286375,47549275,47794028,48833434,49229460,49419197,49598609,50290425,61109560,67916583
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1353970/000107997310000463/0001079973-10-000463-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997311000255/0001079973-11-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997312000175/0001079973-12-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997313000200/0001079973-13-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997314000221/0001079973-14-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997315000191/0001079973-15-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997316000846/0001079973-16-000846-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997317000162/0001079973-17-000162-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997318000166/0001079973-18-000166-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997319000222/0001079973-19-000222-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997320000468/0001079973-20-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000149315221028658/0001493152-21-028658-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1558,2033,- -,- -,3869035,6850784,22720766,135482386,83822602,95545904,45456612,119928485,168086445,190392211,41301817,17201775,78261679
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,47955923,281343641,238532702,237626806,184806112,288023017,- -,- -,- -
33,Cash and Short-Term Investments,1558,2033,- -,- -,3869035,6850784,22720766,135482386,131778525,376889545,283989314,357555291,352892557,478415228,41301817,17201775,78261679
34,Net Receivables,12714,14422,1223,6820,11559861,9372414,29211014,45310925,144063124,288877004,213977619,248264057,527241504,376375904,300215719,271493770,423946875
35,Inventory,1251,1251,- -,324,12438782,18371485,25257083,44953958,78263071,144885688,249797244,294665195,280939008,421736682,620033195,642509534,577935234
36,Other Current Assets,30,30,300,30,16887749,21011778,32927718,23985329,23005591,15796681,14040381,53051693,111837390,196518685,452381120,333657649,264617045
37,Total Current Assets,15553,17736,1523,7174,44755427,55606461,110116581,249732598,377110311,826448918,761804558,953536236,1272910459,1473046499,1413931851,1264862728,1344760833
38,PP&E,93695,42357,9343,- -,19332712,31083389,49038103,100933429,223780133,233841735,318324600,571746507,806363692,835561739,775941280,874469671,823700349
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,247681,241945,244417,4055363,10524451,12457001,11896542,24506837,22536397,31943652,29796795,- -,- -
41,Intangible Assets,- -,- -,- -,- -,247681,241945,244417,4055363,10524451,12457001,11896542,24506837,22536397,31943652,29796795,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,778943
44,Other Non-Current Assets,- -,- -,- -,- -,378073,- -,- -,5873427,169414,3158974,207759322,202192628,24689651,203551793,533849305,496549849,754685875
45,Total Non-Current Assets,93695,42357,9343,- -,19958466,31325334,49282520,110862219,234473998,249457710,537980464,798445972,853589740,1071057184,1339587380,1371019520,1579165167
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,109248,60093,10866,7174,64713893,86931795,159399101,360594817,611584309,1075906628,1299785022,1751982208,2126500199,2544103683,2753519231,2635882248,2923926000
48,Accounts Payable,37779,66073,136342,183763,7656182,1258459,736667,398043,7061259,122457396,152073014,257417000,320013040,227993140,84958469,57458673,69602956
49,Short-Term Debt,- -,10108,23076,75513,28581898,21678565,21204700,31459032,162076050,314682620,99735422,284339089,444757476,775396929,729666920,681563414,3969492
50,Tax Payable,- -,- -,- -,- -,17777,4134,72289,5814988,8511679,18631698,3269115,11235676,5396786,21712309,22400603,32514861,36078226
51,Deferred Revenue,- -,- -,- -,- -,3469796,300296,77397,- -,- -,- -,- -,82009002,93066,8843649,16105245,17922160,105943812
52,Other Current Liabilities,46924,93798,144458,1186,944634,1592789,5830824,31271929,58765002,100128878,71143626,99392382,268548150,400240587,763329211,522010047,1050766134
53,Total Current Liabilities,84703,169979,303876,260462,40652510,24830109,27849588,63129004,227902311,537268894,322952062,723157473,1033411732,1412474305,1594059845,1278954294,1230282394
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322891503,253116705,249520615,114208319,111808244,322456413,28184800
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62039050,69311102,99168276,99583477,92639620,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,21525274,22102431,20733959,19428706,16951551,13874224,10818305,9267501,6716921,4613524,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,40582049,5721864,101441831,98585215,9287458,14025825,24172693,31602314,98630817,94856851,100844286,898244569
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,40582049,27247138,123544262,119319174,28716164,353868879,353202672,361252336,321274913,312965493,520553843,926429369
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15817989,- -
61,Total Liabilities,84703,169979,303876,260462,40652510,65412158,55096726,186673266,347221485,565985058,676820941,1076360145,1394664068,1733749218,1907025338,1799508137,2156711763
62,Preferred Stock,- -,- -,- -,- -,200,100,100,100,100,97576565,97576565,97576565,97576565,97576565,97576565,100,- -
63,Common Stock,- -,- -,- -,- -,81,4087,4762,4754,4758,4789,4916,4933,4952,4975,5097,6697,7057
64,Retained Earnings,-331849,-466280,-649404,-759725,20051142,2160621,24866352,91340855,177208492,311047337,431823706,515555985,617168735,648790469,717103890,720159368,538357103
65,Other Comprehensive Income/Loss,-201386,-182521,-215535,-214286,1527174,1522873,3471630,11477877,14658258,25043914,12775801,-19342658,-65427831,-19084743,-54732547,-67907807,-9479166
66,Other Total Stockholders Equity,557780,538915,571929,720723,2482786,17831956,75959531,71097965,72491216,76248965,80783093,81827238,82513710,83067199,86540888,184115753,238329243
67,Total Stockholders Equity,24545,-109886,-293010,-253288,24061383,21519637,104302375,173921551,264362824,509921570,622964081,675622063,731836131,810354465,846493893,836374111,767214237
68,Total Liabilities And Stockholders Equity,109248,60093,10866,7174,64713893,86931795,159399101,360594817,611584309,1075906628,1299785022,1751982208,2126500199,2544103683,2753519231,2635882248,2923926000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,109248,60093,10866,7174,64713893,86931795,159399101,360594817,611584309,1075906628,1299785022,1751982208,2126500199,2544103683,2753519231,2635882248,2923926000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1353970/000107997310000463/0001079973-10-000463-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997311000255/0001079973-11-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997312000175/0001079973-12-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997313000200/0001079973-13-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997314000221/0001079973-14-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997315000191/0001079973-15-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997316000846/0001079973-16-000846-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997317000162/0001079973-17-000162-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997318000166/0001079973-18-000166-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997319000222/0001079973-19-000222-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997320000468/0001079973-20-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000149315221028658/0001493152-21-028658-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-77660,-89500,-183124,-110321,13687490,4023266,28836789,60518619,85867747,133838845,120776369,83732279,101612750,31621734,68313421,3055478,-181700885
74,Depreciation and Amortization,42470,30458,33014,9342,967105,2009533,3327755,5142889,10705037,21420723,22916893,27540212,34244842,43055976,46282307,60663133,62536351
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,20997685,-465163,-1574995,-1880228,-2018757,-2380236,-2292830,-2407706,-1917993,-2017823,-1690083
76,Stock Based Compensation,- -,- -,- -,- -,- -,7985285,14854199,649265,1393255,3757780,1003040,1044162,686491,553512,3353811,- -,4188600
77,Change in Working Capital,33420,-83093,-150110,49065,-19528780,26673435,51490641,104336601,-37395594,139972024,149672472,-208473733,9119964,-178926533,-240700188,166036428,128570005
78,Accounts Receivable,- -,- -,- -,- -,-5677947,2601377,-19732007,-14501996,-97157176,-132230006,72318976,-40614289,-190860210,120443715,-5147409,9267736,-182304964
79,Inventory,- -,- -,1251,-324,-6347868,-5937387,-6106915,-17836035,-32494523,-63358285,-109198972,-58103919,-3764167,-120026438,-228481188,-32889557,103112952
80,Accounts Payable,- -,- -,- -,- -,-497713,1752596,646236,-338624,6576382,113429086,32823457,116133982,82085904,-108053082,-148839736,-26818422,9077206
81,Other Working Capital,-69150,-152243,-302353,-253288,-371266,30776352,82266993,186603594,149208000,289180024,438852496,230378763,239498727,60572194,-180127994,-14091566,114478439
82,Other Non-Cash Items,263,119860,285219,-6683,- -,-23554017,-101530705,-102898488,-90450445,-181462619,-143601648,325908054,-58887249,188799564,186061897,-417665455,-14925945
83,Cash Provided by Operating Activities,-1507,-22275,-15001,-58597,-4874185,17137502,17976364,67283723,-31454995,115646525,148748369,227370738,84483968,82696547,61393255,-189928239,-3021957
84,CAPEX,- -,- -,- -,- -,-12037135,-13798468,-20051120,-62489867,-97492169,-21461391,-335553496,-281359485,-210840098,-464753341,-429205807,-154115880,-9528
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11937192,11751535,7282029,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-374481497,-460292902,-626994741,-474254312,-475315245,-564710760,-255518597,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,327121555,231849776,663216581,463771799,515088058,475873199,540066526,- -,- -
88,Other Investing Activites,- -,- -,- -,6160,110808,16000,330760,107223,- -,- -,- -,11499000,22478569,310197022,131230381,16710648,-431138000
89,Cash Used for Investing Activites,848,12750,- -,6160,-11926327,-13782468,-19720360,-62382644,-144852111,-249904517,-299331656,-280342998,-148588716,-255331072,-1675962,-130123203,-431147528
90,Debt Repayment,- -,- -,- -,- -,-26196147,-15647698,-22088708,-21664113,-114369501,-358190868,-831932534,-339528477,-703175334,-682921893,-1255214637,-2048519876,-852337025
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,18821504,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-815229,-1829,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1796337,-792240,-110,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2327,10000,12968,52438,46705396,15269218,22454233,128870101,238269893,501403214,931299635,471263372,825012185,866529921,1257433454,2234389265,1239638803
95,Cash Used/Provided by Financing Activities,-2327,10000,12968,52438,20509249,-378480,17390692,105598519,123898453,143212346,99367101,131734895,121836851,183608028,2218817,185869389,387301778
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,72843,5195,223286,2262022,748869,2768948,1126894,-4290762,-9574143,11332263,-15035935,-4376768,1769116
97,Net Change In Cash,-2986,475,- -,- -,3781580,2981749,15869982,112761620,-51659784,11723302,-50089292,74471873,48157960,22305766,46900175,-138558821,-45098591
98,Cash at the End of Period,1558,2033,- -,1,3869035,6850784,22720766,135482386,83822602,95545904,45456612,119928485,168086445,190392211,366991840,228433019,183334428
99,Cash at the Beginning of Period,4544,1558,2033,- -,87455,3869035,6850784,22720766,135482386,83822602,95545904,45456612,119928485,168086445,320091665,366991840,228433019
100,Free Cash Flow,-1507,-22275,-15001,-58597,-16911320,3339034,-2074756,4793856,-128947164,94185134,-186805127,-53988747,-126356130,-382056794,-367812552,-344044119,-3031485
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1353970/000107997310000463/0001079973-10-000463-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997311000255/0001079973-11-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997312000175/0001079973-12-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997313000200/0001079973-13-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997314000221/0001079973-14-000221-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997315000191/0001079973-15-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997316000846/0001079973-16-000846-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997317000162/0001079973-17-000162-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997318000166/0001079973-18-000166-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997319000222/0001079973-19-000222-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000107997320000468/0001079973-20-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1353970/000149315221028658/0001493152-21-028658-index.htm
102,false,,,,,,,,,,,,,,,,,
