,https://roic.ai/company/ABVC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,-2.0000,-1.8554,0.0442,-Infinity,-Infinity,-111.6173,-269.8199,-Infinity,-127.9314,-382.0223,-187.1857,-29.0679,-Infinity,-9.6074,-Infinity,-Infinity,-Infinity,-5.1898,-20.2697,-33.8279
25,EPS,- -,-0.00,-113.23,0.69,-7.28,-6.93,-1273.48,-3030.58,-22629.66,-13432.84,-6092.07,-1146.12,-124.09,-0.04,-0.06,-0.36,-2.88,-0.36,-0.21,-0.50,-0.61
26,EPS Diluted,- -,-0.00,-113.23,0.69,-7.28,-6.93,-1273.48,-3030.58,-22629.66,-13432.84,-6092.07,-1146.12,-124.09,-0.04,-0.06,-0.36,-2.88,-0.36,-0.21,-0.50,-0.61
27,Weighted Average Shares Outstanding,- -,28609401,224,3665,3665,3665,3665,2234,229,229,494,1010,1905,1905,872669,10776816,1706693,11882545,17498543,19715559,19715559
28,Weighted Average Shares Outstanding Diluted,- -,28609401,224,3665,3665,3665,3665,2234,229,229,494,1010,1905,1905,872669,10776816,1706693,11882545,17498543,19715559,19715559
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173313/000117331308000010/0001173313-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000117331309000134/0001173313-09-000134-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173313/000155723415000092/0001557234-15-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000155723415000105/0001557234-15-000105-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000101489715000397/0001014897-15-000397-index.html,https://www.sec.gov/Archives/edgar/data/1173313/000121390017009907/0001213900-17-009907-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1173313/000121390019006364/0001213900-19-006364-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390020012685/0001213900-20-012685-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390021015729/0001213900-21-015729-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390022016726/0001213900-22-016726-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,104759,81823,63396,87850,808163,974276,- -,2814,71784,13386,618,- -,3360,173537,93332,40044,144295,4273208,5828548
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108147
33,Cash and Short-Term Investments,- -,- -,104759,81823,63396,87850,808163,974276,- -,2814,71784,13386,618,- -,3360,173537,93332,40044,144295,4273208,5936695
34,Net Receivables,- -,- -,- -,- -,- -,317,1118,- -,- -,- -,- -,- -,1238,- -,- -,- -,2550000,40000,640526,999402,280692
35,Inventory,- -,40000,6358,8485,- -,- -,- -,- -,- -,- -,- -,- -,- -,795,274,- -,199708,- -,- -,- -,25975
36,Other Current Assets,- -,- -,- -,- -,- -,175,70888,25206,1400,30337,30137,34950,- -,-795,- -,- -,-199708,16229,93417,900356,3381758
37,Total Current Assets,- -,40000,111117,90308,63396,88342,880169,999482,1400,33151,101921,48336,1856,- -,3634,173537,2643332,96273,878238,6172966,9625120
38,PP&E,- -,- -,- -,- -,- -,- -,17914,76167,66672,41925,59661,46783,37249,- -,- -,- -,570576,- -,1045375,2287581,1997780
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,306040,426243,450102,218859,207814,207189,192864,64594,64594,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,306040,426243,450102,218859,207814,207189,192864,64594,64594,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4185969,- -,3364619,1190727,932755
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017897,- -,1460033,1790597,981912
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3815,- -,- -,179546,164834,160466
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,323954,502410,516774,260784,267475,253972,230113,64594,64594,3815,- -,- -,6049573,5433739,4072913
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,40000,111117,90308,63396,88342,1204123,1501892,518174,293935,369396,302308,231969,64594,68228,177352,2643332,96273,6927811,11606705,13698033
48,Accounts Payable,- -,- -,10443,2964,2722,3067,429790,1359328,1272057,1232189,27945,685172,164960,- -,- -,18370,- -,- -,23995,23044,- -
49,Short-Term Debt,- -,30000,4545,- -,- -,- -,428552,1137604,840217,1410632,1150332,1115698,1138500,7000,7000,- -,1170432,550000,4343851,2401978,347100
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,24884,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13085,12070,- -
52,Other Current Liabilities,- -,- -,11324,- -,- -,50000,30610,244770,416557,644931,654791,145216,808683,27030,32150,38100,3229815,5018224,2433262,2407299,3345212
53,Total Current Liabilities,- -,30000,26312,2964,2722,53067,913836,2741702,2528831,3287752,1833068,1946086,2112143,34030,39150,56470,4400247,5568224,6814193,4844391,3692312
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55690,250000,235555,4080967,1124799
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,60,- -,27467,2880,19280,10580
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,60,55690,277467,238435,4100247,1135379
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,539803,1772745,- -
61,Total Liabilities,- -,30000,26312,2964,2722,53067,913836,2741702,2528831,3287752,1833069,1946086,2112143,34030,39150,56530,4400247,5845691,7052628,8944638,4827691
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,2,2,4,7,1,1,1,1,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1017,1017,1017,1017,32174,32234,32859,32934,14159,54593,54593,54593,60011,210822,213747,213927,19478,24420,28926
64,Retained Earnings,- -,-20000,-47536,-44997,-71667,-97066,-5907169,-14909206,-22688817,-25764937,-28774419,-30313862,-30550258,-24030,-55516,-4823401,-15776598,-19877901,-15851223,-25642387,-38481200
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-20000,-50000,-70000,- -,- -,- -,- -,- -,- -,757327,1000000,663753,564860,539660
66,Other Total Stockholders Equity,- -,30000,131324,131324,131324,131324,6165282,13657160,20695299,22808182,27296580,28615490,28615490,- -,24582,4733401,- -,12914556,15017028,28491447,46756267
67,Total Stockholders Equity,- -,10000,84805,87344,60674,35275,290287,-1239810,-2010657,-2993817,-1463673,-1643778,-1880174,30564,29078,120822,-1756915,-5749418,-150964,3438340,8843653
68,Total Liabilities And Stockholders Equity,- -,40000,111117,90308,63396,88342,1204123,1501892,518174,293935,369396,302308,231969,64594,68228,177352,2643332,96273,6901664,12382978,13671344
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26147,-776273,26689
70,Total Liabilities & Equity,- -,40000,111117,90308,63396,88342,1204123,1501892,518174,293935,369396,302308,231969,64594,68228,177352,2643332,96273,6927811,11606705,13698033
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173313/000117331308000010/0001173313-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000117331309000134/0001173313-09-000134-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173313/000155723415000092/0001557234-15-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000155723415000105/0001557234-15-000105-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000101489715000397/0001014897-15-000397-index.html,https://www.sec.gov/Archives/edgar/data/1173313/000121390017009907/0001213900-17-009907-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1173313/000121390019006364/0001213900-19-006364-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390020012685/0001213900-20-012685-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390021015729/0001213900-21-015729-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390022016726/0001213900-22-016726-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-20000,-25363,2539,-26670,-25399,-4650870,-6770322,-5182192,-1901060,-1218651,-1069579,-226352,-70,-32281,-4507799,-4242860,-4101303,-3933240,-10593584,-12035851
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,12757,37486,45075,45248,34179,33049,23859,- -,- -,- -,43996,- -,55086,37142,11993
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-360395,- -,-80692,-223201,824199
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,730243,196121,- -,- -,30000,1295324,155400,28800,22314,4146979,5306755
77,Change in Working Capital,- -,-40000,74805,2539,-26670,-25399,-68942,-1708553,-785211,-727170,1523454,-166603,-212537,2076257,-1486,152583,-363852,-3715036,597667,-86434,4604233
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1238,1238,- -,- -,-724,- -,-120739,3696,-120980
79,Inventory,- -,- -,32933,-2127,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,521,- -,3469,- -,1306,- -,-25830
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-87271,-38962,-511608,-192157,81920,- -,- -,18370,- -,- -,50244,-951,-23044
81,Other Working Capital,- -,10000,84805,87344,60674,35275,-33667,-1742220,-2527431,-3254601,-1731147,-1897750,-2110287,-34030,-35516,117067,-1756915,-5471951,1909,-1015,5932808
82,Other Non-Cash Items,- -,50000,-49087,-12524,34913,75252,2014075,6105442,4366378,1535747,-2662407,91888,377262,-2075019,7127,-414815,3282398,7157344,204339,2155179,-6309048
83,Cash Provided by Operating Activities,- -,-10000,355,-7446,-18427,24454,-2692980,-2335947,-1555950,-1047235,-1593182,-915124,-37768,1168,3360,-3474707,-1485313,-630195,-3134526,-4563919,-7597719
84,CAPEX,- -,- -,- -,- -,- -,- -,-97564,-215942,-59441,-11368,-41745,-19546,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7803713,- -,-17801,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107547
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128480,- -,- -,147804,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-42961,-9968,-5928,-19196,- -,- -,- -,- -,180915,- -,-17496,-373235,-698419
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-97564,-215942,-59441,-11368,-38745,-19546,- -,- -,- -,- -,-7494318,- -,-35297,-225431,-805966
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-372801,-200,-236103,- -,- -,- -,- -,- -,- -,-257000,-861586,-844592,4265
91,Common Stock Issued,- -,- -,104305,- -,- -,- -,2483500,2010000,25000,- -,- -,- -,- -,- -,- -,2350000,7681907,- -,1084109,7615331,11119452
92,Common Stock Repurchased,- -,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-20000,-1095,-15490,- -,- -,378828,708002,988916,1061616,1937000,876272,25000,-1786,- -,303414,-6121907,850000,2864966,2797104,-1128167
95,Cash Used/Provided by Financing Activities,- -,10000,103210,-15490,- -,- -,2862328,2718002,641115,1061416,1700897,876272,25000,-1786,- -,2653414,1560000,593000,3087489,9567843,9995550
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4,62435,-28021
97,Net Change In Cash,- -,- -,103565,-22936,-18427,24454,71784,166113,641115,1061416,68970,-58398,-12768,-1786,- -,-821293,74687,-37195,-82338,4840928,1563844
98,Cash at the End of Period,- -,- -,104759,81823,63396,87850,808163,974276,- -,2814,71784,13386,618,- -,3360,173537,93332,56137,160443,5001371,- -
99,Cash at the Beginning of Period,- -,- -,1194,104759,81823,63396,736379,808163,974276,- -,2814,71784,13386,618,- -,994830,18645,93332,242781,160443,5001371
100,Free Cash Flow,- -,-10000,355,-7446,-18427,24454,-2790544,-2551889,-1615391,-1058603,-1634927,-934670,-37768,1168,3360,-3474707,-1485313,-630195,-3134526,-4563919,-7597719
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173313/000117331308000010/0001173313-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000117331309000134/0001173313-09-000134-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173313/000155723415000092/0001557234-15-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000155723415000105/0001557234-15-000105-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000101489715000397/0001014897-15-000397-index.html,https://www.sec.gov/Archives/edgar/data/1173313/000121390017009907/0001213900-17-009907-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1173313/000121390019006364/0001213900-19-006364-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390020012685/0001213900-20-012685-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390021015729/0001213900-21-015729-index.htm,https://www.sec.gov/Archives/edgar/data/1173313/000121390022016726/0001213900-22-016726-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
